"","UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","ec_conc","sample_type_name","sample_type_var","country","city","citylabel","std_ec_conc","hood","SES"
"1","09_01_1381",9,"2018-12-19",1,"",1381,TRUE,4,904,50,4,NA,0.001,1e-04,NA,50,4,NA,50,4,0.001,1e-04,5e+06,"Open Drain Water","d","Uganda","Kampala","Kampala 18",0.615877085247366,"Rubaga","low income"
"2","09_01_1382",9,"2018-12-19",1,"",1382,TRUE,4,904,27,5,NA,0.001,1e-04,NA,27,5,NA,27,5,0.001,1e-04,2700000,"Open Drain Water","d","Uganda","Kampala","Kampala 18",0.551713639721466,"Rubaga","low income"
"3","09_01_1384",9,"2018-12-19",1,"",1384,TRUE,4,904,20,0,NA,0.001,1e-04,NA,20,0,NA,20,0,0.001,1e-04,2e+06,"Open Drain Water","d","Uganda","Kampala","Kampala 18",0.520463756873135,"Rubaga","low income"
"4","09_01_1385",9,"2018-12-19",1,"",1385,TRUE,4,904,0,0,NA,0.001,1e-04,NA,0,0,NA,0,0,0.001,1e-04,50000,"Open Drain Water","d","Uganda","Kampala","Kampala 18",0.1363408421205,"Rubaga","low income"
"5","09_01_1387",9,"2018-12-19",1,"",1387,TRUE,4,904,18,7,NA,0.001,1e-04,NA,18,7,NA,18,7,0.001,1e-04,1800000,"Open Drain Water","d","Uganda","Kampala","Kampala 18",0.509492569313945,"Rubaga","low income"
"6","09_01_1388",9,"2018-12-19",1,"",1388,TRUE,4,904,31,5,NA,0.001,1e-04,NA,31,5,NA,31,5,0.001,1e-04,3100000,"Open Drain Water","d","Uganda","Kampala","Kampala 18",0.566099230617404,"Rubaga","low income"
"7","09_01_1391",9,"2019-01-29",1,"",1391,TRUE,4,904,1,0,NA,0.001,1e-04,NA,1,0,NA,1,0,0.001,1e-04,1e+05,"Open Drain Water","d","Uganda","Kampala","Kampala 18",0.208518238715102,"Rubaga","low income"
"8","09_10_1241",9,"2019-01-11",10,"",1241,TRUE,4,904,3,1,0,1,10,0.1,3,1,0,1,3,10,1,1379.5,"Street Food","sf","Uganda","Kampala","Kampala 18",0.39837369643766,"Rubaga","low income"
"9","09_10_1242",9,"2019-01-11",10,"",1242,TRUE,4,904,8,0,0,1,10,0.1,8,0,0,0,8,10,1,NA,"Street Food","sf","Uganda","Kampala","Kampala 18",NA,"Rubaga","low income"
"10","09_10_1243",9,"2019-01-11",10,"",1243,TRUE,4,904,1,0,0,1,10,0.1,1,0,0,0,1,10,1,NA,"Street Food","sf","Uganda","Kampala","Kampala 18",NA,"Rubaga","low income"
"11","09_10_1244",9,"2019-01-11",10,"",1244,TRUE,4,904,9,1,0,1,1,0.1,9,1,0,9,1,1,1,NA,"Street Food","sf","Uganda","Kampala","Kampala 18",NA,"Rubaga","low income"
"12","09_10_1245",9,"2019-01-11",10,"",1245,TRUE,4,904,2,1,0,1,10,0.1,2,1,0,1,2,10,1,2982,"Street Food","sf","Uganda","Kampala","Kampala 18",0.481630886576465,"Rubaga","low income"
"13","09_10_1246",9,"2019-01-11",10,"",1246,TRUE,4,904,0,37,0,1,10,0.1,0,37,0,37,0,10,1,7104,"Street Food","sf","Uganda","Kampala","Kampala 18",0.575385036002592,"Rubaga","low income"
"14","09_10_1247",9,"2019-01-13",10,"",1247,TRUE,4,904,1,1,0,1,10,0.1,1,1,0,1,1,10,1,1419,"Street Food","sf","Uganda","Kampala","Kampala 18",0.40142278108384,"Rubaga","low income"
"15","09_10_1248",9,"2019-01-13",10,"",1248,TRUE,4,904,2,0,0,1,10,0.1,2,0,0,0,2,10,1,NA,"Street Food","sf","Uganda","Kampala","Kampala 18",NA,"Rubaga","low income"
