Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
NA,NA,NA,NA,NA,NA,NA,NA,NA,12,35,25,19,19,22,16,15,27,77,16,54,108,48,13,54,39,38,72,12,16,7,22,NA,2,19,29,22,30,11,92,29,10,20,45,6,80,79,100,143,144,73,118,97,121,160,305,285,11,16,7,10,2,2,1,1,1,0,3,4,1,0,5,0,1,5,0,1,2,1,3,1,0,8,3,1,0,5,2,0,6,1,4,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,66,44,NA,13,13,1,18,19,12,9,12,10,44,43,87,60,30,43,46,42,NA,25,5,25,NA,21,3,34,4,2,7,13,11,5,3,3,8,NA,1,NA,2,NA,2,NA,2,3,NA,NA,1,NA,2,1,2,0,2,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,9,0,0,7,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,14,5,5,4,4,3,3,2,6,3,4,6,2,4,9,4,1,1,2,2,2,NA,NA,2,7,7,8,5,10,8,3,2,7,13,7,13,6,21,10,NA,13,18,23,17,7,6,5,10,16,8,16,3,10,8,8,7,4,13,2,1,0,3,3,4,0,0,1,0,0,3,0,0,0,3,9,6,16,8,6,0,1,9,51,14,33,27,31,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,15,30,18,18,14,10,6,8,37,37,47,11,54,21,NA,16,19,23,37,40,27,39,31,27,18,32,26,5,19,10,6,9,4,2,6,3,3,4,12,10,6,2,5,3,2,1,2,1,4,NA,5,5,0,0,1,1,0,4,7,3,10,3,9,NA,15,2,0,2,10,8,25,26,22,0,28,3,NA,NA,NA,NA,NA,NA,3,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,19,15,2,14,24,9,14,12,11,14,32,14,18,6,19,20,26,16,19,12,17,155,127,12,10,4,97,152,9,4,11,5,6,NA,12,2,13,24,17,6,1,7,4,4,8,8,3,6,10,10,8,5,9,3,5,15,11,2,3,11,7,9,15,4,5,3,2,1,2,8,3,0,5,2,2,6,2,2,2,6,3,13,3,6,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,16,19,24,9,24,16,19,10,18,6,9,21,13,3,29,4,2,4,13,4,18,8,10,10,4,28,31,27,18,16,23,7,8,NA,3,4,9,3,8,5,NA,5,19,NA,3,NA,NA,NA,3,NA,1,2,NA,NA,2,0,1,0,6,7,12,22,10,14,10,10,0,3,0,5,0,0,0,1,0,0,0,0,4,NA,1,1,NA,0,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,34,4,38,67,59,14,10,12,3,NA,1,1,16,NA,13,9,NA,16,9,40,3,10,14,NA,5,2,NA,6,12,17,1,NA,35,34,18,36,6,5,41,31,19,48,46,50,23,38,54,70,26,1,1,3,NA,3,5,0,1,2,0,1,0,1,2,7,8,0,8,0,NA,1,3,NA,0,2,1,1,0,0,NA,NA,NA,4,2,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,6,1,NA,NA,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,5,8,25,9,10,9,64,141,82,111,NA,NA,NA,NA,NA,NA,1,1,9,20,14,14,23,10,5,5,2,11,NA,3,2,3,NA,9,5,4,4,3,1,3,11,7,6,2,13,16,NA,NA,5,0,8,6,21,12,13,8,1,4,12,8,5,6,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,16,26,24,3,6,23,1,2,4,19,4,3,8,4,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,5,NA,2,7,7,6,3,6,8,7,11,13,14,NA,2,1,6,6,3,5,2,8,NA,NA,18,4,4,7,11,4,9,3,2,3,1,2,1,0,16,0,11,0,1,0,4,8,0,2,3,4,11,9,11,11,10,6,8,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,2,1,2,NA,NA,2,2,6,4,13,7,1,12,3,7,8,8,11,8,4,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,3,3,1,NA,2,NA,2,NA,NA,NA,1,1,1,2,0,3,1,2,0,5,2,2,7,2,8,9,8,10,3,5,13,14,26,10,15,4,11,10,12,12,14,20,9,9,13,21,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,73,147,11,NA,47,27,5,6,7,36,17,152,28,19,23,28,126,20,73,136,35,18,107,140,77,73,40,7,34,59,17,48,60,33,49,92,69,230,188,359,281,265,357,434,402,415,408,307,284,393,483,467,183,117,131,130,176,298,457,102,168,223,339,450,451,48,61,0,0,35,1,4,13,0,7,46,4,9,3,0,0,1,12,6,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,16,38,26,53,17,16,18,17,17,16,7,7,2,14,19,8,30,21,25,5,16,7,10,13,15,15,29,15,26,20,39,27,29,26,33,26,20,30,16,22,12,1,5,NA,3,7,2,4,2,7,7,6,1,NA,9,1,0,2,1,4,12,8,5,13,4,10,6,2,12,6,1,1,0,3,3,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,2,NA,11,3,NA,2,9,2,4,NA,NA,NA,NA,8,3,1,NA,1,2,2,NA,2,NA,NA,2,7,NA,12,0,0,0,0,0,0,0,0,1,1,0,23,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,8,13,20,21,7,6,12,NA,NA,39,2,13,5,12,NA,NA,5,3,NA,4,6,NA,NA,5,NA,4,2,10,9,1,4,42,18,40,23,6,19,25,24,48,13,19,36,23,34,41,16,16,1,NA,NA,NA,2,2,3,2,3,1,2,4,5,1,12,6,9,0,0,NA,4,2,0,0,0,0,0,0,0,NA,NA,NA,1,5,2,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
