"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Floodwater",6,101,"Chong Kaosou","Adults","a",0.082308622284299,1.7037686693706,45,4.91405300562917,0.967850313649067,10,0.985,15064.0185503792,15064.0185503792,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Floodwater","Siem Reap 101 Adults","Siem Reap 101",0.000441791357461694
"Floodwater",6,101,"Chong Kaosou","Children","c",0.122052677141101,2.59742926367714,35,4.91405300562917,0.967850313649067,10,0.998,177396.079163493,177396.079163493,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Floodwater","Siem Reap 101 Children","Siem Reap 101",0.0270029865053636
"Raw Produce",2,101,"Chong Kaosou","Adults","a",0.925433625967508,133.054647525466,45,4.41104025872291,1.43207382970597,8,1,288453886.885678,288453886.885678,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Raw Produce","Siem Reap 101 Adults","Siem Reap 101",8.45965728375429
"Raw Produce",2,101,"Chong Kaosou","Children","c",0.79385613764411,37.1868830256034,35,4.41104025872291,1.43207382970597,8,1,50435750.3003927,50435750.3003927,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Raw Produce","Siem Reap 101 Children","Siem Reap 101",7.67726034967332
"Floodwater",6,102,"Kumruthemey (informal)","Adults","a",0.249654147626512,1.96583494565737,66,5.03065957515835,0.766101109374534,10,0.934,2041.40806409661,2041.40806409661,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Floodwater","Siem Reap 102 Adults","Siem Reap 102",0.00756728576267973
"Floodwater",6,102,"Kumruthemey (informal)","Children","c",0.312848485278104,2.77252073903432,47,5.03065957515835,0.766101109374534,10,0.972,31964.9830211807,31964.9830211807,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Floodwater","Siem Reap 102 Children","Siem Reap 102",0.223008434237429
"Raw Produce",2,102,"Kumruthemey (informal)","Adults","a",0.980125421567974,354.30633161136,66,3.40808193023053,1.01758917852632,8,0.999,1677298.95160438,1677298.95160438,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Raw Produce","Siem Reap 102 Adults","Siem Reap 102",6.21757143976522
"Raw Produce",2,102,"Kumruthemey (informal)","Children","c",0.966849088544712,295.082318729652,47,3.40808193023053,1.01758917852632,8,1,817921.825839389,817921.825839389,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Raw Produce","Siem Reap 102 Children","Siem Reap 102",5.70635265434668
"Floodwater",6,103,"Kumruthemey (formal)","Adults","a",0.0526017355032374,1.03765207586959,114,5.07835329596097,1.16115200247929,10,0.954,40483.163221632,40483.163221632,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Floodwater","Siem Reap 103 Adults","Siem Reap 103",4.60727443950436
"Floodwater",6,103,"Kumruthemey (formal)","Children","c",0.0250461197455445,0.431131456135476,84,5.07835329596097,1.16115200247929,10,0.818,670722.500369748,670722.500369748,1,"Cambodia","Siem Reap","Siem Reap 16",2016-08-01,"Floodwater","Siem Reap 103 Children","Siem Reap 103",5.82654287563022
