"","site","neighborhood","age","pathway","otherdrink","percent","dose","dominant","dominantcount","exposure","logexp"
"1","Dhaka, Bangladesh","Dhanmondi","a","bathing",NA,100,4,"No",0,1e+06,6
"2","Dhaka, Bangladesh","Dhanmondi","a","drain",NA,35,7.07,"Yes",1,411214144.228836,8.61406804435028
"3","Dhaka, Bangladesh","Dhanmondi","a","flood",NA,51,5.57,"No",0,18948296.6839558,7.27757017609794
"4","Dhaka, Bangladesh","Dhanmondi","a","latrine",NA,11,0.129,"No",0,14.8044638946154,1.17039268515823
"5","Dhaka, Bangladesh","Dhanmondi","a","produce",NA,93,6.9,"Yes",1,738725258.293582,8.86848294855394
"6","Dhaka, Bangladesh","Dhanmondi","a","surface",NA,35,3.91,"No",0,284490.680657435,5.45406804435028
"7","Dhaka, Bangladesh","Dhanmondi","a","streetfood",NA,53,7.31,"Yes",1,1082121110.67485,9.03427586960079
"8","Dhaka, Bangladesh","Dhanmondi","a","municipal",NA,97,5.5,"No",0,30674093.3036333,7.48677173426625
"9","Dhaka, Bangladesh","Dhanmondi","a","otherdrinking","otherdrinking",31,3.32,"No",0,64768.1800564752,4.81136169383427
"10","Dhaka, Bangladesh","Kalshi_Mirpure","a","bathing",NA,100,3.04,"No",0,109647.819614319,5.04
"11","Dhaka, Bangladesh","Kalshi_Mirpure","a","drain",NA,92,6.17,"Yes",1,136077971.711475,8.13378782734556
"12","Dhaka, Bangladesh","Kalshi_Mirpure","a","flood",NA,94,4.37,"No",0,2203575.08640073,6.3431278535997
"13","Dhaka, Bangladesh","Kalshi_Mirpure","a","latrine",NA,91,1.41,"No",0,2339.06016231967,3.36904139232109
"14","Dhaka, Bangladesh","Kalshi_Mirpure","a","produce",NA,92,6.4,"Yes",1,231093551.698882,8.36378782734556
"15","Dhaka, Bangladesh","Kalshi_Mirpure","a","surface",NA,49,5.9,"Yes",1,38922083.5014898,7.59019608002851
"16","Dhaka, Bangladesh","Kalshi_Mirpure","a","streetfood",NA,75,6.17,"Yes",1,110933129.112616,8.0450612633917
"17","Dhaka, Bangladesh","Kalshi_Mirpure","a","municipal",NA,79,3.85,"No",0,559277.169663469,5.74762709129044
"18","Dhaka, Bangladesh","Kalshi_Mirpure","a","otherdrinking","otherdrinking",50,5.56,"No",0,18153902.7385051,7.25897000433602
"19","Dhaka, Bangladesh","Badda","a","bathing",NA,100,1.89,"No",0,7762.47116628692,3.89
"20","Dhaka, Bangladesh","Badda","a","drain",NA,80,6.75,"Yes",1,449873060.152279,8.65308998699194
"21","Dhaka, Bangladesh","Badda","a","flood",NA,96,4.24,"No",0,1668288.7955994,6.22227123303957
"22","Dhaka, Bangladesh","Badda","a","latrine",NA,90,1.99,"No",0,8795.1349886023,3.94424250943932
"23","Dhaka, Bangladesh","Badda","a","produce",NA,86,6.91,"Yes",1,699034243.901126,8.84449845124357
"24","Dhaka, Bangladesh","Badda","a","surface",NA,70,6.96,"Yes",1,638407587.549137,8.80509804001426
"25","Dhaka, Bangladesh","Badda","a","streetfood",NA,68,5.76,"No",0,39129915.7389266,7.59250891270624
"26","Dhaka, Bangladesh","Badda","a","municipal",NA,84,4.76,"No",0,4833695.47363212,6.68427928606188
"27","Dhaka, Bangladesh","Badda","a","otherdrinking","otherdrinking",52,5.09,"No",0,6397397.60822438,6.8060033436348
"28","Dhaka, Bangladesh","Gabtoli","a","bathing",NA,100,1.36,"No",0,2290.86765276777,3.36
"29","Dhaka, Bangladesh","Gabtoli","a","drain",NA,83,6.48,"No",0,250655992.793368,8.39907809237607
"30","Dhaka, Bangladesh","Gabtoli","a","flood",NA,96,6.96,"No",0,875530405.781673,8.94227123303957
"31","Dhaka, Bangladesh","Gabtoli","a","latrine",NA,98,1.52,"No",0,3245.08499052939,3.5112260756925
"32","Dhaka, Bangladesh","Gabtoli","a","produce",NA,86,7.16,"Yes",1,1243078202.8415,9.09449845124357
"33","Dhaka, Bangladesh","Gabtoli","a","surface",NA,69,8.16,"Yes",1,9973534418.1469,9.99884909073726
"34","Dhaka, Bangladesh","Gabtoli","a","streetfood",NA,86,7.38,"Yes",1,2062996310.35676,9.31449845124357
"35","Dhaka, Bangladesh","Gabtoli","a","municipal",NA,28,3.36,"No",0,64144.2942774976,4.80715803134222
