"","site","neighborhood","age","pathway","otherdrink","percent","dose","dominant","dominantcount","exposure","logexp"
"1","Dhaka, Bangladesh","Dhanmondi","c","bathing",NA,100,3.8,"No",0,630957.344480193,5.8
"2","Dhaka, Bangladesh","Dhanmondi","c","drain",NA,31,9.44,"Yes",1,85381089803.4831,10.9313616938343
"3","Dhaka, Bangladesh","Dhanmondi","c","flood",NA,40,6.09,"No",0,49210750.8324952,7.69205999132796
"4","Dhaka, Bangladesh","Dhanmondi","c","latrine",NA,54,0.289,"No",0,105.049444407624,2.02139375982297
"5","Dhaka, Bangladesh","Dhanmondi","c","produce",NA,92,7.5,"No",0,2909295447.35491,9.46378782734556
"6","Dhaka, Bangladesh","Dhanmondi","c","surface",NA,30,4.77,"No",0,1766530.96606677,6.24712125471966
"7","Dhaka, Bangladesh","Dhanmondi","c","streetfood",NA,74,7.21,"No",0,1200139472.04561,9.07923171973098
"8","Dhaka, Bangladesh","Dhanmondi","c","municipal",NA,96,5.1,"No",0,12085683.953224,7.08227123303957
"9","Dhaka, Bangladesh","Dhanmondi","c","otherdrinking","otherdrinking",31,2.91,"No",0,25197.7460010871,4.40136169383427
"10","Dhaka, Bangladesh","Kalshi_Mirpure","c","bathing",NA,100,3.62,"No",0,416869.383470335,5.62
"11","Dhaka, Bangladesh","Kalshi_Mirpure","c","drain",NA,94,6.89,"Yes",1,729672289.63097,8.8631278535997
"12","Dhaka, Bangladesh","Kalshi_Mirpure","c","flood",NA,93,5.52,"No",0,30795194.2978809,7.48848294855393
"13","Dhaka, Bangladesh","Kalshi_Mirpure","c","latrine",NA,89,1.49,"No",0,2750.3629349371,3.43939000664491
"14","Dhaka, Bangladesh","Kalshi_Mirpure","c","produce",NA,94,4.85,"No",0,6654690.37321089,6.8231278535997
"15","Dhaka, Bangladesh","Kalshi_Mirpure","c","surface",NA,54,6.58,"Yes",1,205302274.013103,8.31239375982297
"16","Dhaka, Bangladesh","Kalshi_Mirpure","c","streetfood",NA,96,6.18,"Yes",1,145301879.849876,8.16227123303957
"17","Dhaka, Bangladesh","Kalshi_Mirpure","c","municipal",NA,77,3.36,"No",0,176396.809263118,5.24649072517248
"18","Dhaka, Bangladesh","Kalshi_Mirpure","c","otherdrinking","otherdrinking",60,5.81,"No",0,38739253.7420793,7.58815125038364
"19","Dhaka, Bangladesh","Badda","c","bathing",NA,100,2.15,"No",0,14125.3754462275,4.15
"20","Dhaka, Bangladesh","Badda","c","drain",NA,81,8.28,"Yes",1,15434231815.5023,10.1884850188786
"21","Dhaka, Bangladesh","Badda","c","flood",NA,93,5.4,"No",0,23360543.8130391,7.36848294855394
"22","Dhaka, Bangladesh","Badda","c","latrine",NA,88,1.85,"No",0,6229.92290258042,3.79448267215017
"23","Dhaka, Bangladesh","Badda","c","produce",NA,90,6.43,"No",0,242238132.353422,8.38424250943932
"24","Dhaka, Bangladesh","Badda","c","surface",NA,65,8.35,"Yes",1,14551687400.6942,10.1629133566429
"25","Dhaka, Bangladesh","Badda","c","streetfood",NA,92,5.81,"No",0,59400189.0711882,7.77378782734556
"26","Dhaka, Bangladesh","Badda","c","municipal",NA,83,4.31,"No",0,1694642.49407571,6.22907809237607
"27","Dhaka, Bangladesh","Badda","c","otherdrinking","otherdrinking",38,4.28,"No",0,724075.072826034,5.85978359661681
