col_start_dt,col_end_dt,subscriberid,simserial,deviceid,col_ward,col_neighborhood,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_sample_type,col_sample_type_fp,col_sample_type_fp/144,col_sample_type_fp/145,col_sample_type_fp/142,col_sample_type_fp/143,col_sample_type_fp/141,col_sample_type_fp/149,col_sample_type_co,col_sample_type_co/151,col_sample_type_co/159,col_sample_type_co/152,col_id,col_id_val,col_start,col_weather,col_rainyest,col_rainweek,col_rainmon,col_fpa_id,col_fpa,col_fpa/1,col_fpa/3,col_fpa/2,col_fpa/4,col_fpa/88,col_fpa_other,col_fpa1,col_fpa1/88,col_fpa1/1,col_fpa1/3,col_fpa1/2,col_fpa1/5,col_fpa1/4,col_fpa1/6,col_fpa1_other,col_pfb_id,col_fpb,col_fpb/1,col_fpb/3,col_fpb/2,col_fpb/4,col_fpb/88,col_fpb_other,col_fpc_id,col_fpc,col_fpc/1,col_fpc/3,col_fpc/2,col_fpc/88,col_fpc_other,col_fpc1,col_fpc1/88,col_fpc1/1,col_fpc1/3,col_fpc1/2,col_fpc1/5,col_fpc1/4,col_fpc1/6,col_fpc1_other,col_fpd_id,col_fpd_type,col_fpd_type_other,col_fpd_container,col_fpd_container_lid,col_fpd_id_001,col_fpd_cl_free,col_fpd_cl_total,col_fpe_id,col_fpe,col_fpe/88,col_fpe/1,col_fpe/3,col_fpe/2,col_fpe/5,col_fpe/4,col_fpe_other,col_fpe1,col_fpe1/1,col_fpe1/3,col_fpe1/2,col_fpe1/88,col_fpe1_other,col_coa_id,col_coa_floor,col_coa_floorother,col_coa_dirt,col_coa_child,col_cob_nr,col_cob_note1,col_cob_ids,col_cob,col_cob_other,col_cob1,col_cob1_other,col_cob_col2,col_cob_ids2,col_cob2,col_cob_other2,col_cob12,col_cob1_other2,col_cob_col3,col_cob_ids3,col_cob3,col_cob_other3,col_cob13,col_cob1_other3,col_animals,col_animaltype,col_animaltype/10,col_animaltype/88,col_animaltype/1,col_animaltype/3,col_animaltype/2,col_animaltype/5,col_animaltype/4,col_animaltype/7,col_animaltype/6,col_animaltype/9,col_animaltype/8,col_animalother,col_animalnr,col_close,col_notes,col_enum,col_photo,__version__,_id,_uuid,_submission_time,_index,col_cob_col4,col_cob_ids4,col_cob4,col_cob_other4,col_cob14,col_cob1_other4
2019-08-22T05:38:01Z,2019-08-26T08:01:28Z,NA,NA,352155091473740,58,1,22.5526337 88.398741 -60.70000076293945 5.0,22.5526337,88.398741,-60.70000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1035,1035,2019-08-22T05:41:00Z,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa1001,2,NA,0,0,NA,NA,COb1001,2,NA,4,NA,0,COb1002,88,Plastic,2,NA,0,COb1003,88,Concrete,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,4000,a4e9f8ec-a788-494a-856f-d05cb8cecb0d,2019-08-26T08:02:30Z,18,NA,NA,NA,NA,NA,NA
2019-08-22T06:19:05Z,2019-08-26T08:01:33Z,NA,NA,352155091473740,58,1,22.5521442 88.3998329 -58.0 5.0,22.5521442,88.3998329,-58,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1067,1067,2019-08-22T06:20:00Z,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa1002,2,NA,0,0,NA,NA,COb1004,88,Cotton Cloth,4,NA,0,COb1005,88,"Fibre, Plastic",88,DTH Disk,0,COb1006,88,Plastic,88,Toys,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Biplab Jash,1,v4b25iaRzrPMkey35XgBep,4005,2f2cbbb6-8fe6-4466-81f4-8ff60b8ddd8b,2019-08-26T08:02:37Z,22,NA,NA,NA,NA,NA,NA
2019-09-17T05:22:11Z,2019-09-17T11:05:08Z,NA,NA,352155091473740,58,1,22.5530486 88.3988539 -68.4000015258789 4.5,22.5530486,88.3988539,-68.40000153,4.5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1007,1007,2019-09-17T05:24:00Z,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa1003,2,NA,0,0,NA,NA,COb1007,88,Plastic,88,Cycle,1,COb1008,88,Linen,88,Bed Cover,1,COb1009,2,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Suvankar Mandal,Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,4299,f34f312f-d93e-4abc-9362-0ed10a088d59,2019-09-17T11:05:36Z,31,NA,NA,NA,NA,NA,NA
2019-09-17T06:03:56Z,2019-09-17T11:05:13Z,NA,NA,352155091473740,58,1,22.5521197 88.3990847 -36.900001525878906 5.0,22.5521197,88.3990847,-36.90000153,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1039,1039,2019-09-17T06:05:00Z,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa1004,2,NA,0,0,NA,NA,COb1010,2,NA,1,NA,1,COb1013,88,Linen,88,Bed Cover,0,COb1011,88,Plastic,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Biplab Jash,1,v4b25iaRzrPMkey35XgBep,4302,6f9eec19-622b-4589-8d38-9ac482908102,2019-09-17T11:05:41Z,33,COb1012,2,NA,4,NA,0
2019-11-01T07:03:04Z,2019-11-01T09:54:39Z,NA,NA,352155091473740,58,1,22.55356 88.3987232 -38.0 5.0,22.55356,88.3987232,-38,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1025,1025,2019-11-01T07:05:00Z,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa1005,2,NA,0,0,NA,NA,COb1014,2,NA,1,NA,1,COb1015,88,Linen,88,Bed Cover,1,COb1016,88,Concrete,88,Window,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Biplab Jash,1,vntmPzUZE9dnWTCy2cMMgv,4832,226d9bf6-d555-44bf-b5d0-e7d16ac8928d,2019-11-01T09:55:25Z,42,NA,NA,NA,NA,NA,NA
2019-11-08T05:14:32Z,2019-11-11T09:54:37Z,NA,NA,352155091473740,58,1,22.5521096 88.3996874 -52.20000076293945 5.0,22.5521096,88.3996874,-52.20000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1046,1046,2019-11-08T05:16:00Z,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa1006,2,NA,0,0,NA,NA,COb1017,2,NA,1,NA,1,COb1018,88,Linen,88,Bed cover,1,COb1019,1,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,0,vntmPzUZE9dnWTCy2cMMgv,5136,fdcbc62d-2f93-4b56-9e58-0ab1737a26e7,2019-11-11T09:54:48Z,51,NA,NA,NA,NA,NA,NA
2019-11-20T05:37:26Z,2019-11-20T11:31:22Z,NA,NA,352155091473740,58,1,22.5516295 88.3997269 -26.200000762939453 5.0,22.5516295,88.3997269,-26.200000760000002,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1098,1098,2019-11-20T05:39:00Z,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa1007,2,NA,0,0,NA,NA,COb1020,2,NA,88,Sitting board,1,COb1021,88,Cloth,88,Bed cover,1,COb1022,2,NA,88,Door frame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,5357,2e256200-864f-4175-bce5-c60bece7746a,2019-11-20T11:31:37Z,60,NA,NA,NA,NA,NA,NA
2020-01-15T05:42:06Z,2020-01-15T11:33:38Z,NA,NA,352155091473740,58,2,22.551699 88.3961732 -44.5 5.0,22.551699,88.3961732,-44.5,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,2011,2011,2020-01-15T05:43:00Z,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa2001,2,NA,0,0,NA,NA,COb2001,88,Linen,88,Bed Linen,1,COb2002,88,Mould/Solid Plastic,88,Walker Toy,1,COb2003,88,Hard Plastic,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7242,9dd1d46b-c734-439c-86e6-73971c426dfb,2020-01-15T11:34:12Z,69,NA,NA,NA,NA,NA,NA
2020-01-15T06:07:54Z,2020-01-15T11:33:43Z,NA,NA,352155091473740,58,2,22.5503254 88.3967612 -68.30000305175781 5.0,22.5503254,88.3967612,-68.30000305,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,2099,2099,2020-01-15T06:09:00Z,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa2002,1,NA,0,0,NA,NA,COb2004,2,NA,4,NA,1,COb2005,88,Wood & Leather Sheet,88,Small Seat,1,COb2006,88,Hard Plastic,88,Box,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Suvankar Mandal,1,vntmPzUZE9dnWTCy2cMMgv,7245,4911c504-4e6c-4ade-97f4-41d2d8d23a8b,2020-01-15T11:34:23Z,72,NA,NA,NA,NA,NA,NA
2020-02-05T05:13:24Z,2020-02-05T09:22:23Z,NA,NA,352155091473740,58,2,22.5511202 88.3963921 -84.0 5.0,22.5511202,88.3963921,-84,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,2059,2059,2020-02-05T05:15:00Z,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COa2003,2,NA,0,0,NA,NA,COb2007,88,Solid Plastic,2,NA,1,COb2008,88,Linen,88,Bed Cover,1,COb2009,88,Plastic,88,Toy,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7722,9386a515-c6c0-44b5-8e16-a478b5fe38c1,2020-02-05T09:23:02Z,81,NA,NA,NA,NA,NA,NA
