col_start_dt,col_end_dt,subscriberid,simserial,deviceid,col_ward,col_neighborhood,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_sample_type,col_sample_type_fp,col_sample_type_fp/144,col_sample_type_fp/145,col_sample_type_fp/142,col_sample_type_fp/143,col_sample_type_fp/141,col_sample_type_fp/149,col_sample_type_co,col_sample_type_co/151,col_sample_type_co/159,col_sample_type_co/152,col_id,col_id_val,col_start,col_weather,col_rainyest,col_rainweek,col_rainmon,col_fpa_id,col_fpa,col_fpa/1,col_fpa/3,col_fpa/2,col_fpa/4,col_fpa/88,col_fpa_other,col_fpa1,col_fpa1/88,col_fpa1/1,col_fpa1/3,col_fpa1/2,col_fpa1/5,col_fpa1/4,col_fpa1/6,col_fpa1_other,col_pfb_id,col_fpb,col_fpb/1,col_fpb/3,col_fpb/2,col_fpb/4,col_fpb/88,col_fpb_other,col_fpc_id,col_fpc,col_fpc/1,col_fpc/3,col_fpc/2,col_fpc/88,col_fpc_other,col_fpc1,col_fpc1/88,col_fpc1/1,col_fpc1/3,col_fpc1/2,col_fpc1/5,col_fpc1/4,col_fpc1/6,col_fpc1_other,col_fpd_id,col_fpd_type,col_fpd_type_other,col_fpd_container,col_fpd_container_lid,col_fpd_id_001,col_fpd_cl_free,col_fpd_cl_total,col_fpe_id,col_fpe,col_fpe/88,col_fpe/1,col_fpe/3,col_fpe/2,col_fpe/5,col_fpe/4,col_fpe_other,col_fpe1,col_fpe1/1,col_fpe1/3,col_fpe1/2,col_fpe1/88,col_fpe1_other,col_coa_id,col_coa_floor,col_coa_floorother,col_coa_dirt,col_coa_child,col_cob_nr,col_cob_note1,col_cob_ids,col_cob,col_cob_other,col_cob1,col_cob1_other,col_cob_col2,col_cob_ids2,col_cob2,col_cob_other2,col_cob12,col_cob1_other2,col_cob_col3,col_cob_ids3,col_cob3,col_cob_other3,col_cob13,col_cob1_other3,col_animals,col_animaltype,col_animaltype/10,col_animaltype/88,col_animaltype/1,col_animaltype/3,col_animaltype/2,col_animaltype/5,col_animaltype/4,col_animaltype/7,col_animaltype/6,col_animaltype/9,col_animaltype/8,col_animalother,col_animalnr,col_close,col_notes,col_enum,col_photo,__version__,_id,_uuid,_submission_time,_index
2019-05-01T13:18:21.525+05:30,2019-05-13T15:22:41.816+05:30,,,352155091473740,58,1,,,,,,14,143,0,0,0,1,0,0,,,,,FP1001,FP1001,2019-05-01T13:19:00.000+05:30,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,"FPC1001, FPc1002",1,1,0,0,0,,3,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Debabrata Maity,1,vGghqfaJrwMUhAWPdBqkGa,2772,516d4c0c-92a5-4503-9c10-4499c2494fbe,2019-05-13T09:52:50,1
2019-08-07T14:05:28.128+05:30,2019-08-07T15:37:40.801+05:30,,,352155091473740,58,1,,,,,,15,,,,,,,,151,1,0,0,COa9901,COa9901,2019-08-07T14:09:00.000+05:30,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COa9901,2,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Somnath Sarkar,1,vGghqfaJrwMUhAWPdBqkGa,3806,2f1cb90e-5bda-4f57-b2ff-fc41a06b021a,2019-08-08T08:28:06,2
2019-08-07T14:18:44.604+05:30,2019-08-07T15:37:54.177+05:30,,,352155091473740,58,1,,,,,,15,,,,,,,,152,0,0,1,COb9901,COb9901,2019-08-07T14:19:00.000+05:30,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,COb9901,88,Concrete,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Suvankar Mandal,1,vGghqfaJrwMUhAWPdBqkGa,3807,0dfe6641-30ca-4277-93d7-40a6c1619e5f,2019-08-08T08:28:09,3
2019-08-07T14:31:30.464+05:30,2019-08-07T15:37:46.940+05:30,,,352155091473740,58,1,,,,,,15,,,,,,,,151,1,0,0,COa9902,COa9902,2019-08-07T14:32:00.000+05:30,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COa9902,2,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Somnath Sarkar,1,vGghqfaJrwMUhAWPdBqkGa,3808,f4e8d210-664d-4ed9-b1d7-3d0d33dcacc6,2019-08-08T08:28:11,4
2019-08-07T14:35:47.388+05:30,2019-08-07T15:38:00.563+05:30,,,352155091473740,58,1,,,,,,15,,,,,,,,152,0,0,1,COb9902,COb9902,2019-08-07T14:36:00.000+05:30,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,COb9902,2,,88,Door frame,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Suvankar Mandal,0,vGghqfaJrwMUhAWPdBqkGa,3809,2ff828da-5c2d-4905-b8de-c5da0b211fa4,2019-08-08T08:28:14,5
2019-08-09T11:20:09.956+05:30,2019-08-09T14:02:58.179+05:30,,,352155091473740,58,1,,,,,,14,141,0,0,0,0,1,0,,,,,FPa9901,FPa9901,2019-08-09T11:21:00.000+05:30,1,1,,,FPa9901,1,1,0,0,0,0,,5,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,House of mapping mistri,Somnath Sarkar,1,vGghqfaJrwMUhAWPdBqkGa,3834,981af9e9-a79d-4410-901d-9bf605a70416,2019-08-09T08:34:05,6
2019-08-09T11:26:07.141+05:30,2019-08-09T14:03:10.963+05:30,,,352155091473740,58,1,,,,,,14,143,0,0,0,1,0,0,,,,,FPc9901,FPc9901,2019-08-09T11:26:00.000+05:30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPc9901,1,1,0,0,0,,3,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,HH mampi mistri,Somnath Sarkar,1,vGghqfaJrwMUhAWPdBqkGa,3835,56f6a3ca-05ce-4612-82d7-78d60744d2ec,2019-08-09T08:34:07,7
2019-08-09T11:28:56.926+05:30,2019-08-09T14:03:25.542+05:30,,,352155091473740,58,1,,,,,,14,144,1,0,0,0,0,0,,,,,FPd9901,FPd9901,2019-08-09T11:31:00.000+05:30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPd9901,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,HH mampi mistri,Suvankar Mandal,1,vGghqfaJrwMUhAWPdBqkGa,3836,716ce45b-de65-4180-96ab-07f42f630eee,2019-08-09T08:34:08,8
2019-08-09T11:35:54.088+05:30,2019-08-09T14:03:38.433+05:30,,,352155091473740,58,1,,,,,,14,145,0,1,0,0,0,0,,,,,FPe9901,FPe9901,2019-08-09T11:36:00.000+05:30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPe9901,2 4,0,0,0,1,0,1,,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,HH mampi mistri,Biplab Jash,1,vGghqfaJrwMUhAWPdBqkGa,3837,c3b400dc-9b55-4d90-a7be-c4478940c076,2019-08-09T08:34:10,9
2019-08-09T11:57:54.353+05:30,2019-08-09T14:03:19.063+05:30,,,352155091473740,58,1,,,,,,14,143,0,0,0,1,0,0,,,,,FPc9902,FPc9902,2019-08-09T11:58:00.000+05:30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPc9902,1,1,0,0,0,,3,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,House of Swati Gunin,Buddhadeb Samaddar,1,vGghqfaJrwMUhAWPdBqkGa,3838,9310f809-dc33-4d68-8c00-36640a6e6045,2019-08-09T08:34:11,10
