lab_start_dt,subscriberid,simserial,deviceid,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_received,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_da_weight,lab_pa_weight,lab_1_note,lab_1_dil_tested,lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_dil_tested,lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_closing,lab_notes,lab_enum,lab_photo,__version__,_id,_uuid,_submission_time,_index
2019/05/03 22:51:44,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/03 00:00:00,2019/05/03 23:10:45,58,1,11,NA,NA,PL1001,PL 1001,2019/05/01 21:00:00,2019/05/01 22:30:00,2019/05/01 23:10:00,2019/05/02 23:10:00,NA,NA,NA,NA,NA,4,1,2,NA,3,1,2,NA,0,NA,NA,NA,NA,NA,"30 and 3 red colonies found for 10^3 and 10^4 dilution, respectively.","1, 2 & 3",0,vGuxuKRNcJh7oUGHdmQvJP,2751,f0c43841-7f5c-4dfb-9e2f-eb150d1ada7e,2019/05/03 10:41:02,1
2019/05/13 06:56:00,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/13 00:00:00,2019/05/13 07:11:51,58,2,2,NA,NA,RP2001OLD,RP2001,2019/05/06 05:39:00,2019/05/06 07:52:00,2019/05/06 09:11:00,2019/05/07 09:10:00,116.2,NA,NA,NA,NA,7,10,3,0,7,1,3,0,1,6,1,3,0,NA,"Red colonied were TDTC for the dilution of 10 ml and 1 ml, and TNTC for 10^1 dilution","1,3",0,vGuxuKRNcJh7oUGHdmQvJP,2757,0cf1bda3-cbf5-4067-af1f-45f981d03f57,2019/05/13 08:12:04,2
2019/05/13 22:01:43,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/13 22:09:59,58,2,2,NA,NA,RP2002OLD,RP2002,2019/05/06 19:10:00,2019/05/06 21:22:00,2019/05/06 22:41:00,2019/05/07 22:40:00,171.4,NA,NA,NA,NA,7,10,3,1,7,1,3,0,1,6,10,3,0,NA,"78 RED COLONIES WERE DETECTED FOR 10^1 DILUTION, WHERE 'TNTC' FOR OTHER DILUTIONS.",3,0,vGuxuKRNcJh7oUGHdmQvJP,2761,4021bb63-c514-4a09-831a-04fdefb31fb9,2019/05/13 09:40:18,3
2019/05/13 22:10:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/13 22:24:11,58,2,8,NA,NA,SL2001OLD,SL2001,2019/05/06 17:06:00,2019/05/06 22:20:00,2019/05/06 22:41:00,2019/05/07 22:40:00,NA,NA,NA,36,NA,7,1,2,NA,6,1,2,NA,1,5,1,2,NA,NA,FOR 10^2 DILUTION 100 RED COLONIES DETECTED,3,0,vGuxuKRNcJh7oUGHdmQvJP,2774,25b509c3-c808-4db7-800e-d6647ba71ad1,2019/05/13 09:54:30,4
2019/05/13 22:24:12,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/13 22:33:37,58,2,8,NA,NA,SL2002OLD,SL2002,2019/05/06 19:15:00,2019/05/06 22:20:00,2019/05/06 22:41:00,2019/05/07 22:40:00,NA,NA,NA,40,NA,7,1,3,0,6,1,2,NA,1,5,1,2,NA,NA,"SOIL WT WAS APPROXIMATELY 40 G. RED COLONIES FOR1 ML AND 10^1 DILUTION WERE TDTC, AND FOR 10^2 IS 112.",3,0,vGuxuKRNcJh7oUGHdmQvJP,2777,35055ba9-af08-4b81-9944-7b46758d0eff,2019/05/13 10:03:56,5
2019/05/13 22:33:38,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/13 23:09:09,58,2,3,NA,NA,DWA2002OLD,DW2002,2019/05/07 18:35:00,2019/05/07 19:00:00,2019/05/07 19:30:00,2019/05/08 19:40:00,NA,NA,NA,NA,NA,7,10,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,3 RED COLONIES FOUND FOR 100 ML UNDILUTED DW SAMPLE,"1,4",0,vGuxuKRNcJh7oUGHdmQvJP,2799,da4348ad-f6f3-4b2f-be2f-5f7bf57a199f,2019/05/13 10:39:28,6
2019/05/13 23:09:09,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/13 23:14:10,58,2,9,NA,NA,BW2001OLD,BW2001,2019/05/07 18:40:00,2019/05/07 19:05:00,2019/05/07 19:30:00,2019/05/08 19:40:00,NA,NA,NA,NA,NA,7,10,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,"30 RED COLONIES DETECTED FOR 10 ML UNDILUTED SAMPLE, AND TNTC FOR 100 ML","1,4",0,vGuxuKRNcJh7oUGHdmQvJP,2800,d3e27748-51c0-4709-a5a5-2cee2c2187f3,2019/05/13 10:44:29,7
2019/05/13 23:14:10,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/13 23:18:16,58,2,5,NA,NA,SW2001OLD,SW2001old,2019/05/07 18:45:00,2019/05/07 19:10:00,2019/05/07 19:30:00,2019/05/08 19:40:00,NA,NA,NA,NA,NA,7,1,3,2,7,10,3,25,0,NA,NA,NA,NA,NA,NA,"1,4",1,vGuxuKRNcJh7oUGHdmQvJP,2801,8b7692b4-cb2c-414b-ae81-32d5642894b6,2019/05/13 10:48:35,8
2019/05/13 23:18:17,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/13 23:28:09,58,2,10,NA,NA,SF2001OLD,SF2001old,2019/05/07 21:26:00,2019/05/07 22:00:00,2019/05/07 22:10:00,2019/05/08 22:30:00,NA,120,NA,NA,NA,7,1,3,0,6,1,3,0,1,5,1,3,0,NA,SAMPLE WT WAS APPROXIMATELY 120 G. THE RED COLONIES COUNT WAS 'TNTC' FOR EACH CASE.,"1,4",0,vGuxuKRNcJh7oUGHdmQvJP,2802,7dfc5926-6ff8-493d-8ec2-3cf5f5b878a4,2019/05/13 10:58:28,9
2019/05/13 23:28:10,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/14 01:13:53,58,2,11,NA,NA,PL2002,PL2002,2019/05/08 18:20:00,2019/05/08 20:10:00,2019/05/08 20:20:00,2019/05/09 20:30:00,NA,NA,NA,NA,NA,4,1,2,NA,3,1,2,NA,0,NA,NA,NA,NA,NA,NA,"1,3",0,vGuxuKRNcJh7oUGHdmQvJP,2805,af5b0475-f8dd-4614-bdee-45d4837cb74d,2019/05/13 12:44:12,10
2019/05/14 01:13:54,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/13 00:00:00,2019/05/14 01:23:00,58,2,7,NA,NA,LS2001OLD,LS2001old,2019/05/08 18:10:00,2019/05/08 20:20:00,2019/05/08 20:20:00,2019/05/09 20:30:00,NA,NA,NA,NA,NA,7,10,2,NA,6,1,2,NA,0,NA,NA,NA,NA,NA,"RED COLONIES: TDTC FOR NO DIL 10 ML SAMPLE, AND TNTC FOR 10^1 DIL 1ML","1,3",0,vGuxuKRNcJh7oUGHdmQvJP,2806,98b2e2b9-adaf-44b9-9479-dfe764f4e48a,2019/05/13 12:53:19,11
2019/05/15 22:11:01,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/15 22:21:34,58,1,7,NA,NA,LS1001,LS1001,2019/05/01 21:00:00,2019/05/01 22:30:00,2019/05/01 23:10:00,2019/05/02 23:15:00,NA,NA,NA,NA,NA,7,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 ML UNDILUTED SAMPLE SHOWS 3 RED AND TDTC FOR BLUE AND RED COLONIES, RESPECTIVELY. WHEREAS,1 ML OF 1:10 DILUTION SHOWS NO BLUE COLONIES AND 10 RED COLONIES, RESPECTIVELY.","3,4",0,vGuxuKRNcJh7oUGHdmQvJP,2840,3e7f4fba-bf20-4eca-99dc-1f76d23b4c9b,2019/05/15 09:51:54,12
