lab_start_dt,subscriberid,simserial,deviceid,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_pcr_type,lab_pcr_type/1,lab_pcr_type/2,lab_pcr_note,lab_pcr_filename,lab_pcr_ty_note2,lab_pcr_ty_date,lab_pcr_ty_results1,lab_pcr_ty_results2,lab_pcr_ty_results3,lab_pcr_para_note2,lab_pcr_para_date,lab_pcr_para_results1,lab_pcr_para_results2,lab_pcr_para_results3,lab_closing,lab_notes,lab_enum,__version__,_id,_uuid,_submission_time,_index
2019/05/21 06:11:19,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 06:20:09,58,1,11,NA,NA,PL1001OLD,PL1001,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2869,77c887dc-eb2b-4ca0-b58e-d35dfcb3dff1,2019/05/21 07:20:24,1
2019/05/21 06:20:09,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 06:24:23,58,1,7,NA,NA,LS1001OLD,LS1001,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2870,564cbbb8-987f-4b8e-9a96-a8b400a1d9fb,2019/05/21 07:24:37,2
2019/05/21 06:24:23,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 06:28:39,57,1,12,NA,NA,MO1001OLD,MO1001,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2871,497a8c61-cff4-4e3f-96a0-0b124d5fbd69,2019/05/21 07:28:54,3
2019/05/21 06:28:39,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 06:47:01,57,1,12,NA,NA,MO1002OLD,MO1002,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,26.27,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2872,f6b5a6b7-7295-4514-844d-d7e8ceef3984,2019/05/21 07:47:16,4
2019/05/21 06:47:01,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 06:53:24,58,2,2,NA,NA,RP2001OLD,RP2001,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2873,6e30d782-b50b-4685-82d7-a3c588498488,2019/05/21 07:53:38,5
2019/05/21 06:53:24,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 06:57:22,58,2,2,NA,NA,RP2002OLD,RP2002,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2874,341eb243-6a64-4f4b-b123-89aa5a9065f5,2019/05/21 07:57:36,6
2019/05/21 06:57:22,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 07:02:44,58,2,8,NA,NA,SL2001OLD,SL2001old,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2875,3766f47f-0bfe-4686-825c-fa13079f26af,2019/05/21 08:02:59,7
2019/05/21 07:02:44,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 07:06:34,58,2,8,NA,NA,SL2002OLD,SL2002old,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2876,b9869633-52ee-4060-84e6-29ed48231654,2019/05/21 08:06:48,8
2019/05/21 07:06:34,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 07:10:42,58,2,11,NA,NA,PL2001,PL2001,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2877,b8104c86-4fd1-4e85-afdd-deae1754f653,2019/05/21 08:10:56,9
2019/05/21 08:41:28,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 08:57:22,58,2,3,NA,NA,DW2002,DW2002,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2885,5b00bdb7-a915-4b01-8acd-edd005dcd905,2019/05/21 09:57:36,10
2019/05/21 08:57:22,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 09:03:25,58,2,9,NA,NA,BW2001OLD,BW2001old,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2886,812d55d4-d644-4c96-bf10-e650d1f87971,2019/05/21 10:03:38,11
2019/05/21 09:03:25,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 09:47:54,58,2,5,NA,NA,SW2001OLD,SW2001old,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,40,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2891,e916bdca-0c2a-4dff-8470-9fb09602d04d,2019/05/21 10:48:08,12
2019/05/21 09:47:54,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/21 00:00:00,2019/05/21 09:54:12,58,2,7,NA,NA,LS2001OLD,LS2001,NULL,NA,NA,NA,ST & SPT 10.05.19,NA,2019/05/10 00:00:00,9999,9999,NA,NA,NA,9999,9999,NA,NA,NA,1,v7LUap6MY4SxDVTfKNcy2m,2892,56647d74-ef64-49e0-ba39-216202b6c505,2019/05/21 10:54:26,13
2019/11/08 19:27:08,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:03:02,66,1,12,NA,NA,MO1106,MO1106,1546387200,1,1,NA,"S.typhi 1.11.2019, s.paratyphi 1.11.2019",NA,2019/11/01 00:00:00,23.54,23.54,NA,NA,2019/11/01 00:00:00,30.45,30.47,NA,NA,NA,1,vR2ww2c5aM6KfCRDC3LGaH,5052,aa28e5e0-85ed-4b2a-bfea-50333e2ea691,2019/11/08 07:33:26,14
2019/11/08 20:03:02,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:05:23,66,1,99,NA,NA,FB1085UP,FB1085UP,1546387200,1,1,NA,"S.typhi 1.11.2019, s.paratyphi 1.11.2019",NA,2019/11/01 00:00:00,9999,9999,NA,NA,2019/11/01 00:00:00,9999,9999,NA,NA,Associated Sample MO1106,1,vR2ww2c5aM6KfCRDC3LGaH,5053,265dd718-fa9a-497d-9d69-78bd9aa7651b,2019/11/08 07:35:46,15
2019/11/08 20:05:23,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:06:42,59,1,12,NA,NA,MO1107,MO1107,1546387200,1,1,NA,"S.typhi 1.11.2019, s.paratyphi 1.11.2019",NA,2019/11/01 00:00:00,22.71,22.77,NA,NA,2019/11/01 00:00:00,34.57,34.67,NA,NA,NA,1,vR2ww2c5aM6KfCRDC3LGaH,5054,895a0dbb-dfdf-4556-be05-93913ab8c812,2019/11/08 07:37:06,16
2019/11/08 20:06:42,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:08:44,59,1,99,NA,NA,FB1086,FB1086,1546387200,1,1,NA,"S.typhi 1.11.2019, s.paratyphi 1.11.2019",NA,2019/11/01 00:00:00,36.72,9999,NA,NA,2019/11/01 00:00:00,32.76,9999,NA,NA,Associated Sample MO1107,1,vR2ww2c5aM6KfCRDC3LGaH,5055,95cc767d-980b-4b82-ac72-e433861f195b,2019/11/08 07:39:08,17
2019/11/08 20:08:44,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:09:56,59,1,99,NA,NA,FB1086UP,FB1086UP,1546387200,1,1,NA,"S.typhi 1.11.2019, s.paratyphi 1.11.2019",NA,2019/11/01 00:00:00,9999,9999,NA,NA,2019/11/01 00:00:00,9999,9999,NA,NA,Associated Sample MO1107,1,vR2ww2c5aM6KfCRDC3LGaH,5056,194433b5-604d-49fe-b386-f73a91053428,2019/11/08 07:40:19,18
2019/11/08 20:09:56,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:11:09,59,1,11,NA,NA,PLC1044,PLc1044,1546387200,1,1,NA,"S.typhi 1.11.2019, s.paratyphi 1.11.2019",NA,2019/11/01 00:00:00,9999,9999,NA,NA,2019/11/01 00:00:00,9999,9999,NA,NA,NA,1,vR2ww2c5aM6KfCRDC3LGaH,5057,1b735902-129f-4e81-91fa-686f6786801a,2019/11/08 07:41:34,19
2019/11/08 20:11:10,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:12:47,59,1,99,NA,NA,FB1087,FB1087,1546387200,1,1,NA,"S.typhi 1.11.2019, s.paratyphi 1.11.2019",NA,2019/11/01 00:00:00,9999,9999,NA,NA,2019/11/01 00:00:00,32.6,9999,NA,NA,Associated Sample PLc1044,1,vR2ww2c5aM6KfCRDC3LGaH,5058,65263c75-7ede-4d83-9226-9923387d2c97,2019/11/08 07:43:11,20
2019/11/08 20:12:48,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:16:05,59,1,99,NA,NA,FB1087UP,FB1087UP,1546387200,1,1,NA,"S.typhi 1.11.2019, s.paratyphi 1.11.2019",NA,2019/11/01 00:00:00,9999,9999,NA,NA,2019/11/01 00:00:00,9999,9999,NA,NA,Associated Sample PLc1044,1,vR2ww2c5aM6KfCRDC3LGaH,5059,62bbc413-f626-4e5e-96ec-ca3c107f6d27,2019/11/08 07:46:29,21
2019/11/08 20:16:06,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/11/08 00:00:00,2019/11/08 20:17:26,59,1,11,NA,NA,PLC1045,PLc1045,1546387200,1,1,NA,PLc1045,NA,2019/11/01 00:00:00,24.41,24.72,NA,NA,2019/11/01 00:00:00,36.88,37.22,NA,NA,NA,1,vR2ww2c5aM6KfCRDC3LGaH,5060,26a30c09-4852-4295-8a80-46c89f29f05f,2019/11/08 07:47:50,22
