sample_type,sampleid,col_start_dt,col_end_dt,subscriberid.x,simserial.x,deviceid.x,col_ward,col_sw_type,col_sw_trigger,col_sw_trigger_nr,col_fb_loc,col_id_val,col_ms_psid,col_ms_in,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_sw,col_sw_flow,col_sw_lining,col_sw_lining_other,col_ms,col_ms_water_level,col_ms_water_flow,col_ms_size,col_ms_lining,col_ms_lining_oth,col_surfw,col_surfw_flow,col_dw,col_dw_interm,col_dw_type,col_dw_type_other,col_close,col_notes,col_enum,col_photo,__version__.x,_id.x,_uuid.x,_submission_time.x,_index.x,lab_start_dt,subscriberid.y,simserial.y,deviceid.y,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type_fp,lab_sample_type_co,lab_id_val,lab_received,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_da_weight,lab_pa_weight,lab_1_note,lab_1_dil_tested,lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_dil_tested,lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_closing,lab_notes,lab_enum,lab_photo,__version__.y,_id.y,_uuid.y,_submission_time.y,_index.y,lab_1_ecoli,lab_2_ecoli,lab_3_ecoli,ec_dil1,ec_dil2,ec_dil3,ec_ecnt1,ec_ecnt2,ec_ecnt3,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,ward
11,PL1001,2019/05/01 06:57:57,2019/05/01 09:54:46,NA,NA,352155090281144,58,NA,NA,NA,NA,PL1001,NA,NA,2019/05/01 06:59:00,22.5538176 88.3973782 -45.099998474121094 5.0,22.5538176,88.3973782,-45.099998474121,5,1,0,0,1,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suvankar Mandal,1,vrMZ4a5AmacCeKoBvXPFEu,2746,3bb350e2-c45c-4d17-b451-4a88bc0d0216,2019/05/01 09:55:29,1,2019/05/03 22:51:44,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/03 00:00:00,2019/05/03 23:10:45,58,1,NA,NA,PL 1001,2019/05/01 21:00:00,2019/05/01 22:30:00,2019/05/01 23:10:00,2019/05/02 23:10:00,NA,NA,NA,NA,NA,4,1,2,NA,3,1,2,NA,0,NA,NA,NA,NA,NA,"30 and 3 red colonies found for 10^3 and 10^4 dilution, respectively.","1, 2 & 3",0,vGuxuKRNcJh7oUGHdmQvJP,2751,f0c43841-7f5c-4dfb-9e2f-eb150d1ada7e,2019/05/03 10:41:02,1,998,998,NA,0.001,1e-4,NA,998,998,NA,100,998,998,0.001,1e-4,NA,NA,200000000,58
11,PL1002,2019/05/15 06:41:37,2019/05/15 09:27:06,NA,NA,352155090281144,58,4,0,NA,NA,PL1002,NA,NA,2019/05/15 06:42:00,22.5531595 88.3984599 -19.0 5.0,22.5531595,88.3984599,-19,5,1,1,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biplab Jash,1,v5MsRynbZdYEnCwnAJAotS,2835,c27df37a-bc8a-4261-8471-4df130f9f524,2019/05/15 09:27:12,14,2019/05/24 23:21:17,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/24 00:00:00,2019/05/24 23:28:42,58,1,NA,NA,PL1002,2019/05/15 21:10:00,2019/05/15 21:45:00,2019/05/15 22:40:00,2019/05/16 22:45:00,NA,NA,NA,NA,NA,4,1,3,3,3,1,3,1,0,NA,NA,NA,NA,NA,"7 AND 2 RED COLONIES, FOR 1:1000 AND 1:10000 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2939,07020299-e218-4e0a-96ea-22d1f09e27c6,2019/05/24 10:59:04,24,3,1,NA,0.001,1e-4,NA,3,1,NA,100,3,1,0.001,1e-4,NA,NA,650000,58
11,PL1003,2019/05/22 06:13:41,2019/05/22 08:11:21,NA,NA,352155090281144,58,2,NA,NA,NA,PL1003,NA,NA,2019/05/22 06:15:00,22.5532395 88.4001653 -57.70000076293945 5.0,22.5532395,88.4001653,-57.7000007629394,5,1,0,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beside Canel,Biplab Jash,1,v5MsRynbZdYEnCwnAJAotS,2898,3e147843-8783-4502-b550-ca5f9dc98225,2019/05/22 08:11:31,19,2019/05/27 22:20:21,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/27 00:00:00,2019/05/27 22:29:23,58,1,NA,NA,PL1003,2019/05/22 21:00:00,2019/05/22 22:00:00,2019/05/22 23:05:00,2019/05/23 23:05:00,NA,NA,NA,NA,NA,3,1,3,2,2,1,3,0,1,1,1,3,0,NA,"OBSERVATION FOR RED COLONIES: 1:10000 (1 ML)-13 COLONIES, 1:100000 (1 ML)-SINGLE COLONY, 1:1000000 (1 ML)-SINGLE COLONY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2964,760e5df9-1c0a-412d-98aa-097086e3cc54,2019/05/27 09:59:44,41,2,0,0,1e-4,1e-5,1e-6,2,0,0,100,2,0,1e-4,1e-5,0,1e-6,2000000,58
11,PL1004,2019/05/27 04:36:38,2019/05/27 06:47:37,NA,NA,352155090281144,58,4,0,NA,NA,PL1004,NA,NA,2019/05/27 04:37:00,22.5529452 88.4000052 -37.5 5.0,22.5529452,88.4000052,-37.5,5,1,0,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buddhadeb Samaddar,1,v5MsRynbZdYEnCwnAJAotS,2953,e3d856a8-84f4-4b25-bbb0-80433783ae02,2019/05/27 06:47:46,21,2019/06/04 22:33:39,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/06/04 00:00:00,2019/06/05 00:04:00,58,1,NA,NA,PL1004,2019/05/27 19:31:00,2019/05/27 19:30:00,2019/05/27 22:50:00,2019/05/28 22:50:00,NA,NA,NA,NA,NA,4,1,1,NA,3,1,3,80,1,2,1,3,7,NA,"1:10^6- 1 BLUE COLONY; OBSERVATION FOR RED COLONIES: TNTC, 68, 13, 02, RESPECTIVELY.","3,4",0,vGuxuKRNcJh7oUGHdmQvJP,3075,a724aab6-0662-4bb9-8b69-fee0aa0d0c56,2019/06/04 11:34:21,49,999,80,7,0.001,1e-4,1e-5,999,80,7,100,999,80,0.001,1e-4,7,1e-5,80000000,58
11,PL1005,2019/05/29 06:38:22,2019/05/29 09:34:07,NA,NA,352155090281144,58,4,0,NA,NA,PL1005,NA,NA,2019/05/29 06:39:00,22.5529957 88.3990001 -54.5 5.0,22.5529957,88.3990001,-54.5,5,1,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somnath sarkar,1,v5MsRynbZdYEnCwnAJAotS,3004,9d30c18a-8a84-435e-a8d4-428b2695467c,2019/05/29 09:34:28,25,2019/06/05 06:10:37,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/06/05 00:00:00,2019/06/05 06:20:02,58,1,NA,NA,PL1005,2019/05/29 07:07:00,2019/05/29 08:02:00,2019/05/29 09:20:00,2019/05/30 09:20:00,NA,NA,NA,NA,NA,4,1,1,NA,3,1,3,34,1,2,1,3,7,NA,"AT 1:10^6 DIL (1ML): NO BLUE COLONY FOUND.THE OBSERVATION FOR RED COLONIES WERE TNTC, 39, 6 AND NIL, RESPECTIVELY.","3,4",0,vGuxuKRNcJh7oUGHdmQvJP,3085,0cfd0783-8781-4067-85e0-d1a8f7a1922e,2019/06/05 07:20:18,59,999,34,7,0.001,1e-4,1e-5,999,34,7,100,999,34,0.001,1e-4,7,1e-5,34000000,58
11,PL1006,2019/06/03 06:24:33,2019/06/03 07:54:35,NA,NA,352155090281144,58,4,0,NA,NA,PL1006,NA,NA,2019/06/03 06:28:00,22.5519786 88.3998715 -31.700000762939453 5.0,22.5519786,88.3998715,-31.7000007629394,5,1,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latrine beside open drain,Suvankar Mandal,1,v5MsRynbZdYEnCwnAJAotS,3038,5d32c42c-1b78-495f-a4c5-c8503fb94064,2019/06/03 07:54:56,30,2019/06/19 20:27:44,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/06/19 00:00:00,2019/06/19 20:49:46,58,1,NA,NA,PL1006,2019/06/03 18:58:00,2019/06/03 21:00:00,2019/06/04 00:00:00,2019/06/05 00:00:00,NA,NA,NA,NA,NA,4,1,3,48,3,1,3,10,1,2,1,3,0,NA,"NO BLUE COLONIES FOUND AT 10^6 DILUTION. OBSERVATION FOR RED COLONIES AT VARIOUS DILUTIONWAS 51, SMUDGE, NIL, NIL FOR 10^3, 10^4, 10^5 AND 10^6 DILUTION, RESPECTIVELY.",4,0,vGuxuKRNcJh7oUGHdmQvJP,3152,03507181-8c80-4369-8fcb-babc7ad62cd8,2019/06/19 08:20:08,62,48,10,0,0.001,1e-4,1e-5,48,10,0,100,48,10,0.001,1e-4,0,1e-5,7400000,58
11,PL1007,2019/06/10 07:01:46,2019/06/10 08:24:26,NA,NA,352155090281144,58,4,0,NA,NA,PL1007,NA,NA,2019/06/10 07:03:00,22.5539482 88.3971632 -18.600000381469727 5.0,22.5539482,88.3971632,-18.6000003814697,5,1,0,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suvankar Mondal,1,v5MsRynbZdYEnCwnAJAotS,3097,1e6f24bd-648d-45f8-bcc5-3c0b4d13c6b6,2019/06/10 08:25:05,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,58
11,PL1008,2019/06/12 06:21:23,2019/06/12 08:05:39,NA,NA,352155090281144,59,4,0,NA,NA,PL1008,NA,NA,2019/06/12 06:22:00,22.5403866 88.3746099 -19.799999237060547 4.5,22.5403866,88.3746099,-19.7999992370605,4.5,1,0,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suvankar Mandal,1,v5MsRynbZdYEnCwnAJAotS,3127,0aeaa13c-e55a-4a96-8ea0-8b47752934c0,2019/06/12 09:31:30,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,59
11,PL1009,2019/07/08 07:07:53,2019/07/08 09:31:06,NA,NA,352155090281144,58,4,0,NA,NA,PL1009,NA,NA,2019/07/08 07:08:00,22.5529024 88.3985045 -57.20000076293945 5.0,22.5529024,88.3985045,-57.2000007629394,5,1,0,1,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biplab Jash,1,v5MsRynbZdYEnCwnAJAotS,3397,f16c2ce6-49e8-4b0f-99e8-1e3046dd3dd7,2019/07/08 09:31:17,87,2019/07/10 17:49:31,subscriberid not found,simserial not found,enketo.sanipath.org:PjOHYUg3oaPOibDP,2019/07/10 00:00:00,2019/07/10 18:01:17,58,1,NA,NA,PL1009,2019/07/08 21:00:00,2019/07/08 21:15:00,2019/07/08 22:30:00,2019/07/09 22:30:00,NA,NA,NA,NA,NA,4,1,3,60,3,1,3,10,1,2,1,3,1,NA,BLUE COLONY COUNT IN 1:10^6- NIL;& RED COLONY COUNT : 1:10^3- 25; 1:10^4- 02; 1:10^5- NIL; 1:10^6- NIL.,4,0,vGuxuKRNcJh7oUGHdmQvJP,3415,ba03eed0-aa02-4915-b2aa-c2ae97f7faf6,2019/07/10 05:31:42,74,60,10,1,0.001,1e-4,1e-5,60,10,1,100,60,10,0.001,1e-4,1,1e-5,8000000,58
11,PL1010,2019/07/10 06:37:56,2019/07/10 10:59:39,NA,NA,352155090281144,59,4,0,NA,NA,PL1010,NA,NA,2019/07/10 06:38:00,22.5409115 88.3742909 -45.79999923706055 5.0,22.5409115,88.3742909,-45.7999992370605,5,1,0,1,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biplab Jash,1,v5MsRynbZdYEnCwnAJAotS,3420,e378fe1b-4cfd-4990-8c9c-2a3e34bf9fa9,2019/07/10 10:59:55,93,2019/07/12 04:40:33,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/07/12 00:00:00,2019/07/12 04:53:40,59,1,NA,NA,PL1010,2019/07/10 07:10:00,2019/07/10 08:30:00,2019/07/10 09:30:00,2019/07/11 09:30:00,NA,NA,NA,NA,NA,4,1,1,NA,3,1,3,39,1,2,1,3,4,NA,BLUE COLONY COUNT FOR DILUTION 1:10^6-NIL; & RED COLONYCOUNT-1:10^3-148; 1:10^4-20; 1:10^5-3 ; 1:10^6 - NIL; VOLUME TESTED BY 1ML.,4,0,vGuxuKRNcJh7oUGHdmQvJP,3433,93c4b0bd-55a1-4169-ba63-6ee90c0d0135,2019/07/12 05:53:59,75,999,39,4,0.001,1e-4,1e-5,999,39,4,100,999,39,0.001,1e-4,4,1e-5,39000000,59
