sample_type,sampleid,col_start_dt,col_end_dt,subscriberid.x,simserial.x,deviceid.x,col_ward,col_neighborhood,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_group,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_group,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_free,col_bw_cl_total,col_f_group,col_f_latrine_distance,col_p_group,col_p_type,col_p_type_other,col_p_num_note,col_p_num,col_dw_group,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_l_group,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_s_group,col_s_type,col_s_type_other,col_d_group,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_prompt,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_da_type,col_da_type_other,col_o_type,col_o_type_other,col_close,col_notes,col_enum,col_photo,__version__.x,_id.x,_uuid.x,_submission_time.x,_index.x,lab_start_dt,subscriberid.y,simserial.y,deviceid.y,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type_fp,lab_sample_type_co,lab_id_val,lab_received,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_da_weight,lab_pa_weight,lab_1_note,lab_1_dil_tested,lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_dil_tested,lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_closing,lab_notes,lab_enum,lab_photo,__version__.y,_id.y,_uuid.y,_submission_time.y,_index.y,lab_1_ecoli,lab_2_ecoli,lab_3_ecoli,ec_dil1,ec_dil2,ec_dil3,ec_ecnt1,ec_ecnt2,ec_ecnt3,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,neighbor
1,OD1001,2019/05/14 03:54:49,2019/05/14 10:08:36,NA,NA,352155091473740,58,1,OD1001,2019/05/14 03:55:00,22.553719 88.3973382 -39.20000076293945 4.5,22.553719,88.3973382,-39.2000007629394,4.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,NA,0,0,0,0,0,0,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,Somnath Sarkar,1,vCBEYpWiADaf9jeVAqWewv,2812,83261b34-99ce-4cf7-8bd6-00ed797d0846,2019/05/14 10:08:43,20,2019/05/16 00:26:13,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/16 00:31:49,58,1,NA,NA,OD1001,2019/05/14 18:23:00,2019/05/14 19:30:00,2019/05/14 22:40:00,2019/05/15 22:00:00,NA,NA,NA,NA,NA,4,1,3,3,3,1,3,0,0,NA,NA,NA,NA,NA,"62+ AND 25 RED COLONIES WERE DETECTED FOR 1:1000 AND 1:10000 DILUTION, RESPECTIVELY.","3,4",0,vGuxuKRNcJh7oUGHdmQvJP,2857,f4f32d3e-fed0-49db-9971-359d930c166e,2019/05/15 12:02:09,20,3,0,NA,0.001,1e-4,NA,3,0,NA,100,3,0,0.001,1e-4,NA,NA,300000,1
1,OD1002,2019/05/21 03:50:30,2019/05/21 09:10:47,NA,NA,352155091473740,58,1,OD1002,2019/05/21 03:50:00,22.5535533 88.3978297 -23.600000381469727 5.0,22.5535533,88.3978297,-23.6000003814697,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,Debabrata Maity,1,vCBEYpWiADaf9jeVAqWewv,2879,5e889c12-ab38-4e7e-ab06-c730636cf6db,2019/05/21 09:10:54,27,2019/05/24 10:48:51,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/24 00:00:00,2019/05/24 10:53:09,58,1,NA,NA,OD1002,2019/05/21 04:56:00,2019/05/21 05:30:00,2019/05/21 06:30:00,2019/05/22 09:30:00,NA,NA,NA,NA,NA,4,1,3,45,3,1,3,4,0,NA,NA,NA,NA,NA,"98 AND 46 RED COLONIES FOUND WITH 1:1000 AND 1:10000 DILUTION, RESPECTIVELY.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2948,49071ef5-f2ed-431a-8d51-75a651f8ac78,2019/05/24 11:53:24,33,45,4,NA,0.001,1e-4,NA,45,4,NA,100,45,4,0.001,1e-4,NA,NA,4500000,1
1,OD1003,2019/06/04 03:58:55,2019/06/04 10:36:57,NA,NA,352155091473740,58,1,OD1003,2019/06/04 03:59:00,22.5521335 88.399686 -47.29999923706055 5.0,22.5521335,88.399686,-47.2999992370605,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,0,0,0,0,0,0,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,Debabrata Maity,1,vCBEYpWiADaf9jeVAqWewv,3060,aaea0952-a0a4-4988-946b-8f1c16f705ac,2019/06/04 10:38:44,57,2019/06/19 22:04:55,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/06/19 00:00:00,2019/06/19 22:15:16,58,1,NA,NA,OD1003,2019/06/04 18:20:00,2019/06/04 21:30:00,2019/06/04 22:40:00,2019/06/05 22:40:00,NA,NA,NA,NA,NA,4,1,3,42,3,1,3,8,0,NA,NA,NA,NA,NA,"FOR RED COLONIES THE OBSERVATION WAS TNTC AND 116, RESPECTIVELY.",3,0,vGuxuKRNcJh7oUGHdmQvJP,3159,e304984c-d751-4cba-8b0b-ce9e1be45930,2019/06/19 09:45:38,69,42,8,NA,0.001,1e-4,NA,42,8,NA,100,42,8,0.001,1e-4,NA,NA,4200000,1
1,OD1004,2019/08/06 06:50:51,2019/08/06 09:25:57,NA,NA,352155091473740,58,1,OD1004,2019/08/06 06:51:00,22.5522829 88.3994065 -59.79999923706055 5.0,22.5522829,88.3994065,-59.7999992370605,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,NA,NA,0,1,0,0,0,1,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,Suvankar Mondal,1,vJC2q6zdixcwQpj5tcNsoV,3765,f6543dba-7a6a-4400-afc6-1d7f861c3912,2019/08/06 09:26:09,80,2019/08/08 19:40:46,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/08/08 00:00:00,2019/08/08 19:46:13,58,1,NA,NA,OD1004,2019/08/06 21:25:00,2019/08/06 22:45:00,2019/08/07 00:25:00,2019/08/08 00:25:00,NA,NA,NA,NA,NA,4,1,2,NA,3,1,3,14,0,NA,NA,NA,NA,NA,"RED COLONY(10^3=TDTC,10^4=162",3,1,vGuxuKRNcJh7oUGHdmQvJP,3778,552f632e-018a-4ebf-8b4c-477f6fadcf21,2019/08/08 07:16:44,124,998,14,NA,0.001,1e-4,NA,998,14,NA,100,998,14,0.001,1e-4,NA,NA,14000000,1
1,OD1005,2019/08/06 07:20:45,2019/08/06 09:26:04,NA,NA,352155091473740,58,1,OD1005,2019/08/06 07:21:00,22.5522215 88.3998342 -55.5 5.0,22.5522215,88.3998342,-55.5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,0,0,0,0,1,1,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,Somnath Sarkar,1,vJC2q6zdixcwQpj5tcNsoV,3767,9c98e5bd-d674-45cc-93ec-8a53866f3b38,2019/08/06 09:26:13,82,2019/08/08 19:46:14,subscriberid not found,simserial not found,enketo.sanipath.org:nPUhU2YnbXYFLT0k,2019/08/08 00:00:00,2019/08/08 19:54:27,58,1,NA,NA,OD1005,2019/08/06 21:25:00,2019/08/06 22:47:00,2019/08/07 00:00:00,2019/08/08 00:00:00,NA,NA,NA,NA,NA,4,1,2,NA,3,1,3,13,0,NA,NA,NA,NA,NA,"RED COLONY(10^3=TDTC,10^4=84",3,1,vGuxuKRNcJh7oUGHdmQvJP,3779,d0983726-2fd2-484f-8267-d49db072bb7f,2019/08/08 07:24:58,125,998,13,NA,0.001,1e-4,NA,998,13,NA,100,998,13,0.001,1e-4,NA,NA,13000000,1
1,OD1006,2019/08/26 04:21:30,2019/08/26 08:01:17,NA,NA,352155091473740,58,1,OD1006,2019/08/26 04:22:00,22.5533635 88.3988853 -50.70000076293945 5.0,22.5533635,88.3988853,-50.7000007629394,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,88,Brick,NA,0,0,0,0,1,1,0,1,6,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Suvankar Mandal,1,vUmJbr8NFmqNo58UvPQcTV,4012,9db28c92-ea49-4b96-acfc-05edc8a2adc3,2019/08/26 08:02:47,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1
2,RP1001,2019/05/21 03:36:13,2019/05/21 09:12:09,NA,NA,352155091473740,58,1,RP1001,2019/05/21 03:36:00,22.5536622 88.3977933 -49.599998474121094 5.0,22.5536622,88.3977933,-49.599998474121,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suvankar Mandal,1,vCBEYpWiADaf9jeVAqWewv,2880,12479a63-6018-4471-a84c-814779cf62bc,2019/05/21 09:12:17,28,2019/05/24 10:33:15,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/24 00:00:00,2019/05/24 10:39:43,58,1,NA,NA,RP1001,2019/05/21 04:56:00,2019/05/21 05:30:00,2019/05/21 06:30:00,2019/05/22 09:30:00,100,NA,NA,NA,NA,7,10,3,0,7,1,3,0,1,6,1,3,0,NA,"FOR RED COLONIES: TDTC FOR 10 ML UNDILUTED, TNTC FOR 1 ML UNDILUTED AND TNTC FOR 1 ML 1:10 DILUTION",4,0,vGuxuKRNcJh7oUGHdmQvJP,2946,cca697b3-4a3e-4fcd-a67f-312a8d89a6a5,2019/05/24 11:39:58,31,0,0,0,10,1,0.1,0,0,0,500,0,0,10,1,0,0.1,25,1
2,RP1002,2019/05/21 03:41:08,2019/05/21 09:13:19,NA,NA,352155091473740,58,1,RP1002,2019/05/21 03:41:00,22.5536509 88.3977911 -45.70000076293945 4.5,22.5536509,88.3977911,-45.7000007629394,4.5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somnath Sarkar,0,vCBEYpWiADaf9jeVAqWewv,2881,34415b6d-2953-4820-8e9d-34f6e189314e,2019/05/21 09:13:26,29,2019/05/24 10:39:43,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/24 00:00:00,2019/05/24 10:48:51,58,1,NA,NA,RP1002,2019/05/21 04:56:00,2019/05/21 05:30:00,2019/05/21 06:30:00,2019/05/22 09:30:00,198,NA,NA,NA,NA,7,10,3,6,7,1,3,2,1,6,1,3,0,NA,"72, 60 AND 35 RED COLONIES DETECTED FOR 10 ML (UNDILUTED), 1 ML (UNDILUTED) AND 1ML OF 1:10 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2947,10e1dbc3-ad86-496a-9885-a570b3386505,2019/05/24 11:49:06,32,6,2,0,10,1,0.1,6,2,0,500,6,2,10,1,0,0.1,650,1
2,RP1003,2019/05/27 04:04:20,2019/05/27 06:51:24,NA,NA,352155091473740,58,1,RP1003,2019/05/27 04:07:00,22.5536485 88.3980518 -54.20000076293945 5.0,22.5536485,88.3980518,-54.2000007629394,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coriander,Somnath Sarkar,1,vCBEYpWiADaf9jeVAqWewv,2955,1abe0716-2fe7-4ee0-94ef-bb7ad6366638,2019/05/27 06:52:14,38,2019/06/04 22:01:51,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/06/04 00:00:00,2019/06/04 22:26:31,58,1,NA,NA,RP1003,2019/05/27 19:20:00,2019/05/27 19:30:00,2019/05/27 22:50:00,2019/05/28 22:50:00,29.4,NA,NA,NA,NA,7,10,2,NA,7,1,2,NA,1,6,1,3,41,NA,OBSERVATION FOR RED COLONIES: TDTC FOR ALL OF THE CASES,"3,4",0,vGuxuKRNcJh7oUGHdmQvJP,3057,6999580d-39b0-4d9e-bc34-afd2b963338b,2019/06/04 09:56:52,47,998,998,41,10,1,0.1,998,998,41,500,998,998,10,1,41,0.1,205000,1
2,RP1004,2019/05/27 04:13:17,2019/05/27 06:51:40,NA,NA,352155091473740,58,1,RP1004,2019/05/27 04:13:00,22.5537083 88.3980373 -53.20000076293945 5.0,22.5537083,88.3980373,-53.2000007629394,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tamatar,Suvankar Mandal,0,vCBEYpWiADaf9jeVAqWewv,2956,4699d956-9a2f-483e-bd8d-cf7fae1fa254,2019/05/27 06:52:16,39,2019/06/04 21:00:48,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/06/04 00:00:00,2019/06/04 21:13:23,58,1,NA,NA,RP1004,2019/05/27 19:20:00,2019/05/27 19:30:00,2019/05/27 22:50:00,2019/05/28 22:50:00,57.8,NA,NA,NA,NA,7,10,3,0,7,1,3,0,1,6,1,3,0,NA,"TDTC, TNTC AND 49 NUMBER OF RED COLONIES FOUND, RESPECTIVELY.","3,4",0,vGuxuKRNcJh7oUGHdmQvJP,3055,a9d1e6f5-87a5-49a1-9f79-ceb80b1988be,2019/06/04 08:43:44,45,0,0,0,10,1,0.1,0,0,0,500,0,0,10,1,0,0.1,25,1
