lab_start_dt,subscriberid,simserial,deviceid,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_dna_yn,lab_dna_date,lab_closing,lab_notes,lab_enum,__version__,_id,_uuid,_submission_time,_index
2019-05-15T15:00:16.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019-05-15T15:01:53.000-07:00,58,1,7,NA,NA,LS1001,LS1001,1,2019-05-03T11:30:00.000-07:00,NA,NA,4,vYUAu4yKSJkdYShNqiUtiB,2837,e11eb083-aaab-4d70-9688-daa86d28028e,2019-05-15T09:32:12,1
2019-05-15T15:01:53.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019-05-15T15:06:47.000-07:00,58,2,2,NA,NA,RP2001old,RP2001old,1,2019-05-09T10:40:00.000-07:00,NA,NA,"1,4",vYUAu4yKSJkdYShNqiUtiB,2838,eb8414f6-a3ad-43b3-8612-9948f30c0f0b,2019-05-15T09:37:07,2
2019-05-15T15:06:47.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019-05-15T15:09:14.000-07:00,58,2,2,NA,NA,RP2002old,RP2002old,1,2019-05-09T10:40:00.000-07:00,NA,NA,"1,4",vYUAu4yKSJkdYShNqiUtiB,2839,65f45bfd-e8d2-4a70-bef5-4d33b82b27e2,2019-05-15T09:39:34,3
2019-05-15T15:09:14.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019-05-15T15:25:39.000-07:00,58,2,8,NA,NA,SL2001old,SL2001old,1,2019-05-09T10:40:00.000-07:00,NA,NA,"1,4",vYUAu4yKSJkdYShNqiUtiB,2845,f26d11bd-8397-4239-b609-f42fde93e0a7,2019-05-15T09:55:58,4
2019-05-15T15:25:39.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019-05-15T15:28:47.000-07:00,58,2,8,NA,NA,SL2002old,SL2002old,1,2019-05-09T10:40:00.000-07:00,NA,NA,"1,4",vYUAu4yKSJkdYShNqiUtiB,2846,4c321d0b-052e-425d-a5e3-8f4fad35da96,2019-05-15T09:59:06,5
2019-05-15T15:28:47.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019-05-15T15:40:33.000-07:00,58,2,3,NA,NA,DW2002,DW2002,1,2019-05-09T10:40:00.000-07:00,NA,NA,"1,4",vYUAu4yKSJkdYShNqiUtiB,2847,87b5c73e-6a47-48ee-8f9f-e668a77ce184,2019-05-15T10:10:52,6
2019-05-15T15:40:33.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019-05-15T15:42:27.000-07:00,58,2,9,NA,NA,BW2001old,BW2001old,1,2019-05-09T10:40:00.000-07:00,NA,NA,"1,4",vYUAu4yKSJkdYShNqiUtiB,2848,0e185f2c-eb6b-4d4f-a0ab-83bb1530c74b,2019-05-15T10:12:47,7
2019-05-15T15:42:27.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019-05-15T15:44:24.000-07:00,58,2,5,NA,NA,SW2001old,SW2001old,1,2019-05-09T10:40:00.000-07:00,NA,NA,"1,4",vYUAu4yKSJkdYShNqiUtiB,2849,36e8857d-0e86-4466-ab89-f878338be9c0,2019-05-15T10:14:43,8
2019-05-23T17:54:02.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/23 00:00:00,2019-05-23T17:56:37.000-07:00,58,2,10,NA,NA,SF2001old,SF2001old,1,2019-05-16T11:00:00.000-07:00,NA,NA,3,vYUAu4yKSJkdYShNqiUtiB,2915,1fff95c6-ca8f-413d-9a08-3260c797a245,2019-05-23T12:26:58,9
2019-05-23T17:56:37.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/23 00:00:00,2019-05-23T18:00:49.000-07:00,58,2,7,NA,NA,LS2001old,LS2001,1,2019-05-09T10:40:00.000-07:00,NA,NA,3,vYUAu4yKSJkdYShNqiUtiB,2916,eded3918-57bf-4cb4-a9f8-a485be628f17,2019-05-23T12:31:10,10
