sample_type,sampleid,col_start_dt,ec_conc,dil1,dil2,dil3,r1,r2,r3,check1,check2,check3,any_diff
11,PL1003,2019-05-22,2000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PL1021,2019-09-03,10000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PL1022,2019-09-03,4000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PL1023,2019-09-04,3000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PL1024,2020-02-12,1000000,1e-4,1e-5,NA,0.001,1e-4,1e-5,Bad,Bad,NA,Bad
11,PL1025,2020-02-12,500000,1e-4,1e-5,NA,0.001,1e-4,1e-5,Bad,Bad,NA,Bad
11,PL1032,2020-03-11,660000,0.01,0.001,1e-4,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PL1033,2020-03-11,15400000,0.01,0.001,1e-4,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1004,2019-05-23,42000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1025,2019-09-16,82000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1026,2019-09-19,22000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1027,2019-09-23,139000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1028,2019-09-26,167500000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1029,2019-09-30,13000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1030,2019-09-30,14000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1031,2019-09-30,500000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1032,2019-10-03,533333333.3333333,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1033,2019-10-03,556000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1034,2019-10-03,NA,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1035,2019-10-14,189999999.99999997,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1036,2019-10-14,500000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1037,2019-10-17,13000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1038,2019-10-17,68000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1039,2019-10-21,13000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1040,2019-10-21,110000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1041,2019-10-21,76500000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
11,PLC1042,2019-10-21,4000000,1e-4,1e-5,1e-6,0.001,1e-4,1e-5,Bad,Bad,Bad,Bad
