sample_type,sampleid,col_start_dt,ec_conc,dil1,dil2,dil3,r1,r2,r3,check1,check2,check3,any_diff
141,FPA1001,2019-08-21,80000,10,0.1,NA,0.1,0.01,0.001,Bad,Bad,NA,Bad
143,FPC1001,2019-08-21,80000,10,0.1,NA,0.1,0.01,0.001,Bad,Bad,NA,Bad
142,FPB1001,2019-08-21,5,10,0.1,NA,100,10,0.1,Bad,Bad,NA,Bad
145,FPE1001,2019-08-21,60,10,0.1,NA,100,10,0.1,Bad,Bad,NA,Bad
144,FPD1001,2019-08-21,5,10,0.1,NA,100,10,0.1,Bad,Bad,NA,Bad
152,COB1003,2019-08-22,1200,10,0.1,NA,0.1,0.01,NA,Bad,Bad,NA,Bad
151,COA1001,2019-08-22,80000,10,0.1,NA,0.1,0.01,NA,Bad,Bad,NA,Bad
152,COB1001,2019-08-22,80000,10,0.1,NA,0.1,0.01,NA,Bad,Bad,NA,Bad
152,COB1002,2019-08-22,800,10,0.1,NA,0.1,0.01,NA,Bad,Bad,NA,Bad
152,COB1006,2019-08-22,800,10,0.1,NA,0.1,0.01,NA,Bad,Bad,NA,Bad
151,COA1002,2019-08-22,80000,10,0.1,NA,0.1,0.01,NA,Bad,Bad,NA,Bad
152,COB1004,2019-08-22,800,10,0.1,NA,0.1,0.01,NA,Bad,Bad,NA,Bad
152,COB1005,2019-08-22,80000,10,0.1,NA,0.1,0.01,NA,Bad,Bad,NA,Bad
143,FPC1002,2019-09-12,3200,10,0.1,NA,0.1,0.01,0.001,Bad,Bad,NA,Bad
143,FPB1002,2019-09-12,2,10,0.1,NA,0.1,0.01,0.001,Bad,Bad,NA,Bad
145,FPE1002,2019-09-12,3000,10,0.1,NA,100,10,0.1,Bad,Bad,NA,Bad
144,FPD1002,2019-09-12,140,10,0.1,NA,100,10,0.1,Bad,Bad,NA,Bad
141,FPA1002,2019-09-12,800,10,0.1,NA,0.1,0.01,0.001,Bad,Bad,NA,Bad
145,FPE1004,2019-11-06,0.5,100,10,1,100,10,0.1,Good,Good,Bad,Bad
141,FPA1005,2019-11-15,40,1,0.01,0.001,0.1,0.01,0.001,Bad,Good,Good,Bad
