sample_type,sampleid,col_start_dt,ec_conc,dil1,dil2,dil3,r1,r2,r3,check1,check2,check3,any_diff
2,RP1011,2019-09-04,2500,0.1,0.01,NA,10,1,0.1,Bad,Bad,NA,Bad
2,RP1012,2019-09-04,1500000,0.1,0.01,NA,10,1,0.1,Bad,Bad,NA,Bad
2,RP2001,2020-01-15,25,10,0.1,0.01,10,1,0.1,Good,Bad,Bad,Bad
2,RP2002,2020-02-11,10000,10,0.1,0.01,10,1,0.1,Good,Bad,Bad,Bad
2,RP2002OLD,2019-05-06,50,10,1,1,10,1,0.1,Good,Good,Bad,Bad
2,RP2003,2020-03-03,45000,10,0.1,0.01,10,1,0.1,Good,Bad,Bad,Bad
3,DWA1004UF,2020-01-08,50000,0.001,1e-4,1e-5,100,10,NA,Bad,Bad,NA,Bad
5,SW1009,2019-09-02,5800000,0.01,0.001,NA,10,1,NA,Bad,Bad,NA,Bad
5,SW1010,2019-09-11,20000000,0.01,0.001,NA,10,1,NA,Bad,Bad,NA,Bad
5,SW2001,2020-01-22,5000,0.01,0.001,1e-4,10,1,NA,Bad,Bad,NA,Bad
5,SW2002,2020-02-18,3400,1,0.1,0.01,10,1,NA,Bad,Bad,NA,Bad
5,SW2003,2020-03-11,NA,1,0.1,0.01,10,1,NA,Bad,Bad,NA,Bad
8,SL1011,2019-08-29,100,0.01,0.001,NA,1,0.1,0.01,Bad,Bad,NA,Bad
8,SL1012,2019-09-02,100,0.01,0.001,NA,1,0.1,0.01,Bad,Bad,NA,Bad
8,SL1013,2019-09-11,3600,0.01,0.001,NA,1,0.1,0.01,Bad,Bad,NA,Bad
8,SL2001,2020-01-15,400,0.01,0.001,1e-4,1,0.1,0.01,Bad,Bad,Bad,Bad
8,SL2002,2020-01-27,1600,0.01,0.001,1e-4,1,0.1,0.01,Bad,Bad,Bad,Bad
8,SL2003,2020-02-18,840,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
8,SL2004,2020-03-11,10,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
10,SF1013,2019-09-04,19962,1,0.1,0.01,10,1,0.1,Bad,Bad,Bad,Bad
10,SF2001,2020-01-22,4725,0.1,0.01,0.001,10,1,0.1,Bad,Bad,Bad,Bad
10,SF2001OLD,2019-05-07,540,1,0.1,0.01,10,1,0.1,Bad,Bad,Bad,Bad
10,SF2002,2020-02-11,1125,0.1,0.01,0.001,10,1,0.1,Bad,Bad,Bad,Bad
10,SF2003,2020-02-25,4905,0.1,0.01,0.001,10,1,0.1,Bad,Bad,Bad,Bad
