sampleid,sample_type,col_start_dt,lab_sf_weight,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,renuka_ec,log_ec,log_renuka_ec
BW1001,9,2019/05/28 04:00:47,NA,100,0,0,100,10,NA,NA,0.5,NA,-0.3010299956639812,NA
BW2001,9,2020/01/27 07:04:08,NA,100,0,0,100,10,NA,NA,0.5,0,-0.3010299956639812,NA
BW2001OLD,9,2019/05/07 04:13:59,NA,100,0,0,100,10,NA,NA,0.5,NA,-0.3010299956639812,NA
BW2002,9,2020/03/03 04:43:14,NA,100,0,0,100,10,NA,NA,0.5,0,-0.3010299956639812,NA
BW2003,9,2020/03/11 05:08:30,NA,100,998,6,100,10,NA,NA,60,60,1.7781512503836436,1.7781512503836436
BW2004,9,2020/03/19 06:02:27,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DW2002,3,2019/05/13 03:58:25,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWA1001,3,2019/05/22 03:08:49,NA,100,0,0,100,10,NA,NA,0.5,0,-0.3010299956639812,NA
DWA1001(UF),3,2019/05/22 03:02:24,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWA1002,3,2019/05/29 03:10:01,NA,100,4,0,100,10,NA,NA,4,4,0.6020599913279624,0.6020599913279624
DWA1002(UF),3,2019/05/29 03:14:32,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWA1003,3,2019/08/26 10:43:38,NA,100,0,0,100,10,NA,NA,0.5,0,-0.3010299956639812,NA
DWA1003UF,3,2020/01/01 03:25:10,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWA1004,3,2019/09/02 03:33:05,NA,100,1,0,100,10,NA,NA,1,NA,0,NA
DWA1004UF,3,2020/01/08 03:24:07,NA,100,0,0,0.001,1e-4,0,1e-5,50000,0,4.698970004336019,NA
DWA1005UF,3,2020/01/16 03:27:04,NA,100,0,0,100,10,0,0.1,0.5,0,-0.3010299956639812,NA
DWA2001,3,2020/02/25 03:18:21,NA,100,0,0,100,10,NA,NA,0.5,0,-0.3010299956639812,NA
DWA2001OLD,3,2019/05/06 05:46:50,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWA2002,3,2020/03/19 03:32:34,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWA2002OLD,3,2019/05/07 04:02:28,NA,100,0,0,100,10,NA,NA,0.5,NA,-0.3010299956639812,NA
DWA2003,3,2019/05/15 03:59:50,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWB1001,3,2019/05/14 03:58:21,NA,100,0,0,100,10,NA,NA,0.5,0,-0.3010299956639812,NA
DWB1002,3,2019/05/21 03:24:26,NA,100,1,0,100,10,NA,NA,1,1,0,0
DWB1003,3,2019/05/28 04:08:40,NA,100,2,0,100,10,NA,NA,2,2,0.3010299956639812,0.3010299956639812
DWB1004,3,2019/06/04 03:48:24,NA,100,0,0,100,10,NA,NA,0.5,0,-0.3010299956639812,NA
DWB2001,3,2020/03/19 03:52:43,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FW1001,6,2019/08/06 07:04:44,NA,100,998,998,1,0.1,998,0.01,2000000,NA,6.301029995663981,NA
FW1002,6,2019/08/07 07:59:05,NA,100,998,998,1,0.1,81,0.01,810000,NA,5.9084850188786495,NA
FW1003,6,2019/08/08 07:40:19,NA,100,998,998,1,0.1,9,0.01,90000,90000,4.954242509439325,4.954242509439325
LS1001,7,2019/05/01 07:38:05,NA,40,NA,NA,NA,NA,NA,NA,NA,12,NA,1.0791812460476249
LS1002,7,2019/05/15 06:31:41,NA,40,1,0,10,0.1,NA,NA,4,4,0.6020599913279624,0.6020599913279624
LS1003,7,2019/05/15 06:55:18,NA,40,2,0,10,0.1,NA,NA,8,8,0.9030899869919435,0.9030899869919435
LS1004,7,2019/05/15 07:08:10,NA,40,2,0,10,0.1,NA,NA,8,8,0.9030899869919435,0.9030899869919435
LS1005,7,2019/05/22 06:41:40,NA,40,34,0,10,0.1,NA,NA,136,136,2.1335389083702174,2.1335389083702174
LS1006,7,2019/05/22 06:58:12,NA,40,2,0,10,0.1,NA,NA,8,8,0.9030899869919435,0.9030899869919435
LS1007,7,2019/05/22 07:11:23,NA,40,20,4,10,0.1,NA,NA,80,1600,1.9030899869919435,3.2041199826559246
LS1008,7,2019/05/29 06:26:14,NA,40,2,0,10,0.1,NA,NA,8,8,0.9030899869919435,0.9030899869919435
LS1009,7,2019/05/29 06:50:26,NA,40,999,3,10,0.1,NA,NA,1200,1200,3.0791812460476247,3.0791812460476247
LS1010,7,2019/09/02 07:28:41,NA,40,998,0,10,0.1,NA,NA,800,NA,2.9030899869919438,NA
LS1011,7,2019/09/02 07:51:14,NA,40,998,0,10,0.1,NA,NA,800,NA,2.9030899869919438,NA
LS1012,7,2019/09/02 08:02:50,NA,40,31,0,10,0.1,NA,NA,124,NA,2.093421685162235,NA
LS2001,7,2020/02/04 05:35:50,NA,40,0,0,10,0.1,NA,NA,2,NA,0.3010299956639812,NA
LS2001OLD,7,2019/05/08 05:14:53,NA,40,998,998,10,0.1,NA,NA,80000,NA,4.903089986991944,NA
LS2002,7,2020/03/16 06:24:27,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS2003,7,2020/03/16 06:42:10,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD1001,1,2019/05/14 03:54:49,NA,100,3,0,0.001,1e-4,NA,NA,300000,300000,5.477121254719663,5.477121254719663
OD1002,1,2019/05/21 03:50:30,NA,100,45,4,0.001,1e-4,NA,NA,4500000,4250000,6.653212513775344,6.628388930050312
OD1003,1,2019/06/04 03:58:55,NA,100,42,8,0.001,1e-4,NA,NA,4200000,6100000,6.623249290397901,6.785329835010767
OD1004,1,2019/08/06 06:50:51,NA,100,998,14,0.001,1e-4,NA,NA,14000000,14000000,7.146128035678238,7.146128035678238
OD1005,1,2019/08/06 07:20:45,NA,100,998,13,0.001,1e-4,NA,NA,13000000,13000000,7.113943352306837,7.113943352306837
OD1006,1,2019/08/26 04:21:30,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RP1001,2,2019/05/21 03:36:13,NA,500,0,0,10,1,0,0.1,25,0,1.3979400086720377,NA
RP1002,2,2019/05/21 03:41:08,NA,500,6,2,10,1,0,0.1,650,1000,2.8129133566428557,3
RP1003,2,2019/05/27 04:04:20,NA,500,998,998,10,1,41,0.1,205000,205000,5.311753861055754,5.311753861055754
RP1004,2,2019/05/27 04:13:17,NA,500,0,0,10,1,0,0.1,25,0,1.3979400086720377,NA
RP1005,2,2019/06/03 05:40:16,NA,500,998,998,10,1,8,0.1,40000,40000,4.6020599913279625,4.6020599913279625
