_index,col_start_dt,col_end_dt,subscriberid.x,simserial.x,deviceid.x,col_ward,col_neighborhood,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_sample_type,col_sample_type_fp,col_sample_type_fp/144,col_sample_type_fp/145,col_sample_type_fp/142,col_sample_type_fp/143,col_sample_type_fp/141,col_sample_type_fp/149,col_sample_type_co,col_sample_type_co/151,col_sample_type_co/159,col_sample_type_co/152,col_id,col_id_val,col_start,col_weather,col_rainyest,col_rainweek,col_rainmon,col_fpa_id,col_fpa,col_fpa/1,col_fpa/3,col_fpa/2,col_fpa/4,col_fpa/88,col_fpa_other,col_fpa1,col_fpa1/88,col_fpa1/1,col_fpa1/3,col_fpa1/2,col_fpa1/5,col_fpa1/4,col_fpa1/6,col_fpa1_other,col_pfb_id,col_fpb,col_fpb/1,col_fpb/3,col_fpb/2,col_fpb/4,col_fpb/88,col_fpb_other,col_fpc_id,col_fpc,col_fpc/1,col_fpc/3,col_fpc/2,col_fpc/88,col_fpc_other,col_fpc1,col_fpc1/88,col_fpc1/1,col_fpc1/3,col_fpc1/2,col_fpc1/5,col_fpc1/4,col_fpc1/6,col_fpc1_other,col_fpd_id,col_fpd_type,col_fpd_type_other,col_fpd_container,col_fpd_container_lid,col_fpd_id_001,col_fpd_cl_free,col_fpd_cl_total,col_fpe_id,col_fpe,col_fpe/88,col_fpe/1,col_fpe/3,col_fpe/2,col_fpe/5,col_fpe/4,col_fpe_other,col_fpe1,col_fpe1/1,col_fpe1/3,col_fpe1/2,col_fpe1/88,col_fpe1_other,col_coa_id,col_coa_floor,col_coa_floorother,col_coa_dirt,col_coa_child,col_cob_nr,col_cob_note1,col_cob_ids,col_cob,col_cob_other,col_cob1,col_cob1_other,col_cob_col2,col_cob_ids2,col_cob2,col_cob_other2,col_cob12,col_cob1_other2,col_cob_col3,col_cob_ids3,col_cob3,col_cob_other3,col_cob13,col_cob1_other3,col_animals,col_animaltype,col_animaltype/10,col_animaltype/88,col_animaltype/1,col_animaltype/3,col_animaltype/2,col_animaltype/5,col_animaltype/4,col_animaltype/7,col_animaltype/6,col_animaltype/9,col_animaltype/8,col_animalother,col_animalnr,col_close,col_notes,col_enum,col_photo,__version__.x,_id.x,_uuid.x,_submission_time.x,col_cob_col4,col_cob_ids4,col_cob4,col_cob_other4,col_cob14,col_cob1_other4,col_id_so,lab_start_dt,subscriberid.y,simserial.y,deviceid.y,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,sampleid,lab_id_val,lab_received,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_da_weight,lab_pa_weight,lab_1_note,lab_1_dil_tested,lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_dil_tested,lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_closing,lab_notes,lab_enum,lab_photo,__version__.y,_id.y,_uuid.y,_submission_time.y,_index.y,lab_1_ecoli,lab_2_ecoli,lab_3_ecoli,sample_type,ec_dil1,ec_dil2,ec_dil3,ec_ecnt1,ec_ecnt2,ec_ecnt3,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,neighbor
13,2019/08/21 06:02:55,2019/08/21 08:31:32,NA,NA,352155091473740,58,1,22.5532224 88.3984986 -57.70000076293945 5.0,22.5532224,88.3984986,-57.70000076,5,14,141,0,0,0,0,1,0,NA,NA,NA,NA,1058,1058,2019/08/21 06:07:00,1,0,1,NA,FPa1001,1 2,1,0,1,0,0,NA,5,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Suvankar Mandol,1,v4b25iaRzrPMkey35XgBep,3932,b47a24d4-db98-4b26-958d-594285054840,2019/08/21 08:31:55,NA,NA,NA,NA,NA,NA,FPA1001,2019/08/25 16:06:49,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 16:12:11,58,1,14,141,NA,FPA1001,FPa1001,2019/08/21 07:25:00,2019/08/21 08:15:00,2019/08/21 10:40:00,2019/08/22 10:40:00,NA,NA,NA,NA,NA,7,10,2,NA,6,1,2,NA,0,NA,NA,NA,NA,NA,"RED COLONY(10ml=TDTC,10^1=TDTC)",4,1,vGuxuKRNcJh7oUGHdmQvJP,3981,edf5e103-4d48-4c10-82dd-ee9bee88cd0e,2019/08/26 05:10:00,152,998,998,NA,141,10,0.1,NA,998,998,NA,40,998,998,10,0.1,NA,NA,80000,1
14,2019/08/21 06:14:01,2019/08/21 08:31:46,NA,NA,352155091473740,58,1,22.5533175 88.3984231 -42.5 4.5,22.5533175,88.3984231,-42.5,4.5,14,143,0,0,0,1,0,0,NA,NA,NA,NA,1058,1058,2019/08/21 06:15:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPc1001,1 2,1,0,1,0,NA,3 6,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Suvankar Mandol,1,v4b25iaRzrPMkey35XgBep,3933,1db53aa6-d937-4406-9a30-bd05cbbdec30,2019/08/21 08:31:56,NA,NA,NA,NA,NA,NA,FPC1001,2019/08/25 16:12:11,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 16:15:23,58,1,14,143,NA,FPC1001,FPc1001,2019/08/21 07:25:00,2019/08/21 08:15:00,2019/08/21 10:40:00,2019/08/22 10:40:00,NA,NA,NA,NA,NA,7,10,2,NA,6,1,1,NA,0,NA,NA,NA,NA,NA,"RED COLONY(10ml=TDTC,10^1=TNTC)",3,1,vGuxuKRNcJh7oUGHdmQvJP,3982,a1f7faf2-6d1f-4771-b769-89931c8eef23,2019/08/26 05:13:13,153,998,999,NA,143,10,0.1,NA,998,999,NA,40,998,999,10,0.1,NA,NA,80000,1
15,2019/08/21 06:20:38,2019/08/21 08:31:39,NA,NA,352155091473740,58,1,22.5532794 88.3984784 -56.599998474121094 4.5,22.5532794,88.3984784,-56.59999847,4.5,14,142,0,0,1,0,0,0,NA,NA,NA,NA,1058,1058,2019/08/21 06:21:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPb1001,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb (PBST),Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,3934,e02aeb9d-f43e-4e8b-8f5f-5839a48aea09,2019/08/21 08:31:58,NA,NA,NA,NA,NA,NA,FPB1001,2019/08/25 16:15:23,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 16:18:52,58,1,14,142,NA,FPB1001,FPb1001,2019/08/21 07:25:00,2019/08/21 08:40:00,2019/08/21 10:30:00,2019/08/22 10:30:00,NA,NA,NA,NA,NA,7,10,3,0,6,1,3,0,0,NA,NA,NA,NA,NA,"RED COLONY(10ml=51,10^1=12)",3,1,vGuxuKRNcJh7oUGHdmQvJP,3983,0ee1b62f-50e8-4473-9e3d-b7b38ccfce8b,2019/08/26 05:16:42,154,0,0,NA,142,10,0.1,NA,0,0,NA,100,0,0,10,0.1,NA,NA,5,1
16,2019/08/21 06:25:43,2019/08/21 08:32:03,NA,NA,352155091473740,58,1,22.5532373 88.3984423 -53.0 4.0,22.5532373,88.3984423,-53,4,14,145,0,1,0,0,0,0,NA,NA,NA,NA,1058,1058,2019/08/21 06:27:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPe1001,4 5,0,0,0,0,1,1,NA,3,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample Collected by Buddhadev (PBST),Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,3935,1f51f3e1-9bb3-4d22-a69f-7dfcff61e345,2019/08/21 08:32:00,NA,NA,NA,NA,NA,NA,FPE1001,2019/08/25 16:18:52,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 16:23:45,58,1,14,145,NA,FPE1001,FPe1001,2019/08/21 07:25:00,2019/08/21 08:50:00,2019/08/21 10:35:00,2019/08/22 10:35:00,NA,NA,NA,NA,NA,7,10,3,6,6,1,3,0,0,NA,NA,NA,NA,NA,"WITH 3 BLUE COLONY ARE SMUDGED, RED COLONY (10ml=TDTC,10^1=TNTC)",3,1,vGuxuKRNcJh7oUGHdmQvJP,3984,c047ee64-09af-4183-abb1-4daa2f98ebe0,2019/08/26 05:21:35,155,6,0,NA,145,10,0.1,NA,6,0,NA,100,6,0,10,0.1,NA,NA,60,1
17,2019/08/21 06:30:11,2019/08/21 08:31:57,NA,NA,352155091473740,58,1,22.5534442 88.3985161 -55.0 5.0,22.5534442,88.3985161,-55,5,14,144,1,0,0,0,0,0,NA,NA,NA,NA,1058,1058,2019/08/21 06:33:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPd1001,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Debabrata,Biplab Jash,1,v4b25iaRzrPMkey35XgBep,3936,310ec8da-c9fb-4945-9299-2b9753f22792,2019/08/21 08:32:01,NA,NA,NA,NA,NA,NA,FPD1001,2019/08/25 16:23:45,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 16:27:12,58,1,14,144,NA,FPD1001,FPd1001,2019/08/21 07:25:00,2019/08/21 08:45:00,2019/08/21 10:35:00,2019/08/22 10:35:00,NA,NA,NA,NA,NA,7,10,3,0,6,1,3,0,0,NA,NA,NA,NA,NA,"RED COLONY (10ml=64,10^1=9)",3,1,vGuxuKRNcJh7oUGHdmQvJP,3985,03f5f25c-6c4e-4c1c-a5c2-4cca419a0c88,2019/08/26 05:25:01,156,0,0,NA,144,10,0.1,NA,0,0,NA,100,0,0,10,0.1,NA,NA,5,1
18,2019/08/22 05:38:01,2019/08/26 08:01:28,NA,NA,352155091473740,58,1,22.5526337 88.398741 -60.70000076293945 5.0,22.5526337,88.398741,-60.70000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1035,1035,2019/08/22 05:41:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1001,2,NA,0,0,NA,NA,COB1001,2,NA,4,NA,0,COB1002,88,Plastic,2,NA,0,COB1003,88,Concrete,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,4000,a4e9f8ec-a788-494a-856f-d05cb8cecb0d,2019/08/26 08:02:30,NA,NA,NA,NA,NA,NA,NA,2019/08/25 17:08:09,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 17:13:23,58,1,15,NA,152,COB1003,COb1003,2019/08/22 07:00:00,2019/08/22 08:00:00,2019/08/22 10:20:00,2019/08/23 10:20:00,NA,NA,NA,NA,NA,7,10,2,NA,6,1,3,3,0,NA,NA,NA,NA,NA,"RED COLONY(10ml=TDTC,10^1=TNTC)",4,1,vGuxuKRNcJh7oUGHdmQvJP,3992,3c3537eb-df73-4443-84f7-198277d7347c,2019/08/26 06:11:13,163,998,3,NA,152,10,0.1,NA,998,3,NA,40,998,3,10,0.1,NA,NA,1200,1
18,2019/08/22 05:38:01,2019/08/26 08:01:28,NA,NA,352155091473740,58,1,22.5526337 88.398741 -60.70000076293945 5.0,22.5526337,88.398741,-60.70000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1035,1035,2019/08/22 05:41:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1001,2,NA,0,0,NA,NA,COB1001,2,NA,4,NA,0,COB1002,88,Plastic,2,NA,0,COB1003,88,Concrete,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,4000,a4e9f8ec-a788-494a-856f-d05cb8cecb0d,2019/08/26 08:02:30,NA,NA,NA,NA,NA,NA,NA,2019/08/25 16:37:25,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 16:48:15,58,1,15,NA,151,COA1001,COa1001,2019/08/22 07:00:00,2019/08/22 08:02:00,2019/08/22 10:30:00,2019/08/23 10:30:00,NA,NA,NA,NA,NA,7,10,2,NA,6,1,1,NA,0,NA,NA,NA,NA,NA,"RED COLONY(10ml=TDTC,10^1=TNTC)",4,1,vGuxuKRNcJh7oUGHdmQvJP,3989,5c8f8eb5-c666-4b72-973d-e37a8b2b4a51,2019/08/26 05:46:05,160,998,999,NA,151,10,0.1,NA,998,999,NA,40,998,999,10,0.1,NA,NA,80000,1
18,2019/08/22 05:38:01,2019/08/26 08:01:28,NA,NA,352155091473740,58,1,22.5526337 88.398741 -60.70000076293945 5.0,22.5526337,88.398741,-60.70000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1035,1035,2019/08/22 05:41:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1001,2,NA,0,0,NA,NA,COB1001,2,NA,4,NA,0,COB1002,88,Plastic,2,NA,0,COB1003,88,Concrete,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,4000,a4e9f8ec-a788-494a-856f-d05cb8cecb0d,2019/08/26 08:02:30,NA,NA,NA,NA,NA,NA,NA,2019/08/25 17:00:29,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 17:03:45,58,1,15,NA,152,COB1001,COb1001,2019/08/22 07:00:00,2019/08/22 08:02:00,2019/08/22 10:30:00,2019/08/23 10:30:00,NA,NA,NA,NA,NA,7,10,2,NA,6,1,1,NA,0,NA,NA,NA,NA,NA,"RED COLONY(10ml=TDTC,10^1=TNTC)",4,1,vGuxuKRNcJh7oUGHdmQvJP,3990,504d213c-9eb4-435a-83c3-76cddc5da760,2019/08/26 06:01:34,161,998,999,NA,152,10,0.1,NA,998,999,NA,40,998,999,10,0.1,NA,NA,80000,1
18,2019/08/22 05:38:01,2019/08/26 08:01:28,NA,NA,352155091473740,58,1,22.5526337 88.398741 -60.70000076293945 5.0,22.5526337,88.398741,-60.70000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1035,1035,2019/08/22 05:41:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1001,2,NA,0,0,NA,NA,COB1001,2,NA,4,NA,0,COB1002,88,Plastic,2,NA,0,COB1003,88,Concrete,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,4000,a4e9f8ec-a788-494a-856f-d05cb8cecb0d,2019/08/26 08:02:30,NA,NA,NA,NA,NA,NA,NA,2019/08/25 17:03:45,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/25 00:00:00,2019/08/25 17:08:09,58,1,15,NA,152,COB1002,COb1002,2019/08/22 07:00:00,2019/08/22 08:00:00,2019/08/22 10:20:00,2019/08/23 10:20:00,NA,NA,NA,NA,NA,7,10,2,NA,6,1,3,0,0,NA,NA,NA,NA,NA,"RED COLONY(10ml=TDTC,10^1=37)",4,1,vGuxuKRNcJh7oUGHdmQvJP,3991,729c02cd-a6aa-4b7c-a351-c08687c7ae7c,2019/08/26 06:05:58,162,998,0,NA,152,10,0.1,NA,998,0,NA,40,998,0,10,0.1,NA,NA,800,1
22,2019/08/22 06:19:05,2019/08/26 08:01:33,NA,NA,352155091473740,58,1,22.5521442 88.3998329 -58.0 5.0,22.5521442,88.3998329,-58,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1067,1067,2019/08/22 06:20:00,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1002,2,NA,0,0,NA,NA,COB1004,88,Cotton Cloth,4,NA,0,COB1005,88,"Fibre, Plastic",88,DTH Disk,0,COB1006,88,Plastic,88,Toys,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Biplab Jash,1,v4b25iaRzrPMkey35XgBep,4005,2f2cbbb6-8fe6-4466-81f4-8ff60b8ddd8b,2019/08/26 08:02:37,NA,NA,NA,NA,NA,NA,NA,2019/08/25 17:43:01,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/08/26 00:00:00,2019/08/25 17:46:05,58,1,15,NA,152,COB1006,COb1006,2019/08/22 07:00:00,2019/08/22 08:35:00,2019/08/22 10:58:00,2019/08/23 10:58:00,NA,NA,NA,NA,NA,7,10,2,NA,6,1,3,0,0,NA,NA,NA,NA,NA,"RED COLONY(10ml=TDTC,10^1=39)",4,1,vGuxuKRNcJh7oUGHdmQvJP,3997,20ff5b94-ddfe-491f-8fb2-9f79799009a9,2019/08/26 06:43:54,168,998,0,NA,152,10,0.1,NA,998,0,NA,40,998,0,10,0.1,NA,NA,800,1
