col_start_dt,col_end_dt,subscriberid,simserial,deviceid,col_ward,col_neighborhood,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_sample_type,col_sample_type_fp,col_sample_type_fp/144,col_sample_type_fp/145,col_sample_type_fp/142,col_sample_type_fp/143,col_sample_type_fp/141,col_sample_type_fp/149,col_sample_type_co,col_sample_type_co/151,col_sample_type_co/159,col_sample_type_co/152,col_id,col_id_val,col_start,col_weather,col_rainyest,col_rainweek,col_rainmon,col_fpa_id,col_fpa,col_fpa/1,col_fpa/3,col_fpa/2,col_fpa/4,col_fpa/88,col_fpa_other,col_fpa1,col_fpa1/88,col_fpa1/1,col_fpa1/3,col_fpa1/2,col_fpa1/5,col_fpa1/4,col_fpa1/6,col_fpa1_other,col_pfb_id,col_fpb,col_fpb/1,col_fpb/3,col_fpb/2,col_fpb/4,col_fpb/88,col_fpb_other,col_fpc_id,col_fpc,col_fpc/1,col_fpc/3,col_fpc/2,col_fpc/88,col_fpc_other,col_fpc1,col_fpc1/88,col_fpc1/1,col_fpc1/3,col_fpc1/2,col_fpc1/5,col_fpc1/4,col_fpc1/6,col_fpc1_other,col_fpd_id,col_fpd_type,col_fpd_type_other,col_fpd_container,col_fpd_container_lid,col_fpd_id_001,col_fpd_cl_free,col_fpd_cl_total,col_fpe_id,col_fpe,col_fpe/88,col_fpe/1,col_fpe/3,col_fpe/2,col_fpe/5,col_fpe/4,col_fpe_other,col_fpe1,col_fpe1/1,col_fpe1/3,col_fpe1/2,col_fpe1/88,col_fpe1_other,col_coa_id,col_coa_floor,col_coa_floorother,col_coa_dirt,col_coa_child,col_cob_nr,col_cob_note1,col_cob_ids,col_cob,col_cob_other,col_cob1,col_cob1_other,col_cob_col2,col_cob_ids2,col_cob2,col_cob_other2,col_cob12,col_cob1_other2,col_cob_col3,col_cob_ids3,col_cob3,col_cob_other3,col_cob13,col_cob1_other3,col_animals,col_animaltype,col_animaltype/10,col_animaltype/88,col_animaltype/1,col_animaltype/3,col_animaltype/2,col_animaltype/5,col_animaltype/4,col_animaltype/7,col_animaltype/6,col_animaltype/9,col_animaltype/8,col_animalother,col_animalnr,col_close,col_notes,col_enum,col_photo,__version__,_id,_uuid,_submission_time,_index,col_cob_col4,col_cob_ids4,col_cob4,col_cob_other4,col_cob14,col_cob1_other4,col_id_so
2019-08-22T11:08:01.152+05:30,2019-08-26T13:31:28.603+05:30,NA,NA,352155091473740,58,1,22.5526337 88.398741 -60.70000076293945 5.0,22.5526337,88.398741,-60.70000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1035,1035,2019-08-22T11:11:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1001,2,NA,0,0,NA,NA,COB1001,2,NA,4,NA,0,COB1002,88,Plastic,2,NA,0,COB1003,88,Concrete,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,4000,a4e9f8ec-a788-494a-856f-d05cb8cecb0d,2019-08-26T08:02:30,18,NA,NA,NA,NA,NA,NA,NA
2019-08-22T11:49:05.508+05:30,2019-08-26T13:31:33.618+05:30,NA,NA,352155091473740,58,1,22.5521442 88.3998329 -58.0 5.0,22.5521442,88.3998329,-58,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1067,1067,2019-08-22T11:50:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1002,2,NA,0,0,NA,NA,COB1004,88,Cotton Cloth,4,NA,0,COB1005,88,"Fibre, Plastic",88,DTH Disk,0,COB1006,88,Plastic,88,Toys,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Biplab Jash,1,v4b25iaRzrPMkey35XgBep,4005,2f2cbbb6-8fe6-4466-81f4-8ff60b8ddd8b,2019-08-26T08:02:37,22,NA,NA,NA,NA,NA,NA,NA
2019-09-17T10:52:11.305+05:30,2019-09-17T16:35:08.983+05:30,NA,NA,352155091473740,58,1,22.5530486 88.3988539 -68.4000015258789 4.5,22.5530486,88.3988539,-68.40000153,4.5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1007,1007,2019-09-17T10:54:00.000+05:30,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1003,2,NA,0,0,NA,NA,COB1007,88,Plastic,88,Cycle,1,COB1008,88,Linen,88,Bed Cover,1,COB1009,2,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Suvankar Mandal,Debabrata Maity,1,v4b25iaRzrPMkey35XgBep,4299,f34f312f-d93e-4abc-9362-0ed10a088d59,2019-09-17T11:05:36,31,NA,NA,NA,NA,NA,NA,NA
2019-09-17T11:33:56.236+05:30,2019-09-17T16:35:13.947+05:30,NA,NA,352155091473740,58,1,22.5521197 88.3990847 -36.900001525878906 5.0,22.5521197,88.3990847,-36.90000153,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1039,1039,2019-09-17T11:35:00.000+05:30,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1004,2,NA,0,0,NA,NA,COB1010,2,NA,1,NA,1,COB1013,88,Linen,88,Bed Cover,0,COB1011,88,Plastic,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Biplab Jash,1,v4b25iaRzrPMkey35XgBep,4302,6f9eec19-622b-4589-8d38-9ac482908102,2019-09-17T11:05:41,33,NA,COB1012,2,NA,4,NA,NA
2019-11-01T12:33:04.578+05:30,2019-11-01T15:24:39.561+05:30,NA,NA,352155091473740,58,1,22.55356 88.3987232 -38.0 5.0,22.55356,88.3987232,-38,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1025,1025,2019-11-01T12:35:00.000+05:30,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1005,2,NA,0,0,NA,NA,COB1014,2,NA,1,NA,1,COB1015,88,Linen,88,Bed Cover,1,COB1016,88,Concrete,88,Window,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Biplab Jash,1,vntmPzUZE9dnWTCy2cMMgv,4832,226d9bf6-d555-44bf-b5d0-e7d16ac8928d,2019-11-01T09:55:25,42,NA,NA,NA,NA,NA,NA,NA
2019-11-08T10:44:32.931+05:30,2019-11-11T15:24:37.264+05:30,NA,NA,352155091473740,58,1,22.5521096 88.3996874 -52.20000076293945 5.0,22.5521096,88.3996874,-52.20000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1046,1046,2019-11-08T10:46:00.000+05:30,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1006,2,NA,0,0,NA,NA,COB1017,2,NA,1,NA,1,COB1018,88,Linen,88,Bed cover,1,COB1019,1,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,0,vntmPzUZE9dnWTCy2cMMgv,5136,fdcbc62d-2f93-4b56-9e58-0ab1737a26e7,2019-11-11T09:54:48,51,NA,NA,NA,NA,NA,NA,NA
2019-11-20T11:07:26.837+05:30,2019-11-20T17:01:22.554+05:30,NA,NA,352155091473740,58,1,22.5516295 88.3997269 -26.200000762939453 5.0,22.5516295,88.3997269,-26.20000076,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,1098,1098,2019-11-20T11:09:00.000+05:30,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA1007,2,NA,0,0,NA,NA,COB1020,2,NA,88,Sitting board,1,COB1021,88,Cloth,88,Bed cover,1,COB1022,2,NA,88,Door frame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,5357,2e256200-864f-4175-bce5-c60bece7746a,2019-11-20T11:31:37,60,NA,NA,NA,NA,NA,NA,NA
2020-01-15T11:12:06.142+05:30,2020-01-15T17:03:38.765+05:30,NA,NA,352155091473740,58,2,22.551699 88.3961732 -44.5 5.0,22.551699,88.3961732,-44.5,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,2011,2011,2020-01-15T11:13:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA2001,2,NA,0,0,NA,NA,COB2001,88,Linen,88,Bed Linen,1,COB2002,88,Mould/Solid Plastic,88,Walker Toy,1,COB2003,88,Hard Plastic,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7242,9dd1d46b-c734-439c-86e6-73971c426dfb,2020-01-15T11:34:12,69,NA,NA,NA,NA,NA,NA,NA
2020-01-15T11:37:54.770+05:30,2020-01-15T17:03:43.597+05:30,NA,NA,352155091473740,58,2,22.5503254 88.3967612 -68.30000305175781 5.0,22.5503254,88.3967612,-68.30000305,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,2099,2099,2020-01-15T11:39:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA2002,1,NA,0,0,NA,NA,COB2004,2,NA,4,NA,1,COB2005,88,Wood & Leather Sheet,88,Small Seat,1,COB2006,88,Hard Plastic,88,Box,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Buddhadeb Samaddar,Suvankar Mandal,1,vntmPzUZE9dnWTCy2cMMgv,7245,4911c504-4e6c-4ade-97f4-41d2d8d23a8b,2020-01-15T11:34:23,72,NA,NA,NA,NA,NA,NA,NA
2020-02-05T10:43:24.972+05:30,2020-02-05T14:52:23.498+05:30,NA,NA,352155091473740,58,2,22.5511202 88.3963921 -84.0 5.0,22.5511202,88.3963921,-84,5,15,NA,NA,NA,NA,NA,NA,NA,151,1,0,0,2059,2059,2020-02-05T10:45:00.000+05:30,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA2003,2,NA,0,0,NA,NA,COB2007,88,Solid Plastic,2,NA,1,COB2008,88,Linen,88,Bed Cover,1,COB2009,88,Plastic,88,Toy,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample collected by Somnath Sarkar,Debabrata Maity,1,vntmPzUZE9dnWTCy2cMMgv,7722,9386a515-c6c0-44b5-8e16-a478b5fe38c1,2020-02-05T09:23:02,81,NA,NA,NA,NA,NA,NA,NA
