lab_start_dt,subscriberid,simserial,deviceid,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_sw_type,lab_wg5_note,lab_1_wg5_note,lab_1_wg5_dil_tested,lab_1_wg5_volume,lab_1_wg5_plaque_reading_mst,lab_1_wg5_plaque_mst,lab_2_wg5_dil_tested,lab_2_wg5_volume,lab_2_wg5_plaque_reading_mst,lab_2_wg5_plaque_mst,lab_3_wg5_dilution_performed,lab_3_wg5_dil_tested,lab_3_wg5_volume,lab_3_wg5_plaque_reading_mst,lab_3_wg5_plaque_mst,lab_gb124_note,lab_1_gb124_note,lab_1_gb124_dil_tested,lab_1_gb124_volume,lab_1_gb124_plaque_reading_mst,lab_1_gb124_plaque_mst,lab_2_gb124_dil_tested,lab_2_gb124_volume,lab_2_gb124_plaque_reading_mst,lab_2_gb124_plaque_mst,lab_3_gb124_dilution_performed,lab_3_gb124_dil_tested,lab_3_gb124_volume,lab_3_gb124_plaque_reading_mst,lab_3_gb124_plaque_mst,lab_enrichment,lab_enr_inc_placed,lab_enr_inc_removed,lab_wg5_enr_note,lab_1_wg5_enr_enr_note,lab_1_wg5_enr_dil_tested,lab_1_wg5_enr_volume,lab_1_wg5_enr_plaque_reading_mst,lab_1_wg5_enr_plaque_mst,lab_2_wg5_enr_dil_tested,lab_2_wg5_enr_volume,lab_2_wg5_enr_plaque_reading_mst,lab_2_wg5_enr_plaque_mst,lab_3_wg5_enr_dilution_performed,lab_3_wg5_enr_dil_tested,lab_3_wg5_enr_volume,lab_3_wg5_enr_plaque_reading_mst,lab_3_wg5_enr_plaque_mst,lab_gb124_enr_enr_note,lab_1_gb124_enr_note,lab_1_gb124_enr_dil_tested,lab_1_gb124_enr_volume,lab_1_gb124_enr_plaque_reading_mst,lab_1_gb124_enr_plaque_mst,lab_2_gb124_enr_dil_tested,lab_2_gb124_enr_volume,lab_2_gb124_enr_plaque_reading_mst,lab_2_gb124_enr_plaque_mst,lab_3_gb124_enr_dilution_performed,lab_3_gb124_enr_dil_tested,lab_3_gb124_enr_volume,lab_3_gb124_enr_plaque_reading_mst,lab_3_gb124_enr_plaque_mst,lab_closing,lab_notes,lab_enum,lab_photo,__version__,_id,_uuid,_submission_time,_index
2019-05-15T12:34:59.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T12:46:49.000-07:00,58,2,2,NA,NA,RP2001old,RP2001,2019-05-07T15:08:00.000-07:00,2019-05-07T15:15:00.000-07:00,2019-05-08T12:00:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,1,2019-05-07T15:25:00.000-07:00,2019-05-08T15:30:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,CONTAMINATION FOUND FOR WG5,"1,2,3",0,vzLptgfwYgZks8EPQLoK9p,2820,fe2386aa-3142-4129-82cf-eeff97467d19,2019-05-15T07:17:09,1
2019-05-15T12:46:49.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T12:57:32.000-07:00,58,2,2,NA,NA,RP2002old,RP2002,2019-05-07T13:08:00.000-07:00,2019-05-07T15:15:00.000-07:00,2019-05-08T12:00:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,1,2019-05-07T15:25:00.000-07:00,2019-05-08T15:30:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,WG5 PLATES WERE CONTAMONATED,"1,2,3,4",0,vzLptgfwYgZks8EPQLoK9p,2821,c0e8819f-dc39-4e8f-a003-7369f9a2c5cd,2019-05-15T07:27:53,2
2019-05-15T12:57:33.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T13:06:54.000-07:00,58,2,8,NA,NA,SL2001old,SL2001,2019-05-07T15:15:00.000-07:00,2019-05-07T15:20:00.000-07:00,2019-05-08T15:30:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,1,2019-05-07T15:25:00.000-07:00,2019-05-08T15:10:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,NA,"1,2,3,4",0,vzLptgfwYgZks8EPQLoK9p,2822,09411abe-44ed-4c30-92fc-fc2bfe0dfcbe,2019-05-15T07:37:15,3
2019-05-15T13:06:55.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T13:13:50.000-07:00,58,2,8,NA,NA,SL2002old,SL2002,2019-05-07T15:15:00.000-07:00,2019-05-07T15:20:00.000-07:00,2019-05-08T15:30:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,1,2019-05-07T15:25:00.000-07:00,2019-05-08T15:10:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,WG5 PLATES WERE CONTAMINATED,"1,2,3,4",0,vzLptgfwYgZks8EPQLoK9p,2823,38680afc-fedc-40e2-a424-4e158bebb190,2019-05-15T07:44:12,4
2019-05-15T13:13:51.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T13:21:51.000-07:00,58,2,3,NA,NA,DW2002,DW2002,2019-05-08T15:00:00.000-07:00,2019-05-08T15:15:00.000-07:00,2019-05-09T15:00:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,1,2019-05-08T15:20:00.000-07:00,2019-05-09T14:00:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,WG5 PLATES WERE CONTAMINATED,"1,2,3,4",0,vzLptgfwYgZks8EPQLoK9p,2824,e9a22277-9e79-4eb9-bc4e-aa1cf5eb3646,2019-05-15T07:52:12,5
2019-05-15T13:21:52.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T13:27:56.000-07:00,58,2,9,NA,NA,BW2001old,BW2001,2019-05-08T15:00:00.000-07:00,2019-05-08T15:15:00.000-07:00,2019-05-09T15:00:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,1,2019-05-08T15:30:00.000-07:00,2019-05-09T14:00:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,WG5 PLATES WERE CONTAMINATED,"1,2,3,4",0,vzLptgfwYgZks8EPQLoK9p,2825,e7ee9fd4-5e5a-4378-828d-a00b9f0c4620,2019-05-15T07:58:18,6
2019-05-15T13:27:57.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T13:36:01.000-07:00,58,2,5,NA,NA,SW2001old,SW2001old,2019-05-08T15:00:00.000-07:00,2019-05-08T15:15:00.000-07:00,2019-05-09T15:00:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,1,7,1000,3,0,1,7,100,3,0,1,2019-05-08T15:30:00.000-07:00,2019-05-09T14:00:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,10,7,1000,3,1,1,7,100,3,0,NA,NA,"1,2,3,4",0,vzLptgfwYgZks8EPQLoK9p,2826,22a8b324-be7f-4bf7-9ef5-561b5e4bdf62,2019-05-15T08:06:22,7
2019-05-15T14:29:02.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T14:40:17.000-07:00,58,2,10,NA,NA,SF2001old,SF2001old,2019-05-08T15:00:00.000-07:00,2019-05-08T15:15:00.000-07:00,2019-05-09T14:00:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,19,7,1000,3,4,1,7,100,3,1,1,2019-05-08T15:30:00.000-07:00,2019-05-09T14:00:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,1,NA,7,1000,1,NA,1,7,100,1,NA,NA,NA,"1,2,3,4",0,vzLptgfwYgZks8EPQLoK9p,2827,3ccaadd5-c82a-4ae8-8e15-84bcbf3f1949,2019-05-15T09:10:37,8
2019-05-15T14:40:17.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T14:54:08.000-07:00,58,2,7,NA,NA,LS2001old,LS2001,2019-05-08T15:00:00.000-07:00,2019-05-08T15:15:00.000-07:00,2019-05-09T14:00:00.000-07:00,NA,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,1,2019-05-08T15:30:00.000-07:00,2019-05-09T14:00:00.000-07:00,NA,NA,7,1000,2,NA,7,100,2,NA,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,NA,"1,2,3,4",0,vzLptgfwYgZks8EPQLoK9p,2832,1ecf1f8b-dceb-4f0c-bee7-8b6f03087553,2019-05-15T09:24:29,9
2019-05-15T14:54:09.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-15T14:57:58.000-07:00,58,1,7,NA,NA,LS1001,LS1001,2019-05-02T15:00:00.000-07:00,2019-05-02T16:50:00.000-07:00,2019-05-03T16:30:00.000-07:00,NA,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3",0,vzLptgfwYgZks8EPQLoK9p,2836,72b7d783-d8be-4e8b-87ff-a523d0a0be52,2019-05-15T09:28:19,10
2019-05-23T10:08:31.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-23T10:53:56.000-07:00,58,2,2,NA,NA,RP2002-R,RP2002-R,2019-05-16T16:30:00.000-07:00,2019-05-16T17:30:00.000-07:00,2019-05-17T17:30:00.000-07:00,NA,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,0,NA,NA,NA,NA,1,2019-05-15T15:00:00.000-07:00,2019-05-16T16:00:00.000-07:00,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,0,NA,NA,NA,NA,NA,"""R"" denoting repeat testing; Repeat test in response to contamination seen on 08.05.19. Since the portal not allows submitting data only for WG5, a value with GB124 has also been added to make possible the submission. But no need to consider GB124 data mentioned here, since the detail findings with GB124 are already submitted previously.","2,3",0,vzLptgfwYgZks8EPQLoK9p,2906,5b683956-04c1-40e0-a2b7-4525b8a6cae9,2019-05-23T05:24:18,11
2019-05-23T10:53:56.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-23T11:01:43.000-07:00,58,2,2,NA,NA,RP2001-R,RP2001-R,2019-05-16T16:30:00.000-07:00,2019-05-16T17:30:00.000-07:00,2019-05-17T17:30:00.000-07:00,NA,NA,NA,7,1000,3,31,7,100,3,1,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,0,NA,NA,NA,NA,1,2019-05-15T15:00:00.000-07:00,2019-05-16T16:00:00.000-07:00,NA,NA,7,1000,3,42,7,100,3,5,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,0,NA,NA,NA,NA,NA,"""R"" denoting repeat testing; Repeat test in response to contamination seen on 08.05.19. Since the portal not allows submitting data only for WG5, a value with GB124 has also been added to make possible the submission. But no need to consider GB124 data mentioned here, since the detail findings with GB124 are already submitted previously.","2,3",0,vzLptgfwYgZks8EPQLoK9p,2907,eedc54bc-7ee4-46da-98f3-505e30fda0c2,2019-05-23T05:32:06,12
