lab_start_dt,subscriberid,simserial,deviceid,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubatorms_placed,lab_incubatorms_removed,lab_pcr_date,lab_dna_done,lab_dna_date,lab_closing,lab_notes,lab_enum,__version__,_id,_uuid,_submission_time,_index
2019-05-03T16:25:22.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-03T16:37:32.000-07:00,58,1,11,PL 1001,PL 1001,2019-05-01T14:00:00.000-07:00,2019-05-01T16:45:00.000-07:00,2019-05-02T10:30:00.000-07:00,2019-05-02T11:00:00.000-07:00,1,2019-05-03,NA,"2 filter papers were used for  20 ml (10 ml for each filter paer) of the sample, Lab operator was Soma.",4,vGc6odWsEe7XY6syZVhXZd,2752,63ad127b-2cba-4a21-9ebd-4779f1c3cfa1,2019-05-03T11:07:49,1
2019-05-03T16:37:33.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-03T16:50:09.000-07:00,57,1,12,MO 1001,MO 1001,2019-05-02T15:00:00.000-07:00,2019-05-02T16:32:00.000-07:00,2019-05-03T10:00:00.000-07:00,2019-05-03T10:30:00.000-07:00,1,2019-05-03,NA,NA,4,vGc6odWsEe7XY6syZVhXZd,2753,2e062fea-6634-477d-9039-5b4613184348,2019-05-03T11:20:25,2
2019-05-03T16:50:09.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-03T16:58:01.000-07:00,57,1,12,MO 1002,MO 1002,2019-05-02T15:15:00.000-07:00,2019-05-02T16:32:00.000-07:00,2019-05-03T10:00:00.000-07:00,2019-05-03T10:30:00.000-07:00,1,2019-05-03,NA,NA,"1, 4",vGc6odWsEe7XY6syZVhXZd,2754,6ece2b8c-3759-4a94-aeac-bd9d2a3ff718,2019-05-03T11:28:17,3
2019-05-13T15:35:24.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-13T15:41:53.000-07:00,58,2,11,PL2001,PL2001,2019-05-06T14:00:00.000-07:00,2019-05-06T16:00:00.000-07:00,2019-05-07T16:15:00.000-07:00,2019-05-07T16:35:00.000-07:00,1,2019-05-08,NA,NA,"1,4",vGc6odWsEe7XY6syZVhXZd,2782,21147b6c-c5bb-4467-97b7-1858f8fe59a6,2019-05-13T10:12:10,4
2019-05-13T15:41:53.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-13T15:52:22.000-07:00,57,1,12,MO1003,MO1003,2019-05-07T13:40:00.000-07:00,2019-05-07T16:10:00.000-07:00,2019-05-08T16:15:00.000-07:00,2019-05-08T17:00:00.000-07:00,0,NULL,NA,NA,"1,4",vGc6odWsEe7XY6syZVhXZd,2790,48002394-0ac7-4dd5-98ee-fe8ceb7bfd7a,2019-05-13T10:22:40,5
2019-05-13T15:52:22.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-13T16:02:44.000-07:00,57,1,12,MO1004,MO1004,2019-05-07T13:40:00.000-07:00,2019-05-07T16:10:00.000-07:00,2019-05-08T16:15:00.000-07:00,2019-05-08T17:00:00.000-07:00,0,NULL,NA,NA,"1,4",vGc6odWsEe7XY6syZVhXZd,2795,0c82d6b8-59da-4006-a589-a624d2748b1d,2019-05-13T10:33:03,6
2019-05-13T16:02:45.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-13T16:41:19.000-07:00,58,2,11,PL2002,PL2002,2019-05-08T12:45:00.000-07:00,2019-05-08T13:15:00.000-07:00,2019-05-09T13:20:00.000-07:00,2019-05-09T14:10:00.000-07:00,1,2019-05-09,NA,NA,"3, 4",vGc6odWsEe7XY6syZVhXZd,2803,9a91d389-af80-4a29-9ea9-6fd2c58dd5c4,2019-05-13T11:11:38,7
2019-05-13T16:41:19.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-13T16:49:22.000-07:00,58,2,10,SF2001old,SF2001old,2019-05-07T15:00:00.000-07:00,2019-05-07T16:10:00.000-07:00,2019-05-08T16:25:00.000-07:00,2019-05-08T17:00:00.000-07:00,1,2019-05-09,NA,NA,3,vGc6odWsEe7XY6syZVhXZd,2804,5fe47ec9-ef53-4175-a596-58c10220faff,2019-05-13T11:19:41,8
2019-05-13T16:49:22.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-13T18:30:24.000-07:00,57,1,12,MO1005,MO1005,2019-05-09T15:45:00.000-07:00,2019-05-09T16:00:00.000-07:00,2019-05-10T11:00:00.000-07:00,2019-05-10T12:30:00.000-07:00,0,NULL,NA,NA,1,vGc6odWsEe7XY6syZVhXZd,2807,c27eb880-76b2-47d8-bd34-336647315879,2019-05-13T13:00:42,9
2019-05-13T18:30:24.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-05-13T18:34:12.000-07:00,57,1,12,MO1006,MO1006,2019-05-09T15:40:00.000-07:00,2019-05-09T16:00:00.000-07:00,2019-05-10T11:00:00.000-07:00,2019-05-10T12:30:00.000-07:00,0,NULL,NA,NA,"1,3",vGc6odWsEe7XY6syZVhXZd,2808,e3d30f2a-9304-4c10-8fec-1041e5bc4140,2019-05-13T13:04:30,10
2019-06-26T15:14:45.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019-06-26T15:19:38.000+06:30,58,2,11,PL2003,PL2003,2019-05-13T15:30:00.000+06:30,2019-05-13T16:00:00.000+06:30,2019-05-14T14:00:00.000+06:30,2019-05-14T14:20:00.000+06:30,1,2019-05-16,NA,NA,4,vGc6odWsEe7XY6syZVhXZd,3285,d948f04e-0374-4f07-a4fb-84fef2d8a97d,2019-06-26T09:49:55,11
2019-06-26T15:19:38.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019-06-26T15:26:10.000+06:30,57,1,12,MO1008,MO1008,2019-05-14T15:50:00.000+06:30,2019-05-14T16:50:00.000+06:30,2019-05-15T14:30:00.000+06:30,2019-05-15T16:00:00.000+06:30,1,2019-05-16,NA,NA,3,vGc6odWsEe7XY6syZVhXZd,3286,1061f04b-411c-4d0b-8766-3ced3d538b13,2019-06-26T09:56:27,12
2019-06-26T15:30:01.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-06-26T15:37:06.000-07:00,58,1,10,SF1005,SF1005,2019-05-28T15:00:00.000-07:00,2019-05-28T15:45:00.000-07:00,2019-05-29T15:45:00.000-07:00,2019-06-29T16:30:00.000-07:00,1,2019-06-12,NA,NA,1,vGc6odWsEe7XY6syZVhXZd,3287,e2b4d731-479d-490b-9726-82d9eca820e6,2019-06-26T10:07:27,13
2019-06-26T15:37:06.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-06-26T15:43:01.000-07:00,58,1,11,PL1007,PL1007,2019-06-10T15:00:00.000-07:00,2019-06-10T17:00:00.000-07:00,2019-06-11T17:00:00.000-07:00,2019-06-11T17:45:00.000-07:00,1,2019-06-18,NA,NA,4,vGc6odWsEe7XY6syZVhXZd,3288,ed403144-cabc-498f-8ae0-63892831a9b5,2019-06-26T10:13:22,14
2019-06-26T15:43:01.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019-06-26T15:50:46.000-07:00,59,1,11,PLc1007,PLc1007,2019-06-10T12:00:00.000-07:00,2019-06-10T17:00:00.000-07:00,2019-06-11T17:00:00.000-07:00,2019-06-11T17:45:00.000-07:00,1,2019-06-18,NA,NA,4,vGc6odWsEe7XY6syZVhXZd,3289,7e70dd56-43a6-4829-a105-6d79fb7df5bc,2019-06-26T10:21:07,15
