id,id_fix,date,_index,form
BW2001,BW2001old,2019-05-07,7,2.1
DWa2002,DWa2002old,2019-05-07,8,2.1
DWa2001,DWa2001old,2019-05-06,9,2.1
SW2001,SW2001old,2019-05-07,11,2.1
SL2003,SL2003old,2019-05-13,15,2.1
FB1002,FB1002a,2019-06-03,55,2.1
UF1003,UF1001,2019-08-19,152,2.4
FB1058,FB1085,2019-10-24,247,2.4
SL2003,SL2003old,2019-05-13,15,3.1
NEGATIVECONTROL,NEGATIVECONTROLold,2019-05-22,42,3.1
FB1075,FB1076,2019-10-17,287,3.1
FB1080,FB1081,2019-10-21,298,3.1
NCEC68,NCEC68a,2019-12-05,534,3.1
LS2001,LS2001old,2019-05-08,9,3.2
SL2003,SL2003old,2019-05-16,22,3.2
SF1002,SF1002a,2019-05-16,28,3.2
SF1002,SF1002b,2019-05-16,41,3.2
SF1001,SF1001a,2019-05-16,51,3.2
SF1001,SF1001b,2019-05-16,52,3.2
SF1002,SF1002c,2019-05-16,53,3.2
SW1004,SW1004a,2019-06-05,72,3.2
SF1008,SF1008a,2019-06-05,73,3.2
FPe1001,FPe1001a,2019-08-21,100,3.2
DWa1003,DWa1003old,2019-08-27,112,3.2
SL1001,SL1001a,2019-10-24,199,3.2
SL1001,SL1001b,2019-10-30,201,3.2
SL1001,SL1001c,2019-11-01,202,3.2
B124-21,B124-21a,2019-11-01,203,3.2
SL1001,SL1001d,2019-11-05,219,3.2
B124-21,B124-21b,2019-11-05,220,3.2
SL1001,SL1001e,2019-11-07,239,3.2
B124-21,B124-21c,2019-11-07,240,3.2
SL1001,SL1001f,2019-11-15,263,3.2
B124-21,B124-21d,2019-11-15,264,3.2
SL1001,SL1001g,2019-11-19,272,3.2
B124-21,B124-21e,2019-11-19,273,3.2
SL1001,SL1001h,2019-11-22,286,3.2
B124-21,B124-21f,2019-11-22,287,3.2
B124-21,B124-21g,2019-11-27,298,3.2
SL1001,SL1001i,2019-11-27,299,3.2
SL1001,SL1001j,2019-11-29,307,3.2
B124-21,B124-21h,2019-11-29,308,3.2
SL1001,SL1001k,2019-12-04,315,3.2
