deviceid,h_start_dt,h_end_dt,h_today,h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_c5,h_s,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dw_e_wt_note,h_dw_e_wt,h_dw_e_wt_other,h_bw,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_p,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_da,h_da_a,h_da_a_other,h_da_c,h_da_c_other,h_l,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_od,h_pl_a_od/1,h_pl_a_od/3,h_pl_a_od/2,h_pl_a_od/5,h_pl_a_od/4,h_pl_a_od/7,h_pl_a_od/6,h_pl_a_od_other,h_end,hh_end,hh_time_end,h_notes,h_enum,__version__,_id,_uuid,_submission_time,_index
352155092215793,,,,1005,2019-05-01T12:29:00.000+05:30,22.5527499 88.3996818 -26.799999237060547 5.0,22.5527499,88.3996818,-26.799999237060547,5.0,1,2,1,6,1,0,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,2,,2,,,3,,3,,1,,,3,,1,,,3,,3,,,4,,4,,,1,,1,,1,,2,,2,0,0,1,0,0,0,0,,,1,2019-05-01 12:29:37,Participants said that  open drains and flooding is a very big problem.Source of Drinking water is corporation water tank and source of bathing water is tap water...,"10,11,12",vRXyDmVVcN2wnD2b8R7La7,2737,ee2228c0-3bf1-47c5-9dc3-7b4174eeb118,2019-05-01T09:22:00,1
352155090263209,,,,1010,2019-05-01T12:09:00.000+05:30,22.5516821 88.3996779 -59.099998474121094 7.0,22.5516821,88.3996779,-59.099998474121094,7.0,1,1,1,4,1,0,,4,,4,,,1,,4,,,1,,1,,,1,,1,,,2,,,1,,2,,,3,,3,,1,,,3,,3,,,3,,3,,,2,,2,,,2,,,,,,,,1,1,0,0,0,0,0,0,,,1,2019-05-01 11:39:51,,17,vRXyDmVVcN2wnD2b8R7La7,2742,8c17ac10-7a03-4b72-afe8-f82b3cdf935e,2019-05-01T09:26:44,2
352155090263209,,,,1011,2019-05-01T12:30:00.000+05:30,22.5517097 88.3994744 -57.599998474121094 5.0,22.5517097,88.3994744,-57.599998474121094,5.0,1,1,1,4,1,0,,4,,4,,,1,,1,,,2,,2,,,1,,1,,,2,,,2,,1,,,2,,2,,1,,,3,,3,,,3,,3,,,2,,2,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-01 12:29:55,16,16,vRXyDmVVcN2wnD2b8R7La7,2743,7f8bc37b-2fb3-40cb-b5fe-64e1613154ec,2019-05-01T09:26:46,3
352155092292842,,,,1001,2019-05-01T11:59:00.000+05:30,22.5537213 88.3977918 -61.599998474121094 5.0,22.5537213,88.3977918,-61.599998474121094,5.0,1,1,0,5,1,1,,4,,4,,,4,,1,,,4,,4,,,1,,1,,,2,,,2,,1,,,3,,2,,1,,,3,,3,,,4,,4,,,4,,4,,,1,,1,,1,,2,,2,0,0,1,0,0,0,0,,,1,2019-05-01 11:59:04,Only one child under 5 years.,"07,08,09.",vRXyDmVVcN2wnD2b8R7La7,2733,36e96554-32ef-4dc8-8ecf-1cc74d6f8cfd,2019-05-01T09:17:43,4
352155092292842,,,,1002,2019-05-01T12:26:00.000+05:30,22.553563 88.3980115 -46.20000076293945 5.0,22.553563,88.3980115,-46.20000076293945,5.0,1,1,0,6,1,0,,4,,4,,,4,,4,,,4,,4,,,1,,1,,,2,,,1,,1,,,1,,3,,1,,,1,,3,,,1,,1,,,4,,4,,,1,,1,,1,,2,,2,0,0,1,0,0,0,0,,,1,2019-05-01 12:26:30,,107 108 109,vRXyDmVVcN2wnD2b8R7La7,2734,5562c060-c06c-4400-91bf-92b04ac2aabb,2019-05-01T09:17:45,5
352155092292842,,,,1003,2019-05-01T12:48:00.000+05:30,22.5531684 88.3982302 -53.70000076293945 4.5,22.5531684,88.3982302,-53.70000076293945,4.5,1,1,1,7,1,1,,4,,3,,,1,,1,,,1,,1,,,1,,1,,,2,,,2,,1,,,3,,1,,1,,,3,,3,,,4,,3,,,4,,4,,,1,,1,,1,,1,,2,0,0,1,0,0,0,0,,,1,2019-05-01 12:47:05,Only one under 5 years child available.,"07,08,09.",vRXyDmVVcN2wnD2b8R7La7,2735,14c010d1-cdb3-4acc-86e9-d1b30f953813,2019-05-01T09:17:47,6
352155092215793,,,,1004,2019-05-01T12:13:00.000+05:30,22.5532728 88.4003121 -39.099998474121094 10.0,22.5532728,88.4003121,-39.099998474121094,10.0,1,1,1,4,1,0,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,1,,3,,,3,,3,,1,,,1,,1,,,3,,3,,,1,,1,,,2,,,,,,,,2,0,0,1,0,0,0,0,,,1,2019-05-01 12:13:39,Very close to open drain,"10,11,12",vRXyDmVVcN2wnD2b8R7La7,2736,703fb730-9721-459a-bc79-57c3485f96a2,2019-05-01T09:21:58,7
352155092215793,,,,1006,2019-05-01T12:49:00.000+05:30,22.5530791 88.4001656 -39.20000076293945 5.0,22.5530791,88.4001656,-39.20000076293945,5.0,1,1,1,4,1,0,,4,,4,,,1,,1,,,4,,4,,,1,,1,,,2,,,2,,2,,,3,,3,,1,,,3,,3,,,4,,4,,,1,,1,,,2,,,,,,,,2,0,0,1,0,0,0,0,,,1,2019-05-01 12:48:56,"Very close to open drain and cross every day for work.
Source of Drinking water  is corporation water tank  and bathing water is from tap.","10,11,12",vRXyDmVVcN2wnD2b8R7La7,2738,58a3667f-2341-44d2-aa4d-4b963906d9fc,2019-05-01T09:22:02,8
352155092270731,,,,1007,2019-05-01T12:29:00.000+05:30,22.5530194 88.3990144 -52.79999923706055 4.0,22.5530194,88.3990144,-52.79999923706055,4.0,1,1,1,4,1,1,,4,,4,,,3,,1,,,1,,1,,,1,,1,,,2,,,2,,1,,,4,,4,,1,,,3,,4,,,3,,3,,,2,,4,,,2,,,,,,,,2,0,0,1,0,0,0,0,,,1,2019-05-01 12:27:49,"When children were ill, they dedicated in front of the room.","13,14,15",vRXyDmVVcN2wnD2b8R7La7,2739,2c765d38-460e-4d56-ba8c-a92ad8ae8c9d,2019-05-01T09:24:55,9
352155092270731,,,,1008,2019-05-01T12:51:00.000+05:30,22.5525473 88.3989741 -52.599998474121094 5.0,22.5525473,88.3989741,-52.599998474121094,5.0,1,1,0,5,1,0,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,1,,2,,,3,,4,,1,,,1,,1,,,4,,3,,,1,,1,,,2,,,,,,,,2 4,0,0,1,0,1,0,0,,,1,2019-05-01 12:50:32,The latrine is shared by 5 households,"13,14,15",vaEKcNoT2z7XGotPoZPWz4,2740,9ec15b4a-68eb-45f1-9a05-6c75b4d516a8,2019-05-01T09:24:57,10
