"city","sample_type","pop","sum","a3","a2","a1","a0"
"Accra","Open Drains","Adults",1686,0.148279952550415,0.131079478054567,0.270462633451957,0.45017793594306
"Atlanta","Open Drains","Adults",0,,,,
"Dhaka","Open Drains","Adults",1829,0.4215418261345,0.143247676325861,0.147621651175506,0.287588846364133
"Kampala","Open Drains","Adults",764,0.204188481675393,0.109947643979058,0.179319371727749,0.506544502617801
"Kumasi","Open Drains","Adults",1005,0.411940298507463,0.146268656716418,0.206965174129353,0.234825870646766
"Lusaka","Open Drains","Adults",201,0.109452736318408,0.0447761194029851,0.119402985074627,0.72636815920398
"Maputo","Open Drains","Adults",129,0.10077519379845,0.0542635658914729,0.0775193798449612,0.767441860465116
"Siem Reap","Open Drains","Adults",403,0.032258064516129,0.0148883374689826,0.208436724565757,0.744416873449132
"Vellore","Open Drains","Adults",396,0.0606060606060606,0.103535353535354,0.373737373737374,0.462121212121212
"Accra","Raw Produce","Adults",1822,0.313940724478595,0.261800219538968,0.359495060373216,0.0647639956092206
"Atlanta","Raw Produce","Adults",22,0.363636363636364,0.181818181818182,0.454545454545455,0
"Dhaka","Raw Produce","Adults",1802,0.236403995560488,0.251387347391787,0.385682574916759,0.126526082130966
"Kampala","Raw Produce","Adults",715,0.0979020979020979,0.152447552447552,0.4,0.34965034965035
"Kumasi","Raw Produce","Adults",1027,0.441090555014606,0.175267770204479,0.254138266796495,0.129503407984421
"Lusaka","Raw Produce","Adults",212,0.235849056603774,0.089622641509434,0.325471698113208,0.349056603773585
"Maputo","Raw Produce","Adults",133,0.0150375939849624,0.0451127819548872,0.902255639097744,0.037593984962406
"Siem Reap","Raw Produce","Adults",410,0.0048780487804878,0.0804878048780488,0.880487804878049,0.0341463414634146
"Vellore","Raw Produce","Adults",408,0.122549019607843,0.115196078431373,0.286764705882353,0.475490196078431
"Accra","Drinking Water (DW)","Adults",1773,0.258319232938522,0.144952058657642,0.194585448392555,0.40214326001128
"Atlanta","Drinking Water (DW)","Adults",22,0.363636363636364,0.181818181818182,0.272727272727273,0.181818181818182
"Dhaka","Drinking Water (DW)","Adults",1915,0.702349869451697,0.0720626631853786,0.0360313315926893,0.189556135770235
"Kampala","Drinking Water (DW)","Adults",728,0.519230769230769,0.0343406593406593,0.0370879120879121,0.409340659340659
"Kumasi","Drinking Water (DW)","Adults",1014,0.71301775147929,0.108481262327416,0.0779092702169625,0.100591715976331
"Lusaka","Drinking Water (DW)","Adults",234,0.846153846153846,0.0299145299145299,0.00854700854700855,0.115384615384615
"Maputo","Drinking Water (DW)","Adults",131,0.977099236641221,0.00763358778625954,0.00763358778625954,0.00763358778625954
"Siem Reap","Drinking Water (DW)","Adults",0,,,,
"Vellore","Drinking Water (DW)","Adults",450,0.753333333333333,0.0644444444444444,0.0622222222222222,0.12
"Accra","DW, other","Adults",0,,,,
"Atlanta","DW, other","Adults",0,,,,
"Dhaka","DW, other","Adults",3508,0.121721778791334,0.0575826681870011,0.0763968072976055,0.244298745724059
"Kampala","DW, other","Adults",1446,0.134854771784232,0.0110650069156293,0.0235131396957123,0.330567081604426
"Kumasi","DW, other","Adults",0,,,,
"Lusaka","DW, other","Adults",0,,,,
"Maputo","DW, other","Adults",0,,,,
"Siem Reap","DW, other","Adults",820,0.496341463414634,0,0.00365853658536585,0
