"citylabel","sample_type","pop","sum","a3","a2","a1","a0"
"Vellore 14","Open Drains","Adults",396,0.0606060606060606,0.103535353535354,0.373737373737374,0.462121212121212
"Maputo 15","Open Drains","Adults",0,,,,
"Accra 16","Open Drains","Adults",1253,0.154828411811652,0.136472466081405,0.260175578611333,0.448523543495611
"Maputo 16","Open Drains","Adults",129,0.10077519379845,0.0542635658914729,0.0775193798449612,0.767441860465116
"Siem Reap 16","Open Drains","Adults",403,0.032258064516129,0.0148883374689826,0.208436724565757,0.744416873449132
"Atlanta 16","Open Drains","Adults",0,,,,
"Dhaka 17","Open Drains","Adults",1829,0.4215418261345,0.143247676325861,0.147621651175506,0.287588846364133
"Lusaka 18","Open Drains","Adults",201,0.109452736318408,0.0447761194029851,0.119402985074627,0.72636815920398
"Accra 18","Open Drains","Adults",433,0.12933025404157,0.115473441108545,0.300230946882217,0.454965357967667
"Kumasi 18","Open Drains","Adults",1005,0.411940298507463,0.146268656716418,0.206965174129353,0.234825870646766
"Kampala 18","Open Drains","Adults",764,0.204188481675393,0.109947643979058,0.179319371727749,0.506544502617801
"Vellore 14","Raw Produce","Adults",408,0.122549019607843,0.115196078431373,0.286764705882353,0.475490196078431
"Maputo 15","Raw Produce","Adults",0,,,,
"Accra 16","Raw Produce","Adults",1382,0.301013024602026,0.26917510853835,0.375542691751085,0.0542691751085383
"Maputo 16","Raw Produce","Adults",133,0.0150375939849624,0.0451127819548872,0.902255639097744,0.037593984962406
"Siem Reap 16","Raw Produce","Adults",410,0.0048780487804878,0.0804878048780488,0.880487804878049,0.0341463414634146
"Atlanta 16","Raw Produce","Adults",22,0.363636363636364,0.181818181818182,0.454545454545455,0
"Dhaka 17","Raw Produce","Adults",1802,0.236403995560488,0.251387347391787,0.385682574916759,0.126526082130966
"Lusaka 18","Raw Produce","Adults",212,0.235849056603774,0.089622641509434,0.325471698113208,0.349056603773585
"Accra 18","Raw Produce","Adults",440,0.354545454545455,0.238636363636364,0.309090909090909,0.0977272727272727
"Kumasi 18","Raw Produce","Adults",1027,0.441090555014606,0.175267770204479,0.254138266796495,0.129503407984421
"Kampala 18","Raw Produce","Adults",715,0.0979020979020979,0.152447552447552,0.4,0.34965034965035
"Vellore 14","Drinking Water (DW)","Adults",450,0.753333333333333,0.0644444444444444,0.0622222222222222,0.12
"Maputo 15","Drinking Water (DW)","Adults",0,,,,
"Accra 16","Drinking Water (DW)","Adults",1337,0.2490650710546,0.128646222887061,0.209424083769634,0.412864622288706
"Maputo 16","Drinking Water (DW)","Adults",131,0.977099236641221,0.00763358778625954,0.00763358778625954,0.00763358778625954
"Siem Reap 16","Drinking Water (DW)","Adults",0,,,,
"Atlanta 16","Drinking Water (DW)","Adults",22,0.363636363636364,0.181818181818182,0.272727272727273,0.181818181818182
"Dhaka 17","Drinking Water (DW)","Adults",1915,0.702349869451697,0.0720626631853786,0.0360313315926893,0.189556135770235
"Lusaka 18","Drinking Water (DW)","Adults",234,0.846153846153846,0.0299145299145299,0.00854700854700855,0.115384615384615
"Accra 18","Drinking Water (DW)","Adults",436,0.286697247706422,0.194954128440367,0.149082568807339,0.369266055045872
"Kumasi 18","Drinking Water (DW)","Adults",1014,0.71301775147929,0.108481262327416,0.0779092702169625,0.100591715976331
