"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","ec_conc"
"11_02_1001",11,"2014-03-07",2,"","1001",TRUE,"1",1101,4000
"11_02_1018",11,"2014-03-04",2,"","1018",TRUE,"1",1101,9500
"11_02_1019",11,"2014-03-05",2,"","1019",TRUE,"1",1101,3750
"11_02_1020",11,"2014-03-05",2,"","1020",TRUE,"1",1101,90000
"11_02_1021",11,"2014-03-06",2,"","1021",TRUE,"1",1101,7500
"11_02_1030",11,"2014-03-12",2,"","1030",TRUE,"1",1101,175000
"11_02_1032",11,"2014-03-11",2,"","1032",TRUE,"1",1101,82500
"11_02_1043",11,"2014-03-14",2,"","1043",TRUE,"1",1101,1e+06
"11_02_1044",11,"2014-03-14",2,"","1044",TRUE,"1",1101,500
"11_02_1045",11,"2014-03-14",2,"","1045",TRUE,"1",1101,250
"11_02_1047",11,"2014-03-18",2,"","1047",TRUE,"2",1102,6000
"11_02_1048",11,"2014-03-20",2,"","1048",TRUE,"2",1102,35750
"11_02_1049",11,"2014-03-21",2,"","1049",TRUE,"2",1102,6500
"11_02_1050",11,"2014-03-21",2,"","1050",TRUE,"2",1102,1e+06
"11_02_1051",11,"2014-03-21",2,"","1051",TRUE,"2",1102,8500
"11_02_1093",11,"2014-03-24",2,"","1093",TRUE,"2",1102,4250
"11_02_1094",11,"2014-03-24",2,"","1094",TRUE,"2",1102,500
"11_02_1095",11,"2014-03-26",2,"","1095",TRUE,"2",1102,12500
"11_02_1096",11,"2014-03-26",2,"","1096",TRUE,"2",1102,950000
"11_02_1097",11,"2014-03-26",2,"","1097",TRUE,"2",1102,500
"11_03_1023",11,"2014-03-05",3,"","1023",TRUE,"1",1101,0.5
"11_03_1024",11,"2014-03-05",3,"","1024",TRUE,"1",1101,0.5
"11_03_1033",11,"2014-03-11",3,"","1033",TRUE,"1",1101,0.5
"11_03_1034",11,"2014-03-19",3,"","1034",TRUE,"1",1101,100
"11_03_1066",11,"2014-03-24",3,"","1066",TRUE,"2",1102,0.5
"11_03_1067",11,"2014-03-27",3,"","1067",TRUE,"1",1101,0.5
"11_03_1068",11,"2014-03-24",3,"","1068",TRUE,"1",1101,0.5
"11_03_1069",11,"2014-03-27",3,"","1069",TRUE,"1",1101,0.5
"11_03_1070",11,"2014-03-27",3,"","1070",TRUE,"1",1101,0.5
"11_03_1071",11,"2014-03-27",3,"","1071",TRUE,"1",1101,0.5
"11_03_1072",11,"2014-03-25",3,"","1072",TRUE,"2",1102,0.5
"11_03_1073",11,"2014-03-25",3,"","1073",TRUE,"2",1102,200
"11_03_1074",11,"2014-03-26",3,"","1074",TRUE,"2",1102,0.5
"11_03_1075",11,"2014-03-26",3,"","1075",TRUE,"2",1102,0.5
"11_03_1076",11,"2014-03-26",3,"","1076",TRUE,"2",1102,
"11_03_1077",11,"2014-03-26",3,"","1077",TRUE,"2",1102,
"11_03_1078",11,"2014-03-26",3,"","1078",TRUE,"2",1102,0.5
"11_03_1079",11,"2014-03-26",3,"","1079",TRUE,"2",1102,0.5
"11_03_1085",11,"2014-03-26",3,"","1085",TRUE,"2",1102,0.5
"11_03_1089",11,"2014-03-26",3,"","1089",TRUE,"2",1102,0.5
"11_03_1105",11,"2014-04-02",3,"","1105",TRUE,"1",1101,
"11_03_1106",11,"2014-04-02",3,"","1106",TRUE,"1",1101,
"11_07_1009",11,"2014-03-07",7,"","1009",TRUE,"1",1101,910
"11_07_1010",11,"2014-03-07",7,"","1010",TRUE,"1",1101,8.4
"11_07_1011",11,"2014-03-07",7,"","1011",TRUE,"1",1101,1.4
"11_07_1012",11,"2014-03-07",7,"","1012",TRUE,"1",1101,1190
"11_07_1013",11,"2014-03-07",7,"","1013",TRUE,"1",1101,1.4
"11_07_1014",11,"2014-03-07",7,"","1014",TRUE,"1",1101,224
"11_07_1015",11,"2014-03-07",7,"","1015",TRUE,"1",1101,2800
