sample_type_name,sample_id,neighb_id,neighborhood,age,pop,p,r,n.response,mu,sigma,n.sample,exposure,dose,popDose,deployment_id,country,city,citylabel,date,pathway,neighb_pop,neighb_pop_label,perDose
Floodwater,6,101,Chong Kaosou,Adults,a,0.082308622,1.703768669,45,4.914053006,0.967850314,10,0.985,15064.01855,15064.01855,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 101 Adults,Siem Reap 101,0.000441791
Floodwater,6,101,Chong Kaosou,Children,c,0.122052677,2.597429264,35,4.914053006,0.967850314,10,0.998,177396.0792,177396.0792,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 101 Children,Siem Reap 101,0.027002987
Raw Produce,2,101,Chong Kaosou,Adults,a,0.925433626,133.0546475,45,4.411040259,1.43207383,8,1,288453886.9,288453886.9,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Raw Produce,Siem Reap 101 Adults,Siem Reap 101,8.459657284
Raw Produce,2,101,Chong Kaosou,Children,c,0.793856138,37.18688303,35,4.411040259,1.43207383,8,1,50435750.3,50435750.3,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Raw Produce,Siem Reap 101 Children,Siem Reap 101,7.67726035
Floodwater,6,102,Kumruthemey (informal),Adults,a,0.249654148,1.965834946,66,5.030659575,0.766101109,10,0.934,2041.408064,2041.408064,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 102 Adults,Siem Reap 102,0.007567286
Floodwater,6,102,Kumruthemey (informal),Children,c,0.312848485,2.772520739,47,5.030659575,0.766101109,10,0.972,31964.98302,31964.98302,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 102 Children,Siem Reap 102,0.223008434
Raw Produce,2,102,Kumruthemey (informal),Adults,a,0.980125422,354.3063316,66,3.40808193,1.017589179,8,0.999,1677298.952,1677298.952,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Raw Produce,Siem Reap 102 Adults,Siem Reap 102,6.21757144
Raw Produce,2,102,Kumruthemey (informal),Children,c,0.966849089,295.0823187,47,3.40808193,1.017589179,8,1,817921.8258,817921.8258,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Raw Produce,Siem Reap 102 Children,Siem Reap 102,5.706352654
Floodwater,6,103,Kumruthemey (formal),Adults,a,0.052601736,1.037652076,114,5.078353296,1.161152002,10,0.954,40483.16322,40483.16322,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 103 Adults,Siem Reap 103,4.60727444
Floodwater,6,103,Kumruthemey (formal),Children,c,0.02504612,0.431131456,84,5.078353296,1.161152002,10,0.818,670722.5004,670722.5004,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 103 Children,Siem Reap 103,5.826542876
Municipal Drinking Water,3,104,Steung Thumey,Adults,a,0.227923163,51.5883135,86,-0.301030034,1.14E-05,10,1,156.4499159,156.4499159,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Municipal Drinking Water,Siem Reap 104 Adults,Siem Reap 104,1.19E-06
Municipal Drinking Water,3,104,Steung Thumey,Children,c,0.616429409,56.57569,83,-0.301030034,1.14E-05,10,1,62.09996257,62.09996257,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Municipal Drinking Water,Siem Reap 104 Children,Siem Reap 104,1.48E-06
Floodwater,6,104,Steung Thumey,Adults,a,0.511720357,4.598757531,86,4.741936872,0.682964999,10,0.956,395.4334656,395.4334656,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 104 Adults,Siem Reap 104,3.00E-06
Floodwater,6,104,Steung Thumey,Children,c,0.435508344,2.716026133,83,4.741936872,0.682964999,10,0.9,6138.759888,6138.759888,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 104 Children,Siem Reap 104,0.000146145
