"neighb_UID","sample_type","pop","10+","6-10","<5","Never","deployment_id","country","city","citylabel","neighborhood"
101,"Open Drain Water","Adults",0.0681818181818182,0.0227272727272727,0.0227272727272727,0.886363636363636,1,"Cambodia","Siem Reap","Siem Reap 16","Chong Kaosou"
102,"Open Drain Water","Adults",0.0819672131147541,0.0163934426229508,0.0655737704918033,0.836065573770492,1,"Cambodia","Siem Reap","Siem Reap 16","Kumruthemey (informal)"
103,"Open Drain Water","Adults",0.0353982300884956,0,0.115044247787611,0.849557522123894,1,"Cambodia","Siem Reap","Siem Reap 16","Kumruthemey (formal)"
104,"Open Drain Water","Adults",0.0116279069767442,0.0465116279069767,0.476744186046512,0.465116279069767,1,"Cambodia","Siem Reap","Siem Reap 16","Steung Thumey"
105,"Open Drain Water","Adults",0,0,0.252525252525253,0.747474747474748,1,"Cambodia","Siem Reap","Siem Reap 16","Veal/ Trapangses"
201,"Open Drain Water","Adults",0.657142857142857,0.0979591836734694,0.142857142857143,0.102040816326531,2,"Bangladesh","Dhaka","Dhaka 17","Kalshi"
202,"Open Drain Water","Adults",0.512605042016807,0.138655462184874,0.121848739495798,0.226890756302521,2,"Bangladesh","Dhaka","Dhaka 17","Badda"
203,"Open Drain Water","Adults",0.54679802955665,0.137931034482759,0.137931034482759,0.177339901477833,2,"Bangladesh","Dhaka","Dhaka 17","Gabtoli"
204,"Open Drain Water","Adults",0.302325581395349,0.104651162790698,0.151162790697674,0.441860465116279,2,"Bangladesh","Dhaka","Dhaka 17","Uttarkhan"
205,"Open Drain Water","Adults",0,0,0.037037037037037,0.962962962962963,2,"Bangladesh","Dhaka","Dhaka 17","Gulshan"
206,"Open Drain Water","Adults",0.489051094890511,0.131386861313869,0.0437956204379562,0.335766423357664,2,"Bangladesh","Dhaka","Dhaka 17","Kamalapur"
207,"Open Drain Water","Adults",0.563318777292576,0.157205240174672,0.170305676855895,0.109170305676856,2,"Bangladesh","Dhaka","Dhaka 17","Shampur"
208,"Open Drain Water","Adults",0.504347826086956,0.134782608695652,0.139130434782609,0.221739130434783,2,"Bangladesh","Dhaka","Dhaka 17","Hazaribagh"
209,"Open Drain Water","Adults",0.391304347826087,0.173913043478261,0.152173913043478,0.282608695652174,2,"Bangladesh","Dhaka","Dhaka 17","Motijhil"
210,"Open Drain Water","Adults",0.154545454545455,0.0636363636363636,0.118181818181818,0.663636363636364,2,"Bangladesh","Dhaka","Dhaka 17","Dhanmondi"
301,"Open Drain Water","Adults",0.381818181818182,0.112727272727273,0.203636363636364,0.301818181818182,3,"Ghana","Accra","Accra 16","Shiabu"
302,"Open Drain Water","Adults",0.204081632653061,0.136054421768707,0.261904761904762,0.397959183673469,3,"Ghana","Accra","Accra 16","Chorkor"
303,"Open Drain Water","Adults",0.0708661417322835,0.15748031496063,0.255905511811024,0.515748031496063,3,"Ghana","Accra","Accra 16","Kokomlemle"
304,"Open Drain Water","Adults",0.107692307692308,0.128205128205128,0.261538461538462,0.502564102564103,3,"Ghana","Accra","Accra 16","Ringway"
305,"Open Drain Water","Adults",0.153846153846154,0.125506072874494,0.271255060728745,0.449392712550607,3,"Ghana","Accra","Accra 16","Adabraka"
401,"Open Drain Water","Adults",0.217592592592593,0.0787037037037037,0.157407407407407,0.546296296296296,4,"Zambia","Lusaka","Lusaka 18","Kanyama"
501,"Open Drain Water","Adults",,,,,5,"Mozambique","Maputo","Maputo 15","Intervention"
502,"Open Drain Water","Adults",,,,,5,"Mozambique","Maputo","Maputo 15","Control"
601,"Open Drain Water","Adults",0.174757281553398,0.0970873786407767,0.296116504854369,0.432038834951456,6,"Ghana","Accra","Accra 18","Mataheko"
602,"Open Drain Water","Adults",0.313364055299539,0.0691244239631336,0.193548387096774,0.423963133640553,6,"Ghana","Accra","Accra 18","Osu Alata"
701,"Open Drain Water","Adults",0.360515021459227,0.103004291845494,0.206008583690987,0.330472103004292,7,"Ghana","Kumasi","Kumasi 18","FanteNewTown"
702,"Open Drain Water","Adults",0.408888888888889,0.115555555555556,0.235555555555556,0.24,7,"Ghana","Kumasi","Kumasi 18","MoshieZongo"
703,"Open Drain Water","Adults",0.437768240343348,0.188841201716738,0.175965665236052,0.197424892703863,7,"Ghana","Kumasi","Kumasi 18","Dakodwom"
704,"Open Drain Water","Adults",0.380952380952381,0.0995670995670996,0.242424242424242,0.277056277056277,7,"Ghana","Kumasi","Kumasi 18","Ahodwo"
801,"Open Drain Water","Adults",0.024390243902439,0.0365853658536585,0,0.939024390243902,8,"Mozambique","Maputo","Maputo 16","Intervention"
802,"Open Drain Water","Adults",0.234042553191489,0.0851063829787234,0.212765957446809,0.468085106382979,8,"Mozambique","Maputo","Maputo 16","Control"
901,"Open Drain Water","Adults",0.316091954022989,0.14367816091954,0.160919540229885,0.379310344827586,9,"Uganda","Kampala","Kampala 18","Makindye"
902,"Open Drain Water","Adults",0.237762237762238,0.118881118881119,0.202797202797203,0.440559440559441,9,"Uganda","Kampala","Kampala 18","Central"
903,"Open Drain Water","Adults",0.299270072992701,0.0948905109489051,0.233576642335766,0.372262773722628,9,"Uganda","Kampala","Kampala 18","Kawempe"
904,"Open Drain Water","Adults",0.363057324840764,0.0828025477707006,0.114649681528662,0.439490445859873,9,"Uganda","Kampala","Kampala 18","Rubaga"
905,"Open Drain Water","Adults",0.207792207792208,0.136363636363636,0.162337662337662,0.493506493506494,9,"Uganda","Kampala","Kampala 18","Nakawa"
1001,"Open Drain Water","Adults",,,,,10,"USA","Atlanta","Atlanta 16","Peoplestown"
1101,"Open Drain Water","Adults",0.197044334975369,0.108374384236453,0.359605911330049,0.334975369458128,11,"India","Vellore","Vellore 14","Old Town"
1102,"Open Drain Water","Adults",0.0772946859903382,0.0579710144927536,0.342995169082126,0.521739130434783,11,"India","Vellore","Vellore 14","Chinna Allapuram"
1201,"Open Drain Water","Adults",0.460674157303371,0.0674157303370786,0.117977528089888,0.353932584269663,12,"Senegal","Dakar","Dakar 19","WakhinaneNimzatt"
1202,"Open Drain Water","Adults",0.374331550802139,0.171122994652406,0.176470588235294,0.27807486631016,12,"Senegal","Dakar","Dakar 19","MedinaGounass"
1203,"Open Drain Water","Adults",0.369942196531792,0.132947976878613,0.138728323699422,0.358381502890173,12,"Senegal","Dakar","Dakar 19","DTK"
1204,"Open Drain Water","Adults",0.43010752688172,0.0483870967741935,0.0806451612903226,0.440860215053763,12,"Senegal","Dakar","Dakar 19","RufisqueEst"
1205,"Open Drain Water","Adults",0.0116959064327485,0.0292397660818713,0.0409356725146199,0.91812865497076,12,"Senegal","Dakar","Dakar 19","SicapLiberte"
1301,"Open Drain Water","Adults",0.183856502242152,0.0852017937219731,0.125560538116592,0.605381165919282,13,"Zambia","Lusaka","Lusaka 19","Chawama"
1302,"Open Drain Water","Adults",0.0387931034482759,0.0301724137931034,0.155172413793103,0.775862068965517,13,"Zambia","Lusaka","Lusaka 19","Chazanga"
1303,"Open Drain Water","Adults",0.087719298245614,0.0526315789473684,0.109649122807018,0.75,13,"Zambia","Lusaka","Lusaka 19","George"
101,"Raw Produce","Adults",0,0.155555555555556,0.822222222222222,0.0222222222222222,1,"Cambodia","Siem Reap","Siem Reap 16","Chong Kaosou"
102,"Raw Produce","Adults",0,0.0303030303030303,0.96969696969697,0,1,"Cambodia","Siem Reap","Siem Reap 16","Kumruthemey (informal)"
103,"Raw Produce","Adults",0,0.0526315789473684,0.921052631578947,0.0263157894736842,1,"Cambodia","Siem Reap","Siem Reap 16","Kumruthemey (formal)"
