"city","sample_type","pop","sum","a3","a2","a1","a0"
"Accra","Open Drain Water","Adults",1688,0.204976303317536,0.119668246445498,0.248222748815166,0.427132701421801
"Atlanta","Open Drain Water","Adults",0,,,,
"Dakar","Open Drain Water","Adults",895,0.332960893854749,0.0905027932960894,0.111731843575419,0.464804469273743
"Dhaka","Open Drain Water","Adults",1651,0.475469412477286,0.122350090854028,0.128407026044821,0.273773470623864
"Kampala","Open Drain Water","Adults",765,0.286274509803922,0.116339869281046,0.172549019607843,0.42483660130719
"Kumasi","Open Drain Water","Adults",922,0.396963123644252,0.126898047722343,0.214750542299349,0.261388286334056
"Lusaka","Open Drain Water","Adults",899,0.130144605116796,0.0611790878754171,0.136818687430478,0.671857619577308
"Maputo","Open Drain Water","Adults",129,0.10077519379845,0.0542635658914729,0.0775193798449612,0.767441860465116
"Siem Reap","Open Drain Water","Adults",403,0.032258064516129,0.0148883374689826,0.208436724565757,0.744416873449132
"Vellore","Open Drain Water","Adults",410,0.136585365853659,0.0829268292682927,0.351219512195122,0.429268292682927
"Accra","Raw Produce","Adults",1821,0.323448654585393,0.255354200988468,0.344316309719934,0.0768808347062054
"Atlanta","Raw Produce","Adults",22,0.363636363636364,0.181818181818182,0.454545454545455,0
"Dakar","Raw Produce","Adults",1001,0.198801198801199,0.200799200799201,0.505494505494505,0.0949050949050949
"Dhaka","Raw Produce","Adults",1716,0.307109557109557,0.224358974358974,0.34965034965035,0.118881118881119
"Kampala","Raw Produce","Adults",738,0.0934959349593496,0.176151761517615,0.40650406504065,0.323848238482385
"Kumasi","Raw Produce","Adults",939,0.395101171458999,0.17678381256656,0.286474973375932,0.141640042598509
"Lusaka","Raw Produce","Adults",938,0.245202558635394,0.141791044776119,0.28997867803838,0.323027718550107
"Maputo","Raw Produce","Adults",133,0.0150375939849624,0.0451127819548872,0.902255639097744,0.037593984962406
"Siem Reap","Raw Produce","Adults",410,0.0048780487804878,0.0804878048780488,0.880487804878049,0.0341463414634146
"Vellore","Raw Produce","Adults",419,0.105011933174224,0.114558472553699,0.312649164677804,0.467780429594272
"Accra","Municipal Drinking Water","Adults",1769,0.282645562464669,0.137365743357829,0.178631995477671,0.40135669869983
"Atlanta","Municipal Drinking Water","Adults",22,0.363636363636364,0.181818181818182,0.272727272727273,0.181818181818182
"Dakar","Municipal Drinking Water","Adults",1068,0.926029962546816,0.0234082397003745,0.0140449438202247,0.0365168539325843
"Dhaka","Municipal Drinking Water","Adults",1769,0.712832108535896,0.0531373657433578,0.0248728094968909,0.209157716223855
"Kampala","Municipal Drinking Water","Adults",748,0.572192513368984,0.0401069518716578,0.0414438502673797,0.346256684491979
"Kumasi","Municipal Drinking Water","Adults",926,0.694384449244061,0.0885529157667387,0.0896328293736501,0.127429805615551
"Lusaka","Municipal Drinking Water","Adults",969,0.762641898864809,0.0619195046439628,0.0361197110423117,0.139318885448916
"Maputo","Municipal Drinking Water","Adults",131,0.977099236641221,0.00763358778625954,0.00763358778625954,0.00763358778625954
"Siem Reap","Municipal Drinking Water","Adults",0,,,,
"Vellore","Municipal Drinking Water","Adults",410,0.75609756097561,0.0512195121951219,0.0780487804878049,0.114634146341463
