start_dt,subscriberid,simserial,deviceid,lab_id,lab_id_val,lab_processing,lab_neighborhood,lab_sample_type,lab_incubator_placed,lab_incubator_removed,lab_ws_cl_free,lab_ws_cl_total,lab_p_weight,lab_pa_weight,lab_1_note,lab_1_group,lab_1_dil_tested,lab_1_volume,lab_1_dil,lab_1_ecoli_reading,lab_1_ecoli,lab_2_group,lab_2_dil_tested,lab_2_volume,lab_2_dil,lab_2_ecoli_reading,lab_2_ecoli,lab_3_dilution_performed,lab_3_group,lab_3_dil_tested,lab_3_volume,lab_3_dil,lab_3_ecoli_reading,lab_3_ecoli,lab_closing_group,lab_enum,lab_notes,end_dt,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,Cube or Hygiene Ice
2016-09-08T12:59:21.430+07,4.56E+14,8.99E+18,3.58E+14,DWA104,DWA104,2016-09-06T14:15:00.000+07,1,23,2016-09-06T16:20:00.000+07,2016-09-07T16:00:00.000+07,,,,,,,7,100,700,1,,,7,100,700,3,29,0,,,,,,,,"St, Mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-09-08T13:06:41.179+07,uuid:647a681b-3a5a-4e5a-bf4a-1d6a618478ae,986,647a681b-3a5a-4e5a-bf4a-1d6a618478ae,2016-09-08T06:07:07,25,,-1,
2016-09-08T13:08:56.384+07,4.56E+14,8.99E+18,3.58E+14,DWA105,DWA105,2016-09-06T14:15:00.000+07,1,23,2016-09-06T16:20:00.000+07,2016-09-07T16:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St, Mm",Pt1: 2 Coliform,2016-09-08T13:10:35.463+07,uuid:92b8c7f8-5498-43f8-8473-69e431b8d8a9,987,92b8c7f8-5498-43f8-8473-69e431b8d8a9,2016-09-08T06:13:59,26,,-1,
2016-09-09T16:32:12.945+07,4.56E+14,8.99E+18,3.58E+14,DWA106,DWA106,2016-09-08T15:30:00.000+07,1,23,2016-09-08T16:45:00.000+07,2016-09-09T16:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St,Mm",,2016-09-09T16:33:18.471+07,uuid:625faf02-4229-41f2-8a67-8dd4e263ba68,1020,625faf02-4229-41f2-8a67-8dd4e263ba68,2016-09-09T09:35:09,10,,-1,
2016-09-09T16:33:24.334+07,4.56E+14,8.99E+18,3.58E+14,DWA107,DWA107,2016-09-08T15:30:00.000+07,1,23,2016-09-08T16:45:00.000+07,2016-09-09T16:00:00.000+07,,,,,,,7,100,700,3,1,,7,10,70,3,0,0,,,,,,,,"St,Mm","Pt1: 80 Coliform
Pt2: 34 Coliform",2016-09-09T16:34:42.494+07,uuid:74bb6724-259d-4b24-8002-3b4bb72dd3fa,1021,74bb6724-259d-4b24-8002-3b4bb72dd3fa,2016-09-09T09:35:11,11,,-1,
2016-09-13T16:32:51.656+07,4.56E+14,8.99E+18,3.58E+14,DWA108,DWA108,2016-09-12T14:30:00.000+07,1,23,2016-09-12T16:30:00.000+07,2016-09-13T16:00:00.000+07,,,,,,,7,100,700,3,70,,7,10,70,3,22,0,,,,,,,,"St,Mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-09-13T16:35:31.288+07,uuid:d5971d55-21a8-41fe-9892-2e95f72f903d,1058,d5971d55-21a8-41fe-9892-2e95f72f903d,2016-09-13T09:40:35,14,,-1,
2016-09-13T16:35:36.850+07,4.56E+14,8.99E+18,3.58E+14,DWA109,DWA109,2016-09-12T14:30:00.000+07,1,23,2016-09-12T16:30:00.000+07,2016-09-13T16:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St,Mm","Pt1: 7 Coliform
Pt2: 1 Coliform",2016-09-13T16:37:06.285+07,uuid:ada33e55-85a8-482c-98d5-31a5375ed5f5,1059,ada33e55-85a8-482c-98d5-31a5375ed5f5,2016-09-13T09:40:37,15,,-1,
2016-09-14T11:12:31.534+07,4.56E+14,8.99E+18,3.58E+14,DWA110,DWA110,2016-09-13T10:20:00.000+07,1,23,2016-09-13T11:10:00.000+07,2016-09-14T11:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St,Mm","Pt1: 0 Coliform
Pt2: 0 Coliform",2016-09-14T11:13:51.259+07,uuid:5459a0ea-f981-4eb0-9a3f-f3426ad22cc5,1083,5459a0ea-f981-4eb0-9a3f-f3426ad22cc5,2016-09-14T04:14:13,41,,-1,
2016-09-15T11:31:40.267+07,4.56E+14,8.99E+18,3.58E+14,DWA111,DWA111,2016-09-14T10:00:00.000+07,1,23,2016-09-14T11:00:00.000+07,2016-09-15T11:00:00.000+07,,,,,,,7,100,700,3,15,,7,10,70,3,1,0,,,,,,,,"St,Mm","Pt1: 140 Coliform
Pt2: 46 Coliform",2016-09-15T11:33:25.194+07,uuid:a320f2ea-0b56-461c-8084-c2783aa80001,1100,a320f2ea-0b56-461c-8084-c2783aa80001,2016-09-15T04:38:17,45,,-1,
2016-09-15T11:33:31.461+07,4.56E+14,8.99E+18,3.58E+14,DWA112,DWA112,2016-09-14T10:00:00.000+07,1,23,2016-09-14T11:00:00.000+07,2016-09-15T11:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St,Mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-09-15T11:35:02.542+07,uuid:090ff912-864b-4ec3-b1f6-02aee87dd413,1101,090ff912-864b-4ec3-b1f6-02aee87dd413,2016-09-15T04:38:22,46,,-1,
2016-09-16T16:38:53.726+07,4.56E+14,8.99E+18,3.58E+14,DWA113,DWA113,2016-09-15T15:00:00.000+07,1,23,2016-09-15T16:50:00.000+07,2016-09-16T15:45:00.000+07,,,,,,,7,100,700,3,4,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1:6 Coliform
Pt2:3 Coliform",2016-09-16T16:41:28.043+07,uuid:22a3e200-d850-4eed-8204-1962a2d498fc,1112,22a3e200-d850-4eed-8204-1962a2d498fc,2016-09-16T09:43:47,57,,-1,
