deviceid,h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_rain24hr,h_rainweek,h_rainmonth,h_home_type,h_population,h_c,h_surface,h_s,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_drains,h_d,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_flood,h_f,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_wasa,h_m,h_m_a,h_m_a_other,h_m_c,h_m_c_other,h_other,h_odw,h_odw_a,h_odw_a_other,h_odw_c,h_odw_c_other,h_wt,h_wt_a,h_wt_a_other,h_bath,h_bw,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_produce,h_p,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_a2,h_p_a2_other,h_food,h_sf,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_shared,h_l,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_th,h_th_a,h_th_a_other,h_tu_a,h_tu_a_other,h_tw_a,h_tw_a_other,h_tf_a,h_tf_a_other,h_end,h_notes,h_enum,h_enum/1,h_enum/2,h_enum/3,h_enum/4,h_enum/5,h_enum/6,h_enum/7,h_enum/8,h_enum/9,h_enum/10,h_enum/11,h_enum/12,h_enum/13,h_enum/14,h_enum/15,h_enum/16,h_enum/17,h_enum/18,h_enum/19,h_enum/20,h_enum/21,h_enum/22,h_enum/23,h_enum/24,h_enum/25,h_enum/26,h_enum/27,h_enum/28,h_enum/29,h_enum/30,h_enum/31,h_enum/32,h_enum/33,h_enum/34,h_enum/35,h_enum/36,h_enum/37,h_enum/38,h_enum/39,h_enum/40,h_enum/41,h_enum/42,h_enum/43,h_enum/44,h_enum/45,h_enum/46,h_enum/47,h_enum/48,h_enum/49,h_enum/50,h_enum/51,h_enum/52,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index
359925061277245,1,2017-06-11T13:49:00.636+06,,,,,,77,1,1,1,2,3,1,1,,4,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,4,,1,,,0,,1,,2,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,,0,,,,,,,,,N/A,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:dce76fce-17a5-4368-8e8e-1a0b5014f03c,3936,dce76fce-17a5-4368-8e8e-1a0b5014f03c,2017-06-11T08:11:49,1,,-1
359925060425985,571,2017-06-12T12:24:00.050+06,23.724970378714247 90.37322692801429 -4.0 0.0,23.72497038,90.37322693,-4,0,88,1,1,1,2,3,1,1,,3,,4,,1,,1,,2,,1,,1,,1,,1,,1,,1,,0,,,,,,,1,,1,,2,,2,,1,,2,,2,,1,,1,,2,,2,,1,,1,,1,,,0,,,,,,,,,Ni,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:f38b42ec-b20d-47fc-98a3-c201733db46d,4140,f38b42ec-b20d-47fc-98a3-c201733db46d,2017-06-15T07:59:51,2,,-1
359925060425985,573,2017-06-12T14:12:00.786+06,23.725024951496803 90.37346446248661 -3.0 0.0,23.72502495,90.37346446,-3,0,88,1,1,1,2,4,1,1,,3,,3,,1,,1,,1,,1,,2,,2,,1,,1,,1,,0,,,,,,,1,,1,,2,,2,,1,,2,,2,,1,,1,,3,,3,,1,,1,,1,,,0,,,,,,,,,Ni,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:ba5657cb-a6a6-4d9c-bf08-d60a4fcb5dcf,4141,ba5657cb-a6a6-4d9c-bf08-d60a4fcb5dcf,2017-06-15T07:59:53,3,,-1
359925061278375,31,2017-06-12T10:07:00.082+06,23.82354873145531 90.37831592197392 -36.0 0.0,23.82354873,90.37831592,-36,0,11,1,1,1,2,6,1,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,,,,,,0,,1,,2,,2,,1,,1,,1,,1,,1,,3,,2,,1,,1,,1,,,0,,,,,,,,,N/A,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:c3a4636c-ea81-4bd0-b1b3-9e5e4707c6d9,4142,c3a4636c-ea81-4bd0-b1b3-9e5e4707c6d9,2017-06-15T08:01:13,4,,-1
359925061277732,41,2017-06-12T10:00:00.031+06,23.82297011039978 90.38460944465606 301.0 0.0,23.82297011,90.38460944,301,0,11,1,1,1,2,5,1,1,,4,,4,,1,,1,,1,,1,,1,,1,,1,,4,,4,,1,,1,,1,,,0,,1,,2,,2,,1,,3,,3,,1,,1,,3,,2,,1,,1,,1,,,0,,,,,,,,,N/A,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:5991640f-38fa-4479-a237-d0e9f85bdb27,4143,5991640f-38fa-4479-a237-d0e9f85bdb27,2017-06-15T08:01:13,5,,-1
359925061276783,411,2017-06-12T11:16:00.415+06,23.7063573 90.4262164 0.0 1299.999,23.7063573,90.4262164,0,1299.999,77,1,1,1,2,6,1,1,,1,,1,,1,,1,,1,,0,,,,,,1,,1,,1,,0,,,,,,,0,,1,,1,,2,,1,,1,,1,,1,,1,,3,,1,,1,,1,,1,,,0,,,,,,,,,N/A,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:3c3d2f6e-138d-4e16-bd94-6d25db7f81d8,4144,3c3d2f6e-138d-4e16-bd94-6d25db7f81d8,2017-06-15T08:01:14,6,,-1
359925061287863,341,2017-06-12T11:07:00.760+06,23.7260672 90.426511 0.0 1000.0,23.7260672,90.426511,0,1000,66,1,1,1,2,6,1,0,,,,,,0,,,,,,0,,,,,,1,,1,,1,,0,,,,,,,0,,1,,2,,1,,1,,3,,3,,1,,1,,3,,2,,1,,1,,1,,,0,,,,,,,,,Na,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:ecb801a3-0cce-41f1-a781-6f4046f36146,4145,ecb801a3-0cce-41f1-a781-6f4046f36146,2017-06-15T08:01:15,7,,-1
359925061277856,1,2017-06-12T09:44:00.656+06,23.82360676479372 90.37853869909924 -49.0 0.0,23.82360676,90.3785387,-49,0,11,1,1,1,2,7,1,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,,,,,,0,,1,,2,,2,,1,,1,,1,,1,,1,,3,,2,,1,,1,,1,,,0,,,,,,,,,,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:bc24569f-3a22-4329-92b2-d5062915094f,4146,bc24569f-3a22-4329-92b2-d5062915094f,2017-06-15T08:01:15,8,,-1
359925061277732,43,2017-06-12T11:14:00.934+06,23.823555185907274 90.37755351880773 10.0 0.0,23.82355519,90.37755352,10,0,11,1,1,1,2,3,1,1,,4,,4,,1,,1,,1,,1,,1,,2,,1,,4,,4,,1,,1,,1,,,0,,1,,2,,2,,1,,2,,3,,1,,1,,3,,3,,1,,1,,1,,,0,,,,,,,,,N/A,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:59229cea-c94f-4000-b7b3-4fc795ffff74,4148,59229cea-c94f-4000-b7b3-4fc795ffff74,2017-06-15T08:01:17,9,,-1
359925061277617,71,2017-06-11T10:52:00.330+06,23.823169 90.378398 0.0 135.6,23.823169,90.378398,0,135.6,11,1,1,1,2,4,1,1,,4,,4,,1,,1,,1,,1,,4,,4,,1,,1,,1,,1,,2,,2,,,0,,1,,2,,2,,1,,1,,1,,1,,1,,3,,3,,1,,4,,4,,,1,,1,,1,,1,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,uuid:0d89939f-bddc-46c8-8ebb-7c5de3fa4354,4149,0d89939f-bddc-46c8-8ebb-7c5de3fa4354,2017-06-15T08:01:18,10,,-1
