"sample_type","sampleid","start_dt.x","subscriberid.x","simserial.x","deviceid.x","col_neighborhood","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_turbidity","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_latrine_distance","col_p_type","col_p_type_other","col_p_num","col_dw_connection","col_dw_type","col_dw_type_other","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_odw_type","col_odw_type_other","col_odw_container","col_odw_container_lid","col_odw_id","col_odw_cl_free","col_odw_cl_total","col_l_toilet_type","col_l_toilet_type_other","col_l_latrine_type","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_hw","col_s_type","col_s_type_other","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_notes","col_enum.1","col_enum.2","col_enum.3","col_enum.4","col_enum.5","col_enum.6","col_enum.7","col_enum.8","col_photo","end_dt.x","meta.instanceID.x","X_uuid.x","X_submission_time.x","start_dt.y","subscriberid.y","simserial.y","deviceid.y","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_dil_tested","lab_1_volume","lab_1_dil","lab_1_ecoli_reading","lab_1_ecoli_big","lab_1_ecoli_small","lab_1_ecoli","lab_2_dil_tested","lab_2_volume","lab_2_dil","lab_2_ecoli_reading","lab_2_ecoli_big","lab_2_ecoli_small","lab_2_ecoli","lab_3_dilution_performed","lab_3_dil_tested","lab_3_volume","lab_3_dil","lab_3_ecoli_reading","lab_3_ecoli_big","lab_3_ecoli_small","lab_3_ecoli","lab_notes","lab_photo","lab_enum","end_dt.y","meta.instanceID.y","X_uuid.y","X_submission_time.y","ec_denom","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","count3","dil3","ec_conc","neighbor"
1,"1007","2017-04-09T11:24:37.739+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1007,"2017-04-09T11:20:00.449+06","23.824281154536298 90.3781648042495 -31.455191120357657 4.0","23.82428115","90.3781648","-31.45519112","4",1,0,"43.31","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","1","2","2","n/a","1","1","0","0","1","1","0","1","20","n/a","n/a","Lot of feace and trash, child and people walk",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"2017-04-09T15:57:23.481+06","uuid:e6e4219d-e8d1-4fe1-a8cb-01c6547d50d2","e6e4219d-e8d1-4fe1-a8cb-01c6547d50d2","2017-04-09T09:59:37","2017-04-13T13:22:51.570+06",3.10411e+14,8.90141e+19,3.53118e+14,1007,"2017-04-09T14:45:00.189+06","2017-04-09T16:30:00.429+06","2017-04-10T16:30:00.444+06","n/a","n/a","n/a",4,1,4,3,28,3,NA,3,1,3,3,6,0,"6.3",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Arefeen Haider","2017-04-18T09:26:41.292+06","uuid:0f924f17-ec1d-48c4-b110-15c94742fc13","0f924f17-ec1d-48c4-b110-15c94742fc13","2017-04-24T04:41:01",100,0.001,1e-04,NA,NA,6.3,NA,NA,6.3,0.001,1e-04,NA,NA,NA,"11"
1,"1011","2017-04-09T10:57:48.426+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1011,"2017-04-09T10:53:00.712+06","23.82343781090462 90.37856410390992 -33.14141471679138 4.0","23.82343781","90.3785641","-33.14141472","4",2,0,"110","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","1","1","1","n/a","0","0","0","0","1","0","0","1","4","n/a","n/a","Near latrine",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-09T16:10:53.134+06","uuid:0cab68e4-7965-4142-a369-433aec473308","0cab68e4-7965-4142-a369-433aec473308","2017-04-09T10:16:46","2017-05-11T17:20:15.067+06",3.10411e+14,8.90141e+19,3.53118e+14,1011,"2017-04-09T14:45:00.122+06","2017-04-09T16:30:00.924+06","2017-04-10T16:30:00.963+06","n/a","n/a","n/a",4,1,4,3,2,1,"3",3,1,3,3,0,0,"0.5",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Shimul","2017-05-11T17:34:16.580+06","uuid:b85e801c-afd6-4f86-919a-48cd5b00c438","b85e801c-afd6-4f86-919a-48cd5b00c438","2017-05-11T11:56:54",100,0.001,1e-04,NA,3,0.5,NA,3,0.5,0.001,1e-04,NA,NA,3e+05,"11"
1,"1014","2017-04-09T10:43:37.444+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1014,"2017-04-09T10:30:00.462+06","23.82363375031608 90.37811533708542 -47.46715604345668 8.0","23.82363375","90.37811534","-47.46715604","8",1,0,"210","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","1","2","1","n/a","0","0","0","0","0","1","1","1","5","n/a","n/a","There are many people walking​ and kids playing here.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-09T15:28:57.067+06","uuid:c602568d-5d51-4654-adc2-6477e07d75ec","c602568d-5d51-4654-adc2-6477e07d75ec","2017-04-09T10:14:41","2017-04-13T13:25:29.442+06",3.10411e+14,8.90141e+19,3.53118e+14,1014,"2017-04-09T14:45:00.886+06","2017-04-09T16:30:00.509+06","2017-04-10T16:30:00.365+06","n/a","n/a","n/a",4,1,4,3,32,6,"59.1",3,1,3,3,9,1,"10.9",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Arefeen Haider","2017-04-18T09:26:56.773+06","uuid:c37902aa-64fd-407e-a38b-6a68d8dece35","c37902aa-64fd-407e-a38b-6a68d8dece35","2017-04-24T04:41:04",100,0.001,1e-04,NA,59.1,10.9,NA,59.1,10.9,0.001,1e-04,NA,NA,8405000,"11"
1,"1016","2017-04-10T11:19:40.735+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1016,"2017-04-10T11:20:00.155+06","23.824450551400965 90.37829747252368 -46.85911347655332 4.0","23.82445055","90.37829747","-46.85911348","4",1,0,"111","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","1","3","2","n/a","1","0","0","0","0","1","0","1","4","n/a","n/a","Near by household & toilet",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-10T14:43:55.377+06","uuid:15fea3d0-9676-47a3-8e42-2595be8d39b8","15fea3d0-9676-47a3-8e42-2595be8d39b8","2017-04-10T08:44:46","2017-04-13T11:18:50.337+06",3.10411e+14,8.90141e+19,3.53118e+14,1016,"2017-04-10T13:00:00.847+06","2017-04-10T16:20:00.131+06","2017-04-11T16:20:00.133+06","n/a","n/a","n/a",4,1,4,3,48,21,"285.1",3,1,3,3,10,1,"12.1",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Shimul","2017-04-23T17:35:02.688+06","uuid:aa4caa42-7f14-4366-b30a-a508e19bf323","aa4caa42-7f14-4366-b30a-a508e19bf323","2017-04-24T04:42:55",100,0.001,1e-04,NA,285.1,12.1,NA,285.1,12.1,0.001,1e-04,NA,NA,20305000,"11"
1,"1022","2017-04-10T11:41:04.389+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1022,"2017-04-10T23:30:00.761+06","23.823906511016745 90.37840719355881 -54.183585899484925 6.0","23.82390651","90.37840719","-54.1835859","6",1,0,"89","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","1","2","1","n/a","0","1","0","0","1","1","0","1","4","n/a","n/a","Many people and kids playing nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-10T14:38:12.393+06","uuid:68de0abc-2515-4e67-81c9-f67d20e8eded","68de0abc-2515-4e67-81c9-f67d20e8eded","2017-04-10T08:43:27","2017-04-13T11:24:43.006+06",3.10411e+14,8.90141e+19,3.53118e+14,1022,"2017-04-10T15:00:00.922+06","2017-04-10T16:20:00.882+06","2017-04-11T16:20:00.859+06","n/a","n/a","n/a",4,1,4,3,47,16,"198.9",3,1,3,3,13,3,"18.3",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Shimul","2017-04-23T17:35:48.566+06","uuid:641200a4-ce12-4f58-9075-dbf76ddad715","641200a4-ce12-4f58-9075-dbf76ddad715","2017-04-24T04:42:58",100,0.001,1e-04,NA,198.9,18.3,NA,198.9,18.3,0.001,1e-04,NA,NA,19095000,"11"
1,"1029","2017-04-10T11:30:20.227+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1029,"2017-04-10T11:30:00.359+06","23.823484984138798 90.37892568467895 -44.2655965896329 4.0","23.82348498","90.37892568","-44.26559659","4",1,0,"342","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","1","1","88","Pipe","1","0","0","0","1","0","0","1","5","n/a","n/a","Bathing and open drain same place",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-10T14:38:02.821+06","uuid:77098744-3756-4678-802c-f756bcdd3aa2","77098744-3756-4678-802c-f756bcdd3aa2","2017-04-10T08:43:01","2017-04-13T11:27:57.912+06",3.10411e+14,8.90141e+19,3.53118e+14,1029,"2017-04-10T15:00:00.871+06","2017-04-10T16:20:00.426+06","2017-04-11T16:20:00.724+06","n/a","n/a","n/a",4,1,4,3,49,27,"517.2",3,1,3,3,28,2,"42.6",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Shimul","2017-04-24T12:49:43.998+06","uuid:a893b686-5d94-480c-9e62-5ff5cee287c4","a893b686-5d94-480c-9e62-5ff5cee287c4","2017-04-24T10:06:32",100,0.001,1e-04,NA,517.2,42.6,NA,517.2,42.6,0.001,1e-04,NA,NA,47160000,"11"
1,"1063","2017-04-12T10:05:48.759+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1063,"2017-04-12T10:05:00.409+06","23.823230396976847 90.37813211813555 -38.68301332477189 4.0","23.8232304","90.37813212","-38.68301332","4",1,0,"125","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","1","1","2","n/a","1","0","0","0","0","1","0","1","4","n/a","n/a","Near toilet and bathing place here",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-12T14:51:43.553+06","uuid:0b0451bd-cfe8-475f-9c54-8ff8c6aa4b85","0b0451bd-cfe8-475f-9c54-8ff8c6aa4b85","2017-04-12T09:02:01","2017-04-23T18:55:35.199+06",3.10411e+14,8.90141e+19,3.53118e+14,1063,"2017-04-12T12:15:00.776+06","2017-04-12T01:30:00.231+06","2017-04-13T01:35:00.873+06","n/a","n/a","n/a",4,1,4,3,16,5,"25",3,1,3,3,2,0,"2",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Shimul","2017-04-25T16:43:08.579+06","uuid:8ad283c9-9b6a-4901-9152-095fae50a02e","8ad283c9-9b6a-4901-9152-095fae50a02e","2017-04-25T10:58:31",100,0.001,1e-04,NA,25,2,NA,25,2,0.001,1e-04,NA,NA,2250000,"11"
1,"1068","2017-04-12T10:30:11.459+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1068,"2017-04-12T10:30:00.797+06","23.823562078017204 90.37779373742302 -37.27835872896263 4.0","23.82356208","90.37779374","-37.27835873","4",1,0,"66","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","2","1","88","Mud","0","0","0","0","0","0","0","1","4","n/a","n/a","Dirty place",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-12T14:08:18.906+06","uuid:25469542-aea8-4a36-a6f6-8d59fc654d4d","25469542-aea8-4a36-a6f6-8d59fc654d4d","2017-04-12T09:03:22","2017-04-23T19:01:07.889+06",3.10411e+14,8.90141e+19,3.53118e+14,1068,"2017-04-12T12:15:00.160+06","2017-04-12T01:30:00.967+06","2017-04-13T01:35:00.730+06","n/a","n/a","n/a",4,1,4,3,2,0,"2",3,1,3,3,0,0,"0.5",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Shimul","2017-04-25T16:43:46.155+06","uuid:c68a331e-d317-4fab-8c56-a27a773311b2","c68a331e-d317-4fab-8c56-a27a773311b2","2017-04-25T10:58:33",100,0.001,1e-04,NA,2,0.5,NA,2,0.5,0.001,1e-04,NA,NA,2e+05,"11"
1,"1069","2017-04-12T11:01:22.107+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1069,"2017-04-12T11:01:00.033+06","23.824442524040716 90.37749061957756 -49.664546625431214 4.0","23.82444252","90.37749062","-49.66454663","4",1,0,"159","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","2","1","1","n/a","0","0","0","0","0","0","1","1","4","n/a","n/a","Near the main road",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-12T14:09:06.254+06","uuid:523fabae-6e46-489a-a963-f758f676a8d3","523fabae-6e46-489a-a963-f758f676a8d3","2017-04-12T09:05:16","2017-04-24T08:58:23.041+06",3.10411e+14,8.90141e+19,3.53118e+14,1069,"2017-04-12T12:15:00.222+06","2017-04-12T17:25:00.851+06","2017-04-13T17:30:00.395+06","n/a","n/a","n/a",4,1,4,3,33,6,"62",3,1,3,3,5,0,"5.2",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Arefeen","2017-04-25T16:46:50.380+06","uuid:03d4a186-ec39-4142-b5cb-12cdd9644c66","03d4a186-ec39-4142-b5cb-12cdd9644c66","2017-04-25T10:58:35",100,0.001,1e-04,NA,62,5.2,NA,62,5.2,0.001,1e-04,NA,NA,5700000,"11"
1,"1070","2017-04-12T11:32:30.832+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1070,"2017-04-12T11:32:00.215+06","23.82374208993605 90.37774464239155 -58.05345849954848 4.0","23.82374209","90.37774464","-58.0534585","4",1,0,"187","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","1","1","1","n/a","0","0","0","0","0","0","0","1","5","n/a","n/a","Near slum road",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-12T14:09:39.313+06","uuid:15457eae-9bd2-4a6e-b2be-d1bc8a3e0ebf","15457eae-9bd2-4a6e-b2be-d1bc8a3e0ebf","2017-04-12T09:04:41","2017-04-24T09:03:54.991+06",3.10411e+14,8.90141e+19,3.53118e+14,1070,"2017-04-12T12:15:00.348+06","2017-04-12T17:25:00.081+06","2017-04-13T17:30:00.140+06","n/a","n/a","n/a",4,1,4,3,22,4,"33.6",3,1,3,3,8,0,"8.6",0,"n/a",NA,"n/a","n/a",NA,NA,NA,"n/a",0,"Arefeen","2017-04-25T16:47:01.511+06","uuid:61633b2f-47c6-47a1-b9b3-9c9fa4059bff","61633b2f-47c6-47a1-b9b3-9c9fa4059bff","2017-04-25T10:58:39",100,0.001,1e-04,NA,33.6,8.6,NA,33.6,8.6,0.001,1e-04,NA,NA,5980000,"11"
