start_dt,subscriberid,simserial,deviceid,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_dil_tested,lab_1_volume,lab_1_dil,lab_1_ecoli_reading,lab_1_ecoli_big,lab_1_ecoli_small,lab_1_ecoli,lab_2_dil_tested,lab_2_volume,lab_2_dil,lab_2_ecoli_reading,lab_2_ecoli_big,lab_2_ecoli_small,lab_2_ecoli,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_dil,lab_3_ecoli_reading,lab_3_ecoli_big,lab_3_ecoli_small,lab_3_ecoli,lab_notes,lab_photo,lab_enum,end_dt,meta.instanceID,X_uuid,X_submission_time
2017-04-13T11:21:15.973+06,3.10E+14,8.90E+19,3.53E+14,7,1001,1001,2017-04-09T14:50:00.109+06,2017-04-09T16:30:00.784+06,2017-04-10T16:30:00.757+06,n/a,n/a,n/a,7,10,70,3,0,0,0.5,6,1,6,3,0,0,0.5,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen haider,2017-04-18T09:27:53.966+06,uuid:6cd3d2d6-e310-48a7-89a4-18f974f9c607,6cd3d2d6-e310-48a7-89a4-18f974f9c607,2017-04-24T04:40:43
2017-04-13T11:26:07.813+06,3.10E+14,8.90E+19,3.53E+14,7,1002,1002,2017-04-09T14:50:00.374+06,2017-04-09T16:30:00.412+06,2017-04-10T16:30:00.936+06,n/a,n/a,n/a,7,10,70,3,0,0,0.5,6,1,6,3,0,0,0.5,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen haider,2017-04-18T09:27:59.002+06,uuid:49d983a6-1bd8-488b-b464-8ccb9a01cc4d,49d983a6-1bd8-488b-b464-8ccb9a01cc4d,2017-04-24T04:40:45
2017-04-13T11:28:56.272+06,3.10E+14,8.90E+19,3.53E+14,7,1003,1003,2017-04-09T14:50:00.255+06,2017-04-09T16:30:00.859+06,2017-04-10T16:30:00.979+06,n/a,n/a,n/a,7,10,70,3,0,0,0.5,6,1,6,3,0,0,0.5,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen haider,2017-04-18T09:28:04.664+06,uuid:70df89d2-3078-4eee-b994-12fc9db5c1e3,70df89d2-3078-4eee-b994-12fc9db5c1e3,2017-04-24T04:40:47
2017-04-13T13:28:45.588+06,3.10E+14,8.90E+19,3.53E+14,9,1004,1004,2017-04-09T14:30:00.615+06,2017-04-09T16:30:00.533+06,2017-04-10T16:30:00.681+06,n/a,n/a,n/a,7,100,700,3,35,44,161,7,10,70,3,33,10,69.5,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen Haider,2017-04-18T09:25:55.567+06,uuid:9a6c7625-1637-43d9-89ae-b98799bc70d6,9a6c7625-1637-43d9-89ae-b98799bc70d6,2017-04-24T04:41:06
2017-04-23T17:40:25.318+06,3.10E+14,8.90E+19,3.53E+14,3,1005,1005,2017-04-10T15:00:00.013+06,2017-04-10T16:20:00.074+06,2017-04-11T16:20:00.189+06,n/a,n/a,n/a,7,100,700,3,0,0,0.5,7,10,70,3,0,0,0.5,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Shimul,2017-04-24T12:33:47.990+06,uuid:db25d7c0-250b-4292-b119-6bab29847aa0,db25d7c0-250b-4292-b119-6bab29847aa0,2017-04-24T10:05:47
2017-04-13T11:32:05.908+06,3.10E+14,8.90E+19,3.53E+14,8,1006,1006,2017-04-09T15:00:00.033+06,2017-04-09T17:05:00.751+06,2017-04-10T17:00:00.320+06,n/a,n/a,10.48,7,1,7,3,49,30,613.1,6,1,6,3,30,3,47.1,1,5,1,5,3,5,0,5.2,n/a,0,Arefeen Haider,2017-04-18T09:27:37.226+06,uuid:a21f4f8b-98c7-4082-b715-d077f676eac6,a21f4f8b-98c7-4082-b715-d077f676eac6,2017-04-24T04:40:49
2017-04-13T13:22:51.570+06,3.10E+14,8.90E+19,3.53E+14,1,1007,1007,2017-04-09T14:45:00.189+06,2017-04-09T16:30:00.429+06,2017-04-10T16:30:00.444+06,n/a,n/a,n/a,4,1,4,3,28,3,42.6,3,1,3,3,6,0,6.3,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen Haider,2017-04-18T09:26:41.292+06,uuid:0f924f17-ec1d-48c4-b110-15c94742fc13,0f924f17-ec1d-48c4-b110-15c94742fc13,2017-04-24T04:41:01
2017-04-13T11:45:00.128+06,3.10E+14,8.90E+19,3.53E+14,3,1008,1008,2017-04-09T15:10:00.037+06,2017-04-09T16:30:00.683+06,2017-04-10T16:30:00.836+06,n/a,n/a,n/a,7,100,700,3,6,1,7.4,7,10,70,3,4,0,4.1,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen Haider,2017-04-18T09:28:19.019+06,uuid:06c94a8b-34eb-4aac-83be-5d6c21d66a10,06c94a8b-34eb-4aac-83be-5d6c21d66a10,2017-04-24T04:40:55
2017-04-13T13:30:47.030+06,3.10E+14,8.90E+19,3.53E+14,9,1009,1009,2017-04-09T14:30:00.402+06,2017-04-09T16:30:00.335+06,2017-04-10T16:30:00.829+06,n/a,n/a,n/a,7,100,700,3,35,3,60.5,7,10,70,3,1,1,2,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen Haider,2017-04-18T09:26:25.729+06,uuid:0ebb785e-bad1-4af4-a825-7528a936f7fa,0ebb785e-bad1-4af4-a825-7528a936f7fa,2017-04-24T04:41:08
2017-04-13T11:36:14.379+06,3.10E+14,8.90E+19,3.53E+14,8,1010,1010,2017-04-09T15:00:00.226+06,2017-04-09T17:00:00.422+06,2017-04-10T17:00:00.429+06,n/a,n/a,10.22,7,1,7,3,49,29,579.4,6,1,6,3,32,6,59.1,1,5,1,5,3,5,1,6.3,n/a,0,Arefeen Haider,2017-04-18T09:27:42.426+06,uuid:8b610685-36b5-4f5d-b0f9-ed8d4bcaf240,8b610685-36b5-4f5d-b0f9-ed8d4bcaf240,2017-04-24T04:40:51
2017-05-11T17:20:15.067+06,3.10E+14,8.90E+19,3.53E+14,1,1011,1011,2017-04-09T14:45:00.122+06,2017-04-09T16:30:00.924+06,2017-04-10T16:30:00.963+06,n/a,n/a,n/a,4,1,4,3,2,1,3,3,1,3,3,0,0,0.5,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Shimul,2017-05-11T17:34:16.580+06,uuid:b85e801c-afd6-4f86-919a-48cd5b00c438,b85e801c-afd6-4f86-919a-48cd5b00c438,2017-05-11T11:56:54
2017-04-13T13:32:36.537+06,3.10E+14,8.90E+19,3.53E+14,9,1012,1012,2017-04-09T14:30:00.792+06,2017-04-09T16:30:00.079+06,2017-04-10T16:30:00.973+06,n/a,n/a,n/a,7,100,700,1,49,48,n/a,7,10,70,3,49,24,435.2,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen Haider,2017-04-18T09:26:35.644+06,uuid:fc2b2e96-00cd-4a3d-b3eb-e56e77a5aaba,fc2b2e96-00cd-4a3d-b3eb-e56e77a5aaba,2017-04-24T04:41:11
2017-04-13T13:20:29.353+06,3.10E+14,8.90E+19,3.53E+14,3,1013,1013,2017-04-09T15:10:00.657+06,2017-04-09T16:30:00.837+06,2017-04-10T16:30:00.121+06,n/a,n/a,n/a,7,100,700,3,10,1,12.1,7,10,70,3,0,0,0.5,0,n/a,n/a,n/a,n/a,NA,NA,n/a,n/a,0,Arefeen Haider,2017-04-18T09:29:42.027+06,uuid:e0641c35-570d-4af1-a228-5d1f940d9d9a,e0641c35-570d-4af1-a228-5d1f940d9d9a,2017-04-24T04:40:59
