"start_dt","subscriberid","simserial","deviceid","col_neighborhood","col_sample_type","col_id","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_turbidity","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_latrine_distance","col_p_type","col_p_type_other","col_p_num","col_dw_connection","col_dw_type","col_dw_type_other","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_odw_type","col_odw_type_other","col_odw_container","col_odw_container_lid","col_odw_id","col_odw_cl_free","col_odw_cl_total","col_l_toilet_type","col_l_toilet_type_other","col_l_latrine_type","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_hw","col_s_type","col_s_type_other","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_notes","col_enum.1","col_enum.2","col_enum.3","col_enum.4","col_enum.5","col_enum.6","col_enum.7","col_enum.8","col_photo","end_dt","meta.instanceID","X_uuid","X_submission_time"
"2017-04-09T10:17:36.459+06",3.10411e+14,8.90141e+19,3.53118e+14,11,7,1001,1001,"2017-04-09T10:14:00.047+06","23.824385949145213 90.37795722151313 -47.73230282151766 4.0","23.82438595","90.37795722","-47.73230282","4",1,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","9","Piped to drain to lake","2","2","1","24","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"2017-04-09T15:56:44.275+06","uuid:0434fa76-ddb6-4547-b025-f8656813b1be","0434fa76-ddb6-4547-b025-f8656813b1be","2017-04-09T09:57:54"
"2017-04-09T10:37:59.943+06",3.10411e+14,8.90141e+19,3.53118e+14,11,7,1002,1002,"2017-04-09T10:33:00.652+06","23.82341160257964 90.379002694845 -35.271065058592924 4.0","23.8234116","90.37900269","-35.27106506","4",1,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","2","5","3","17","0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Dirty place",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-09T16:14:01.751+06","uuid:271d545b-d15b-4296-9efe-ad9c6cef79ff","271d545b-d15b-4296-9efe-ad9c6cef79ff","2017-04-09T10:16:40"
"2017-04-09T10:10:14.877+06",3.10411e+14,8.90141e+19,3.53118e+14,11,7,1003,1003,"2017-04-09T10:14:00.787+06","23.82372191504307 90.37809503999661 -50.5908032931785 6.0","23.82372192","90.37809504","-50.59080329","6",1,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","2","3","2","21","0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No hand washing station available.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-09T15:30:28.400+06","uuid:8fba1ace-4440-459e-8d8f-bc5dc225c7b5","8fba1ace-4440-459e-8d8f-bc5dc225c7b5","2017-04-09T10:14:27"
"2017-04-09T10:43:05.556+06",3.10411e+14,8.90141e+19,3.53118e+14,11,9,1004,1004,"2017-04-09T10:36:00.182+06","23.824370075206943 90.37797074570855 -44.25269524518508 4.0","23.82437008","90.37797075","-44.25269525","4",1,0,"0.22","n/a","n/a","n/a","n/a","4","n/a","0","n/a","1","0.06","0.16","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-09T15:55:44.255+06","uuid:a72a7107-2050-493d-a74d-d3e421723f60","a72a7107-2050-493d-a74d-d3e421723f60","2017-04-09T09:58:08"
"2017-04-10T11:53:13.068+06",3.10411e+14,8.90141e+19,3.53118e+14,11,3,1005,1005,"2017-04-10T11:45:00.721+06","23.823850831404176 90.37754429927003 -38.3129433774885 4.0","23.82385083","90.3775443","-38.31294338","4",1,0,"0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","4","n/a","2","0.02","0.06","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Near Road, household & Near by a drain",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-10T14:36:50.688+06","uuid:fe56b818-e775-4c55-a9c7-4d0734ccfe9f","fe56b818-e775-4c55-a9c7-4d0734ccfe9f","2017-04-10T08:44:49"
"2017-04-09T11:05:26.541+06",3.10411e+14,8.90141e+19,3.53118e+14,11,8,1006,1006,"2017-04-09T11:01:00.783+06","23.82431679073817 90.37806824078892 -53.648705130893575 4.0","23.82431679","90.37806824","-53.64870513","4",1,0,"n/a","2","3","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Drain close,trash,child and people walk",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-09T15:56:28.511+06","uuid:1308a08d-8b76-43fd-9f36-4930731dec9e","1308a08d-8b76-43fd-9f36-4930731dec9e","2017-04-09T09:58:13"
"2017-04-09T11:24:37.739+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1,1007,1007,"2017-04-09T11:20:00.449+06","23.824281154536298 90.3781648042495 -31.455191120357657 4.0","23.82428115","90.3781648","-31.45519112","4",1,0,"43.31","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","1","2","2","n/a","1","1","0","0","1","1","0","1","20","n/a","n/a","Lot of feace and trash, child and people walk",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"2017-04-09T15:57:23.481+06","uuid:e6e4219d-e8d1-4fe1-a8cb-01c6547d50d2","e6e4219d-e8d1-4fe1-a8cb-01c6547d50d2","2017-04-09T09:59:37"
"2017-04-09T10:57:22.017+06",3.10411e+14,8.90141e+19,3.53118e+14,11,3,1008,1008,"2017-04-09T11:00:00.921+06","23.8236980327688 90.37808942419315 -39.98361050889408 16.0","23.82369803","90.37808942","-39.98361051","16",1,0,"0.66","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","6","Flexible pipe","2","0.04","0.08","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","This place connect many pipe and many people use this water.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-09T15:30:00.355+06","uuid:c89617cd-5008-4dc3-9f42-a34a7102cf45","c89617cd-5008-4dc3-9f42-a34a7102cf45","2017-04-09T10:14:53"
"2017-04-09T11:12:36.091+06",3.10411e+14,8.90141e+19,3.53118e+14,11,9,1009,1009,"2017-04-09T11:10:00.423+06","23.823625506988 90.37805408216606 -66.42893662128655 8.0","23.82362551","90.37805408","-66.42893662","8",1,0,"1.6","n/a","n/a","n/a","n/a","4","n/a","1","1","2","0.03","0.09","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Wasa water besides letrine.many people use this water",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-09T15:28:18.599+06","uuid:6e269722-0d04-4467-a49e-599aa7e9e430","6e269722-0d04-4467-a49e-599aa7e9e430","2017-04-09T10:16:56"
"2017-04-09T11:27:27.714+06",3.10411e+14,8.90141e+19,3.53118e+14,11,8,1010,1010,"2017-04-09T11:23:00.516+06","23.823551498967774 90.37852916857588 -29.85364169138435 4.0","23.8235515","90.37852917","-29.85364169","4",2,0,"n/a","2","3","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Open bathing place,open drain",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-09T16:13:53.942+06","uuid:f937eb08-41b1-43b4-ae28-213348f91911","f937eb08-41b1-43b4-ae28-213348f91911","2017-04-09T10:17:59"
