number,formid,form.com_dd,form.neighbor,form.neighbor_other,form.entity,form.com_gps,form.com_gps_unit,form.com_gps_id,form.com_gps_lat,form.com_gps_lon,form.com_waypoint,form.num_partic,form.num_fem,form.num_male,form.com_q1a,form.com_q1b,form.com_q2a,form.com_q2b,form.com_q3a,form.com_q3b,form.com_q4a,form.com_q4b,form.com_q4c,form.com_q4d,form.com_q4e,form.com_q4f,form.com_q4g,form.com_q4h,form.com_q5a,form.com_q5b,form.com_q5c,form.com_q5d,form.com_q5e,form.com_q5f,form.com_q5g,form.com_q5h,form.com_q6a,form.com_q6b,form.com_q6c,form.com_q6d,form.com_q6e,form.com_q6f,form.com_q6g,form.com_q6h,form.com_q6i,form.com_q6j,form.com_q7a,form.com_q7b,form.com_q7c,form.com_q7d,form.com_q7e,form.com_q7f,form.com_q7g,form.com_q7h,form.com_q8a,form.com_q8b,form.com_q8c,form.com_q8d,form.com_q8e,form.com_q8f,form.com_q8g,form.com_q8h,form.com_q8i,form.com_q8j,form.com_q9a,form.com_q9b,form.com_q9c,form.com_q9d,form.com_q9e,form.com_q9f,form.com_q9g,form.com_q9h,form.com_q10a,form.com_q10b,form.com_q10c,form.com_q10d,form.com_q10e,form.com_q10f,form.com_q10g,form.com_q10h,form.com_q11a,form.com_q11b,form.com_q12a,form.com_q12b,form.com_q12c,form.com_q12d,form.com_q13a,form.com_q13b,form.com_q13c,form.com_q13d,form.com_q14a,form.com_q14b,form.com_q14c,form.com_q14d,form.com_q14e,form.com_q14f,form.com_q15a,form.com_q15b,form.com_q15c,form.com_q15d,form.com_q15e,form.com_q15f,form.com_q16a,form.com_q16b,form.com_q16c,form.com_q16d,form.com_q16e,form.com_q16f,form.com_q16g,form.com_q16h,form.com_q17a,form.com_q17c,form.com_q17e,form.com_q17g,form.com_q17i,form.com_q18a,form.com_q19a,form.com_q19b,form.com_q19c,form.com_q19d,form.com_q19e,form.com_q19f,form.com_q19g,form.com_q19h,form.com_q19i,form.com_q19j,form.com_q20a,form.com_q20b,form.com_q20c,form.com_q20d,form.com_q20e,form.com_q20f,form.com_q20g,form.com_q20h,form.com_q20i,form.com_q20j,form.com_q21a,form.com_q21b,form.com_q21c,form.com_q21d,form.com_q21e,form.com_q21f,form.com_q21g,form.com_q21h,form.com_q21i,form.com_q21j,form.com_q22a,form.com_q22b,form.com_q22c,form.com_q22d,form.com_q22e,form.com_q22f,form.com_q22g,form.com_q22h,form.com_q22i,form.com_q22j,form.com_q23a,form.com_q23b,form.com_q23c,form.com_q23d,form.com_q23e,form.com_q23f,form.com_q23g,form.com_q23h,form.com_q23i,form.com_q23j,form.com_q24a,form.com_q24b,form.com_q24c,form.com_q24d,form.com_q24e,form.com_q24f,form.com_q24g,form.com_q24h,form.com_q24i,form.com_q24j,form.com_q25a,form.com_q25b,form.com_q25c,form.com_q25d,form.com_q25e,form.com_q25f,form.com_q25g,form.com_q25h,form.com_q25i,form.com_q25j,form.com_notes,form.com_enumerator_names,form.ocean_qs,form.surface_qs,completed_time,started_time,username,received_on,caseid,case_name
0,52bc5885-345e-4d2c-84bc-3fbca4af268f,2016-04-29 12:01:00,Chorkor,---,MALE,5.526913406417318 -0.23930145923163584 33.98 6.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,10,0,3,0,2,0,1,0,3,0,8,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,7,0,2,0,4,0,1,0,6,0,5,0,1,0,2,0,0,0,9,0,4,0,0,0,2,0,6,0,6,0,4,0,0,0,4,0,7,0,8,0,3,0,12,0,8,0,0,0,7,0,1,0,14,0,10,0,2,0,2,0,6,0,4,0,11,3,11,2,10,11,3,0,6,0,0,0,4,0,0,0,2,0,1,0,1,0,1,0,4,0,5,0,2,0,1,0,2,0,1,0,4,0,5,0,1,0,0,0,0,0,3,0,4,0,0,0,1,0,1,0,2,0,5,0,1,0,0,0,2,0,6,0,1,0,0,0,0,0,1,0,NA,"MICHAEL,REGINALD,ANABEL,FREDRICK",1,1,2016-04-29 13:41:56,2016-04-29 12:01:31,maggrey,2016-04-29 13:42:02,---,---
1,45ba021d-06d2-4dee-a2e6-107bd61b590c,2016-07-21 16:29:00,Kokomlemle,---,Female,5.57584582 -0.20522697 53.0 5.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5,0,2,0,5,0,2,0,1,0,10,0,1,0,0,0,4,0,7,0,4,0,1,0,1,0,2,0,4,0,4,0,5,0,2,0,7,0,3,0,1,0,4,0,6,0,10,0,5,0,5,0,5,0,7,0,3,0,5,0,2,0,8,0,5,0,3,0,2,0,5,0,5,0,2,4,11,4,1,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,0,2,0,0,0,2,0,2,0,1,0,2,0,4,0,1,0,0,0,3,0,2,0,0,0,1,0,2,0,1,0,2,0,4,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,NA,"Irving, Solomon",0,0,2016-07-21 17:52:06,2016-07-21 16:29:38,iselby,2016-07-22 10:41:43,---,---
2,9e1b3764-df84-4e87-b5f3-c92c390d617d,2016-03-21 11:24:00,Shiabu,---,shiabu male group,5.5251815 -0.25671541 64.0 11.0,No,---,---,---,---,20,0,20,0,0,20,0,20,0,17,0,1,0,0,0,1,1,14,0,2,0,2,0,2,0,19,0,0,0,0,0,1,0,---,---,14,0,1,0,1,0,4,0,16,0,0,0,0,0,4,0,0,0,9,0,1,0,1,0,8,0,16,0,1,0,1,0,2,0,0,0,2,0,---,---,2,0,---,---,1,0,2,0,15,0,1,1,1,0,16,0,2,1,0,1,0,1,---,---,1,1,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Facillitator should be able to speak the local language.

respondents would prefer to tick answers on a sheet instead of voting with envelope.

respondents complained about duration of the survey.",.,1,1,2016-03-21 13:18:01,2016-03-21 11:24:52,test,2016-03-21 13:18:06,---,---
3,a42b0f2d-1998-4df6-9b6f-20667b7b51fb,2016-07-21 16:50:00,Kokomlemle,---,MALE,5.57566533 -0.20540422 85.0 12.0,No,---,---,---,---,14,0,14,0,0,14,0,14,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6,0,6,0,2,0,0,0,0,0,6,0,3,0,3,0,2,0,4,0,4,0,4,0,4,0,0,0,3,0,7,0,2,0,2,0,6,0,6,0,2,0,0,0,4,0,11,0,3,0,9,0,5,0,9,0,2,0,3,0,0,0,11,0,3,0,9,0,2,0,0,0,3,0,1,2,9,1,3,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,0,0,0,1,0,1,0,2,0,2,0,2,0,0,0,0,0,4,0,2,0,2,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,NA,MICHAEL,0,0,2016-07-21 18:40:20,2016-07-21 16:50:06,maggrey,2016-07-22 10:42:12,---,---
4,b874ab1b-5cdc-49fb-86eb-d3ba359d1546,2016-06-15 12:21:00,Adabraka,---,Female,5.56129011 -0.21149583 13.0 5.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7,0,1,0,2,0,3,0,2,0,12,0,1,0,1,0,1,0,9,0,1,0,0,0,4,0,1,0,8,0,7,0,0,0,0,0,9,0,1,0,3,0,2,0,0,0,12,0,3,0,9,0,3,0,9,0,3,0,3,0,5,0,7,0,3,0,3,0,5,0,4,0,3,0,9,8,12,4,1,7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5,0,0,0,1,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,4,0,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,NA,"Irving, Micheal, Fred",0,0,2016-06-15 13:21:17,2016-06-15 12:21:07,iselby,2016-06-15 13:22:28,---,---
5,681fa486-036c-45eb-908b-33590f1222ca,2016-05-04 11:23:00,Chorkor,---,All Male,5.52611409 -0.24841496 42.0 9.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,11,0,1,0,3,0,0,0,10,0,2,0,3,0,0,0,3,0,5,0,2,0,1,0,4,0,11,0,2,0,1,0,1,0,2,0,3,0,8,0,1,0,1,0,8,0,7,0,0,0,0,0,7,0,0,0,6,0,2,0,3,0,2,0,13,0,0,0,13,0,1,0,1,0,13,0,0,0,2,0,13,0,2,0,0,0,0,0,13,0,5,4,10,1,5,8,3,0,0,0,3,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,1,0,0,0,2,0,2,0,3,0,5,0,0,0,1,0,2,0,0,0,4,0,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,NA,"Ethel, Solomon, Betty, Irving",1,1,2016-05-04 13:20:36,2016-05-04 11:23:53,iselby,2016-05-04 13:20:42,---,---
6,85979a2c-f0f5-46f0-ac12-8d9cca464aeb,2016-04-29 12:11:00,Chorkor,---,male,5.52612124 -0.24836444 31.0 10.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,12,0,0,0,2,0,1,0,10,0,3,0,1,0,1,0,10,0,1,0,1,0,1,0,2,0,13,0,1,0,1,0,0,0,4,0,3,0,4,3,0,0,1,0,10,0,2,0,2,0,1,0,8,0,1,0,5,0,1,0,5,0,7,0,8,0,5,0,5,0,8,0,2,0,5,0,6,0,4,0,6,0,8,0,0,0,2,0,5,0,10,5,12,3,2,12,9,1,2,1,0,1,1,1,0,1,5,1,0,1,2,1,2,1,3,0,3,1,0,1,4,1,1,1,4,0,3,1,2,1,3,1,1,1,3,1,4,1,1,1,4,1,2,1,1,1,4,1,0,1,6,1,0,1,2,1,4,1,2,1,1,1,1,1,4,1,NA,"Solomon, Ethel, Betty, Selby",1,1,2016-04-29 14:13:36,2016-04-29 12:11:46,slaryea,2016-04-29 14:13:41,---,---
7,cd63d32e-bc61-4b5b-b618-56092714660a,2016-03-17,2,---,male group,5.6072364 -0.2061839 0.0 2025.0,No,---,---,---,---,20,0,20,3,0,2,0,12,0,2,0,2,0,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,---,---,3,0,2,2,0,0,0,0,2,0,2,0,2,0,2,0,8,0,2,0,2,0,2,3,2,0,3,0,2,0,5,2,0,2,2,0,2,0,---,---,2,0,---,---,2,0,2,0,2,0,2,0,5,0,2,0,2,0,2,0,8,0,---,---,5,2,2,2,8,5,2,0,2,0,1,0,2,0,2,0,0,2,2,0,5,0,2,2,2,2,2,0,2,0,0,0,2,0,8,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,5,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,NA,---,---,---,2016-03-17 16:51:02,2016-03-17 12:51:35,test,2016-03-17 16:51:07,---,---
8,23bfc7f9-4984-4f72-9554-7af4b94a18f7,2016-05-03 12:10:00,Chorkor,---,MALE,5.52685298 -0.23910263 51.0 10.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,11,0,1,0,2,0,1,0,3,0,5,0,4,0,3,0,10,0,3,0,2,0,0,0,0,0,8,0,1,0,1,0,4,0,1,0,5,0,7,0,1,0,1,0,5,5,4,0,3,0,0,0,7,0,5,0,3,0,1,0,11,0,11,0,1,0,1,0,1,0,1,0,10,0,1,0,1,0,1,0,13,0,1,0,2,0,1,0,1,0,0,2,13,0,1,15,2,0,7,0,2,0,3,0,1,0,1,0,6,0,2,0,5,0,1,0,6,0,1,0,3,0,1,0,4,0,5,0,3,0,4,0,2,0,1,0,0,0,12,0,1,0,1,0,1,0,2,0,8,0,4,0,1,0,0,0,7,0,4,0,2,0,2,0,0,0,NA,"MICHAEL,REGINALD,FREDRICK,ANABEL",1,1,2016-05-03 14:46:04,2016-05-03 12:10:44,maggrey,2016-05-03 14:46:11,---,---
9,4e0066b9-5d1e-4055-b014-48bf3b35d031,2016-05-04 09:19:00,Chorkor,---,FEMALE,5.52668215 -0.23933929 42.0 5.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,3,0,1,0,9,0,2,0,4,0,0,0,8,0,3,0,13,0,0,0,1,0,0,0,1,0,13,0,2,0,0,0,0,0,3,0,3,0,4,0,0,0,5,0,5,0,4,0,6,0,0,0,12,0,2,0,0,0,1,0,4,0,1,0,14,0,1,0,14,0,1,0,14,0,14,0,0,0,0,0,14,0,1,0,1,0,0,0,14,0,0,0,15,4,6,15,4,0,1,0,0,0,5,0,5,0,3,0,0,0,0,0,10,0,2,0,12,0,1,0,1,0,0,0,1,0,14,0,1,0,0,0,0,0,0,0,8,0,5,0,0,0,1,0,1,0,14,0,0,0,1,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,NA,"ANABEL,REGINALD,MICHAEL,FREDRICK",1,1,2016-05-04 10:55:57,2016-05-04 09:19:44,maggrey,2016-05-04 10:56:04,---,---
