number,formid,form.sampleid,form.barcode,form.sampleid_no_match,form.sample_type,form.study_type,form.p_location,form.t_location,form.s_location,form.ec_dd,form.ec_th,form.ev_lat_lon,form.ev_way,form.ev_way_deviceID,form.neighbor,form.source_ty_ocean,form.other_source_ocean,form.produce_type,form.produce_quantity,form.water_level,form.water_flow,form.drain_size,form.drain_lining,form.currently_raining,form.rain_last_day,form.feces_near,form.animals_near,form.housolds_present,form.num_households_present,form.schools_present,form.pub_latrines_present,form.hh_latrines_present,form.orn_ag_present,form.businesses_present,form.source_ty,form.other_source,form.containr,form.covered,form.free_cl,form.total_cl,form.surface_source_ty,form.surface_source_ty_other,form.source_dist,form.particle_sample_type,form.particle_sample_type_other,form.swab_surface,form.swab_surface_other,form.source_type,form.source_type_other,form.n_stall,form.vis_fec,form.latrine_user_num,form.hw_stat,form.dis_lat,form.notes,form.collection_enumerator_names,form.@uiVersion,openrosa_headers.HTTP_X_OPENROSA_VERSION,date_header,auth_context.doc_type,auth_context.domain,form.collector_id,auth_context.user_id,_rev,computed_modified_on_,form.meta.location.@xmlns,form.ev_notes,auth_context.authenticated,form.#type,initial_processing_complete,form.sample_weight,path,domain,completed_time,started_time,username,received_on,caseid,case_name
0,4a1c7543-d7a7-46d6-b757-5e1c0fa685cb,295,295,---,7,---,---,---,---,2016-06-08,09:28:00.000Z,5.56223215 -0.2126179 47.0 5.0,295,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"Public laterine, laterine wall",4,---,12,6,9999,1,---,"No soap at handwashing station, within 3m of marketplace","MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-2984868aac5b0bae4b9b7e2519e69d24,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-08 09:35:23,2016-06-08 09:27:37,mchrisk,2016-06-08 09:35:29,---,---
1,4f541e58-3de7-43c0-9b66-e7ce8bfe3a4c,737,737,---,7,---,---,---,---,2016-04-27,12:27:00.000Z,5.52930312 -0.24034706 55.0 3.0,7117,SP 10,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,1,0,3,0,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-ed1b2ba32b73c42876041e974d647b78,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 12:28:48,2016-04-27 12:26:31,mchrisk,2016-04-27 12:28:53,---,---
2,55541245-18d2-4c73-8701-1830abece79e,248,248,---,1,T,---,5,---,2016-05-19,08:49:00.000Z,5.53265899 -0.24208795 53.0 5.0,248,WRI 2,Chorkor,---,---,---,---,1,2,1,1,0,0,0,0,1,2,1,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain filled trash,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-3ec39d80505879069ac0464f859ca143,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-19 19:51:46,2016-05-19 19:49:17,rkuddy,2016-05-19 08:52:29,---,---
3,53de2c74-c501-4b2e-be7d-a4288bd66ef7,465,465,---,2,---,---,---,---,2016-07-04,10:08:00.000Z,5.58043886 -0.20859493 56.0 5.0,465,WRI 4,Kokomlemle,---,---,Lettuce,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within mallata main market,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-1e110ee69c61e46f57c24cad2342ec28,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 10:09:29,2016-07-04 10:07:24,mchrisk,2016-07-04 10:09:40,---,---
4,57c183dc-b166-4aa7-b67e-d62e91ae3b1c,501,501,---,7,---,---,---,---,2016-07-08,11:32:00.000Z,5.5576263 -0.18572222 61.0 5.0,501,WRI 4,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,9999,0,---,N/A,MC,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-98b952f8b442c2efceb09ed1f26358d9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-08 10:33:56,2016-07-08 10:32:34,mchrisk,2016-07-08 10:34:05,---,---
5,581b4db1-0b21-48ef-a266-732ceb3f4721,512,512,---,2,---,---,---,---,2016-07-04,10:05:00.000Z,5.57990268 -0.20829905 22.0 5.0,512,WRI 3,Kokomlemle,---,---,green pepper,19,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,flies seen on sample,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-87a4d65fee4a9ba91da50ea858efde87,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 10:06:22,2016-07-04 10:04:34,rkuddy,2016-07-04 10:08:18,---,---
6,58d65869-29fc-43f0-a687-026ca88b1bbc,121,121,---,3,---,---,---,---,2016-05-04,11:29:00.000Z,5.53135603 -0.24117411 50.0 5.0,121,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,1,1,0.01,0.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,water stored in contalner (polytank),"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-8af670ad2ca7f6c6106da3772a3a5cd0,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-04 11:36:39,2016-05-04 11:29:05,cafrimpong,2016-06-03 17:10:39,---,---
7,48d245bd-fb0e-4c53-8d86-8cd52f5b6e9e,515,515,---,3,---,---,---,---,2016-07-04,10:38:00.000Z,5.5800211 -0.20685641 53.0 5.0,515,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,1,1,0.03,0.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-37012434bf42ee5e66271505aaf87402,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 10:40:43,2016-07-04 10:37:35,rkuddy,2016-07-04 10:42:43,---,---
8,46e5dd90-b89e-4949-b11b-d14691cc8481,314,314,---,8,---,---,---,---,2016-06-10,10:59:00.000Z,5.56986549 -0.21356662 32.0 8.0,314,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,9999,Within 3m of business and construction site,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-c697ba94629c99cace2af92668377503,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-10 11:00:37,2016-06-10 10:58:05,mchrisk,2016-06-10 11:00:45,---,---
9,4e0e9990-a4ee-489b-8be6-4eaa4eb58623,230,230,---,1,S,---,---,1,2016-05-12,09:33:00.000Z,5.52708702 -0.23789257 42.0 5.0,230,WRI 2,Chorkor,---,---,---,---,1,1,1,3,0,0,0,1,1,2,0,0,1,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-41c24e9b9186ef44d5315b6341b59c1c,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-12 20:39:35,2016-05-12 20:33:06,rkuddy,2016-05-12 09:40:13,---,---
