col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_type,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_p_wash,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_odw_type,col_odw_container,col_odw_container_lid,col_odw_id,col_odw_cl_free,col_odw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_pubshare,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hhs,col_l_toilet_hw,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
1,6,1008,1008,2018-03-19T08:49:00.000+02,-15.439728400378629 28.2538284033124 1287.983113885159 8.0,-15.4397284,28.2538284,1287.983114,8,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy n caanan,1,uuid:b12c1091-fb6b-46d2-b7bb-4965d5aed647,b12c1091-fb6b-46d2-b7bb-4965d5aed647,2018-03-19T11:54:46,,
1,8,1006,1006,2018-03-19T09:03:00.000+02,-15.438454425907237 28.253335979766437 1278.794453730852 4.0,-15.43845443,28.25333598,1278.794454,4,1,0,1,n/a,2,3,n/a,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy n caanan,1,uuid:4eec3180-73d4-49df-873f-a08711c944df,4eec3180-73d4-49df-873f-a08711c944df,2018-03-19T11:54:46,,
1,6,1009,1009,2018-03-19T09:18:00.000+02,-15.438256750619543 28.25351209638623 1274.7023029036359 4.0,-15.43825675,28.2535121,1274.702303,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy n caanan,1,uuid:354ab51b-ace1-4c1a-b563-4ce9768b0554,354ab51b-ace1-4c1a-b563-4ce9768b0554,2018-03-19T11:54:47,,
1,1,1007,1007,2018-03-19T09:51:00.000+02,-15.438637202919205 28.25550043236259 1280.3538407695116 6.0,-15.4386372,28.25550043,1280.353841,6,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,1,3,2,n/a,0,0,0,0,0,1,1,1,1,n/a,n/a,n/a,Canaan and Fermious,1,uuid:eac1b176-d280-43a4-924e-4fb7da69e285,eac1b176-d280-43a4-924e-4fb7da69e285,2018-03-19T11:54:47,,
1,1,1001,1001,2018-03-19T09:13:00.000+02,-15.43180304686667 28.26299214739655 1275.3469658234137 4.0,-15.43180305,28.26299215,1275.346966,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,2,2,4,n/a,0,0,1,0,0,1,1,1,2,n/a,n/a,Drain is between school and households ,Nancy kamulete,1,uuid:3217050f-2912-4c58-b571-7d987d869297,3217050f-2912-4c58-b571-7d987d869297,2018-03-19T11:55:06,,
1,11,1005,1005,2018-03-19T09:36:00.000+02,-15.43145565315457 28.262531396205176 1287.8609245683667 4.0,-15.43145565,28.2625314,1287.860925,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Collected borehole from a lodge ,Nancy kamulete,1,uuid:cc5a912f-019e-4ac9-a038-b08f96e1c9e4,cc5a912f-019e-4ac9-a038-b08f96e1c9e4,2018-03-19T11:55:06,,
1,6,1002,1002,2018-03-19T09:47:00.000+02,-15.43139206989319 28.261496439285136 1287.5085305699556 4.0,-15.43139207,28.26149644,1287.508531,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy Kafumukache,1,uuid:c2b680b1-7cfc-4882-8a25-3e30b6a02b9c,c2b680b1-7cfc-4882-8a25-3e30b6a02b9c,2018-03-19T11:55:07,,
1,6,1003,1003,2018-03-19T10:00:00.000+02,-15.432358101357408 28.260417667718315 1297.4341689849628 4.0,-15.4323581,28.26041767,1297.434169,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Floodwater-latrine,Wendy Kafumukache,1,uuid:24494bd0-6848-4eb8-80b8-7d93bf3c596f,24494bd0-6848-4eb8-80b8-7d93bf3c596f,2018-03-19T11:55:07,,
1,11,1010,1010,2018-03-19T09:40:00.000+02,-15.438409554099133 28.25506557604985 1287.749025335811 4.0,-15.43840955,28.25506558,1287.749025,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu and Alvin,1,uuid:9ee1c543-4c19-49dd-9c45-e88cba914441,9ee1c543-4c19-49dd-9c45-e88cba914441,2018-03-19T11:59:52,,
1,8,1013,1013,2018-03-19T10:17:00.000+02,-15.435763656038814 28.256829321507478 1295.4013027062906 4.0,-15.43576366,28.25682932,1295.401303,4,1,0,1,n/a,2,3,n/a,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu and Alvin,1,uuid:e2b24d00-2c68-4c20-b10f-193a32a6c760,e2b24d00-2c68-4c20-b10f-193a32a6c760,2018-03-19T11:59:53,,
