h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dwbore_a,h_dwbore_a_other,h_dwbore_c,h_dwbore_c_other,h_dwwell_a,h_dwwell_a_other,h_dwwell_c,h_dwwell_c_other,h_dw_e_wt,h_dw_e_wt_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_bw_source,h_bw_source_other,h_bw_source_na,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_ls_a,h_ls_a_other,h_ls_c,h_ls_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_notes,h_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
152,2018-03-20T11:08:00.000+02,-15.4383004 28.256865 0.0 2400.0,-15.4383004,28.256865,0.0,2400.0,1,2,1,6,1,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,3,n/a,1,n/a,2,n/a,3,n/a,3,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,1,n/a,The latrine does not flood,Wendy  Kafumukache,uuid:a22eb30d-d4fb-4ea8-b612-27b39e004f12,a22eb30d-d4fb-4ea8-b612-27b39e004f12,2018-03-20T11:28:21,,
352,2018-03-20T11:26:00.000+02,-15.4330649 28.2586923 0.0 2299.999,-15.4330649,28.2586923,0.0,2299.999,1,2,1,9,1,4,n/a,5,n/a,3,n/a,2,n/a,3,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,4,n/a,5,n/a,4,n/a,5,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,The  household has a flushable toilet which is not shared with the other house within the compound ,Wendy Kafumukache,uuid:e885a0ba-a827-479e-90ce-bc4e03296f10,e885a0ba-a827-479e-90ce-bc4e03296f10,2018-03-20T11:28:22,,
552,2018-03-20T11:47:00.000+02,-15.4318666 28.2601541 0.0 2599.999,-15.4318666,28.2601541,0.0,2599.999,1,2,1,11,1,4,n/a,5,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,4,n/a,5,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,1,n/a,2,n/a,Latrine is being shared by 6 households ,Wendy Kafumukache,uuid:74d9ea7f-d720-4495-9b40-3440a25828b8,74d9ea7f-d720-4495-9b40-3440a25828b8,2018-03-20T11:28:22,,
153,2018-03-20T11:13:00.000+02,-15.43388669382001 28.257039618317698 1285.9560517261696 4.0,-15.43388669382001,28.257039618317698,1285.9560517261696,4.0,1,2,1,5,1,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,5,n/a,1,n/a,2,n/a,2,n/a,3,n/a,5,n/a,3,n/a,5,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Compound has no latrine. Just use plastics or borrow from neighboring  houses,Mpundu,uuid:9221941f-d854-45cb-9e5f-d5995cb9bd0e,9221941f-d854-45cb-9e5f-d5995cb9bd0e,2018-03-20T11:31:06,,
253,2018-03-20T11:29:00.000+02,-15.4320590676394 28.255566077219978 1285.8207143422214 4.0,-15.4320590676394,28.255566077219978,1285.8207143422214,4.0,1,2,1,4,1,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Compound with 5 households.,Mpundu,uuid:2f3c68b9-28c1-456d-92cf-53b135c5c95b,2f3c68b9-28c1-456d-92cf-53b135c5c95b,2018-03-20T11:31:06,,
1S1,2018-03-20T11:15:00.000+02,-15.43255952039434 28.26219849330813 1292.248031443398 4.0,-15.43255952039434,28.26219849330813,1292.248031443398,4.0,1,2,1,4,1,4,n/a,5,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,3,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,Fermy n caanan,uuid:05122c67-26af-43fc-b064-154d9496123c,05122c67-26af-43fc-b064-154d9496123c,2018-03-20T11:38:00,,
3S1,2018-03-20T11:40:00.000+02,-15.431614955904791 28.26301473142442 1283.2575111437486 4.0,-15.431614955904791,28.26301473142442,1283.2575111437486,4.0,1,2,1,5,1,4,n/a,4,n/a,1,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,4,n/a,2,n/a,3,n/a,4,n/a,3,n/a,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,Fermy n canaan,uuid:9bc7ac5a-2e3a-4ad0-bf11-6171e1e18cf2,9bc7ac5a-2e3a-4ad0-bf11-6171e1e18cf2,2018-03-20T11:38:01,,
353,2018-03-20T11:12:00.000+02,-15.43284446 28.25736852 1283.0 5.0,-15.43284446,28.25736852,1283.0,5.0,1,2,1,5,1,3,n/a,5,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide Nakasamu,uuid:e6b0ad7a-7648-49e0-8625-7630b84b6670,e6b0ad7a-7648-49e0-8625-7630b84b6670,2018-03-20T11:42:49,,
453,2018-03-20T11:32:00.000+02,-15.43341747 28.25835062 1274.0 5.0,-15.43341747,28.25835062,1274.0,5.0,1,2,1,8,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide Nakasamu,uuid:c50180c2-877d-4d6e-829b-95f2a08d6f72,c50180c2-877d-4d6e-829b-95f2a08d6f72,2018-03-20T11:42:50,,
553,2018-03-20T11:49:00.000+02,-15.4337671 28.25764052 1277.0 4.0,-15.4337671,28.25764052,1277.0,4.0,1,2,1,4,1,3,n/a,3,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide Nakasamu,uuid:fc27cdc1-0e32-48dc-b638-44b194042d78,fc27cdc1-0e32-48dc-b638-44b194042d78,2018-03-20T11:42:50,,
