col_start_dt,col_end_dt,lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_analysis,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_idexx,lab_1_ecoli_big_idexx,lab_1_ecoli_small_idexx,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_idexx,lab_2_ecoli_big_idexx,lab_2_ecoli_small_idexx,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_idexx,lab_3_ecoli_big_idexx,lab_3_ecoli_small_idexx,lab_notes,lab_enum,lab_photo,lab_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2018-03-20T12:37:54.000-04:00,2018-03-21T13:39:39.000-04:00,2018-03-20T12:37:54.000-04:00,1,1001,1001,2018-03-19T13:30:00.000-04:00,2018-03-19T14:00:00.000-04:00,2018-03-20T14:00:00.000-04:00,1,n/a,n/a,n/a,6,1,2,49,41,5,1,2,31,12,1,4,1,2,11,2,n/a,evans,0,2018-03-21T13:39:39.000-04:00,uuid:6c59cc43-8717-473c-a2d3-bdebeb5c3269,6c59cc43-8717-473c-a2d3-bdebeb5c3269,2018-03-20T16:56:25,,
2018-03-20T18:51:12.000+02:00,2018-03-20T19:00:43.000+02:00,2018-03-20T18:51:12.000+02:00,6,1015,1015,2018-03-19T14:15:00.000+02:00,2018-03-19T14:30:00.000+02:00,2018-03-20T14:45:00.000+02:00,1,n/a,n/a,n/a,7,1,2,18,0,6,1,2,5,1,1,5,1,2,0,0,No contamination was observed,Evans Mulenga,0,2018-03-20T19:00:43.000+02:00,uuid:50a8f9fc-a59f-48f8-9e97-333a4a1520d1,50a8f9fc-a59f-48f8-9e97-333a4a1520d1,2018-03-20T17:00:58,,
2018-03-20T19:00:43.000+02:00,2018-03-20T19:08:29.000+02:00,2018-03-20T19:00:43.000+02:00,8,1013,1013,2018-03-19T14:15:00.000+02:00,2018-03-19T14:30:00.000+02:00,2018-03-20T13:30:00.000+02:00,1,n/a,n/a,83.36,7,1,2,3,0,6,1,2,0,0,1,5,1,2,0,0,OK,Evans Mulenga,0,2018-03-20T19:08:29.000+02:00,uuid:1630af9e-1f8b-4278-af44-5bfeecdbcb50,1630af9e-1f8b-4278-af44-5bfeecdbcb50,2018-03-20T17:08:44,,
2018-03-20T19:08:29.000+02:00,2018-03-20T19:16:15.000+02:00,2018-03-20T19:08:29.000+02:00,1,1014,1014,2018-03-19T14:45:00.000+02:00,2018-03-19T14:50:00.000+02:00,2018-03-20T14:50:00.000+02:00,1,n/a,n/a,n/a,6,1,2,3,0,5,1,2,0,0,1,4,1,2,0,0,OK,Evans Mulenga,0,2018-03-20T19:16:15.000+02:00,uuid:23abb3ae-6ca2-4f3b-b05f-f8ead44277d6,23abb3ae-6ca2-4f3b-b05f-f8ead44277d6,2018-03-20T17:16:30,,
2018-03-20T19:16:15.000+02:00,2018-03-20T19:23:34.000+02:00,2018-03-20T19:16:15.000+02:00,6,1003,1003,2018-03-19T15:00:00.000+02:00,2018-03-19T15:05:00.000+02:00,2018-03-20T15:10:00.000+02:00,1,n/a,n/a,n/a,7,1,2,32,3,6,1,2,5,0,1,5,1,2,1,0,OK,Evans Mulenga,0,2018-03-20T19:23:34.000+02:00,uuid:2acd0553-8caa-43b8-9c70-774df0257c88,2acd0553-8caa-43b8-9c70-774df0257c88,2018-03-20T17:23:50,,
2018-03-20T19:19:39.000+02:00,2018-03-21T13:43:37.000-04:00,2018-03-20T19:19:39.000+02:00,11,1010,1010,2018-03-19T13:15:00.000+02:00,2018-03-19T13:45:00.000+02:00,2018-03-20T14:15:00.000+02:00,1,n/a,n/a,n/a,7,100,2,49,15,7,10,2,19,2,0,n/a,n/a,n/a,n/a,n/a,n/a,Maron Mubanga,0,2018-03-21T13:43:37.000-04:00,uuid:09f52cf9-cb84-4fdb-936e-0c776760748f,09f52cf9-cb84-4fdb-936e-0c776760748f,2018-03-20T17:24:28,,
2018-03-20T19:24:20.000+02:00,2018-03-20T19:30:09.000+02:00,2018-03-20T19:24:20.000+02:00,6,1009,1009,2018-03-19T13:30:00.000+02:00,2018-03-19T14:45:00.000+02:00,2018-03-20T14:15:00.000+02:00,1,n/a,n/a,n/a,7,1,2,22,14,6,1,2,10,4,1,5,1,2,3,1,n/a,Maron Mubanga,0,2018-03-20T19:30:09.000+02:00,uuid:46d05016-8b39-495e-945e-1d1041ad6293,46d05016-8b39-495e-945e-1d1041ad6293,2018-03-20T17:30:18,,
2018-03-20T19:23:34.000+02:00,2018-03-20T19:31:54.000+02:00,2018-03-20T19:23:34.000+02:00,8,1000,1000,2018-03-19T15:10:00.000+02:00,2018-03-19T15:20:00.000+02:00,2018-03-20T15:30:00.000+02:00,1,n/a,n/a,81.99,7,1,2,3,0,6,1,2,0,0,1,5,1,2,0,0,OK,Evans Mulenga,0,2018-03-20T19:31:54.000+02:00,uuid:e19ef634-8ae7-4726-a86e-e679cb8b013e,e19ef634-8ae7-4726-a86e-e679cb8b013e,2018-03-20T17:32:09,,
2018-03-20T19:30:09.000+02:00,2018-03-20T19:33:55.000+02:00,2018-03-20T19:30:09.000+02:00,6,1008,1008,2018-03-19T13:30:00.000+02:00,2018-03-19T14:15:00.000+02:00,2018-03-20T14:30:00.000+02:00,1,n/a,n/a,n/a,7,1,2,48,15,6,1,2,15,3,1,5,1,2,2,1,n/a,Maron Mubanga,0,2018-03-20T19:33:55.000+02:00,uuid:22669313-b062-4e8b-9334-1202910114c0,22669313-b062-4e8b-9334-1202910114c0,2018-03-20T17:34:04,,
2018-03-20T19:31:54.000+02:00,2018-03-21T13:50:20.000-04:00,2018-03-20T19:31:54.000+02:00,6,1002,1002,2018-03-19T15:35:00.000+02:00,2018-03-19T15:40:00.000+02:00,2018-03-20T15:45:00.000+02:00,1,n/a,n/a,n/a,7,1,2,6,0,6,1,2,1,0,1,5,1,2,0,0,OK,Evans Mulenga,0,2018-03-21T13:50:20.000-04:00,uuid:72fb409f-066f-41a1-8b05-b046a9e6d3b6,72fb409f-066f-41a1-8b05-b046a9e6d3b6,2018-03-20T17:38:05,,
2018-03-20T19:33:55.000+02:00,2018-03-21T13:44:22.000-04:00,2018-03-20T19:33:55.000+02:00,11,1005,1005,2018-03-19T13:30:00.000+02:00,2018-03-19T14:15:00.000+02:00,2018-03-20T14:30:00.000+02:00,1,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,Maron Mubanga,0,2018-03-21T13:44:22.000-04:00,uuid:49852fc9-eeba-4b77-a401-6c066476cdc9,49852fc9-eeba-4b77-a401-6c066476cdc9,2018-03-20T17:38:59,,
2018-03-20T19:38:51.000+02:00,2018-03-20T19:43:30.000+02:00,2018-03-20T19:38:51.000+02:00,8,1006,1006,2018-03-19T15:00:00.000+02:00,2018-03-19T16:00:00.000+02:00,2018-03-20T16:30:00.000+02:00,1,n/a,n/a,74.73,6,1,2,9,7,5,1,2,2,0,1,4,1,2,0,0,n/a,Maron Mubanga,0,2018-03-20T19:43:30.000+02:00,uuid:eca19b3f-cb91-4650-b368-e1db11389664,eca19b3f-cb91-4650-b368-e1db11389664,2018-03-20T17:43:39,,
2018-03-20T19:37:50.000+02:00,2018-03-21T13:38:02.000-04:00,2018-03-20T19:37:50.000+02:00,1,1007,1007,2018-03-19T15:30:00.000+02:00,2018-03-19T16:30:00.000+02:00,2018-03-20T17:00:00.000+02:00,1,n/a,n/a,n/a,6,1,2,5,1,5,1,2,4,0,1,4,1,2,0,0,OK,Evans Mulenga,0,2018-03-21T13:38:02.000-04:00,uuid:99347666-4631-4c85-902b-3ec219dd2209,99347666-4631-4c85-902b-3ec219dd2209,2018-03-20T17:45:44,,
2018-03-21T18:49:09.000+02:00,2018-03-21T18:59:44.000+02:00,2018-03-21T18:49:09.000+02:00,7,1022,1022,2018-03-20T11:00:00.000+02:00,2018-03-20T13:00:00.000+02:00,2018-03-21T13:00:00.000+02:00,1,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,No contamination from Negative control,Evans Mulenga,0,2018-03-21T18:59:44.000+02:00,uuid:41b8f124-62c0-4e6c-af17-de946a1e69d7,41b8f124-62c0-4e6c-af17-de946a1e69d7,2018-03-21T17:00:01,,
2018-03-21T18:59:44.000+02:00,2018-03-21T19:06:58.000+02:00,2018-03-21T18:59:44.000+02:00,7,1023,1023,2018-03-20T11:00:00.000+02:00,2018-03-20T13:00:00.000+02:00,2018-03-21T13:00:00.000+02:00,1,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,OK,Evans Mulenga,0,2018-03-21T19:06:58.000+02:00,uuid:6c4cab0b-10b5-4868-a7fc-13a0c9a1583a,6c4cab0b-10b5-4868-a7fc-13a0c9a1583a,2018-03-21T17:07:13,,
2018-03-21T19:06:58.000+02:00,2018-03-21T19:12:50.000+02:00,2018-03-21T19:06:58.000+02:00,7,1030,1030,2018-03-20T11:00:00.000+02:00,2018-03-20T13:00:00.000+02:00,2018-03-21T13:00:00.000+02:00,1,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,OK,Evans Mulenga,0,2018-03-21T19:12:50.000+02:00,uuid:eb9f9354-0d03-4587-a32a-670ae4e773f1,eb9f9354-0d03-4587-a32a-670ae4e773f1,2018-03-21T17:13:06,,
2018-03-21T19:12:50.000+02:00,2018-03-21T19:20:13.000+02:00,2018-03-21T19:12:50.000+02:00,7,1018,1018,2018-03-20T12:00:00.000+02:00,2018-03-20T13:00:00.000+02:00,2018-03-21T13:00:00.000+02:00,1,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,ok,Evans Mulega,0,2018-03-21T19:20:13.000+02:00,uuid:73c6aa30-4318-439e-bc86-ed8608319673,73c6aa30-4318-439e-bc86-ed8608319673,2018-03-21T17:20:28,,
2018-03-22T17:52:27.000+02:00,2018-03-22T18:03:23.000+02:00,2018-03-22T17:52:27.000+02:00,7,1031,1031,2018-03-20T11:00:00.000+02:00,2018-03-20T12:00:00.000+02:00,2018-03-21T13:00:00.000+02:00,1,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,OK,Evans Mulenga,0,2018-03-22T18:03:23.000+02:00,uuid:863d426f-fad2-4efd-894e-36abb7070ee1,863d426f-fad2-4efd-894e-36abb7070ee1,2018-03-22T16:03:38,,
2018-03-22T18:03:23.000+02:00,2018-03-22T18:07:49.000+02:00,2018-03-22T18:03:23.000+02:00,7,1019,1019,2018-03-20T11:00:00.000+02:00,2018-03-20T14:00:00.000+02:00,2018-03-21T14:00:00.000+02:00,1,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,OK,Evans Mulenga,0,2018-03-22T18:07:49.000+02:00,uuid:b3108425-26d1-4534-97b7-304e2262451b,b3108425-26d1-4534-97b7-304e2262451b,2018-03-22T16:08:04,,
2018-03-22T18:07:49.000+02:00,2018-03-22T18:12:07.000+02:00,2018-03-22T18:07:49.000+02:00,3,1012,1012,2018-03-20T11:00:00.000+02:00,2018-03-20T14:20:00.000+02:00,2018-03-21T14:30:00.000+02:00,1,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,OK,Evans Mulenga,0,2018-03-22T18:12:07.000+02:00,uuid:5d984363-e863-44c0-8725-7d918c1db8b6,5d984363-e863-44c0-8725-7d918c1db8b6,2018-03-22T16:12:25,,
