HouseholdID,CompoundID,MapSanHHID,dd,th,neighbor,lat,long,hh_q1,A_od,C_od,A_cf_rs,C_cf_rs,has_l,A_use_l,C_use_l,hh_q9,no_la_a,no_la_b,no_la_c,no_la_d,no_la_e,collectr,group
1,2038,1,3/6/2015,10:22:00 AM,1,25.93534,32.56261,1,4,1,1,1,,1,1,,0,1,0,0,0,Anabela,0
2,3030,1,3/13/2015,10:04:00 AM,2,25.94331,32.5812,0,1,,1,,1,3,,5,0,1,0,0,0,Anabela,0
3,3031,1,3/11/2015,11:00:00 AM,2,25.9434,32.57974,0,2,,1,,1,2,,,0,0,1,0,0,Gizela Brito,0
4,2031,1,3/3/2015,10:13:00 AM,1,25.94365,32.55762,1,4,4,2,2,,2,2,,0,1,0,0,0,Gizela Brito,0
5,2032,1,3/2/2015,10:45:00 AM,1,25.94365,32.55764,1,4,4,3,1,,2,2,,0,0,1,0,0,Gizela Brito,0
6,2034,1,3/5/2015,10:50:00 AM,1,25.94376,32.55799,,1,1,1,1,,2,1,,1,0,0,0,0,Anabela,0
7,2034,1,3/5/2015,10:42:00 AM,1,25.94376,32.55799,1,4,5,2,5,,1,5,,0,0,1,0,0,Anabela,0
8,2036,1,3/6/2015,9:38:00 AM,1,25.96199,32.58968,1,4,4,1,1,,3,3,,0,1,0,0,0,Eloisa Mula,0
9,2040,1,3/10/2015,10:06:00 AM,1,25.93496,32.56271,0,1,,1,,,2,,5,0,0,1,0,0,Anabela,0
10,2041,1,3/10/2015,10:14:00 AM,1,25.95265,32.5597,0,4,,3,,,3,,6,0,1,0,0,0,Gizela Brito,0
11,2036,2,3/6/2015,9:33:00 AM,1,25.96199,32.58968,1,3,3,3,2,,3,3,,0,1,1,0,0,Gizela Brito,0
12,3037,2,3/12/2015,9:00:00 AM,2,25.94513,32.57913,1,1,3,1,1,1,2,5,8,0,1,1,0,0,Bacelar,0
13,2040,2,3/10/2015,10:18:00 AM,1,25.93496,32.56271,1,1,1,1,1,,2,2,5,0,0,1,0,0,Anabela,0
14,2041,2,3/10/2015,9:29:00 AM,1,25.95265,32.5597,1,3,4,3,2,,3,3,6,0,1,0,0,0,Gizela Brito,0
15,3006,2,3/12/2015,9:46:00 AM,2,25.9439,32.58358,0,4,,4,,1,3,,6,0,0,1,0,0,Gizela Brito,0
16,3030,2,3/13/2015,9:59:00 AM,2,25.94331,32.5812,0,1,,1,,1,,2,5,0,0,1,0,0,Anabela,0
17,3034,2,3/13/2015,10:03:00 AM,2,25.94316,32.58126,0,4,,2,,1,3,,3,0,0,1,0,0,Gizela Brito,0
