SampleID,CompoundID,ec_dd,ec_th,ev_lat,ev_long,ev_way,neighbor,dis_lat,ev_notes,source_bw,source_other,stored,covered,ec_sd,ec_st,ec_isd,ec_ist,ec_ied,ec_iet,ec_dil1,ec_dil2,ec_dil3,ec_ecnt1,ec_ecnt2,ec_ecnt3,tc_ecnt1,tc_ecnt2,tc_ecnt3,ec_blank,tc_blank,collectr,sp_type,sp_area,dis_com,weight,feces_3m,lat_type,lat_other,n_stall,Vis_fec,HW_stat,ev_way,operator
ACO2029,2029,5/12/2015,10:52:00 AM,25.94407,32.56058,026-29,1,6.96,,3,,1,1,5/12/2015,12:10:00 PM,5/12/2015,3:40:00 PM,5/13/2015,3:40:00 PM,1,2,,999,83,,999,79,,0,0,AMADEU-GIZELA,1,0,,,,,,,,,"026,29",MARCIO AMOS
ACO2030,2030,3/26/2015,9:05:00 AM,25.94715,32.55198,014-32,1,16.5,,3,,1,0,3/26/2015,12:15:00 PM,3/26/2015,5:00:00 PM,3/27/2015,5:00:00 PM,1,2,,0,0,,999,999,,0,0,GISELA-ELOISA,1,0,,,,,,,,,014.32,MARIA
ACO2031,2031,3/3/2015,9:38:00 AM,25.94365,32.55762,002-32,1,0,,3,,1,1,3/3/2015,2:23:00 PM,3/3/2015,3:20:00 PM,3/4/2015,5:08:00 PM,1,2,,0,0,,999,999,,0,0,ANABELA/BACELAR,1,0,,,,,,,,,002-32,MARIO AMOS
ACO2032,2032,3/2/2015,9:36:00 AM,25.94365,32.55764,001-32,1,8.45,,3,,1,1,3/2/2015,3:05:00 PM,3/2/2015,4:30:00 PM,3/3/2015,4:42:00 PM,1,2,,0,0,,998,999,,0,0,GIZELA/ELOISA,1,0,,,,,,,,,001.32,MARIO AMOS
ACO2034,2034,3/5/2015,9:40:00 AM,25.94376,32.55799,163-31,1,,,3,,1,0,3/5/2015,11:45:00 AM,3/5/2015,4:20:00 PM,3/6/2015,4:20:00 PM,1,2,,0,1,,999,999,,0,0,AMADEU/BACELAR,1,0,,,,,,,,,163-31,LAURINDA MACUCULE
ACO2035,2035,3/5/2015,9:14:00 AM,25.94497,32.55382,004-32,1,18,,3,,1,1,3/5/2015,11:45:00 AM,3/5/2015,4:20:00 PM,3/6/2015,4:20:00 PM,1,2,,0,0,,999,999,,0,0,ELOISA-GISELA-AMADEU,1,0,,,,,,,,,004.32,LAURINDA MACUCULE
ACO2036,2036,3/6/2015,9:48:00 AM,25.96199,32.58968,001-30,1,20.5,,3,,1,1,3/6/2015,12:15:00 PM,3/6/2015,4:50:00 PM,3/7/2015,5:00:00 PM,1,2,,0,0,,67,38,,0,0,GIZELA/ELOISA,1,0,,,,,,,,,001.30,MARIO AMOS
ACO2037,2037,3/9/2015,9:36:00 AM,25.93127,32.5613,164-31,1,20,Water collected within home (stored water).,3,,1,1,3/9/2015,12:00:00 AM,3/9/2015,4:03:00 PM,3/10/2015,4:08:00 PM,2,3,,19,4,,999,73,,0,0,ANABELA/BACELAR,1,0,,,,,,,,,164.31,SALMA XAVIER
ACO2038,2038,3/6/2015,9:06:00 AM,25.93534,32.56261,003-29,1,12.3,,3,,1,0,3/6/2015,12:15:00 PM,3/6/2015,4:50:00 PM,3/7/2015,5:00:00 PM,1,2,,0,0,,999,999,,0,0,BACELAR/ANABELA,1,0,,,,,,,,,003.29,MARIO AMOS
ACO2039,2039,3/9/2015,10:12:00 AM,25.94919,32.55866,004-30,1,11,,3,,1,1,3/9/2015,12:00:00 AM,3/9/2015,4:03:00 PM,3/10/2015,4:08:00 PM,2,3,,3,0,,53,18,,0,0,GIZELA,1,0,,,,,,,,,004.30,SALMA XAVIER
