"col_neighborhood","col_sample_type","col_id","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_rainweek","col_rainmon","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_latrine_distance","col_p_type","col_p_type_other","col_p_num","col_dw_type","col_dw_type_other","col_dw_container","col_dw_container_lid","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_l_toilet_type","col_l_toilet_type_other","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_hw","col_s_type","col_s_type_other","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_notes","col_enum","col_photo","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes"
282,9,7303,7303,"2018-11-02T09:15:00.000Z","6.670593543372788 -1.6294464167431717 266.64498013146135 4.0",6.67059354337279,-1.62944641674317,266.644980131461,4,2,0,1,,,,,,88,"Water gushing out from the earth - spring",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John and Alex",1,"uuid:270a4a78-571b-406c-9790-fdf3fd68901d","270a4a78-571b-406c-9790-fdf3fd68901d","2018-11-08T20:59:28",,
282,9,7305,7305,"2018-11-02T09:30:00.000Z","6.670601143389356 -1.6302172648197055 286.91934364729843 4.0",6.67060114338936,-1.63021726481971,286.919343647298,4,2,0,1,,,,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John and Alex",1,"uuid:1fea3cd8-278e-4b4b-b81c-650cecd5ba6f","1fea3cd8-278e-4b4b-b81c-650cecd5ba6f","2018-11-08T20:59:52",,
282,5,6303,6303,"2018-11-05T09:34:00.000Z","6.671048863099476 -1.6331449768615838 260.90036792113966 4.0",6.67104886309948,-1.63314497686158,260.90036792114,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"John and Alex",1,"uuid:f3512ddf-c5a1-4dbb-81d7-e7842ed4462d","f3512ddf-c5a1-4dbb-81d7-e7842ed4462d","2018-11-09T00:40:02",,
280,10,9001,9001,"2018-10-12T08:35:00.000Z","6.6930671429900155 -1.6161349783954941 328.4219027935217 4.0",6.69306714299002,-1.61613497839549,328.421902793522,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"John and Alex",1,"uuid:b8e7d01a-3d7f-440e-a11d-fa2890238725","b8e7d01a-3d7f-440e-a11d-fa2890238725","2018-10-15T20:31:57",,
280,10,9002,9002,"2018-10-12T09:00:00.000Z","6.691045699654324 -1.6164598775193764 278.29395778038304 4.0",6.69104569965432,-1.61645987751938,278.293957780383,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"John and Alex",1,"uuid:fd823a2f-dd9d-4bcd-9f9e-eca143aa8c20","fd823a2f-dd9d-4bcd-9f9e-eca143aa8c20","2018-10-15T20:33:11",,
280,10,9003,9003,"2018-10-12T09:09:00.000Z","6.69225613684549 -1.6159682856336992 288.3707932405228 4.0",6.69225613684549,-1.6159682856337,288.370793240523,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,"John and Alex",1,"uuid:f12300f0-9999-4aac-bbd6-88a667fa660b","f12300f0-9999-4aac-bbd6-88a667fa660b","2018-10-15T20:33:13",,
280,8,3001,3001,"2018-10-12T09:36:00.000Z","6.692600088495438 -1.6157131534894429 298.3983626231202 4.0",6.69260008849544,-1.61571315348944,298.39836262312,4,3,0,1,,2,3,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Playground at a school","John and Alex",1,"uuid:be53191a-5c2e-474f-bf5a-67186a537fb2","be53191a-5c2e-474f-bf5a-67186a537fb2","2018-10-15T20:34:28",,
280,8,3002,3002,"2018-10-12T10:01:00.000Z","6.690927945878567 -1.6177094481412868 291.0114967661176 4.0",6.69092794587857,-1.61770944814129,291.011496766118,4,3,0,1,,2,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soil from a school's playground. Chicken found loitering in the school","John and Alex",1,"uuid:d00fa2d4-f3e8-43b5-94c4-03bad6c4e2c3","d00fa2d4-f3e8-43b5-94c4-03bad6c4e2c3","2018-10-15T20:34:36",,
280,10,9004,9004,"2018-10-12T10:19:00.000Z","6.691857534441454 -1.6181935037875288 300.36003843560076 4.0",6.69185753444145,-1.61819350378753,300.360038435601,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,"John and Alex",1,"uuid:3eb96e86-b5fd-487e-95d4-39d4e88459f4","3eb96e86-b5fd-487e-95d4-39d4e88459f4","2018-10-15T20:36:07",,
280,8,3003,3003,"2018-10-12T10:40:00.000Z","6.694028113812749 -1.6194558800719359 293.6433303148955 4.0",6.69402811381275,-1.61945588007194,293.643330314895,4,2,0,1,,4,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sample from playground and popular pathway","John and Alex",1,"uuid:f0915d59-7f17-4e0b-a284-5a5d5d9b2270","f0915d59-7f17-4e0b-a284-5a5d5d9b2270","2018-10-15T20:36:09",,
