c_group,c_start,c_coordinates,_c_coordinates_latitude,_c_coordinates_longitude,_c_coordinates_altitude,_c_coordinates_precision,c_neighborhood,c_rainweek,c_participant_num,c_participant_gender,c_participant_female_obs,c_participant_male_obs,c_participant_female,c_participant_male,c_neighborhood_y,c_neighborhood_n,c_c_y,c_c_n,c_s_a_3,c_s_a_2,c_s_a_1,c_s_a_0,c_s_a_na,c_d_a_3,c_d_a_2,c_d_a_1,c_d_a_0,c_d_a_na,c_f_a_3,c_f_a_2,c_f_a_1,c_f_a_0,c_f_a_na,c_dw_a_3,c_dw_a_2,c_dw_a_1,c_dw_a_0,c_dw_a_na,c_dw_e_wt_1,c_dw_e_wt_0,c_dw_e_wt_na,c_bw_a_3,c_bw_a_2,c_bw_a_1,c_bw_a_0,c_bw_a_na,c_p_a_3,c_p_a_2,c_p_a_1,c_p_a_0,c_p_a_na,c_p_e_2,c_p_e_1,c_p_e_na,c_sf_a_3,c_sf_a_2,c_sf_a_1,c_sf_a_0,c_sf_a_na,c_l_a_3,c_l_a_2,c_l_a_1,c_l_a_0,c_l_a_na,c_pl_a_th_1,c_pl_a_th_0,c_pl_a_th_na,c_pl_a_tu_1,c_pl_a_tu_0,c_pl_a_tu_na,c_pl_a_tu_nl,c_pl_a_tw_1,c_pl_a_tw_0,c_pl_a_tw_na,c_pl_a_tw_nl,c_pl_a_tf_1,c_pl_a_tf_0,c_pl_a_tf_na,c_pl_a_tf_nl,c_participant_female_obs_mid,c_participant_male_obs_mid,c_s_c_3,c_s_c_2,c_s_c_1,c_s_c_0,c_s_c_na,c_d_c_3,c_d_c_2,c_d_c_1,c_d_c_0,c_d_c_na,c_f_c_3,c_f_c_2,c_f_c_1,c_f_c_0,c_f_c_na,c_dw_c_3,c_dw_c_2,c_dw_c_1,c_dw_c_0,c_dw_c_na,c_bw_c_3,c_bw_c_2,c_bw_c_1,c_bw_c_0,c_bw_c_na,c_p_c_3,c_p_c_2,c_p_c_1,c_p_c_0,c_p_c_na,c_sf_c_3,c_sf_c_2,c_sf_c_1,c_sf_c_0,c_sf_c_na,c_l_c_3,c_l_c_2,c_l_c_1,c_l_c_0,c_l_c_na,c_dw_b1,c_dw_b2,c_dw_b3,c_dw_b4,c_participant_female_obs_end,c_participant_male_obs_end,c_notes,c_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
Dkmale1,2018-10-28T10:20:00.000Z,6.670301666666667 -1.6298783333333333 368.9 4.9,6.670301666666667,-1.6298783333333333,368.9,4.9,282,1,15,0,n/a,n/a,n/a,n/a,15,0,15,0,4,1,1,7,2,5,0,2,7,1,8,3,4,0,0,13,1,1,0,0,0,14,1,11,3,1,0,0,3,2,7,1,2,14,0,1,4,8,3,0,0,11,3,1,0,0,0,15,0,0,0,0,15,0,0,0,15,0,0,0,15,0,15,3,2,3,6,0,4,1,6,3,1,5,3,5,2,0,13,1,1,0,0,12,0,3,0,0,8,1,6,0,0,8,4,3,0,0,11,3,0,1,0,14,1,0,0,0,15,n/a,"Bismark  A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:968f34ea-e1d4-4aac-aeb4-eb84799b18c2,968f34ea-e1d4-4aac-aeb4-eb84799b18c2,2018-10-30T20:40:12,,
Dkmale2,2018-10-28T11:25:00.000Z,6.670381666666667 -1.6292883333333332 317.7 5.0,6.670381666666667,-1.6292883333333332,317.7,5.0,282,1,15,0,n/a,n/a,n/a,n/a,15,0,15,0,6,3,3,3,0,5,2,2,3,2,4,3,6,1,0,9,2,3,1,0,1,11,2,12,3,0,0,0,6,1,6,2,0,13,2,0,13,2,0,0,0,10,2,1,1,1,1,14,0,1,0,0,14,1,0,0,14,0,1,0,14,0,15,6,8,1,0,0,5,0,3,4,3,1,3,4,3,0,8,3,3,1,0,13,1,0,0,1,3,4,7,0,1,5,7,3,0,0,5,2,4,3,1,6,3,0,6,0,15,n/a,"Bismark  A Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:c9011edc-df70-4389-8938-56be9ba74203,c9011edc-df70-4389-8938-56be9ba74203,2018-10-30T20:45:18,,
DKfemale1,2018-10-29T10:36:00.000Z,6.670178333333332 -1.6296766666666667 326.5 5.0,6.670178333333332,-1.6296766666666667,326.5,5.0,282,1,15,1,n/a,n/a,n/a,n/a,15,0,14,1,5,2,1,5,2,12,1,1,1,0,12,1,1,1,0,0,0,0,15,0,15,0,0,15,0,0,0,0,4,9,2,0,0,15,0,0,11,0,3,1,0,9,2,3,1,0,1,14,0,1,0,0,14,1,0,0,14,0,1,0,14,15,0,9,0,2,1,2,12,0,2,0,0,11,2,0,0,1,13,1,0,0,0,13,1,0,0,0,5,9,0,0,0,13,0,1,0,0,9,3,1,0,0,15,0,0,0,15,0,n/a,"Bismark A Boafo
Mavis Bawa
Charlotte Asabea",uuid:21a75c7c-3a5c-452d-830c-67e3490ad979,21a75c7c-3a5c-452d-830c-67e3490ad979,2018-10-31T16:44:24,,
DKfemale2,2018-10-29T11:22:00.000Z,6.6703850000000005 -1.6307883333333333 251.3 4.9,6.6703850000000005,-1.6307883333333333,251.3,4.9,282,1,15,1,n/a,n/a,n/a,n/a,15,0,15,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,12,1,1,1,0,0,0,15,15,0,0,0,0,10,1,4,0,0,15,0,0,12,2,1,0,0,8,5,0,2,0,2,13,0,2,0,0,13,2,0,0,13,0,2,0,13,15,0,15,0,0,0,0,15,0,0,0,0,14,0,1,0,0,13,0,2,0,0,14,1,0,0,0,5,1,5,4,0,11,1,3,0,0,11,2,1,1,0,8,0,2,5,15,0,n/a,"Bismark A Boafo
Mavis Bawa
Charlotte Asabea",uuid:faf6468e-7767-48f9-9093-139b108e0542,faf6468e-7767-48f9-9093-139b108e0542,2018-10-31T16:48:21,,
FNTfemale1,2018-10-11T12:36:00.000Z,6.6910300000000005 -1.6156483333333331 296.7 4.5,6.6910300000000005,-1.6156483333333331,296.7,4.5,280,1,15,1,n/a,n/a,n/a,n/a,15,0,13,2,0,1,0,14,0,3,0,4,7,1,10,2,2,1,0,11,0,1,2,1,0,12,3,13,2,0,0,0,9,1,2,2,1,14,1,0,10,1,4,0,0,8,0,4,3,0,0,12,3,5,2,0,8,5,7,1,2,0,7,7,0,15,0,0,0,1,12,0,2,0,2,6,3,6,0,4,3,0,8,1,1,1,0,8,4,1,0,0,1,8,4,0,0,9,1,3,0,0,4,3,2,4,0,11,0,1,3,15,0,Participatory,Eric and Joshua,uuid:f22314b5-d81c-41c6-aad2-0266e5fdc54d,f22314b5-d81c-41c6-aad2-0266e5fdc54d,2018-10-11T21:18:30,,
FNTFEMALE2,2018-10-11T13:40:00.000Z,6.690935 -1.6157899999999998 272.6 4.9,6.690935,-1.6157899999999998,272.6,4.9,280,0,15,1,n/a,n/a,n/a,n/a,15,0,15,0,0,0,0,15,0,1,0,3,11,0,7,2,6,0,0,7,3,2,3,0,0,15,0,11,4,0,0,0,7,3,5,0,0,14,1,0,6,5,4,0,0,3,7,0,5,0,11,4,0,9,3,1,2,9,3,1,2,0,12,0,3,15,0,0,0,0,15,0,1,0,4,10,0,1,0,4,10,0,9,0,2,4,0,13,2,0,0,0,3,3,7,2,0,4,3,8,0,0,5,3,1,6,0,12,1,1,0,15,0,Participatory ,Eric and Joshua,uuid:255eaaec-3049-4ec1-8a74-eccb8f5ec2de,255eaaec-3049-4ec1-8a74-eccb8f5ec2de,2018-10-11T21:18:34,,
FNTmale1,2018-10-12T13:17:00.000Z,6.691021666666668 -1.615665 254.1 4.8,6.691021666666668,-1.615665,254.1,4.8,280,1,15,0,n/a,n/a,n/a,n/a,15,0,15,0,4,0,2,9,0,4,0,7,3,1,2,1,6,6,0,4,2,6,2,1,1,12,2,11,1,3,0,0,5,6,3,1,0,11,1,3,14,1,0,0,0,12,1,0,2,0,10,5,0,5,6,1,3,7,4,0,4,1,10,0,4,0,15,3,1,1,7,3,7,2,1,0,5,3,0,4,2,6,11,0,0,1,3,15,0,0,0,0,6,3,4,0,2,10,4,1,0,0,10,1,0,3,1,12,0,2,1,0,15,n/a,"Bismark A.  Boafo
Mavis Bawa
Charlotte Asabea ",uuid:82540717-6b2a-499f-a4ff-96ca8d2e9f7f,82540717-6b2a-499f-a4ff-96ca8d2e9f7f,2018-10-15T08:55:31,,
FNTmale2,2018-10-12T13:44:00.000Z,6.691128333333334 -1.6153316666666668 277.4 5.0,6.691128333333334,-1.6153316666666668,277.4,5.0,280,1,15,0,n/a,n/a,n/a,n/a,15,0,15,0,1,1,0,11,2,7,1,3,3,1,3,4,2,5,1,8,1,0,4,2,0,1,14,13,2,0,0,0,8,1,4,0,2,12,1,2,11,2,2,0,0,13,1,0,1,0,8,7,0,2,10,0,3,7,3,1,4,1,7,1,6,0,15,1,2,0,5,7,2,1,4,4,4,4,5,4,0,2,6,5,1,2,1,14,0,1,0,0,4,4,2,1,4,11,1,2,1,0,7,2,1,2,3,12,1,2,0,0,15,n/a,"Bismark A.  Boafo 
Mavis Bawa 
Charlotte Asabea ",uuid:04541d20-9ce1-46a7-afda-23a3bc9fcd59,04541d20-9ce1-46a7-afda-23a3bc9fcd59,2018-10-15T08:55:46,,
 MZfemale1,2018-10-19T10:33:00.000Z,6.724418333333333 -1.604005 301.2 4.9,6.724418333333333,-1.604005,301.2,4.9,281,1,15,1,n/a,n/a,n/a,n/a,15,0,15,0,0,0,0,15,0,7,2,2,4,0,6,4,5,0,0,9,2,0,4,0,0,15,0,14,1,0,0,0,9,3,1,2,0,15,0,0,5,3,2,5,0,7,7,0,1,0,6,4,0,6,5,0,5,0,4,4,4,2,3,4,4,15,0,0,2,0,10,3,2,0,4,8,1,3,2,1,6,3,12,2,0,0,1,14,0,1,0,0,4,0,7,1,3,12,0,1,1,1,1,2,6,6,0,4,1,6,3,15,0,n/a,"Bismark  A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:708962e7-b2bd-4784-b0f6-2d62b5860d13,708962e7-b2bd-4784-b0f6-2d62b5860d13,2018-10-21T17:24:04,,
MZfemale2,2018-10-19T13:22:00.000Z,6.724549999999999 -1.6041316666666665 311.2 5.0,6.724549999999999,-1.6041316666666665,311.2,5.0,281,1,15,1,n/a,n/a,n/a,n/a,15,0,15,0,0,2,1,12,0,9,0,3,3,0,5,4,4,2,0,15,0,0,0,0,9,2,4,15,0,0,0,0,3,4,5,3,0,15,0,0,8,1,4,2,0,9,0,2,4,0,4,11,0,7,7,0,1,6,4,0,5,2,7,0,6,15,0,1,0,2,8,4,4,0,0,5,6,4,0,1,6,4,14,0,0,1,0,13,2,0,0,0,7,5,2,1,0,10,0,1,4,0,2,0,6,3,4,9,0,0,6,15,0,n/a,"Bismark A Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:2d279de7-b756-412e-80bd-24edf6f1cb44,2d279de7-b756-412e-80bd-24edf6f1cb44,2018-10-21T17:24:04,,
Mzmale1,2018-10-22T09:34:00.000Z,6.7223033333333335 -1.6061083333333332 266.0 4.8,6.7223033333333335,-1.6061083333333332,266.0,4.8,281,1,15,0,n/a,n/a,n/a,n/a,15,0,15,0,3,1,1,10,0,1,0,6,3,5,4,3,5,3,0,13,2,0,0,0,0,1,14,12,3,0,0,0,4,2,3,2,4,14,0,1,9,1,3,1,1,12,2,1,0,0,0,15,0,0,0,0,15,0,0,0,15,0,0,0,15,0,15,3,2,1,7,2,3,2,1,1,8,8,1,2,0,4,13,1,0,0,1,12,3,0,0,0,8,3,0,1,3,11,2,0,0,2,9,3,0,1,2,12,0,2,1,0,15,n/a,"Bismark  A. Boafo
Mavis Bawa
Charlotte Asabea Djan
",uuid:6112a9ef-74e6-410c-8746-5a2054b29b02,6112a9ef-74e6-410c-8746-5a2054b29b02,2018-10-26T12:42:09,,
