s_school,s_start,s_coordinates,_s_coordinates_latitude,_s_coordinates_longitude,_s_coordinates_altitude,_s_coordinates_precision,s_neighborhood,s_rainweek,s_participant_num,s_participant_gender,s_participant_female_obs,s_participant_male_obs,s_participant_female,s_participant_male,s_neighborhood_y,s_neighborhood_n,s_s_c_3,s_s_c_2,s_s_c_1,s_s_c_0,s_s_c_na,s_s_a_3,s_s_a_2,s_s_a_1,s_s_a_0,s_s_a_na,s_d_c_3,s_d_c_2,s_d_c_1,s_d_c_0,s_d_c_na,s_d_a_3,s_d_a_2,s_d_a_1,s_d_a_0,s_d_a_na,s_f_c_3,s_f_c_2,s_f_c_1,s_f_c_0,s_f_c_na,s_f_a_3,s_f_a_2,s_f_a_1,s_f_a_0,s_f_a_na,s_dw_c_3,s_dw_c_2,s_dw_c_1,s_dw_c_0,s_dw_c_na,s_dw_a_3,s_dw_a_2,s_dw_a_1,s_dw_a_0,s_dw_a_na,s_dw_e_wt_1,s_dw_e_wt_0,s_dw_e_wt_na,s_bw_c_3,s_bw_c_2,s_bw_c_1,s_bw_c_0,s_bw_c_na,s_bw_a_3,s_bw_a_2,s_bw_a_1,s_bw_a_0,s_bw_a_na,s_p_c_3,s_p_c_2,s_p_c_1,s_p_c_0,s_p_c_na,s_p_a_3,s_p_a_2,s_p_a_1,s_p_a_0,s_p_a_na,s_p_e_2,s_p_e_1,s_p_e_na,s_sf_c_3,s_sf_c_2,s_sf_c_1,s_sf_c_0,s_sf_c_na,s_sf_a_3,s_sf_a_2,s_sf_a_1,s_sf_a_0,s_sf_a_na,s_l_c_3,s_l_c_2,s_l_c_1,s_l_c_0,s_l_c_na,s_l_a_3,s_l_a_2,s_l_a_1,s_l_a_0,s_l_a_na,s_pl_a_th_1,s_pl_a_th_0,s_pl_a_th_na,s_pl_a_tu_1,s_pl_a_tu_0,s_pl_a_tu_na,s_pl_a_tu_nl,s_pl_a_tw_1,s_pl_a_tw_0,s_pl_a_tw_na,s_pl_a_tw_nl,s_pl_a_tf_1,s_pl_a_tf_0,s_pl_a_tf_na,s_pl_a_tf_nl,s_participant_female_obs_end,s_participant_male_obs_end,s_notes,s_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
State Experimental Basic '2',2018-10-26T07:36:00.000Z,6.672398333333333 -1.6282233333333331 276.3 5.0,6.672398333333333,-1.6282233333333331,276.3,5.0,282,1,20,2,10,10,10,10,20,0,19,0,0,1,0,8,0,6,5,0,8,7,0,5,0,15,0,0,4,1,20,0,0,0,0,15,2,1,1,1,20,0,0,0,0,18,0,0,2,0,0,0,20,17,3,0,0,0,18,2,0,0,0,11,9,0,0,0,14,3,3,0,0,20,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,20,0,0,0,20,0,0,0,20,10,10,No private latrine in the community.,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:0f106c57-d554-4479-9e30-01026a2cb1d8,0f106c57-d554-4479-9e30-01026a2cb1d8,2018-10-31T20:05:25,,
State Experimental Basic 2 ,2018-10-26T09:43:00.000Z,6.672231666666666 -1.6283600000000003 233.8 5.0,6.672231666666666,-1.6283600000000003,233.8,5.0,282,1,20,2,10,10,10,10,20,0,0,1,15,4,0,6,1,6,6,1,10,5,2,2,1,7,1,5,5,2,3,2,10,1,4,1,10,3,6,0,18,0,1,1,0,16,0,2,2,0,0,3,17,6,14,0,0,0,19,1,0,0,0,6,10,1,3,0,19,0,0,1,0,20,0,0,20,0,0,0,0,18,0,0,2,0,14,4,2,0,0,11,7,0,2,0,0,20,0,0,0,0,20,0,0,0,20,0,0,0,20,10,10,n/a,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:f4aa13a0-8b74-4616-bcac-62b7d474d240,f4aa13a0-8b74-4616-bcac-62b7d474d240,2018-10-31T20:05:26,,
State Experimental Basic 1 Primary,2018-08-26T10:22:00.000Z,6.671761666666667 -1.6278983333333334 286.4 5.0,6.671761666666667,-1.6278983333333334,286.4,5.0,282,1,20,2,10,10,10,10,20,0,1,4,7,7,1,1,0,3,16,0,8,3,8,1,0,0,3,14,3,0,3,11,5,1,0,5,5,10,0,0,18,0,1,1,0,16,0,1,3,0,1,8,11,14,6,0,0,0,18,2,0,0,0,8,8,4,0,0,5,8,5,2,0,20,0,0,20,0,0,0,0,9,6,4,1,0,9,7,2,2,0,9,1,6,4,0,5,15,0,5,0,0,15,5,0,0,15,0,5,0,15,10,10,n/a,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:2fbf49a3-b1fb-45b7-83c1-ea19bda5ac09,2fbf49a3-b1fb-45b7-83c1-ea19bda5ac09,2018-10-31T20:08:55,,
State Experimental Basic 1 Primary,2018-10-26T12:16:00.000Z,6.671626666666667 -1.627948333333333 287.1 5.0,6.671626666666667,-1.627948333333333,287.1,5.0,282,1,20,2,10,10,10,10,20,0,0,0,7,13,0,9,0,6,5,0,8,6,5,1,0,0,8,10,2,0,11,4,4,1,0,5,11,4,0,0,17,3,0,0,0,19,0,1,0,0,1,10,9,16,4,0,0,0,18,2,0,0,0,9,9,2,0,0,7,2,11,0,0,20,0,0,15,5,0,0,0,8,7,5,0,0,8,10,2,0,0,9,7,4,0,0,1,19,0,1,0,0,19,1,0,0,19,0,1,0,19,10,10,n/a,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:cd321200-ebf3-4701-985f-ef5aa991c121,cd321200-ebf3-4701-985f-ef5aa991c121,2018-10-31T20:08:56,,
Adiebeba M/A Primary 'B' 2,2018-10-24T07:19:00.000Z,6.6645883333333344 -1.6156583333333336 293.6 4.8,6.6645883333333344,-1.6156583333333336,293.6,4.8,283,1,20,2,10,10,10,10,20,0,1,1,0,18,0,3,0,0,13,2,12,0,5,3,0,11,3,2,4,0,13,4,3,0,0,1,7,8,4,0,16,2,0,2,0,8,7,2,2,1,4,13,3,16,4,0,0,0,20,0,0,0,0,12,6,2,0,0,20,0,0,0,0,20,0,0,20,0,0,0,0,11,4,5,0,0,8,2,0,10,0,6,3,1,10,0,10,10,0,9,1,0,10,10,0,0,10,1,9,0,10,10,10,n/a,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:d0497891-7a51-431b-8c40-acf0d558f606,d0497891-7a51-431b-8c40-acf0d558f606,2018-11-03T09:30:40,,
Adiebeba M/A Basic Primary 'B',2018-10-24T10:17:00.000Z,6.664748333333334 -1.61561 263.2 5.0,6.664748333333334,-1.61561,263.2,5.0,283,1,20,2,10,10,10,10,4,16,0,1,0,16,3,2,0,0,16,2,11,3,2,4,0,13,0,6,1,0,13,3,4,0,0,9,5,2,3,1,14,4,2,0,0,17,1,0,2,0,3,5,12,13,7,0,0,0,20,0,0,0,0,14,4,2,0,0,14,0,3,3,0,20,0,0,20,0,0,0,0,12,0,5,2,1,8,5,2,5,0,8,1,8,3,0,13,7,0,12,1,0,7,5,8,0,7,0,13,0,7,10,10,n/a,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:e082808c-1824-43dd-a534-eec76646e513,e082808c-1824-43dd-a534-eec76646e513,2018-11-03T09:30:51,,
Adiebeba Basic Primary 'A',2018-10-24T11:57:00.000Z,6.664583333333333 -1.615616666666667 234.6 4.9,6.664583333333333,-1.615616666666667,234.6,4.9,283,1,20,2,10,10,10,10,15,5,3,1,10,6,0,2,0,5,13,0,15,0,5,0,0,11,5,0,4,0,11,6,3,0,0,10,4,3,3,0,20,0,0,0,0,20,0,0,0,0,4,5,11,20,0,0,0,0,20,0,0,0,0,19,0,1,0,0,16,0,4,0,0,20,0,0,20,0,0,0,0,10,8,2,0,0,9,10,1,0,0,7,9,4,0,0,8,12,0,3,5,0,12,5,3,0,12,0,8,0,12,10,10,n/a,"Bismark A. Boafo
Mavis Bawa 
Charlotte Asabea Djan",uuid:a638de51-b093-4967-8d5e-dfe7a5c4cc98,a638de51-b093-4967-8d5e-dfe7a5c4cc98,2018-11-03T09:30:51,,
Adiebeba M/A Basic Primary 'A'  2,2018-10-24T13:04:00.000Z,6.6648283333333325 -1.6154049999999998 409.1 5.0,6.6648283333333325,-1.6154049999999998,409.1,5.0,283,1,20,2,10,10,10,10,16,4,0,0,2,18,0,1,0,3,16,0,16,1,2,1,0,9,2,2,7,0,7,4,5,4,0,3,2,12,3,0,16,2,0,2,0,13,2,2,3,0,5,4,11,16,4,0,0,0,20,0,0,0,0,15,3,2,0,0,10,8,2,0,0,20,0,0,20,0,0,0,0,12,6,1,1,0,9,6,1,4,0,3,8,2,7,0,11,9,0,11,0,0,9,9,3,0,9,0,11,0,9,10,10,The attitude shown to the Enumerator by Teachers and Pupils in all the Schools visited were cordial.,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea Djan",uuid:2080e789-9691-4e26-95bc-08e10855ada8,2080e789-9691-4e26-95bc-08e10855ada8,2018-11-03T09:30:52,,
St. Peters R/C Primary  ( B ),2018-10-10T12:54:00.000Z,6.694381666666668 -1.6186916666666666 279.7 4.1,6.694381666666668,-1.6186916666666666,279.7,4.1,280,1,20,2,12,8,12,8,20,0,0,0,0,0,9999,0,0,0,0,9999,11,1,4,4,0,5,2,3,10,0,11,3,2,3,1,8,1,0,9,2,17,3,0,0,0,14,6,0,0,0,3,1,16,15,5,0,0,0,18,2,0,0,0,13,3,1,3,0,13,4,3,0,0,20,0,0,20,0,0,0,0,13,6,0,1,0,12,3,0,5,0,14,0,1,5,0,15,5,0,12,3,0,5,6,6,0,0,3,9,3,5,12,8,n/a,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea",uuid:5e880773-0c0f-487f-9db3-cbda1579edd6,5e880773-0c0f-487f-9db3-cbda1579edd6,2018-10-15T14:06:11,,
A M E  Zion Primary  'C',2018-10-11T09:13:00.000Z,6.689951666666667 -1.6150566666666668 346.0 5.0,6.689951666666667,-1.6150566666666668,346.0,5.0,280,1,20,2,10,10,10,10,20,0,0,0,0,0,9999,0,0,0,0,9999,11,0,6,2,1,11,6,3,0,0,3,6,6,3,2,1,11,4,2,2,14,2,3,1,0,7,6,4,3,0,6,0,14,18,2,0,0,0,20,0,0,0,0,16,3,1,0,0,10,3,0,4,3,20,0,0,20,0,0,0,0,8,7,5,0,0,13,0,4,3,0,10,4,2,4,0,17,3,0,10,3,4,3,14,3,0,3,2,15,0,3,10,10,Surface water is not applicable,"Bismark Boafo
Mavis Bawa
Charlotte Asabea",uuid:c8d59ab9-b4ec-4b15-8c60-59048679c4e2,c8d59ab9-b4ec-4b15-8c60-59048679c4e2,2018-10-15T14:06:11,,
AME Zion Primary C,2018-10-11T11:27:00.000Z,6.690246666666667 -1.6151666666666666 388.5 4.9,6.690246666666667,-1.6151666666666666,388.5,4.9,280,1,20,2,10,10,10,10,20,0,0,0,0,0,9999,0,0,0,0,9999,20,0,0,0,0,14,5,1,0,0,11,4,1,1,3,13,5,2,0,0,19,1,0,0,0,16,3,1,0,0,7,6,7,11,9,0,0,0,19,1,0,0,0,19,0,0,1,0,13,7,0,0,0,20,0,0,20,0,0,0,0,20,0,0,0,0,12,2,0,6,0,9,1,0,10,0,14,6,0,10,4,0,6,10,4,0,6,0,14,0,6,10,10,n/a,"Bismark A. Boafo
Mavis Bawa
Charlotte Asabea",uuid:076ef210-6be1-4ccc-85ef-0f457f9a55c6,076ef210-6be1-4ccc-85ef-0f457f9a55c6,2018-10-15T14:07:59,,
