"lab_start_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_group.lab_1_dil_tested","lab_1_group.lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_2_group.lab_2_dil_tested","lab_2_group.lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_3_dilution_performed","lab_3_group.lab_3_dil_tested","lab_3_group.lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_notes","lab_enum","lab_photo","lab_end_dt","col_start_dt","col_end_dt","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes"
"2018-11-06T02:46:51.633Z",8,3206,3206,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,,10,7,1,3,0,6,1,3,0,1,5,1,3,0,,"M.O.",0,"2018-11-08T13:37:35.959Z","2018-11-06T02:46:51.633Z","2018-11-08T13:37:35.959Z","uuid:83816fff-fb92-4d67-a709-42c8081968f6","83816fff-fb92-4d67-a709-42c8081968f6","2018-11-08T13:38:05",,
"2018-11-06T02:49:21.431Z",8,3207,3207,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,,10,7,1,3,0,6,1,3,0,1,5,1,3,0,,"M.O.",0,"2018-11-08T13:37:49.710Z","2018-11-06T02:49:21.431Z","2018-11-08T13:37:49.710Z","uuid:3f720da2-0616-4197-af3f-d2021f5cfdaf","3f720da2-0616-4197-af3f-d2021f5cfdaf","2018-11-08T13:38:05",,
"2018-11-06T02:51:42.030Z",8,3208,3208,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T01:20:00.000Z",,,10,7,1,3,22,6,1,3,2,1,5,1,3,0,,"M.O.",0,"2018-11-08T13:38:00.387Z","2018-11-06T02:51:42.030Z","2018-11-08T13:38:00.387Z","uuid:0f0bd552-3211-422d-b9e1-583650606bea","0f0bd552-3211-422d-b9e1-583650606bea","2018-11-08T13:38:06",,
"2018-11-06T02:54:16.638Z",8,3209,3209,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,,10,7,1,3,99,6,1,3,1,1,5,1,3,0,,"M.O.",0,"2018-11-08T13:38:11.014Z","2018-11-06T02:54:16.638Z","2018-11-08T13:38:11.014Z","uuid:2a498612-1230-4f88-b20c-a4aac6e22e5b","2a498612-1230-4f88-b20c-a4aac6e22e5b","2018-11-08T13:38:06",,
"2018-11-06T02:56:43.819Z",8,3210,3210,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,,10,7,1,1,,6,1,1,,1,5,1,3,25,,"M.O.",0,"2018-11-08T13:39:05.102Z","2018-11-06T02:56:43.819Z","2018-11-08T13:39:05.102Z","uuid:472d3fda-dc94-49f3-8e89-ca62c745f72f","472d3fda-dc94-49f3-8e89-ca62c745f72f","2018-11-08T13:40:01",,
"2018-11-06T03:00:43.173Z",10,9206,9206,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,135.15,,7,10,3,0,7,1,3,0,1,6,1,3,0,,"M.O.",0,"2018-11-08T13:39:13.199Z","2018-11-06T03:00:43.173Z","2018-11-08T13:39:13.199Z","uuid:39284780-2527-4155-92f8-3cecd5238590","39284780-2527-4155-92f8-3cecd5238590","2018-11-08T13:40:01",,
"2018-11-06T05:49:18.734Z",10,9207,9207,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,135.14,,7,10,3,0,7,1,3,0,1,6,1,3,0,,"M.O.",0,"2018-11-08T13:39:20.439Z","2018-11-06T05:49:18.734Z","2018-11-08T13:39:20.439Z","uuid:64abb293-c434-4adb-964a-0e742e5a7286","64abb293-c434-4adb-964a-0e742e5a7286","2018-11-08T13:40:02",,
"2018-11-06T05:52:10.680Z",10,9208,9208,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,384.7,,7,10,3,0,7,1,3,0,1,6,1,3,0,,"M.O.",0,"2018-11-08T13:39:27.598Z","2018-11-06T05:52:10.680Z","2018-11-08T13:39:27.598Z","uuid:ccb66afc-3249-465e-84ab-321d29850704","ccb66afc-3249-465e-84ab-321d29850704","2018-11-08T13:40:03",,
"2018-11-06T05:54:06.431Z",10,9209,9209,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,188.78,,7,10,3,0,7,1,3,0,1,6,1,3,0,,"M.O.",0,"2018-11-08T13:39:35.373Z","2018-11-06T05:54:06.431Z","2018-11-08T13:39:35.373Z","uuid:fbc648ef-7e4c-488f-9436-7af34c04014e","fbc648ef-7e4c-488f-9436-7af34c04014e","2018-11-08T13:40:03",,
"2018-11-06T12:59:10.141Z",1,1206,1206,"2018-10-30T13:10:00.000Z","2018-10-30T16:35:00.000Z","2018-10-31T13:20:00.000Z",,,,4,1,3,133,3,1,3,27,0,,,,,,"Y.K.M.",0,"2018-11-08T13:39:47.006Z","2018-11-06T12:59:10.141Z","2018-11-08T13:39:47.006Z","uuid:b74ea7d2-0516-4cb3-ba00-d2ce8fe385ab","b74ea7d2-0516-4cb3-ba00-d2ce8fe385ab","2018-11-08T13:40:04",,
