HouseholdID,CompoundID,MapSanHHID,ch_dd,ch_th,neighbor,ch_lat,ch_long,ch_q1,ch_q2,ch_q3,ch_q4,ch_q5,ch_q6,ch_q7,ch_q8a,ch_q8b,ch_q8c,ch_q8d,ch_q8e,ch_q9,ch_q10,ch_q11,ch_q12,ch_q13,collectr
01,3036,01,5/11/2016,9:21:00 AM,2,25.94165,32.58835,4,4,2,2,1,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
02,2044,02,5/23/2016,10:53:00 AM,1,25.94214,32.55713,4,4,1,1,,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,5,3,3,0,Eloisa Mula
03,2039,06,5/22/2016,2:49:00 PM,1,25.94915,32.55848,,,1,1,,1,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,5,3,3,0,Eloisa Mula
04,3001,15,5/5/2016,10:15:00 AM,2,25.94451,32.57955,3,4,3,5,1,2,3,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,1,Eloisa Mula
05,2032,07,5/22/2016,4:45:00 PM,1,25.94346,32.55752,4,4,2,2,,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,5,1,Sumeya Branco
06,3001,02,5/5/2016,10:00:00 AM,2,25.94451,32.57955,3,4,3,3,1,2,5,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
07,2029,02,5/22/2016,3:43:00 PM,1,25.94407,32.56064,4,4,1,1,,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,5,0,Eloisa Mula
08,3001,21,5/5/2016,10:10:00 AM,2,25.94451,32.57955,3,3,3,3,1,2,5,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
09,2031,07,5/6/2016,9:53:00 AM,1,25.944634,32.55229,2,1,1,1,,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
10,2031,01,5/6/2016,10:59:00 AM,1,25.94634,32.55229,2,2,1,5,,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,4,4,0,Anabela
11,2031,04,5/6/2016,10:20:00 AM,1,25.94634,32.55229,4,4,2,5,,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
12,2030,02,5/6/2016,9:49:00 AM,1,25.94731,32.55198,4,4,1,1,,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela
13,3030,03,5/9/2016,10:14:00 AM,2,25.94335,32.58104,1,1,1,1,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Anabela
14,2030,02,5/6/2016,9:40:00 AM,1,25.94731,32.55198,4,5,1,1,,3,5,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
15,3032,01,5/10/2016,10:41:00 AM,2,25.94332,32.58118,4,4,1,4,1,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
16,3006,06,5/10/2016,9:56:00 AM,2,25.96213,32.58968,4,4,1,2,1,3,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
17,3006,07,5/10/2016,9:50:00 AM,2,25.96213,32.58968,4,5,1,5,1,3,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
18,3006,01,5/10/2016,10:20:00 AM,2,25.96213,32.58968,4,4,2,4,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
19,3031,03,4/28/2016,10:17:00 AM,2,25.94345,32.57972,1,2,1,2,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
20,2042,01,5/12/2016,10:04:00 AM,1,25.94208,32.58847,4,4,1,3,,3,5,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
21,2042,02,5/12/2016,10:04:00 AM,1,25.94208,32.58847,4,4,1,1,,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
22,2042,01,5/12/2016,10:21:00 AM,1,25.94208,32.58847,3,4,1,3,,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
23,2035,05,5/12/2016,10:11:00 AM,1,25.94493,32.55373,4,5,3,5,,2,5,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,5,0,Sumeya Branco
