HouseholdID,CompoundID,MapSanHHID,hh_dd,hh_th,neighbor,hh_lat,hh_long,hh_q1,hh_q2,hh_q3,hh_q4,hh_q5,hh_q6,hh_q7,hh_q8,hh_q9,hh_q10a,hh_q10b,hh_q10c,hh_q10d,hh_q10e,hh_q11,hh_q12,hh_q13,hh_q14,hh_q15,collectr
01,2044,01,5/23/2016,10:08:00 AM,1,25.94214,32.55713,0,4,,2,,,2,,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,,3,,0,Anabela Mondlane
02,2044,02,5/23/2016,10:20:00 AM,1,25.94214,32.55713,1,4,4,2,1,,3,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
03,2044,03,5/23/2016,10:29:00 AM,1,25.94214,32.55713,0,4,,3,,,3,,4,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,0,Gizela Dalila
04,3037,04,5/5/2016,10:05:00 AM,2,25.945,32.57927,1,1,1,1,1,1,2,3,9,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
05,3037,02,5/5/2016,10:11:00 AM,2,25.945,32.57927,1,1,1,2,2,1,2,2,8,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,0,Lumeya Branco
06,3001,02,5/5/2016,10:28:00 AM,2,25.94451,32.57955,1,4,4,4,2,1,3,3,18,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
07,3001,21,5/5/2016,10:27:00 AM,2,25.94451,32.57955,1,3,3,1,1,1,2,3,18,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Brito
08,2031,07,5/6/2016,10:04:00 AM,1,25.944634,32.55229,1,2,2,1,2,,2,2,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
09,2031,05,5/22/2016,3:33:00 PM,1,25.944634,32.55229,1,4,4,3,5,,3,5,6,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
10,2031,04,5/22/2016,3:34:00 PM,1,25.944634,32.55229,0,4,,1,,,3,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Anabela Mondlane
11,2031,03,5/6/2016,10:05:00 AM,1,25.94634,32.55229,1,1,1,3,3,,3,,6,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
12,2031,01,5/6/2016,10:42:00 AM,1,25.94634,32.55229,1,2,1,1,1,,2,,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4,4,0,Anabela Mondlane
13,2030,01,5/22/2016,2:35:00 PM,1,25.94731,32.55198,0,4,,2,,,3,,3,FALSE,TRUE,FALSE,FALSE,FALSE,1,,3,,1,Gizela Dalila
14,3039,04,5/3/2016,10:04:00 AM,2,25.94148,32.58819,0,3,,1,,1,3,,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,,4,,0,Eloisa Mula
15,2030,04,5/6/2016,9:45:00 AM,1,25.94731,32.55198,0,4,,1,,,2,,2,FALSE,TRUE,TRUE,FALSE,FALSE,1,,3,,0,Eloisa Mula
16,2030,03,5/6/2016,9:50:00 AM,1,25.94731,32.55198,1,4,4,1,1,,1,,0,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
17,2030,02,5/6/2016,9:42:00 AM,1,25.94731,32.55198,1,4,4,1,1,,2,,3,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela
18,3034,05,5/9/2016,10:20:00 AM,2,25.94716,32.55196,1,4,1,1,1,1,2,2,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
19,3034,04,5/9/2016,10:21:00 AM,2,25.94716,32.55196,1,2,4,1,1,1,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
20,3030,05,5/9/2016,10:29:00 AM,2,25.94335,32.58104,0,1,,2,,1,3,,5,FALSE,TRUE,TRUE,FALSE,FALSE,1,,3,,0,Sumeya Branco
21,3030,06,5/9/2016,10:41:00 AM,2,25.94335,32.58104,1,1,1,1,1,1,2,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
22,3030,04,5/9/2016,10:23:00 AM,2,25.94335,32.58104,1,1,1,2,3,1,2,5,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
23,3030,01,5/9/2016,10:30:00 AM,2,25.94335,32.58104,0,1,,1,,1,2,,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,,2,,0,Anabela Mondlane
24,3032,08,5/10/2016,10:22:00 AM,2,25.94332,32.58118,1,4,4,3,3,1,2,3,3,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
25,3032,03,5/10/2016,10:30:00 AM,2,25.94332,32.58118,0,4,,3,,1,2,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,1,Sumeya Branco
26,3032,01,5/10/2016,10:37:00 AM,2,25.94332,32.58118,1,4,4,1,1,1,2,2,10,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
27,3032,04,5/10/2016,10:57:00 AM,2,25.94332,32.58118,0,4,,4,,1,2,,10,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,1,Anabela Mondlane
28,3032,07,5/10/2016,11:00:00 AM,2,25.94332,32.58118,1,3,3,2,3,1,2,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
29,3006,01,5/10/2016,10:08:00 AM,2,25.96213,32.58968,1,4,4,4,4,1,3,3,7,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
30,3006,05,5/10/2016,10:05:00 AM,2,25.96213,32.58968,1,3,4,1,1,1,2,2,7,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,1,Eloisa Mula
31,3031,03,4/28/2016,10:09:00 AM,2,25.94345,32.57972,1,2,4,3,2,1,2,2,6,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,2,2,0,Gizela Dalila
32,3031,06,4/28/2016,10:09:00 AM,2,25.94345,32.57972,0,4,,3,,1,2,,6,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,0,Eloisa Mula
33,3031,01,4/28/2016,10:09:00 AM,2,25.94345,32.57972,0,3,,1,,1,2,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Sumeya Branco
34,2042,01,5/12/2016,10:16:00 AM,1,25.94208,32.58847,1,4,4,1,1,,2,,3,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
35,2042,03,5/22/2016,4:10:00 PM,1,25.94208,32.58847,0,4,,1,,1,2,,3,FALSE,TRUE,FALSE,FALSE,FALSE,1,,3,,0,Eloisa Mula
36,2042,02,5/22/2016,3:07:00 PM,1,25.94208,32.58847,1,4,4,1,1,,2,,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,2,2,0,Gizela Dalila
37,2042,04,5/12/2016,9:55:00 AM,1,25.94208,32.58847,1,4,4,1,1,,2,,3,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
38,2035,03,5/12/2016,10:00:00 AM,1,25.94493,32.55373,0,4,,2,,,2,,5,TRUE,TRUE,FALSE,FALSE,FALSE,1,,2,,0,Sumeya Branco
39,2035,04,5/12/2016,10:06:00 AM,1,25.94493,32.55373,1,4,4,1,1,,2,,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
40,2035,02,5/12/2016,10:15:00 AM,1,25.94493,32.55373,0,,,1,,,2,,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,0,Anabela Mondlane
41,2035,03,5/22/2016,3:50:00 PM,1,25.94493,32.55373,1,4,4,1,1,,2,,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,1,Anabela Mondlane
42,2035,02,5/22/2016,3:49:00 PM,1,25.94493,32.55373,0,4,,1,,,2,,5,FALSE,TRUE,TRUE,FALSE,FALSE,1,,3,,0,Sumeya Branco
43,2034,04,5/13/2016,10:11:00 AM,1,25.94372,32.55788,0,4,,1,,,3,,,FALSE,TRUE,TRUE,FALSE,FALSE,1,,3,,0,Sumeya Branco
44,2034,01,5/13/2016,10:02:00 AM,1,25.94372,32.55788,1,4,4,1,1,,3,,4,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
45,2034,04,5/13/2016,10:08:00 AM,1,25.94372,32.55788,1,4,4,1,1,,2,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
46,2034,04,5/13/2016,10:00:00 AM,1,25.94372,32.55788,1,4,4,1,1,,2,,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
47,2043,01,5/13/2016,10:20:00 AM,1,25.94532,32.55682,1,4,4,1,1,,1,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Brito
48,2043,02,5/13/2016,10:26:00 AM,1,25.94532,32.55682,1,4,4,1,1,,2,,4,FALSE,TRUE,TRUE,FALSE,FALSE,2,1,3,3,0,Eloisa Mula
