HouseholdID,CompoundID,MapSanHHID,dd,th,neighbor,lat,long,hh_q1,A_od,C_od,A_cf_rs,C_cf_rs,has_l,A_use_l,C_use_l,hh_q9,no_la_a,no_la_b,no_la_c,no_la_d,no_la_e,A_drink_MW,C_drink_MW,A_raw_P,C_raw_P,W_treat,collectr,group
01,2044,01,5/23/2016,10:08:00 AM,1,25.94214,32.55713,0,4,,2,,,2,,4,0,1,0,0,0,1,,3,,0,Anabela Mondlane,0
02,2044,02,5/23/2016,10:20:00 AM,1,25.94214,32.55713,1,4,4,2,1,,3,2,4,1,0,0,0,0,1,1,3,3,0,Gizela Dalila,0
03,2044,03,5/23/2016,10:29:00 AM,1,25.94214,32.55713,0,4,,3,,,3,,4,1,0,0,0,0,1,,3,,0,Gizela Dalila,0
04,3037,04,5/5/2016,10:05:00 AM,2,25.945,32.57927,1,1,1,1,1,1,2,3,9,0,0,1,0,0,1,1,3,3,0,Anabela Mondlane,0
05,3037,02,5/5/2016,10:11:00 AM,2,25.945,32.57927,1,1,1,2,2,1,2,2,8,0,1,1,0,0,1,1,3,3,0,Lumeya Branco,0
06,3001,02,5/5/2016,10:28:00 AM,2,25.94451,32.57955,1,4,4,4,2,1,3,3,18,1,0,0,0,0,1,1,3,3,0,Gizela Dalila,0
07,3001,21,5/5/2016,10:27:00 AM,2,25.94451,32.57955,1,3,3,1,1,1,2,3,18,0,1,0,0,0,1,1,3,3,0,Gizela Brito,0
08,2031,07,5/6/2016,10:04:00 AM,1,25.944634,32.55229,1,2,2,1,2,,2,2,6,0,1,0,0,0,1,1,3,3,0,Anabela Mondlane,0
09,2031,05,5/22/2016,3:33:00 PM,1,25.944634,32.55229,1,4,4,3,5,,3,5,6,0,1,1,0,0,1,1,3,3,0,Sumeya Branco,0
10,2031,04,5/22/2016,3:34:00 PM,1,25.944634,32.55229,0,4,,1,,,3,,6,0,0,1,0,0,1,,3,,0,Anabela Mondlane,0
11,2031,03,5/6/2016,10:05:00 AM,1,25.94634,32.55229,1,1,1,3,3,,3,,6,0,1,1,0,0,1,1,3,3,0,Sumeya Branco,0
12,2031,01,5/6/2016,10:42:00 AM,1,25.94634,32.55229,1,2,1,1,1,,2,,6,0,1,0,0,0,1,1,4,4,0,Anabela Mondlane,0
13,2030,01,5/22/2016,2:35:00 PM,1,25.94731,32.55198,0,4,,2,,,3,,3,0,1,0,0,0,1,,3,,1,Gizela Dalila,0
14,3039,04,5/3/2016,10:04:00 AM,2,25.94148,32.58819,0,3,,1,,1,3,,3,0,0,1,0,0,1,,4,,0,Eloisa Mula,0
15,2030,04,5/6/2016,9:45:00 AM,1,25.94731,32.55198,0,4,,1,,,2,,2,0,1,1,0,0,1,,3,,0,Eloisa Mula,0
16,2030,03,5/6/2016,9:50:00 AM,1,25.94731,32.55198,1,4,4,1,1,,1,,0,0,1,1,0,0,1,1,3,3,0,Eloisa Mula,0
17,2030,02,5/6/2016,9:42:00 AM,1,25.94731,32.55198,1,4,4,1,1,,2,,3,1,0,0,0,0,1,1,3,3,0,Gizela,0
18,3034,05,5/9/2016,10:20:00 AM,2,25.94716,32.55196,1,4,1,1,1,1,2,2,4,0,0,1,0,0,1,1,3,3,0,Gizela Dalila,0
19,3034,04,5/9/2016,10:21:00 AM,2,25.94716,32.55196,1,2,4,1,1,1,2,2,0,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,0
