ID,MB_DATE,MB_TIME,MB_NHOOD,MB_NP,MB_COMID,MB_NPPL,MB_NHH,MB_CHILD,MB_CHILDDEF,MB_CHILDDEF_A,MB_CHILDDEF_B,MB_CHILDDEF_C,MB_CHILDDEF_D,MB_CHILDDEF_E,MB_CHILDDEF_F,MB_CHILDDEF_G,MB_CHILDDEFOTH,MB_DRAINFLOOD,MB_NHOODFLOOD,MB_HOUSEFLOOD,MB_ADULTDEF_A,MB_ADULTDEF_B,MB_ADULTDEF_C,MB_ADULTDEF_D,MB_ADULTDEF_E,MB_ADULTDEF_F,MB_ADULTDEFOTH,MB_OCHILD,MB_OCHILDDEF_A,MB_OCHILDDEF_B,MB_OCHILDDEF_C,MB_OCHILDDEF_D,MB_OCHILDDEF_E,MB_OCHILDDEF_F,MB_OCHILDDEF_G,MB_OCHILDDEF_H,MB_OCHILDDEFOTH,MB_LATRINEFLOOD,MB_LATRINEFLUSH,MB_LATRINEFILL,MB_LATRINEFILL4,MB_LATRINEFULLN,collectr
1,5/4/2016,1/0/1900,2,3,3033,27,6,1,,0,0,1,1,0,0,0,,1,0,1,1,0,0,0,0,0,,1,1,0,1,0,1,0,0,0,,0,0,6,Fazem esvaziamento manual,1,
2,5/23/2016,1/0/1900,1,2,2044,25,5,1,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,6,Ainda nao encheu,0,
3,5/5/2016,1/0/1900,2,2,3037,23,10,1,,0,0,0,1,0,0,0,,1,1,1,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,0,1,6,Abrem a cova fora  do composto para tirar as feses.,2,
4,5/5/2016,1/0/1900,2,2,3001,58,19,1,,0,0,1,1,1,0,0,,0,1,1,1,1,0,0,0,0,,1,1,0,1,0,0,0,0,0,,0,0,2,,2,
5,5/6/2016,1/0/1900,1,4,2031,36,7,1,,0,0,1,1,0,0,0,,0,1,,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,6,Nunca encheu,0,
6,5/6/2016,1/0/1900,1,3,2030,26,4,1,,0,0,1,1,0,0,0,,0,1,1,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,6,Ainda nao encheu,0,
7,5/9/2016,1/0/1900,2,2,3034,15,5,1,,0,0,1,1,1,0,0,,0,1,,1,1,0,0,0,0,,1,1,0,1,0,0,1,0,0,,0,0,6,Esvaziamento manal,7,
8,5/9/2016,1/0/1900,2,4,3030,25,6,1,,0,0,1,1,0,1,0,"No chau, depois tapam",1,1,1,1,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,,0,1,5,,2,
9,5/10/2016,1/0/1900,2,2,3032,40,11,1,,1,0,0,1,0,0,0,,1,0,0,1,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,,0,0,5,,1,
10,5/10/2016,1/0/1900,2,3,3006,34,8,1,,0,0,1,1,0,0,0,,0,0,0,1,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,,1,0,6,Esvaziamento Manuel,5,
