c_group,c_start,c_coordinates,_c_coordinates_latitude,_c_coordinates_longitude,_c_coordinates_altitude,_c_coordinates_precision,c_neighborhood,c_rainweek,c_participant_num,c_participant_gender,c_participant_female_obs,c_participant_male_obs,c_participant_female,c_participant_male,c_neighborhood_y,c_neighborhood_n,c_c_y,c_c_n,c_s_a_3,c_s_a_2,c_s_a_1,c_s_a_0,c_s_a_na,c_d_a_3,c_d_a_2,c_d_a_1,c_d_a_0,c_d_a_na,c_f_a_3,c_f_a_2,c_f_a_1,c_f_a_0,c_f_a_na,c_dw_a_3,c_dw_a_2,c_dw_a_1,c_dw_a_0,c_dw_a_na,c_odw_a_3,c_odw_a_2,c_odw_a_1,c_odw_a_0,c_odw_a_na,c_dw_e_wt_1,c_dw_e_wt_0,c_dw_e_wt_na,c_bw_a_3,c_bw_a_2,c_bw_a_1,c_bw_a_0,c_bw_a_na,c_bw_e_source_2,c_bw_e_source_1,c_bw_e_source_0,c_bw_e_source_na,c_p_a_3,c_p_a_2,c_p_a_1,c_p_a_0,c_p_a_na,c_p_e_2,c_p_e_1,c_p_e_na,c_sf_a_3,c_sf_a_2,c_sf_a_1,c_sf_a_0,c_sf_a_na,c_l_a_3,c_l_a_2,c_l_a_1,c_l_a_0,c_l_a_na,c_pl_a_th_1,c_pl_a_th_0,c_pl_a_th_na,c_pl_a_tu_1,c_pl_a_tu_0,c_pl_a_tu_na,c_pl_a_tu_nl,c_pl_a_tw_1,c_pl_a_tw_0,c_pl_a_tw_na,c_pl_a_tw_nl,c_pl_a_tf_1,c_pl_a_tf_0,c_pl_a_tf_na,c_pl_a_tf_nl,c_participant_female_obs_mid,c_participant_male_obs_mid,c_s_c_3,c_s_c_2,c_s_c_1,c_s_c_0,c_s_c_na,c_d_c_3,c_d_c_2,c_d_c_1,c_d_c_0,c_d_c_na,c_f_c_3,c_f_c_2,c_f_c_1,c_f_c_0,c_f_c_na,c_dw_c_3,c_dw_c_2,c_dw_c_1,c_dw_c_0,c_dw_c_na,c_odw_c_3,c_odw_c_2,c_odw_c_1,c_odw_c_0,c_odw_c_na,c_bw_c_3,c_bw_c_2,c_bw_c_1,c_bw_c_0,c_bw_c_na,c_p_c_3,c_p_c_2,c_p_c_1,c_p_c_0,c_p_c_na,c_sf_c_3,c_sf_c_2,c_sf_c_1,c_sf_c_0,c_sf_c_na,c_l_c_3,c_l_c_2,c_l_c_1,c_l_c_0,c_l_c_na,c_participant_female_obs_end,c_participant_male_obs_end,c_notes,c_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
Bwaise 01,2018-12-03T15:28:00.000+03,0.3538383333333333 32.56207166666666 1151.8 2.4,0.3538383333333333,32.56207166666666,1151.8,2.4,311,1,12,2,9,3,9,3,10,2,12,0,3,1,2,4,2,1,1,6,3,1,9,1,1,0,1,12,0,0,0,0,0,0,1,11,0,12,0,0,9,3,0,0,0,12,0,0,0,0,3,1,7,1,12,0,0,2,5,4,1,0,5,0,2,5,0,8,4,0,9,0,0,3,4,8,0,0,3,9,0,0,9,3,3,2,1,6,0,5,1,3,3,0,11,0,0,1,0,11,0,0,1,0,0,0,0,12,0,5,5,2,0,0,1,2,7,2,0,9,1,2,0,0,4,1,2,4,1,9,3,n/a,Mugisha kwiringira,uuid:c75337d8-f6ff-4760-baa3-47d8dc17f174,c75337d8-f6ff-4760-baa3-47d8dc17f174,2018-12-04T09:02:36,,
Kamwokya 01,2018-12-04T14:43:00.000+03,0.3428816666666667 32.58781833333333 1178.7 2.6,0.3428816666666667,32.58781833333333,1178.7,2.6,310,1,8,1,n/a,n/a,n/a,n/a,8,0,7,1,0,1,0,7,0,5,1,1,1,0,7,0,1,0,0,8,0,0,0,0,0,2,0,6,0,6,1,1,6,2,0,0,0,8,0,0,0,2,4,2,0,0,8,0,0,4,0,1,3,0,4,0,3,1,0,2,5,1,2,6,0,0,0,7,1,0,2,6,0,0,8,0,2,0,1,2,2,2,3,2,0,0,6,0,1,0,0,5,2,0,0,0,1,0,0,4,2,6,1,0,0,0,1,1,3,1,0,0,0,3,4,0,6,0,1,0,0,8,0,n/a,Mugisha kwiringira,uuid:a3d77c9b-5697-45c1-b95c-3835605cd881,a3d77c9b-5697-45c1-b95c-3835605cd881,2018-12-04T13:57:30,,
Kamwokya 02,2018-12-05T10:47:00.000+03,0.3429016666666667 32.587801666666664 1187.6 3.2,0.3429016666666667,32.587801666666664,1187.6,3.2,310,1,9,2,8,1,8,1,9,0,9,0,0,0,0,8,1,5,2,1,1,0,0,0,2,7,0,3,2,3,1,0,6,3,0,0,0,9,0,0,7,2,0,0,0,3,6,0,0,4,1,1,3,0,9,0,0,1,6,2,0,0,1,0,0,8,0,9,0,0,9,0,0,0,2,7,0,0,0,9,0,0,8,1,9,0,0,0,0,4,1,1,3,0,1,1,3,3,0,4,1,1,3,0,5,3,1,0,0,7,2,0,0,0,1,4,4,0,0,4,3,2,0,0,0,1,0,8,0,8,1,n/a,Cathy Nanangwe,uuid:5982c334-38ce-4e33-ab4a-b3550f150487,5982c334-38ce-4e33-ab4a-b3550f150487,2018-12-10T05:15:03,,
Namuwongo 01,2018-12-06T09:31:00.000+03,0.3033533333333333 32.619056666666665 1171.9 5.0,0.3033533333333333,32.619056666666665,1171.9,5.0,309,1,11,2,10,1,10,1,11,0,11,0,1,1,6,2,1,1,3,3,4,0,1,7,0,2,1,3,4,2,2,0,9,1,1,0,0,5,6,0,5,6,0,0,0,0,9,1,1,0,6,2,2,1,10,1,0,0,3,5,3,0,8,3,0,0,0,9,0,0,0,0,2,9,0,4,1,7,0,1,1,9,10,1,10,0,1,0,0,6,4,1,0,0,6,3,2,0,0,1,1,4,3,2,5,1,5,0,0,4,6,1,0,0,1,2,4,2,1,2,2,5,2,0,7,2,2,0,0,10,1,n/a,Cathy Nanangwe,uuid:9e085481-9806-41df-84c1-522b11703d74,9e085481-9806-41df-84c1-522b11703d74,2018-12-10T05:15:04,,
Namuwongo 02,2018-12-06T11:25:00.000+03,n/a,n/a,n/a,n/a,n/a,309,1,12,2,11,1,11,1,12,0,12,0,6,2,3,1,0,11,1,0,0,0,8,2,2,0,0,1,0,1,10,0,10,0,1,1,0,7,4,1,11,1,0,0,0,0,11,0,1,1,2,8,1,0,12,0,0,3,3,6,0,0,10,2,0,0,0,3,8,1,3,0,2,7,0,4,8,0,3,5,1,2,11,1,10,1,0,1,0,10,0,2,0,0,7,3,2,0,0,2,0,4,5,1,8,2,2,0,0,10,1,1,0,0,4,6,1,0,1,4,5,0,3,0,7,3,0,1,0,11,1,n/a,Cathy Nanangwe,uuid:ff814140-b936-4cc7-a6e0-486d6e6d4df1,ff814140-b936-4cc7-a6e0-486d6e6d4df1,2018-12-12T11:31:37,,
Wankulukuku 01,2018-12-07T09:54:00.000+03,0.2880333333333333 32.55370833333333 1166.6 3.9,0.2880333333333333,32.55370833333333,1166.6,3.9,312,1,12,2,10,2,10,2,11,1,12,0,0,0,0,12,0,8,0,3,1,0,0,4,2,5,1,9,0,0,3,0,2,2,0,8,0,11,1,0,10,2,0,0,0,9,3,0,0,6,4,2,0,0,12,0,0,4,5,2,1,0,3,1,4,4,0,12,0,0,12,0,0,0,0,12,0,0,12,0,0,0,10,2,0,0,3,9,0,1,1,5,5,0,0,1,7,4,0,7,1,2,1,0,3,1,8,0,0,10,2,0,0,0,4,2,1,5,0,7,2,2,0,0,12,0,0,0,0,10,2,n/a,Cathy Nanangwe,uuid:c6c4aaf2-b40f-4144-bcd9-7b59048fd443,c6c4aaf2-b40f-4144-bcd9-7b59048fd443,2018-12-12T11:31:39,,
Wankulukuku 02,2018-12-07T11:24:00.000+03,0.28242666666666666 32.551856666666666 1174.8 5.0,0.28242666666666666,32.551856666666666,1174.8,5.0,312,1,12,2,10,2,10,2,12,0,12,0,4,0,3,5,0,10,0,0,0,0,9,1,0,2,0,10,0,0,2,0,3,1,1,6,1,10,2,0,11,1,0,0,0,7,5,0,0,3,3,1,4,0,11,1,0,6,3,2,1,0,4,0,2,6,0,12,0,0,12,0,0,0,5,7,0,0,2,10,0,0,10,2,8,3,1,0,0,10,1,1,0,0,8,1,3,0,0,8,0,2,2,0,4,1,4,3,0,8,4,0,0,0,2,3,4,3,0,6,4,1,1,0,1,1,3,7,0,10,2,n/a,Cathy Nanangwe,uuid:68028e66-ad26-42b8-b563-d340b1a3aa2c,68028e66-ad26-42b8-b563-d340b1a3aa2c,2018-12-12T11:31:42,,
Kinawataka 02,2018-12-11T16:13:00.000+03,0.33568166666666666 32.626558333333335 1190.1 4.9,0.33568166666666666,32.626558333333335,1190.1,4.9,313,1,12,2,11,1,11,1,12,0,12,0,0,0,1,10,1,9,0,2,1,0,4,1,4,3,0,12,0,0,0,0,0,0,1,9,2,11,1,0,9,3,0,0,0,12,0,0,0,2,5,3,2,0,12,0,0,5,3,2,2,0,0,0,2,10,0,12,0,0,12,0,0,0,0,12,0,0,1,11,0,0,11,1,0,1,2,9,0,3,3,3,3,0,2,3,5,2,0,7,1,2,1,0,0,0,3,9,0,6,6,0,0,0,2,5,2,3,0,6,4,2,0,0,2,0,0,10,0,11,1,n/a,Mugisha kwiringira,uuid:9ad84dac-ffca-447c-80e2-c3c58754a191,9ad84dac-ffca-447c-80e2-c3c58754a191,2018-12-12T11:31:56,,
Bwaise 02,2018-12-12T11:41:00.000+03,0.3570733333333333 32.56124 1170.5 2.1,0.3570733333333333,32.56124,1170.5,2.1,311,1,12,1,n/a,n/a,n/a,n/a,12,0,12,0,1,2,2,7,0,10,0,0,2,0,7,5,0,0,0,0,3,1,6,0,7,2,3,0,0,5,6,1,6,6,0,0,0,6,6,0,0,0,4,4,4,0,11,0,1,0,7,4,1,0,0,0,2,9,1,12,0,0,12,0,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,12,10,2,0,0,0,12,0,0,0,0,2,5,2,3,0,5,5,2,0,0,4,8,0,0,0,1,4,2,4,1,8,2,1,1,0,0,0,0,12,0,12,0,n/a,Cathy Nanangwe,uuid:a9a9fa52-663b-41cd-a623-cd30d7fccc8e,a9a9fa52-663b-41cd-a623-cd30d7fccc8e,2018-12-12T11:32:17,,
Kinawataka 01,2018-12-10T10:10:00.000+03,0.33486 32.63430166666667 1141.2 3.0,0.33486,32.63430166666667,1141.2,3.0,313,1,12,2,11,1,11,1,12,0,12,0,0,4,1,7,0,6,5,0,1,0,2,8,0,2,0,8,1,3,0,0,1,4,2,5,0,10,2,0,8,3,1,0,0,3,9,0,0,5,3,3,1,0,10,2,0,5,4,3,0,0,5,2,2,1,2,3,9,0,5,1,0,6,2,6,2,2,0,2,2,8,11,1,0,0,3,9,0,11,1,0,0,0,1,7,2,2,0,7,3,0,1,1,4,0,0,7,1,6,4,2,0,0,2,6,2,2,0,6,5,1,0,0,2,4,3,2,1,11,1,n/a,Mugisha kwiringira,uuid:b77d3820-c504-47d4-962b-2aa298733395,b77d3820-c504-47d4-962b-2aa298733395,2018-12-12T11:40:39,,
