"col_neighborhood","col_sample_type","col_id","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_rainweek","col_rainmon","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_latrine_distance","col_p_type","col_p_type_other","col_p_num","col_dw_type","col_dw_type_other","col_dw_container","col_dw_container_lid","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_l_toilet_type","col_l_toilet_type_other","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_gender","col_l_toilet_hw","col_s_type","col_s_type_other","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_notes","col_enum","col_photo","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes"
3,3,1051,1051,"2018-11-16T11:52:00.000+03","",,,,,1,1,,,,,,,1,,0,,0,0,0,,,,,,,,,,,,,"",,,,2,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:b1bca057-45f2-42d4-860c-6ba056af3a07","b1bca057-45f2-42d4-860c-6ba056af3a07","2019-01-14T14:17:59",,
3,3,1052,1052,"2018-11-16T12:24:00.000+03","0.36133666666666664 32.55972 1163.3 5.0",0.361336667,32.55972,1163.3,5,1,1,,,,,,,1,,0,,0,0,0,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:01ffc04e-4c43-4264-855e-da6b1eed7152","01ffc04e-4c43-4264-855e-da6b1eed7152","2018-11-26T17:45:37",,
3,3,1053,1053,"2018-11-16T12:25:00.000+03","0.3608116666666667 32.55971 1163.4 4.4",0.360811667,32.55971,1163.4,4.4,1,1,,,,,,,1,,0,,0,0,0,,,,,,,,,,,,,"",,,,2,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:58d8f025-2cee-49b4-896f-9e80486b4cdf","58d8f025-2cee-49b4-896f-9e80486b4cdf","2018-11-26T17:45:39",,
3,3,1054,1054,"2018-11-16T13:06:00.000+03","0.35645666666666664 32.56171166666666 1179.0 4.9",0.356456667,32.56171167,1179,4.9,1,1,,,,,,,1,,0,,0,0,0,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:65c8ddc1-50bd-4757-a42a-d2257a8a1701","65c8ddc1-50bd-4757-a42a-d2257a8a1701","2019-01-14T14:18:06",,
3,3,1055,1055,"2019-01-17T13:28:00.000+03","0.35839 32.56138 1139.7 4.9",0.35839,32.56138,1139.7,4.9,2,1,,,,,,,4,,1,1,,,,,,,,,,,,,,,,"",,,,3,,,,,,,,,,,,,,,,,,,"","","Masaba Chris",1,"uuid:35a368f4-5dd6-4a99-b3fa-7c308d3afbd4","35a368f4-5dd6-4a99-b3fa-7c308d3afbd4","2019-01-17T15:00:01",,
3,3,1056,1056,"2018-11-16T12:46:00.000+03","0.3583983333333334 32.56136166666667 1164.5 4.2",0.358398333,32.56136167,1164.5,4.2,1,1,,,,,,,1,,0,,0,0,0,,,,,,,,,,,,,"",,,,2,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:6b3c1ea8-9be0-4477-b9cb-39b840dd5093","6b3c1ea8-9be0-4477-b9cb-39b840dd5093","2018-11-26T17:45:46",,
3,3,1057,1057,"2019-01-17T13:37:00.000+03","0.36000166666666666 32.560595 1152.7 5.0",0.360001667,32.560595,1152.7,5,2,1,,,,,,,4,,0,,,,,,,,,,,,,,,,,"",,,,3,,,,,,,,,,,,,,,,,,,"","","Masaba Chris",1,"uuid:28d9c399-48e7-4ffb-a971-d958adb34fad","28d9c399-48e7-4ffb-a971-d958adb34fad","2019-01-17T15:00:06",,
3,3,1059,1059,"2018-11-16T12:29:00.000+03","0.36044166666666666 32.55919166666667 1163.3 4.7",0.360441667,32.55919167,1163.3,4.7,1,1,,,,,,,1,,0,,0,0,0,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:a493e8f2-4c88-4c92-adf9-7f0869f1c7ac","a493e8f2-4c88-4c92-adf9-7f0869f1c7ac","2018-11-26T17:45:40",,
3,3,1060,1060,"2018-11-16T12:32:00.000+03","0.36049666666666663 32.55916833333333 1163.9 5.0",0.360496667,32.55916833,1163.9,5,1,1,,,,,,,1,,0,,0,0,0,,,,,,,,,,,,,"",,,,2,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:ff953154-618e-4f63-ae00-f78e61fc3c8b","ff953154-618e-4f63-ae00-f78e61fc3c8b","2018-11-26T17:45:42",,
5,3,1061,1061,"2019-01-29T10:24:00.000+03","0.33545833333333336 32.63482666666666 1169.4 4.9",0.335458333,32.63482667,1169.4,4.9,1,1,,,,,,,4,,0,,,,,,,,,,,,,,,,,"",,,,3,,,,,,,,,,,,,,,,,,,"","","Masaba Chris",1,"uuid:1838e0e2-2337-411e-aa9c-5c858d08f992","1838e0e2-2337-411e-aa9c-5c858d08f992","2019-01-30T07:51:05",,
5,3,1062,1062,"2018-11-23T13:23:00.000+03","0.33266333333333337 32.63596166666667 1169.8 4.9",0.332663333,32.63596167,1169.8,4.9,1,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:9dd3cbed-e813-4d69-b758-57a335bcba47","9dd3cbed-e813-4d69-b758-57a335bcba47","2018-11-26T17:48:04",,
