"deviceid","h_id","h_start","h_coordinates","X_h_coordinates_latitude","X_h_coordinates_longitude","X_h_coordinates_altitude","X_h_coordinates_precision","h_neighborhood","h_home_type","h_rainweek","h_population","h_c","h_s","h_s_a","h_s_a_other","h_s_c","h_s_c_other","h_d","h_d_a","h_d_a_other","h_d_c","h_d_c_other","h_f","h_f_a","h_f_a_other","h_f_c","h_f_c_other","h_dw","h_dw_a_other","h_dw_c_other","h_dw_e_wt_note","h_dw_e_wt","h_dw_e_wt_other","h_o","h_o_a","h_o_a_other","h_o_c","h_o_c_other","h_bw","h_bw_a","h_bw_a_other","h_bw_c","h_bw_c_other","h_p","h_p_a","h_p_a_other","h_p_c","h_p_c_other","h_p_e","h_p_e_other","h_sf","h_sf_a","h_sf_a_other","h_sf_c","h_sf_c_other","h_l","h_l_a","h_l_a_other","h_l_c","h_l_c_other","h_pl","h_pl_a_th","h_pl_a_th_other","h_pl_a_tu","h_pl_a_tu_other","h_pl_a_tw","h_pl_a_tw_other","h_pl_a_tf","h_pl_a_tf_other","h_pl_a_ts","h_pl_a_ts_other","h_pl_a_od","h_pl_a_od.1","h_pl_a_od.2","h_pl_a_od.3","h_pl_a_od.4","h_pl_a_od.5","h_pl_a_od.6","h_pl_a_od.7","h_pl_a_od_other","h_end","h_notes","h_enum","X_id","X_uuid","X_submission_time","X_index","h_extra_data","dply_num","h_UID","h_date","neighb_num","h_sex","h_dw_a","h_odw_a_other","h_dw_c","h_odw_c_other","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes"
,1000,"2018-11-23T13:30:00.000+03","0.3443116666666667 32.58719333333333 1166.2 5.0",0.344311666666667,32.5871933333333,1166.2,5,2,2,1,6,1,,4,"",4,"",,4,,4,,,4,,4,,,,,,1,,,,,,,,1,,2,,,3,"",4,"",1,"",,3,,2,,,4,"",4,"",,1,"",1,,1,"",2,,2,"",,0,1,0,0,0,0,0,,,"","Masaba Chris",,"276a7f4d-34e3-4b3f-9500-e9bf4906fe8c","2018-11-23T16:38:10",,1,9,"09_1000","2018-11-23",902,1,4,,4,,2,,"uuid:276a7f4d-34e3-4b3f-9500-e9bf4906fe8c",,
,1001,"2018-11-23T13:44:00.000+03","0.34421166666666664 32.587243333333326 1163.5 5.0",0.344211666666667,32.5872433333333,1163.5,5,2,2,1,10,1,,4,"",4,"",,4,,4,,,4,,4,,,,,,1,,,,,,,,2,,2,,,4,"",4,"",4,"Did not eat raw food.",,4,,4,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,0,1,0,0,0,0,0,,,"","Masaba Chris",,"991c7f76-222e-4f71-b4a3-f4b34e0bf161","2018-11-23T16:38:12",,1,9,"09_1001","2018-11-23",902,1,4,,4,,2,,"uuid:991c7f76-222e-4f71-b4a3-f4b34e0bf161",,
,1007,"2018-11-17T10:26:00.000+03","0.30004000000000003 32.62230833333333 1141.5 5.0",0.30004,32.6223083333333,1141.5,5,1,2,1,2,1,,3,"",4,"",,1,,1,,,2,,2,,,,,,2,,,,,,,,1,,2,,,2,"",2,"",1,"",,1,,2,,,1,"",1,"",,2,"",,,,"",,,,"",,0,1,1,0,0,0,0,,,"More latrines are required in the area,","Mugisha kwiringira",,"a9a8efda-528c-4975-8b70-6995a4f9dbe6","2018-11-26T17:45:50",,1,9,"09_1007","2018-11-17",901,1,1,,1,,2,,"uuid:a9a8efda-528c-4975-8b70-6995a4f9dbe6",,
,1008,"2018-11-17T10:41:00.000+03","0.30022000000000004 32.622460000000004 1141.5 4.8",0.30022,32.62246,1141.5,4.8,1,2,1,3,1,,1,"",2,"",,1,,2,,,3,,4,,,,,,2,,,,,,,,1,,2,,,2,"",2,"",1,"",,2,,2,,,1,"",1,"",,2,"",,,,"",,,,"",,0,1,1,1,0,0,0,,,"","Mugisha kwiringira",,"66fc12f2-4d36-4006-85eb-89667e859b13","2018-11-26T17:45:52",,1,9,"09_1008","2018-11-17",901,2,1,,1,,2,,"uuid:66fc12f2-4d36-4006-85eb-89667e859b13",,
,1009,"2018-11-17T10:49:00.000+03","0.30047666666666667 32.622463333333336 1145.2 4.6",0.300476666666667,32.6224633333333,1145.2,4.6,1,2,1,7,1,,1,"",2,"",,1,,2,,,1,,1,,,,,,2,,,,,,,,1,,2,,,3,"",3,"",1,"",,2,,3,,,1,"",1,"",,2,"",,,,"",,,,"",,0,1,1,1,0,0,0,,,"More latrines are required in the area.","Mugisha kwiringira",,"da442d7b-d7a9-4084-95b6-3209703ff47c","2018-11-26T17:45:53",,1,9,"09_1009","2018-11-17",901,1,1,,1,,2,,"uuid:da442d7b-d7a9-4084-95b6-3209703ff47c",,
,1010,"2018-11-17T10:59:00.000+03","0.3005133333333333 32.62247166666667 1145.4 4.9",0.300513333333333,32.6224716666667,1145.4,4.9,1,1,1,4,1,,3,"",4,"",,1,,3,,,1,,1,,,,,,1,,,,,,,,1,,2,,,2,"",2,"",1,"",,2,,2,,,1,"",1,"",,2,"",,,,"",,,,"",,0,1,1,0,0,0,0,,,"Latrines are a challenge","Mugisha kwiringira",,"74e30560-7dfc-4d30-8a49-14c66c094732","2018-11-26T17:45:55",,1,9,"09_1010","2018-11-17",901,1,1,,1,,2,,"uuid:74e30560-7dfc-4d30-8a49-14c66c094732",,
,1011,"2018-11-17T11:07:00.000+03","0.3005366666666667 32.62248666666667 1145.6 5.0",0.300536666666667,32.6224866666667,1145.6,5,1,2,1,4,1,,2,"",4,"",,1,,2,,,1,,1,,,,,,1,,,,,,,,1,,2,,,2,"",2,"",1,"",,1,,2,,,1,"",1,"",,2,"",,,,"",,,,"",,0,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"50ba25c2-f191-4761-9243-94f76f53b1e8","2018-11-26T17:45:57",,1,9,"09_1011","2018-11-17",901,1,1,,1,,2,,"uuid:50ba25c2-f191-4761-9243-94f76f53b1e8",,
,1012,"2018-11-17T11:16:00.000+03","0.3004883333333333 32.622458333333334 1144.4 5.0",0.300488333333333,32.6224583333333,1144.4,5,1,2,1,4,1,,1,"",3,"",,2,,4,,,2,,2,,,,,,2,,,,,,,,1,,1,,,4,"",4,"",2,"",,3,,4,,,1,"",1,"",,2,"",,,,"",,,,"",,0,0,0,0,1,0,0,,,"","Mugisha kwiringira",,"44c4b6bf-d7ba-4215-8b3f-e5c7a85ce0dd","2018-11-26T17:45:59",,1,9,"09_1012","2018-11-17",901,1,1,,1,,2,,"uuid:44c4b6bf-d7ba-4215-8b3f-e5c7a85ce0dd",,
,1013,"2018-11-17T11:54:00.000+03","0.30006 32.622328333333336 1143.3 4.0",0.30006,32.6223283333333,1143.3,4,1,1,1,12,1,,1,"",2,"",,1,,2,,,4,,4,,,,,,2,,,,,,,,2,,2,,,1,"",1,"",1,"",,2,,5,,,3,"",5,"",,1,"",1,,2,"",2,,3,"",,0,1,0,0,0,0,0,,,"Spraying drains, to kill the many mosquitoes","Mugisha kwiringira",,"6f6dfe2d-41a6-4f3f-9b29-34d403c09e5e","2018-11-26T17:46:02",,1,9,"09_1013","2018-11-17",901,1,1,,1,,2,,"uuid:6f6dfe2d-41a6-4f3f-9b29-34d403c09e5e",,
,1014,"2018-11-17T12:05:00.000+03","0.3000716666666667 32.62221 1146.0 5.0",0.300071666666667,32.62221,1146,5,1,2,1,8,1,,3,"",3,"",,1,,1,,,2,,5,,,,,,1,,,,,,,,1,,1,,,3,"",3,"",2,"",,1,,1,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,0,1,0,0,0,0,0,,,"Sanitation in the area needs to be improved a bit.","Mugisha kwiringira",,"b8b2eac9-a76f-453d-9ee5-9871a080f906","2018-11-26T17:46:04",,1,9,"09_1014","2018-11-17",901,1,1,,1,,2,,"uuid:b8b2eac9-a76f-453d-9ee5-9871a080f906",,
