"lab_start_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_group.lab_1_dil_tested","lab_1_group.lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_2_group.lab_2_dil_tested","lab_2_group.lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_3_dilution_performed","lab_3_group.lab_3_dil_tested","lab_3_group.lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_notes","lab_enum","lab_photo","lab_end_dt","col_start_dt","col_end_dt","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes"
"2018-12-03T14:32:28.718+01",3,1051,1051,"2018-11-17T11:05:00.000+01","2018-11-17T12:33:00.000+01","2018-11-18T12:30:00.000+01",,,,7,100,3,31,7,10,3,1,0,,,,,"","Winnie",1,"2018-12-03T14:34:40.975+01","2018-12-03T14:32:28.718+01","2018-12-03T14:34:40.975+01","uuid:06fe0b0d-05c8-4072-9ee9-20b29713dd4a","06fe0b0d-05c8-4072-9ee9-20b29713dd4a","2018-12-03T11:53:56",,
"2018-12-03T14:35:02.580+01",3,1052,1052,"2018-11-17T11:35:00.000+01","2018-11-17T12:38:00.000+01","2018-11-18T12:38:00.000+01",,,,7,100,3,20,7,10,3,8,0,,,,,"","Winnie",1,"2018-12-03T14:39:09.300+01","2018-12-03T14:35:02.580+01","2018-12-03T14:39:09.300+01","uuid:460c4896-da1e-4c2e-a104-56517da44c4b","460c4896-da1e-4c2e-a104-56517da44c4b","2018-12-03T11:53:58",,
"2018-12-03T14:39:13.131+01",3,1053,1053,"2018-11-17T23:39:00.000+01","2018-11-17T12:40:00.000+01","2018-11-18T12:40:00.000+01",,,,7,100,3,1,7,10,3,4,0,,,,,"","Winnie",1,"2018-12-03T14:41:06.441+01","2018-12-03T14:39:13.131+01","2018-12-03T14:41:06.441+01","uuid:cff06039-d81e-430b-81a5-b777ea070f90","cff06039-d81e-430b-81a5-b777ea070f90","2018-12-03T11:54:00",,
"2018-12-03T14:43:30.768+01",3,1054,1054,"2018-11-17T11:57:00.000+01","2018-11-17T12:44:00.000+01","2018-11-18T12:44:00.000+01",,,,7,100,3,11,7,10,3,0,0,,,,,"","Winnie",1,"2018-12-03T14:45:04.813+01","2018-12-03T14:43:30.768+01","2018-12-03T14:45:04.813+01","uuid:338d453c-2c5c-4e1c-98a0-359cfe1a38ca","338d453c-2c5c-4e1c-98a0-359cfe1a38ca","2018-12-03T11:54:02",,
"2019-02-04T16:23:16.089+01",3,1055,1055,"2019-01-18T17:32:00.000+01","2019-01-18T17:48:00.000+01","2019-01-19T18:00:00.000+01",,,,7,10,3,0,7,100,3,3,1,7,1,3,1,"","Winnie",1,"2019-02-04T16:25:23.686+01","2019-02-04T16:23:16.090+01","2019-02-04T16:25:23.686+01","uuid:80461464-951e-425e-b89d-c52827fecdec","80461464-951e-425e-b89d-c52827fecdec","2019-02-07T09:52:38",,
"2018-12-03T14:45:26.970+01",3,1056,1056,"2018-11-17T12:18:00.000+01","2018-11-17T12:48:00.000+01","2018-11-18T12:48:00.000+01",,,,7,100,3,26,7,10,3,2,0,,,,,"","Winnie",1,"2018-12-03T14:49:23.017+01","2018-12-03T14:45:26.970+01","2018-12-03T14:49:23.017+01","uuid:3c054e76-1cac-431f-9635-b0f21d221470","3c054e76-1cac-431f-9635-b0f21d221470","2018-12-03T11:54:04",,
"2019-02-04T16:25:35.449+01",3,1057,1057,"2019-01-18T17:32:00.000+01","2019-01-18T17:48:00.000+01","2019-01-19T18:00:00.000+01",,,,7,100,3,0,7,10,3,64,0,,,,,"","Winnie",1,"2019-02-04T16:28:11.884+01","2019-02-04T16:25:35.449+01","2019-02-04T16:28:11.884+01","uuid:966c8270-6ddc-4732-82d0-c726b19ed2f2","966c8270-6ddc-4732-82d0-c726b19ed2f2","2019-02-07T09:52:40",,
"2018-12-03T14:52:24.391+01",3,1059,1059,"2018-11-17T12:57:00.000+01","2018-11-17T13:06:00.000+01","2018-11-18T12:30:00.000+01",,,,7,100,3,5,7,10,3,0,0,,,,,"","Winnie",1,"2018-12-03T14:54:12.566+01","2018-12-03T14:52:24.391+01","2018-12-03T14:54:12.566+01","uuid:66a5e240-34f3-406e-9931-fb65a80783c8","66a5e240-34f3-406e-9931-fb65a80783c8","2018-12-03T11:54:08",,
"2018-12-03T14:54:33.678+01",3,1060,1060,"2018-11-17T13:09:00.000+01","2018-11-17T13:14:00.000+01","2018-11-18T12:30:00.000+01",,,,7,100,3,3,7,10,3,0,0,,,,,"","Winnie",1,"2018-12-03T14:56:05.399+01","2018-12-03T14:54:33.678+01","2018-12-03T14:56:05.399+01","uuid:f8433608-d26d-4ec3-8174-212871073138","f8433608-d26d-4ec3-8174-212871073138","2018-12-03T11:54:10",,
"2019-02-04T16:33:45.497+01",3,1061,1061,"2018-11-23T15:21:00.000+01","2018-11-23T15:39:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,3,24,7,1,3,2,0,,,,,"","Winnie",1,"2019-02-04T16:35:12.766+01","2019-02-04T16:33:45.499+01","2019-02-04T16:35:12.766+01","uuid:cd4df96b-d3d0-4fcc-b1fd-37a48d43b66a","cd4df96b-d3d0-4fcc-b1fd-37a48d43b66a","2019-02-07T09:52:45",,
"2019-02-12T16:47:17.195+01",3,1062,1062,"2018-11-23T15:33:00.000+01","2018-11-23T15:39:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,3,0,7,100,3,0,0,,,,,"","Winnie",1,"2019-02-12T16:48:40.696+01","2019-02-12T16:47:17.195+01","2019-02-12T16:48:40.696+01","uuid:06728313-2c6c-4d29-a05a-cc86ace94063","06728313-2c6c-4d29-a05a-cc86ace94063","2019-02-12T14:06:00",,
