lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2018-11-26T14:35:36.162+01,9,1023,1023,2018-11-23T15:34:00.000+01,2018-11-23T15:55:00.000+01,2018-11-24T17:34:00.000+01,n/a,n/a,n/a,7,10,3,1,7,100,3,9,0,n/a,n/a,n/a,n/a,n/a,Winnie,0,2018-12-03T14:28:47.053+01,2018-11-26T14:35:36.163+01,2018-12-03T14:28:47.053+01,uuid:f14db9ba-7d45-4336-a83f-039e28e51537,f14db9ba-7d45-4336-a83f-039e28e51537,2018-12-03T11:53:54,,
2018-12-03T14:32:28.718+01,9,1051,1051,2018-11-17T11:05:00.000+01,2018-11-17T12:33:00.000+01,2018-11-18T12:30:00.000+01,n/a,n/a,n/a,7,100,3,31,7,10,3,1,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T14:34:40.975+01,2018-12-03T14:32:28.718+01,2018-12-03T14:34:40.975+01,uuid:06fe0b0d-05c8-4072-9ee9-20b29713dd4a,06fe0b0d-05c8-4072-9ee9-20b29713dd4a,2018-12-03T11:53:56,,
2018-12-03T14:35:02.580+01,9,1052,1052,2018-11-17T11:35:00.000+01,2018-11-17T12:38:00.000+01,2018-11-18T12:38:00.000+01,n/a,n/a,n/a,7,100,3,20,7,10,3,8,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T14:39:09.300+01,2018-12-03T14:35:02.580+01,2018-12-03T14:39:09.300+01,uuid:460c4896-da1e-4c2e-a104-56517da44c4b,460c4896-da1e-4c2e-a104-56517da44c4b,2018-12-03T11:53:58,,
2018-12-03T14:39:13.131+01,9,1053,1053,2018-11-17T23:39:00.000+01,2018-11-17T12:40:00.000+01,2018-11-18T12:40:00.000+01,n/a,n/a,n/a,7,100,3,1,7,10,3,4,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T14:41:06.441+01,2018-12-03T14:39:13.131+01,2018-12-03T14:41:06.441+01,uuid:cff06039-d81e-430b-81a5-b777ea070f90,cff06039-d81e-430b-81a5-b777ea070f90,2018-12-03T11:54:00,,
2018-12-03T14:43:30.768+01,9,1054,1054,2018-11-17T11:57:00.000+01,2018-11-17T12:44:00.000+01,2018-11-18T12:44:00.000+01,n/a,n/a,n/a,7,100,3,11,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T14:45:04.813+01,2018-12-03T14:43:30.768+01,2018-12-03T14:45:04.813+01,uuid:338d453c-2c5c-4e1c-98a0-359cfe1a38ca,338d453c-2c5c-4e1c-98a0-359cfe1a38ca,2018-12-03T11:54:02,,
2018-12-03T14:45:26.970+01,9,1056,1056,2018-11-17T12:18:00.000+01,2018-11-17T12:48:00.000+01,2018-11-18T12:48:00.000+01,n/a,n/a,n/a,7,100,3,26,7,10,3,2,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T14:49:23.017+01,2018-12-03T14:45:26.970+01,2018-12-03T14:49:23.017+01,uuid:3c054e76-1cac-431f-9635-b0f21d221470,3c054e76-1cac-431f-9635-b0f21d221470,2018-12-03T11:54:04,,
2018-12-03T14:50:35.620+01,9,1058,1058,2018-11-17T12:47:00.000+01,2018-11-17T12:53:00.000+01,2018-11-18T12:30:00.000+01,n/a,n/a,n/a,7,100,3,6,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T14:52:09.688+01,2018-12-03T14:50:35.620+01,2018-12-03T14:52:09.688+01,uuid:55243fe9-8097-4da7-ace3-f69bdaba78e5,55243fe9-8097-4da7-ace3-f69bdaba78e5,2018-12-03T11:54:06,,
2018-12-03T14:52:24.391+01,9,1059,1059,2018-11-17T12:57:00.000+01,2018-11-17T13:06:00.000+01,2018-11-18T12:30:00.000+01,n/a,n/a,n/a,7,100,3,5,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T14:54:12.566+01,2018-12-03T14:52:24.391+01,2018-12-03T14:54:12.566+01,uuid:66a5e240-34f3-406e-9931-fb65a80783c8,66a5e240-34f3-406e-9931-fb65a80783c8,2018-12-03T11:54:08,,
2018-12-03T14:54:33.678+01,9,1060,1060,2018-11-17T13:09:00.000+01,2018-11-17T13:14:00.000+01,2018-11-18T12:30:00.000+01,n/a,n/a,n/a,7,100,3,3,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T14:56:05.399+01,2018-12-03T14:54:33.678+01,2018-12-03T14:56:05.399+01,uuid:f8433608-d26d-4ec3-8174-212871073138,f8433608-d26d-4ec3-8174-212871073138,2018-12-03T11:54:10,,
2018-12-03T14:57:51.499+01,5,1101,1101,2018-11-17T13:58:00.000+01,2018-11-17T13:43:00.000+01,2018-11-18T14:09:00.000+01,n/a,n/a,n/a,7,10,1,n/a,7,1,3,54,0,n/a,n/a,n/a,n/a,n/a,Winnie,1,2018-12-03T15:00:12.510+01,2018-12-03T14:57:51.499+01,2018-12-03T15:00:12.511+01,uuid:b5e1bffc-23a6-4b01-9485-7fff26653496,b5e1bffc-23a6-4b01-9485-7fff26653496,2018-12-03T12:08:19,,
