col_neighborhood,col_sample_type,col_id,col_id_val,col_start,action,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_gender,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
311,3,1001,1001,2018-11-16T11:30:00.000+03,,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,205,0,0,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:0e1db269-5014-4144-b962-51a960c47da5,0e1db269-5014-4144-b962-51a960c47da5,2019-01-14T14:17:57,,
311,3,1003,1003,2018-11-16T12:14:00.000+03,,0.36046333333333336 32.56023166666667 1161.7 4.9,0.360463333,32.56023167,1161.7,4.9,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,210,0,0,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:94bf2d4e-2b8a-4916-a5e2-78bafe48f9da,94bf2d4e-2b8a-4916-a5e2-78bafe48f9da,2018-11-26T17:45:34,,
311,3,1004,1004,2018-11-16T12:53:00.000+03,,0.3568216666666667 32.56162500000001 1173.3 5.0,0.356821667,32.561625,1173.3,5,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,0,0,0,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:b5e90813-a16b-45bf-abf7-db0572db6615,b5e90813-a16b-45bf-abf7-db0572db6615,2018-11-26T17:45:48,,
311,3,1005,1005,2018-11-16T13:22:00.000+03,,0.3548883333333333 32.56205 1182.8 5.0,0.354888333,32.56205,1182.8,5,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,0,0,0,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:b8978c9d-a6bc-4562-bd25-fb0c5327dd32,b8978c9d-a6bc-4562-bd25-fb0c5327dd32,2019-01-14T14:18:08,,
311,3,1006,1006,2018-11-16T13:23:00.000+03,,0.35489 32.561906666666665 1182.7 5.0,0.35489,32.56190667,1182.7,5,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,0,0,0,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a, Constance,1,uuid:f4679974-d77a-49ab-86ea-46434bc1e559,f4679974-d77a-49ab-86ea-46434bc1e559,2019-01-14T14:18:10,,
311,3,1007,1007,2018-11-16T13:31:00.000+03,,0.354185 32.56224833333333 1195.1 5.0,0.354185,32.56224833,1195.1,5,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,0,0,0,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:49b3018c-e5dc-44f5-ac5c-cc86c98f7588,49b3018c-e5dc-44f5-ac5c-cc86c98f7588,2019-01-14T14:18:12,,
311,3,1008,1008,2018-11-16T13:33:00.000+03,,0.35422 32.562235 1195.0 4.8,0.35422,32.562235,1195,4.8,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,0,0,0,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:f4832b6c-7c7e-4cec-970d-b220dca17a07,f4832b6c-7c7e-4cec-970d-b220dca17a07,2019-01-14T14:18:14,,
311,3,1009,1009,2019-01-31T13:29:00.000+03,del,0.35447999999999996 32.56194833333333 1174.2 4.9,0.35448,32.56194833,1174.2,4.9,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Masaba Chris,1,uuid:ed8afafa-e7fe-4f00-9b17-b3b54b57a743,ed8afafa-e7fe-4f00-9b17-b3b54b57a743,2019-02-01T11:02:41,,
311,3,1009,1009,2019-02-12T15:05:00.000+03,,0.35420666666666667 32.56223166666667 1167.8 4.8,0.354206667,32.56223167,1167.8,4.8,1,0,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Masaba Chris,1,uuid:987ab414-2f27-4034-948e-26f0023f1397,987ab414-2f27-4034-948e-26f0023f1397,2019-02-13T09:46:26,,
311,3,1010,1010,2019-01-31T13:48:00.000+03,del,0.3541166666666667 32.56230333333333 1169.2 5.0,0.354116667,32.56230333,1169.2,5,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Masaba Chris,1,uuid:268c212a-048f-4cab-a0f4-e2df415a9cfc,268c212a-048f-4cab-a0f4-e2df415a9cfc,2019-02-01T11:02:43,,
311,3,1010,1010,2019-02-12T15:11:00.000+03,,0.3538183333333333 32.562356666666666 1168.0 4.8,0.353818333,32.56235667,1168,4.8,1,0,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Masaba Chris,1,uuid:7fadf339-23d2-4348-919b-b6330b5a6e01,7fadf339-23d2-4348-919b-b6330b5a6e01,2019-02-13T09:46:31,,
313,3,1011,1011,2018-11-22T11:47:00.000+03,,0.33393833333333334 32.628238333333336 1166.2 5.0,0.333938333,32.62823833,1166.2,5,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,n/a,0.1,0.1,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:42624ef0-659d-45ce-8d6e-ab4600a81351,42624ef0-659d-45ce-8d6e-ab4600a81351,2018-11-26T17:47:37,,
313,3,1012,1012,2018-11-22T11:59:00.000+03,,0.33369333333333334 32.62843 1173.0 5.9,0.333693333,32.62843,1173,5.9,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:da2d2f6c-bccc-4db2-bc54-b5a6c204aff1,da2d2f6c-bccc-4db2-bc54-b5a6c204aff1,2018-11-26T17:47:43,,
313,3,1013,1013,2018-11-22T12:01:00.000+03,,0.33337833333333333 32.62844666666667 1173.0 10.1,0.333378333,32.62844667,1173,10.1,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,n/a,0.1,0.2,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:0ba87b09-d209-44b4-a42f-db526ef1e96d,0ba87b09-d209-44b4-a42f-db526ef1e96d,2018-11-26T17:47:45,,
313,3,1014,1014,2018-11-22T13:04:00.000+03,,0.3334816666666667 32.62882666666667 1206.8 9.8,0.333481667,32.62882667,1206.8,9.8,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Constance,1,uuid:5d84410f-09e9-469b-8bb1-69564cb3c40a,5d84410f-09e9-469b-8bb1-69564cb3c40a,2018-11-26T17:47:47,,
