start_dt,subscriberid,simserial,deviceid,lab_id,lab_id_val,lab_sample_type,lab_neighborhood,lab_analysis,lab_analysis_method,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_ws_cl_free,lab_ws_cl_total,lab_p_weight,lab_1_dil_tested,lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_reading_idexx,lab_1_ecoli_membrane,lab_1_ecoli_idexx,lab_1_ecoli_big_idexx,lab_1_ecoli_small_idexx,lab_2_dil_tested,lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_reading_idexx,lab_2_ecoli_big_idexx,lab_2_ecoli_small_idexx,lab_2_ecoli_membrane,lab_2_ecoli_idexx,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_dil,lab_3_ecoli_reading_membrane,lab_3_ecoli_reading_idexx,lab_3_ecoli_big_idexx,lab_3_ecoli_small_idexx,lab_3_ecoli_membrane,lab_3_ecoli_idexx,lab_enum,lab_notes,end_dt,meta/instanceID,_uuid,_submission_time
2016-11-18T16:58:17.753-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa001,Dwa001,4,1,n/a,1,2016-11-17T13:00:00.000-05,2016-11-17T13:15:00.000-05,2016-11-18T13:15:00.000-05,0,0,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk rr,No tc,2016-11-18T17:00:02.304-05,uuid:ff24f863-c3db-4720-8dbb-7bafbf8da6a0,ff24f863-c3db-4720-8dbb-7bafbf8da6a0,2016-11-19T20:58:18
2016-12-07T15:54:20.854-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa002,Dwa002,4,1,n/a,1,2016-12-06T13:43:00.000-05,2016-12-06T14:00:00.000-05,2016-12-07T14:30:00.000-05,0,n/a,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk rh,n/a,2016-12-07T15:56:13.465-05,uuid:2d0bb77f-ca66-406e-8a6f-c810a3dd92d2,2d0bb77f-ca66-406e-8a6f-c810a3dd92d2,2016-12-10T18:22:20
2016-11-30T16:53:40.054-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa003,Dwa003,4,1,n/a,1,2016-11-29T13:00:00.000-05,2016-11-29T14:30:00.000-05,2016-11-30T14:35:00.000-05,0,0,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk  rh  jg  ,"Had to enter 0 onto free CL residual reading (although blank on paper form),  in order to fill out total CL residual reading ",2016-11-30T16:57:41.067-05,uuid:f1ceb9af-24f9-4eab-a651-144796f83cb7,f1ceb9af-24f9-4eab-a651-144796f83cb7,2016-11-30T22:24:49
2016-11-16T17:10:39.968-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa004,Dwa004,4,1,n/a,1,2016-11-15T14:00:00.000-05,2016-11-15T15:30:00.000-05,2016-11-16T15:30:00.000-05,n/a,n/a,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Jk, rh",Free CL residual  reading: 0.02,2016-11-16T17:41:38.532-05,uuid:3569836c-44c7-4f93-a671-8ddead564be2,3569836c-44c7-4f93-a671-8ddead564be2,2016-11-19T20:58:14
2016-12-02T17:37:15.003-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa005,Dwa005,4,1,n/a,1,2016-12-01T13:15:00.000-05,2016-12-01T16:30:00.000-05,2016-12-02T16:30:00.000-05,0,0,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Katie  Lynch  Jessica Korona,No coliforms  present undiluted  100 ml or undiluted  10 ml. No growth  negative  control.,2016-12-03T16:33:52.180-05,uuid:cd5ad330-b6ee-4505-875c-087df680d311,cd5ad330-b6ee-4505-875c-087df680d311,2016-12-05T18:53:58
2016-12-07T15:56:24.348-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa006,Dwa006,4,1,n/a,1,2016-12-06T13:00:00.000-05,2016-12-06T14:00:00.000-05,2016-12-07T14:30:00.000-05,0,n/a,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk rh,n/a,2016-12-07T15:57:41.630-05,uuid:df6cdd7f-77e6-4baf-b7a5-accceac7d6d3,df6cdd7f-77e6-4baf-b7a5-accceac7d6d3,2016-12-10T18:22:48
2016-12-10T13:14:35.910-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa007,Dwa007,4,1,n/a,1,2016-12-09T11:30:00.000-05,2016-12-09T12:15:00.000-05,2016-12-10T12:30:00.000-05,0,0,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,n/a,2016-12-10T13:15:50.773-05,uuid:3d903d71-57e1-4bbb-93b9-a3118eb8187d,3d903d71-57e1-4bbb-93b9-a3118eb8187d,2016-12-12T19:46:27
2016-12-10T13:15:55.490-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa008,Dwa008,4,1,n/a,1,2016-12-09T11:30:00.000-05,2016-12-09T12:15:00.000-05,2016-12-10T12:30:00.000-05,0,n/a,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,n/a,2016-12-10T13:17:00.117-05,uuid:73cff9a8-90ab-462b-abfd-e9097a1f8938,73cff9a8-90ab-462b-abfd-e9097a1f8938,2016-12-10T18:36:40
2016-12-10T13:17:10.451-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa009,Dwa009,4,1,n/a,1,2016-12-09T11:30:00.000-05,2016-12-09T12:15:00.000-05,2016-12-10T12:30:00.000-05,0,n/a,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,n/a,2016-12-10T13:18:09.480-05,uuid:66b2b6e3-3e6e-496e-93cf-4b391462a8d2,66b2b6e3-3e6e-496e-93cf-4b391462a8d2,2016-12-10T18:38:17
2016-12-10T13:18:16.718-05,n/a,n/a,94:B1:0A:E6:CF:E0,Dwa010,Dwa010,4,1,n/a,1,2016-12-09T11:30:00.000-05,2016-12-09T12:15:00.000-05,2016-12-10T12:30:00.000-05,0,n/a,n/a,7,100,n/a,3,n/a,0,0,0,7,10,n/a,3,0,3,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,n/a,2016-12-10T13:19:19.503-05,uuid:483572c4-28e1-46a7-934e-3a2be08c90e6,483572c4-28e1-46a7-934e-3a2be08c90e6,2016-12-10T18:38:23
2016-11-09T15:26:08.928-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol001,Sol001,1,1,1,1,2016-11-07T13:05:00.000-05,2016-11-07T15:01:00.000-05,2016-11-08T14:50:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,1,0,1,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,"Jess, christie  ",Plate 1: no total  coliforms  but 1 small cell with ecoli. Plate 2: 1 large  cell  empty .  Plate 3: small  cell bubble  ,2016-11-09T15:29:29.404-05,uuid:3ee0a840-84a8-45e7-b235-e4929ed11bb0,3ee0a840-84a8-45e7-b235-e4929ed11bb0,2016-11-09T20:31:08
2016-11-30T16:51:06.885-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol002,Sol002,1,1,1,1,2016-11-29T11:30:00.000-05,2016-11-29T14:30:00.000-05,2016-11-30T14:35:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,3,0,3,6,1,n/a,3,0,3,n/a,1,1,5,1,5,n/a,3,0,3,n/a,0,Jk  rh  jg,"1:1 1 ml  ecoli count should be 3.1, unable to add decimal  point in count section ",2016-11-30T17:20:07.324-05,uuid:3a75c3c6-4d29-4611-93c6-57cc3c6d2f75,3a75c3c6-4d29-4611-93c6-57cc3c6d2f75,2016-11-30T22:24:48
2016-11-16T16:59:18.557-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol003,Sol003,1,1,1,1,2016-11-11T12:30:00.000-05,2016-11-11T17:30:00.000-05,2016-11-12T17:35:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,0,0,0,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,"Kl, ml",n/a,2016-11-16T17:40:29.474-05,uuid:b035982a-e58c-4ff0-a57c-1ae32bf537a6,b035982a-e58c-4ff0-a57c-1ae32bf537a6,2016-11-19T20:58:13
2016-11-16T17:02:03.356-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol004,Sol004,1,1,1,1,2016-11-11T12:30:00.000-05,2016-11-11T17:30:00.000-05,2016-11-12T17:35:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,0,0,0,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,"Kl, ml",Tray 1: lots of yellow in big cells,2016-11-16T17:40:46.864-05,uuid:7caf7556-58b9-48c0-8816-49c1b071fd11,7caf7556-58b9-48c0-8816-49c1b071fd11,2016-11-19T20:58:13
