deviceid,h_id,h_start,h_location,_h_location_latitude,_h_location_longitude,_h_location_altitude,_h_location_precision,h_gps_device,h_gps_device_id,h_gps_device_wp,h_gps_device_lat,h_gps_device_lon,h_neighborhood,h_home_type,h_population,h_c,h_o/h_o_a,h_o/h_o_a_other,h_o/h_o_c,h_o/h_o_c_other,h_s/h_s_a,h_s/h_s_a_other,h_s/h_s_c,h_s/h_s_c_other,h_d/h_d_a,h_d/h_s_a_other,h_d/h_d_c,h_d/h_d_c_other,h_f/h_f_a,h_f/h_f_a_other,h_f/h_f_c,h_f/h_f_c_other,h_m/h_m_a,h_m/h_m_a_other,h_m/h_m_c,h_m/h_m_c_other,h_t/h_t_f,h_t/h_t_f_other,h_p/h_p_a,h_p/h_p_a_other,h_p/h_p_c,h_p/h_p_c_other,h_l/h_l_a,h_l/h_l_a_other,h_l/h_l_c,h_l/h_l_c_other,h_th/h_th_a,h_th/h_th_a_other,h_th/h_tu_a,h_th/h_tu_a_other,h_th/h_tw_a,h_th/h_tw_a_other,h_th/h_tf_a,h_th/h_tf_a_other,h_th/h_ts_a,h_th/h_ts_a_other,h_th/h_latrine_type,h_th/h_latrine_type_other,h_pd/h_pd_a/1,h_pd/h_pd_a/2,h_pd/h_pd_a/3,h_pd/h_pd_a/4,h_pd/h_pd_a/5,h_pd/h_pd_a/6,h_pd/h_pd_a/7,h_pd/h_pd_a_other,h_end/h_notes,h_end/h_enum,meta/instanceID,_uuid,_submission_time
94:B1:0A:E6:CF:E0,001,2016-11-12T13:29:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,0,n/a,n/a,n/a,n/a,3,n/a,5,n/a,n/a,n/a,n/a,n/a,4,n/a,4,n/a,4,n/a,3,n/a,n/a,n/a,3,n/a,3,n/a,2,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,uuid:3d28e5ee-04a6-446e-a0d0-f087108158b9,3d28e5ee-04a6-446e-a0d0-f087108158b9,2017-02-21T19:15:26
94:B1:0A:E6:CF:E0,002,2016-11-12T13:32:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,1,n/a,n/a,n/a,n/a,4,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Lots of missing info,Jk,uuid:ef8eb174-e1b4-4dea-b566-747d703d12c8,ef8eb174-e1b4-4dea-b566-747d703d12c8,2017-02-21T19:15:27
94:B1:0A:E6:CF:E0,003,2016-11-12T13:34:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,0,4,n/a,4,n/a,4,n/a,4,n/a,n/a,n/a,n/a,n/a,3,n/a,3,n/a,3,n/a,3,n/a,n/a,n/a,3,n/a,3,n/a,3,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Disregard ocean answers,Jk,uuid:203d03f6-4219-4012-9e51-439f2a50e7b3,203d03f6-4219-4012-9e51-439f2a50e7b3,2017-02-21T19:15:27
94:B1:0A:E6:CF:E0,005,2016-11-12T13:40:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,0,n/a,n/a,n/a,n/a,6,n/a,6,n/a,n/a,n/a,n/a,n/a,4,n/a,6,n/a,1,n/a,6,n/a,n/a,n/a,1,n/a,6,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,uuid:29673e99-2398-4529-baa7-d10140aab2ef,29673e99-2398-4529-baa7-d10140aab2ef,2017-02-21T19:15:28
94:B1:0A:E6:CF:E0,006,2016-11-12T13:41:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,1,n/a,n/a,n/a,n/a,3,n/a,3,n/a,n/a,n/a,n/a,n/a,3,n/a,3,n/a,3,n/a,3,n/a,n/a,n/a,3,n/a,3,n/a,4,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,uuid:63326209-7d3c-43ca-ac7b-db474cfd621a,63326209-7d3c-43ca-ac7b-db474cfd621a,2017-02-21T19:15:29
94:B1:0A:E6:CF:E0,007,2016-11-12T13:43:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,0,n/a,n/a,n/a,n/a,4,n/a,5,n/a,n/a,n/a,n/a,n/a,3,n/a,5,n/a,3,n/a,5,n/a,n/a,n/a,1,n/a,5,n/a,3,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,uuid:43150fda-43a4-4fa9-8c64-747e13f3dcdf,43150fda-43a4-4fa9-8c64-747e13f3dcdf,2017-02-21T19:15:29
94:B1:0A:E6:CF:E0,008,2016-11-12T13:46:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,1,n/a,n/a,n/a,n/a,4,n/a,5,n/a,n/a,n/a,n/a,n/a,3,n/a,3,n/a,4,n/a,3,n/a,n/a,n/a,2,n/a,3,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,uuid:89c15f9b-e9e9-4587-bb4f-78c3fd8f7da4,89c15f9b-e9e9-4587-bb4f-78c3fd8f7da4,2017-02-21T19:15:30
94:B1:0A:E6:CF:E0,004,2016-11-12T13:50:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,0,n/a,n/a,n/a,n/a,4,n/a,5,n/a,n/a,n/a,n/a,n/a,4,n/a,4,n/a,4,n/a,5,n/a,n/a,n/a,2,n/a,3,n/a,3,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,uuid:6964692f-93cf-4e36-ac1b-b7c55874fed3,6964692f-93cf-4e36-ac1b-b7c55874fed3,2017-02-21T19:15:31
94:B1:0A:E6:CF:E0,009,2016-11-12T13:53:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,0,n/a,n/a,n/a,n/a,2,n/a,6,n/a,n/a,n/a,n/a,n/a,3,n/a,6,n/a,2,n/a,6,n/a,n/a,n/a,2,n/a,6,n/a,1,n/a,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,uuid:8dd392e5-8e6a-474e-a502-7ecf66608f6e,8dd392e5-8e6a-474e-a502-7ecf66608f6e,2017-02-21T19:15:31
94:B1:0A:E6:CF:E0,010,2016-11-12T13:54:00.000-05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,1,n/a,1,n/a,n/a,n/a,n/a,4,n/a,4,n/a,n/a,n/a,n/a,n/a,3,n/a,3,n/a,1,n/a,1,n/a,n/a,n/a,1,n/a,1,n/a,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk,uuid:07d3bb04-0ef4-4032-b350-8dcb8240571a,07d3bb04-0ef4-4032-b350-8dcb8240571a,2017-02-21T19:15:32
