start_dt,subscriberid,simserial,deviceid,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_gps_device,col_gps_device_id,col_gps_device_wp,col_gps_device_lat,col_gps_device_lon,col_neighborhood,col_sample_type,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_p_type,col_p_num,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_enum,col_notes,end_dt,meta/instanceID,_uuid,_submission_time
2016-11-07T19:18:50.595+03,n/a,n/a,358239057138523,Sol001,Sol001,2016-11-07T11:19:00.000+03,33.72495144 -84.38152525 230.0 5.0,33.72495144,-84.38152525,230.0,5.0,0,n/a,n/a,n/a,n/a,1,1,4,2,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,"Molly, amrita","Baseball infield, shortstop position at DH Stanton park. No people around ",2016-11-07T19:22:10.646+03,uuid:88bd62b6-a51f-446b-a47b-cdbca27d2e01,88bd62b6-a51f-446b-a47b-cdbca27d2e01,2016-11-07T17:32:02
2016-11-07T19:34:02.763+03,n/a,n/a,358239057138523,Swa001,Swa001,2016-11-07T11:32:00.000+03,33.72526105 -84.38229722 256.0 5.0,33.72526105,-84.38229722,256.0,5.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,2,0,n/a,1,"Amrita,Molly,Jamie","Used non handicap stall. Swabbed toilet flush handle and stall door handle. Women's restroom at Stanton park. Toilet seat was up, appeared to have been cleaned recently. ",2016-11-07T19:37:29.061+03,uuid:a9bea455-7100-404d-8637-5994879b533e,a9bea455-7100-404d-8637-5994879b533e,2016-11-07T17:32:02
2016-11-07T19:50:34.613+03,n/a,n/a,358239057138523,Swa002,Swa002,2016-11-07T11:54:00.000+03,33.7267489 -84.38858765 262.0 5.0,33.7267489,-84.38858765,262.0,5.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,1,0,20,1,"Molly, amrita ","Single stall in lokey center, swabbed toilet flush and two faucet handles, general bathroom unisex, looks clean, lots of people in waiting room",2016-11-07T19:57:45.811+03,uuid:84de7e9b-33a9-4c1a-ace4-b94cedd284fa,84de7e9b-33a9-4c1a-ace4-b94cedd284fa,2016-11-07T17:32:03
2016-12-08T10:05:14.403+03,n/a,n/a,358239057138523,Veg001,Veg001,2016-12-08T10:05:00.000+03,33.70340094 -84.40950777 285.0 4.0,33.70340094,-84.40950777,285.0,4.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Pepper,1,n/a,n/a,n/a,n/a,"Jess, becky",Produce smelled weird,2016-12-08T10:06:39.879+03,uuid:b33c12fe-123b-43eb-8ad8-3624748f15f5,b33c12fe-123b-43eb-8ad8-3624748f15f5,2016-12-08T18:22:45
2016-11-08T10:17:45.568+03,n/a,n/a,358239057138523,Dwa001,Dwa001,2016-11-08T10:17:00.000+03,33.72636706 -84.3891103 291.0 5.0,33.72636706,-84.3891103,291.0,5.0,0,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Becky,Molly","Taken from low, dog bowl fountain. Fountain continued to run on very low pressure throughout testing. Outside youth center. Outside of fountain was rather dirty",2016-11-08T10:27:19.974+03,uuid:6a63fb3c-bc0d-4f4e-a25d-02b225ffe82b,6a63fb3c-bc0d-4f4e-a25d-02b225ffe82b,2016-11-08T17:06:12
2016-11-08T10:27:25.285+03,n/a,n/a,358239057138523,Dwa002,Dwa002,2016-11-08T10:27:00.000+03,33.72625359 -84.38925211 292.0 5.0,33.72625359,-84.38925211,292.0,5.0,0,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Becky, molly",A decent amount of dirt came off the fountain when cleaned. Inside youth center in main common room. ,2016-11-08T10:29:34.116+03,uuid:65784e46-aa56-4439-af1d-3fea5ee90109,65784e46-aa56-4439-af1d-3fea5ee90109,2016-11-08T17:06:13
2016-11-08T11:00:07.899+03,n/a,n/a,358239057138523,Dwa003,Dwa003,2016-11-08T11:00:00.000+03,33.72688061 -84.39211474 290.0 5.0,33.72688061,-84.39211474,290.0,5.0,0,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Becky,Molly",Collected from lower fountain on third floor of South side medical center. Decent amount of dirt was removed from fountain head. Columbus said more people use the first and second floor fountains,2016-11-08T11:07:00.577+03,uuid:f893f44d-4205-4008-96bd-355885dfaa50,f893f44d-4205-4008-96bd-355885dfaa50,2016-11-08T17:06:13
2016-11-10T10:04:11.507+03,n/a,n/a,358239057138523,Veg001,Veg001,2016-11-10T10:04:00.000+03,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Jalapeño,3,n/a,n/a,n/a,n/a,Jess christi,n/a,2016-11-10T10:06:04.341+03,uuid:b72e4f4e-5a2d-4d96-bfc0-ca29f6317360,b72e4f4e-5a2d-4d96-bfc0-ca29f6317360,2016-11-10T16:13:33
2016-11-10T10:06:07.665+03,n/a,n/a,358239057138523,Veg002,Veg002,2016-11-10T10:06:00.000+03,33.70319782 -84.40948761 267.0 5.0,33.70319782,-84.40948761,267.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Pepper,1,n/a,n/a,n/a,n/a,Jess Christi,n/a,2016-11-10T10:07:19.831+03,uuid:e3b55a2e-4f0d-4175-9029-80f7e664b05b,e3b55a2e-4f0d-4175-9029-80f7e664b05b,2016-11-10T16:13:34
2016-11-10T10:07:24.221+03,n/a,n/a,358239057138523,Veg003,Veg003,2016-11-10T10:07:00.000+03,33.70319428 -84.40948449 271.0 5.0,33.70319428,-84.40948449,271.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Roma tomato,3,n/a,n/a,n/a,n/a,Jess Christi,Fruit flies on tomatoes,2016-11-10T10:08:48.118+03,uuid:3011458c-81c8-48ac-a62a-bc6fe1017965,3011458c-81c8-48ac-a62a-bc6fe1017965,2016-11-10T16:13:34
