question_id,question_text,choice_id,choice_text
400,1.  Do you have children between the ages of 5-12? (Y/N),1,Yes
400,1.  Do you have children between the ages of 5-12? (Y/N),2,No
405,"6. Think about whether you ever go into open drains. This could include picking up something that fell in there, or having to go through the drain to cross the street. How often do you go into the drains? (select one option)",21,6a. I come into contact with drain water more than 10 times total every month.
405,"6. Think about whether you ever go into open drains. This could include picking up something that fell in there, or having to go through the drain to cross the street. How often do you go into the drains? (select one option)",22,6b. I come into contact with drain water 6 to 10 times total every month.
405,"6. Think about whether you ever go into open drains. This could include picking up something that fell in there, or having to go through the drain to cross the street. How often do you go into the drains? (select one option)",23,6c. I come into contact with drain water 1 to 5 times total every month.
405,"6. Think about whether you ever go into open drains. This could include picking up something that fell in there, or having to go through the drain to cross the street. How often do you go into the drains? (select one option)",24,6d. I never come into contact with drain water.
406,"7. Think about whether your children ever go into the drains. This could include picking up something that fell in there, or having to go through the drain to cross the street.  How often do your children go into the drains?",25,7a. My children come into contact with drain water more than 10 times every month.
406,"7. Think about whether your children ever go into the drains. This could include picking up something that fell in there, or having to go through the drain to cross the street.  How often do your children go into the drains?",26,7b. My children come into contact with drain water 6 to 10 times total every month.
406,"7. Think about whether your children ever go into the drains. This could include picking up something that fell in there, or having to go through the drain to cross the street.  How often do your children go into the drains?",27,7c. My children come into contact with drain water 1 to 5 times total every month.
406,"7. Think about whether your children ever go into the drains. This could include picking up something that fell in there, or having to go through the drain to cross the street.  How often do your children go into the drains?",28,7d. My children never come into contact with drain water.
406,"7. Think about whether your children ever go into the drains. This could include picking up something that fell in there, or having to go through the drain to cross the street.  How often do your children go into the drains?",29,7e. I do not know how often my children come into contact with drain water.
407,8. How often do you come into contact with floodwater during the rainy season?  (select one option),30,8a. I come into contact with floodwater more than 10 times total every month during
407,8. How often do you come into contact with floodwater during the rainy season?  (select one option),31,8b. I come into contact with floodwater 6 to 10 times total every month during the
407,8. How often do you come into contact with floodwater during the rainy season?  (select one option),32,8c. I come into contact with floodwater 1 to 5 times total every month during the r
407,8. How often do you come into contact with floodwater during the rainy season?  (select one option),33,8d. I never come into contact with floodwater.
408,9. How often do your children come into contact with floodwater during the rainy season? (select one option),34,9a. My children come into contact with floodwater more than 10 times total every mo
