id,response,choice
1,1,10
2,1,7
3,1,19
4,1,24
5,1,29
6,1,21
7,1,1
8,1,3
9,1,5
10,1,13
11,1,15
12,1,11
13,1,18
14,2,133
15,2,131
16,2,129
17,2,119
19,2,116
20,2,112
21,2,114
22,2,121
23,2,110
24,2,125
25,2,127
26,2,109
32,2,139
33,2,123
34,3,132
35,3,131
36,3,129
37,3,118
39,3,116
40,3,112
41,3,114
42,3,121
43,3,110
44,3,125
45,3,126
46,3,109
51,3,139
52,3,122
85,4,109
86,4,126
87,4,125
88,4,123
89,4,121
95,4,110
96,4,131
97,4,129
98,4,119
99,4,133
103,4,114
104,4,112
105,4,116
106,4,139
122,5,109
123,5,126
124,5,124
125,5,122
126,5,120
132,5,110
133,5,131
134,5,129
135,5,119
136,5,133
139,5,114
140,5,112
141,5,116
142,5,139
152,6,8
153,6,9
154,6,5
155,6,1
156,6,3
157,6,20
158,6,21
163,6,17
164,6,15
165,6,13
166,6,12
167,6,24
168,6,25
169,6,28
170,6,29
171,2,138
172,2,100
173,2,101
174,2,103
175,2,104
176,2,106
177,3,100
178,3,101
179,3,104
180,3,107
181,3,138
182,4,100
183,4,101
184,4,103
185,4,104
186,4,106
187,4,107
188,4,134
189,4,135
190,4,138
191,5,100
192,5,101
193,5,103
194,5,104
195,5,107
196,5,134
197,5,135
