id,question,response,answer_text
1,39,1,OKRA
2,40,1,3
3,6,2,CHILD PLAY AREA
4,15,2,90.0
5,102,3,0.0
6,100,3,
7,101,3,0.0
8,102,4,0.0
9,100,4,
10,101,4,0.0
11,102,5,0.0
12,100,5,
13,101,5,0.0
14,102,6,0.0
15,100,6,
16,101,6,0.0
17,102,7,0.0
18,100,7,STORED PIPED WATER
19,101,7,0.0
20,102,8,0.0
21,100,8,STORED PIPED WATER
22,101,8,0.0
23,22,9,
24,25,9,70
25,22,10,
26,25,10,70
27,22,11,
28,25,11,70
29,22,12,
30,25,12,70
31,22,13,
32,25,13,100
33,22,14,
34,25,14,100
35,22,15,
36,25,15,100
37,22,16,
38,25,16,100
39,22,17,
40,25,17,150
41,39,18,TOMATO
42,40,18,4
43,39,19,LADY FINGER
44,40,19,4
45,39,20,CORIANDER
46,40,20,1
47,39,21,GREEN CHILLY
48,40,21,6
49,15,22,0.0
50,6,22,PUBLIC WATER TANK
51,57,23,2.55
52,56,23,2.52
53,55,23,
54,57,24,2.45
55,56,24,2.46
56,55,24,
57,22,25,
58,25,25,150
59,22,26,
60,25,26,150
61,22,27,
62,25,27,150
63,15,28,50.0
64,6,28,PUBLIC CHILD AREA
65,15,29,60.0
66,6,29,CHILD PALY AREA
67,40,30,4
68,39,30,green chilly
69,15,31,60.0
70,6,31,PUBLIC COMMON PLACE
71,40,32,3
72,39,32,TOMATO
73,55,33,
74,57,33,17.0
75,56,33,0.08
76,56,34,-0.37
77,57,34,-0.36
78,55,34,
79,101,35,0.0
80,100,35,
81,102,35,0.0
82,101,36,0.0
83,100,36,
84,102,36,0.0
85,101,37,0.0
86,100,37,
87,102,37,0.0
88,101,38,0.0
89,100,38,
90,102,38,0.0
91,15,39,90.0
92,6,39,PUBLIC COMMON PLACE
93,15,40,111.0
94,6,40,PUBLIC COMMON PLACE
95,15,41,90.0
96,6,41,CHILD PLAY AREA
97,15,42,85.0
98,6,42,CHILD PALY AREA
99,40,43,4
100,39,43,TOMATTO
101,40,44,3
102,39,44,TOMATTO
103,40,45,1
104,39,45,0
105,6,46,PUBLIC CHILD AREA
106,15,46,0.0
107,39,47,TOMATTO
108,40,47,3
109,39,48,GREEN CHILLY
110,40,48,4
111,39,49,CORIANDER
112,40,49,1
113,39,50,GREEN CHILLY
114,40,50,4
115,39,51,TOMATTO
116,40,51,2
117,6,52,CHILD PALY AREA
118,15,52,105.0
119,6,53,COMMON PLACE
120,15,53,90.0
121,6,54,PLAY AREA
122,15,54,0.0
123,6,55,CHILD PALY AREA
124,15,55,0.0
125,6,56,PALY AREA
126,15,56,0.0
127,6,57,CHILD PALY AREA
128,15,57,0.0
129,6,58,PLAY AREA
130,15,58,0.0
131,6,59,CHILD PALY AREA
132,15,59,0.0
133,6,60,SCHOOL
134,15,60,0.0
135,22,61,
136,25,61,200
137,22,62,
138,25,62,200
139,22,63,
140,25,63,200
141,22,64,
142,25,64,200
143,22,65,
144,25,65,200
145,55,66,
146,56,66,0.56
147,57,66,0.6
148,57,67,0.3
149,55,67,
150,56,67,0.25
151,57,68,0.4
152,55,68,
153,56,68,0.37
154,57,69,0.32
155,55,69,
156,56,69,0.32
157,57,70,0.44
158,55,70,
159,56,70,0.35
160,57,71,0.37
161,55,71,
162,56,71,0.29
163,57,72,0.04
164,55,72,
165,56,72,0.01
166,57,73,0.35
167,55,73,
168,56,73,0.32
169,57,74,0.04
170,55,74,
171,56,74,0.01
172,57,75,0.01
173,55,75,
174,56,75,0.01
175,57,76,0.02
176,55,76,
177,56,76,0.01
178,57,77,0.02
179,55,77,
180,56,77,0.01
181,57,78,2.93
182,55,78,
183,56,78,3.01
184,57,79,4.0
185,55,79,
186,56,79,4.0
187,102,80,0.0
188,100,80,
189,101,80,0.0
190,102,81,0.0
191,100,81,
192,101,81,0.0
193,102,82,0.0
194,100,82,
195,101,82,0.0
196,102,83,0.0
197,100,83,
198,101,83,0.0
199,102,84,0.0
200,100,84,
201,101,84,0.0
202,57,85,1.93
203,55,85,
204,56,85,1.91
205,25,86,150
206,22,86,
207,25,87,156
208,22,87,
209,25,88,50
210,22,88,
211,57,89,1.68
212,55,89,
213,56,89,1.69
214,25,90,50
215,22,90,
216,25,91,50
217,22,91,
218,25,92,7
219,22,92,
220,40,93,1
221,39,93,CORIANDER
222,40,94,5
223,39,94,TOMATTO
224,40,95,4
225,39,95,LADY FINGER
226,40,96,4
227,39,96,GREEN CHILLY
228,40,97,1
229,39,97,CORIANDER
230,6,98,PLAY AREA
231,15,98,100.0
232,102,99,0.0
233,100,99,
234,101,99,0.0
235,102,100,0.0
236,100,100,
237,101,100,0.0
238,102,101,0.0
239,100,101,
240,101,101,0.0
241,102,102,0.0
242,100,102,
243,101,102,0.0
244,102,103,0.0
245,100,103,
246,101,103,0.0
247,22,104,
248,25,104,200
249,55,105,
250,57,105,0.0
251,56,105,0.0
252,55,106,
253,57,106,0.0
254,56,106,0.0
