id,response,choice
1,2,3
2,3,26
3,4,26
4,5,26
5,6,26
6,7,29
7,8,29
8,9,18
9,9,8
10,9,16
11,10,18
12,10,9
13,10,16
14,11,18
15,11,9
16,11,16
17,12,18
18,12,9
19,12,16
20,13,17
21,13,8
22,13,16
23,14,17
24,14,8
25,14,16
26,15,17
27,15,8
28,15,16
29,16,17
30,16,8
31,16,16
32,17,17
33,17,8
34,17,16
35,22,3
36,22,2
37,23,21
38,24,21
39,25,17
40,25,16
41,25,8
42,26,17
43,26,16
44,26,8
45,27,17
46,27,16
47,27,8
48,28,4
51,29,3
54,31,3
56,33,21
57,31,2
58,29,1
60,2,1
61,34,21
62,35,26
63,36,26
64,37,26
65,38,26
66,39,2
67,39,3
68,40,2
69,40,3
70,41,1
71,41,3
72,42,2
73,42,3
74,46,3
75,46,1
76,52,4
77,53,2
78,53,4
79,54,2
80,54,3
81,55,2
82,55,3
84,56,3
85,57,2
86,57,3
87,58,2
88,58,4
89,59,2
90,59,3
91,60,2
92,60,3
93,61,9
94,61,13
95,61,17
96,62,9
97,62,13
98,62,17
99,63,9
100,63,13
101,63,17
102,64,9
103,64,13
104,64,17
105,65,9
106,65,13
107,65,18
108,66,21
109,67,21
110,68,21
111,69,21
112,70,21
113,71,21
114,72,21
115,73,21
116,74,21
117,75,21
118,76,21
119,77,21
120,78,21
121,79,21
122,80,26
123,81,26
124,82,26
125,83,26
126,84,26
127,85,21
128,86,13
129,86,9
130,86,18
131,87,13
132,87,9
133,87,18
134,88,12
135,88,9
136,88,18
137,89,21
138,90,12
139,90,9
140,90,17
141,91,13
142,91,9
143,91,18
144,92,13
145,92,9
146,92,17
147,98,3
148,98,2
149,99,26
150,100,26
151,101,26
152,102,26
153,103,26
154,28,1
155,56,2
156,104,13
157,104,9
158,104,18
159,105,21
160,106,21
