sample_id,project,neighborhood,sample_type,sample_name,collection_datetime,way_point,GPS_latitude,GPS_longitude,notes,processing_datetime,incubation_start_datetime,incubation_end_datetime,dilution1,dilution2,count1,count2,plate1_tntc,plate2_tntc,produce_weight,blank_count,collector_name,lab_operator_name
1,1,1,3,PVG005,3/7/2014 9:35,PUBT2,12.91378,79.13932,MARKET NEAR PUBLIC LATRINE AND DRAIN. ANIMAL FECES NEAR VENDOR.,3/7/2014 2:00,3/7/2014 16:00,3/8/2014 12:00,100,1000,8,0,FALSE,FALSE,25,0,THENPANDIYAN,DANIEL
2,1,1,1,PSL004,3/11/2014 10:30,Y,12.91198,79.14413,NEAR ANIMAL FECES,3/11/2014 16:00,3/11/2014 16:00,3/12/2014 16:00,100,1000,None,5,TRUE,FALSE,None,0,THENPANDIYAN,DANIEL
3,1,1,7,PBW001,3/7/2014 8:30,PBWOO1,12.91245,79.1394,NEAR ANIMAL FE ACES & DRAINAGE,3/7/2014 14:00,3/7/2014 16:00,3/8/2014 9:51,1,10,1,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
4,1,1,7,PBW002,3/7/2014 9:10,PBW002,12.91419,79.13724,"NEAR TO THE TANK OPEN DRAINAGE, ALSO SOME ANIMAL FECES",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 9:57,10,100,0,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
5,1,1,7,PBW003,3/7/2014 10:05,PUBRJ1,12.91467,79.14012,"NEAR ANIMAL SHED, NEAR PUBLIC LATRINE NUMBER 3, PRE SCHOOL",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,1,10,7,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
6,1,1,7,PBW004,3/7/2014 10:20,PUBT4,12.91451,79.14053,"NEAR DRAIN, GPS (TRANSECT WALK)",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,1,10,5,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
7,1,1,7,PBW005,3/7/2014 10:30,PBW005,12.91327,79.14069,"NEAR OPEN DRAIN, ANIMAL FECES STORED PIPED WATER IN A TANK.",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,1,10,0,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
8,1,1,7,PBW006,3/7/2014 10:35,PBW006,12.91314,7.14066,NEAR OPEN DRAIN,3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,1,10,0,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
9,1,1,2,PSW001,3/7/2014 8:40,PUBT1,12.91242,79.13789,"6 STALLS FOR FEMALE, 6 STALLS FOR MALE. * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE. * SAMPLE COLLECTED IN WALL & TAP",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,None,65,TRUE,FALSE,None,0,THENPANDIYAN,DANIEL
10,1,1,2,PSW002,3/7/2014 8:45,PUBT1,12.91242,79.13789,"6 STALLS FOR FEMALE, 6 STALLS FOR MALE * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE * SAMPLE COLLECTED IN TAP & WALL",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,6,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
11,1,1,2,PSW003,3/7/2014 8:50,PUBT1,12.91242,79.13789,"6 STALLS FOR FEMALE, 6 STALLS FOR MALE * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE * COLLECTED IN WALL & TAP",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,1,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
12,1,1,2,PSW004,3/7/2014 8:50,PUBT1,12.91242,79.13789,"6 STALLS FOR FEMALE, 6 STALLS FOR MALE. * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE. * SAMPLE COLLECTED IN WALL AND TAP.",3/7/2014 11:39,3/7/2014 16:00,3/8/2014 12:00,10,100,None,85,TRUE,FALSE,None,0,THENPANDIYAN,DANIEL
13,1,1,2,PSW005,3/7/2014 9:15,PUBT2,12.91378,79.13932,"HAND WASHING STATION A LARGE TANK WITH A BOWL FOR FETCHING WATER .FEMALE STALL.",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,1,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
14,1,1,2,PSW006,3/7/2014 9:15,PUBT2,12.91378,79.13932,"HAND WASHING STATION A LARGE TANK WITH A BOWL FOR FETCHING WATER. FEMALE STALL.",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,None,16,TRUE,FALSE,None,0,THENPANDIYAN,DANIEL
15,1,1,2,PSW007,3/7/2014 9:25,PUBT2,12.91378,79.13932,"SAMPLE COLLECTED FROM WALL, TAP AND DOOR HANDLE ALL MALE STALLS.",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,None,None,TRUE,TRUE,None,0,THENPANDIYAN,DANIEL
16,1,1,2,PSW008,3/7/2014 9:25,PUBT2,12.91378,79.13932,ALL MALE STALLS,3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,None,35,TRUE,FALSE,None,0,THENPANDIYAN,DANIEL
17,1,1,2,PSW009,3/7/2014 9:50,PUBT3,12.91491,79.13997,"MALE STALL - 5 STALLS, WALL, TAP, BUCKET, DOOR HANDLE COLLECTE",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,10,0,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
18,1,1,3,PVG001,3/4/2014 10:00,PVG001,12.115,79.14638,"NEAR PUBLIC TAP, OPEN DRAINAGE, CHILD PLAY AREA, NEAR ANIMAL SHED AND ANIMAL , FECES ALSO THERE SIDE.",3/4/2014 13:00,3/4/2014 16:30,3/5/2014 16:30,100,1000,19,1,FALSE,FALSE,300,0,THENPANDIYAN,DANIEL
19,1,1,3,PVG002,3/5/2014 10:40,PVG002,12.91227,79.14202,,3/5/2014 13:00,3/5/2014 16:00,3/6/2014 16:00,100,1000,5,1,FALSE,FALSE,60,0,THENPANDIYAN,BEN
20,1,1,3,PVG003,3/5/2014 10:45,PVG003,12.91227,79.14201,NEAR OPEN DRAINAGE & PUBLIC TAP,3/5/2014 13:00,3/5/2014 16:00,3/6/2014 16:00,100,1000,110,25,FALSE,FALSE,20,0,T. THENPANDIYAN,BEN
21,1,1,3,PVG004,3/6/2014 10:30,PVG004,12.9136,79.1415,,3/6/2014 13:00,3/6/2014 16:00,3/7/2014 16:00,100,1000,15,1,FALSE,FALSE,25,0,T. THENPANDIYAN,DANIEL
22,1,1,1,PSL001,3/4/2014 10:10,PSL001,12.91185,79.1456,"NEAR WATER TANK & CEMETERY, NEAR ANIMAL FECES",3/4/2014 13:00,3/4/2014 16:30,3/5/2014 16:30,100,1000,16,1,FALSE,FALSE,None,0,A.GEETHA,DANIEL
23,1,1,4,PPW001,3/5/2014 11:35,PPW001,12.91353,79.14147,"NEAR OPEN DRAINAGE, DOUBLE SIDE TAP",3/5/2014 13:00,3/5/2014 16:00,3/6/2014 16:00,1,10,0,0,FALSE,FALSE,None,0,T. THENPANDIYAN,BEN
24,1,1,4,PPW002,3/5/2014 11:45,PPW002,12.91314,79.14137,,3/5/2014 13:00,3/5/2014 16:00,3/6/2014 16:00,1,10,0,0,FALSE,FALSE,None,0,T. THENPANDIYAN,BEN
25,1,1,2,PSW010,3/7/2014 9:50,PUBT3,12.91491,79.13997,"MALE STALL - 5 STALLS, COLLECTED WALL AND PLASTIC BUCKET, DOOR HANDLE",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,None,None,TRUE,TRUE,None,0,THENPANDIYAN,DANIEL
26,1,1,2,PSW011,3/7/2014 9:50,PUBT3,12.91491,79.13997,"5 FEMALE STALLS, COLLECTED FROM WALL, PLASTIC BUCKET, DOOR HANDLE",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,None,None,TRUE,TRUE,None,0,THENPANDIYAN,DANIEL
27,1,1,2,PSW012,3/7/2014 9:50,PUBT3,12.91491,79.13997,"FEMALE STALL - 5, COLLECTED WALL, BUCKET, DOOR HANDLE",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,10,100,None,None,TRUE,TRUE,None,0,THENPANDIYAN,DANIEL
28,1,1,1,PSL002,3/6/2014 10:20,PSL002,12.91273,79.14201,"CHILD PLAY AREA, NEAR ANIMAL FECES",3/6/2014 13:00,3/6/2014 16:00,3/7/2014 16:00,100,1000,150,13,FALSE,FALSE,None,0,THENPANDIYAN,DANIEL
