survey_question_id,answer_type,question_text,answer_required,display_order,survey,module,exposure_frequency,adult_related
1,8,Raise your hand if you are a girl. ,True,1,1,7,None,False
2,8,Raise your hand if you are a boy.,True,2,1,7,None,False
3,8,Raise your hand if you live in this neighborhood. ,True,3,1,7,None,False
4,1,"1.  Think about whether you go into the ocean for wading, swimming, splashing around, fishing, or to [defecate]. How often do you go into the ocean for any of these reasons?",False,4,1,1,None,False
5,8,1a. Raise your hand if you go into the ocean more than 10 times total every month.,True,5,1,1,4,False
6,8,1b. Raise your hand if you go into the ocean 6 to 10 times total every month.,True,6,1,1,3,False
7,8,1c. Raise your hand if you go into the ocean 1 to 5 times total every month.,True,7,1,1,2,False
8,8,1d. Raise your hand if you never go in the ocean.,True,8,1,1,1,False
9,1,"2.  Now think about whether the adults in your [house/compound] go into the ocean for wading, swimming, splashing around, fishing, or to [defecate]. How often do they go into the ocean for any of these reasons?",False,9,1,1,None,True
10,8,2a. Raise your hand if the adults in your [house/compound] go into the ocean more than 10 times total every month.,True,10,1,1,4,True
11,8,2b. Raise your hand if the adults in your [house/compound] go into the ocean 6-10 times total every month,True,11,1,1,3,True
12,8,2c. Raise your hand if the adults in your [house/compound] go into the ocean 1-5 times total every month.,True,12,1,1,2,True
13,8,2d. Raise your hand if the adults in your [house/compound] never go in the ocean.,True,13,1,1,1,True
14,8,2e. Raise your hand if you don't know if the adults in your [house/compound] go into the ocean.,True,14,1,1,None,True
15,1,"3.  Think about whether you go into [rivers or ponds] in your neighborhood. This includes wading, swimming, splashing around, fishing, helping with laundry, or to [defecate]. How often do you go into the [rivers or ponds]?  ",False,15,1,2,None,False
16,8,3a. Raise your hand if you go into the [rivers or ponds] more than 10 times total every month.,True,16,1,2,4,False
17,8,3b. Raise your hand if you go into the [rivers or ponds] 6-10 times total every month.,True,17,1,2,3,False
18,8,3c. Raise your hand if you go into the [rivers or ponds] 1-5 times total every month.,True,18,1,2,2,False
19,8,3d. Raise your hand if you never go into the [rivers or ponds].,True,19,1,2,1,False
20,1,"4.  Do the adults in your family ever go into the [rivers or ponds] in your neighborhood? This includes for wading, swimming, splashing around, fishing, helping with laundry, or to [defecate].",False,20,1,2,None,True
21,8,4a. Raise your hand if the adults in your [house/compound] go into the [rivers or ponds] more than 10 times total every month.,True,21,1,2,4,True
22,8,4b. Raise your hand if the adults in your [house/compound] go into the [rivers or ponds] 6 to10 times total every month.,True,22,1,2,3,True
23,8,4c. Raise your hand if the adults in your [house/compound] ever go into the [rivers or ponds] 1 to 5 times total every month.,True,23,1,2,2,True
24,8,4d. Raise your hand if the adults in your [house/compound]  never go into the [rivers or ponds].,True,24,1,2,1,True
25,8,4e. Raise your hand if you don't know if the adults in your [house/compound]  go into the [rivers or ponds].,True,25,1,2,None,True
26,1,"5. Think about whether you ever come into contact with water in open drains. This could include picking up something that fell in there, or going into the drain to cross the street. How often do you go into the drains?  ",False,26,1,9,None,False
27,8,5a. Raise your hand if you come into contact with drain water more than 10 times total every month.,True,27,1,9,4,False
28,8,5b. Raise your hand if you come into contact with drain water 6-10 times total every month.,True,28,1,9,3,False
29,8,5c. Raise your hand if you come into contact with drain water 1-5 times total every month.,True,29,1,9,2,False
30,8,5d. Raise your hand if you never come into contact with drain water.,True,30,1,9,1,False
31,1,6. Do the adults in your family ever come into contact with drain water?  ,False,31,1,9,None,True
32,8,6a. Raise your hand if the adults in your [house/compound] come into contact with drain water more than 10 times total every month.,True,32,1,9,4,True
33,8,6b. Raise your hand if the adults in your [house/compound] come into contact with drain water 6 to 10 times total every month.,True,33,1,9,3,True
34,8,6c. Raise your hand if the adults in your [house/compound] come into contact with drain water 1 to 5 times total every month.,True,34,1,9,2,True
35,8,6d. Raise your hand if the adults in your [house/compound] never come into contact with drain water.,True,35,1,9,1,True
36,8,6e. Raise your hand if you don't know if the adults in your [house/compound] come into contact with drain water.,True,36,1,9,None,True
37,1,7. How often do you come into contact with floodwater during the rainy season?,False,37,1,3,None,False
38,8,7a. Raise your hand if you come into contact with floodwater more than 10 times total every month during the rainy season.,True,38,1,3,4,False
39,8,7b. Raise your hand if you come into contact with floodwater 6-10 times total every month during the rainy season.,True,39,1,3,3,False
40,8,7c. Raise your hand if you come into contact with floodwater 1-5 times total every month during the rainy season.,True,40,1,3,2,False
41,8,7d. Raise your hand if you never come into contact with floodwater during the rainy season.,True,41,1,3,1,False
42,1,8. Do the adults in your family ever come into contact with floodwater during the rainy season?,False,42,1,3,None,True
43,8,8a. Raise your hand if the adults in your [house/compound] come into contact with floodwater more than 10 times total every month during the rainy season.,True,43,1,3,4,True
44,8,8b. Raise your hand if the adults in your [house/compound] come into contact with floodwater 6 to 10 times total every month during the rainy season.,True,44,1,3,3,True
45,8,8c. Raise your hand if the adults in your [house/compound] come into contact with floodwater 1 to 5 times total every month during the rainy season.,True,45,1,3,2,True
46,8,8d. Raise your hand if the adults in your [house/compound] never come into contact with floodwater during the rainy season.,True,46,1,3,1,True
47,8,8e. Raise your hand if you don't know if the adults in your [house/compound] come into contact with floodwater during the rainy season.,True,47,1,3,None,True
48,1,9. How many days during the week do you drink municipal water? ,False,48,1,8,None,False
49,8,9a. Raise your hand if you drink municipal water every day.,True,49,1,8,7,False
50,8,9b. Raise your hand if you drink municipal water 4 to 6 days a week.,True,50,1,8,6,False
51,8,9c. Raise your hand if you drink municipal water 1 to 3 days a week.,True,51,1,8,5,False
52,8,9d. Raise your hand if you never drink municipal water.,True,52,1,8,1,False
