id,question,response,answer_text,count_yes,count_missing
1,420,1,0,None,None
2,420,2,0,None,None
3,420,3,1,None,None
4,420,4,0,None,None
5,420,5,0,None,None
6,420,6,0,None,None
7,420,7,0,None,None
8,420,8,0,None,None
9,420,9,0,None,None
10,420,10,0,None,None
11,420,11,0,None,None
12,420,12,0,None,None
13,420,13,0,None,None
14,420,14,0,None,None
15,420,15,0,None,None
16,420,16,1,None,None
17,420,17,0,None,None
18,420,18,0,None,None
19,420,19,0,None,None
20,420,20,0,None,None
21,420,21,2,None,None
22,420,22,0,None,None
23,420,23,0,None,None
24,420,24,0,None,None
25,420,25,0,None,None
26,420,26,0,None,None
27,420,27,1,None,None
28,420,28,2,None,None
29,420,29,0,None,None
30,420,30,0,None,None
31,420,31,3,None,None
32,420,32,1,None,None
33,420,33,0,None,None
34,420,34,0,None,None
35,420,35,0,None,None
36,420,36,0,None,None
37,420,37,1,None,None
38,420,38,0,None,None
39,420,39,0,None,None
40,420,40,1,None,None
41,420,41,0,None,None
42,420,42,0,None,None
43,420,43,3,None,None
44,420,44,1,None,None
45,420,45,1,None,None
46,420,46,1,None,None
47,420,47,0,None,None
48,420,48,0,None,None
49,420,49,0,None,None
50,420,50,0,None,None
51,420,51,0,None,None
52,420,52,1,None,None
53,420,53,1,None,None
54,420,54,0,None,None
55,420,55,0,None,None
56,420,56,0,None,None
57,257,57,None,0,1
58,256,57,None,3,1
59,255,57,None,11,1
60,253,57,None,3,1
61,252,57,None,0,1
62,251,57,None,0,1
63,250,57,None,0,1
64,293,57,None,1,1
65,292,57,None,8,1
66,290,57,None,0,1
67,297,57,None,0,0
68,296,57,None,1,1
69,259,57,None,2,1
70,258,57,None,0,2
71,298,57,None,0,0
72,294,57,None,7,1
73,295,57,None,0,1
74,246,57,None,1,1
75,288,57,None,4,1
76,289,57,None,2,1
77,284,57,None,6,1
78,285,57,None,5,1
79,286,57,None,2,1
80,280,57,None,0,1
81,281,57,None,4,1
82,282,57,None,8,1
83,283,57,None,6,1
84,249,57,None,14,1
85,200,57,None,0,0
86,201,57,None,0,0
87,202,57,None,0,0
88,203,57,None,9,0
89,240,57,None,1,1
90,241,57,None,9,1
91,243,57,None,5,1
92,244,57,None,0,1
93,245,57,None,0,1
94,247,57,None,9,1
95,271,57,None,7,1
96,270,57,None,3,1
97,273,57,None,8,1
98,275,57,None,0,1
99,274,57,None,1,1
100,276,57,None,8,1
101,279,57,None,0,1
102,278,57,None,5,1
103,239,57,None,1,1
104,238,57,None,6,1
105,235,57,None,1,0
106,234,57,None,2,0
107,236,57,None,5,0
108,230,57,None,4,0
109,233,57,None,3,0
110,232,57,None,5,0
111,299,57,None,0,0
112,268,57,None,1,1
113,262,57,None,5,1
114,263,57,None,3,1
115,260,57,None,1,1
116,264,57,None,1,1
117,265,57,None,8,1
118,267,57,None,4,1
119,269,57,None,2,1
120,228,57,None,2,0
121,229,57,None,2,0
122,227,57,None,10,0
123,257,58,None,0,0
124,256,58,None,1,0
125,255,58,None,3,0
126,253,58,None,4,0
127,252,58,None,1,0
128,251,58,None,3,0
129,250,58,None,0,0
130,293,58,None,12,3
131,292,58,None,9,3
132,290,58,None,7,3
133,297,58,None,0,0
134,296,58,None,10,3
135,259,58,None,0,0
136,258,58,None,0,0
137,298,58,None,0,0
138,294,58,None,6,3
139,295,58,None,0,3
140,246,58,None,0,0
141,288,58,None,6,3
142,289,58,None,2,3
143,284,58,None,9,3
144,285,58,None,9,3
145,286,58,None,0,3
146,280,58,None,1,0
147,281,58,None,0,0
148,282,58,None,0,0
149,283,58,None,9,3
150,249,58,None,10,0
151,200,58,None,0,0
152,201,58,None,0,0
153,202,58,None,0,0
154,203,58,None,4,0
155,240,58,None,4,0
156,241,58,None,3,0
157,243,58,None,3,0
158,244,58,None,0,0
159,245,58,None,1,0
160,247,58,None,0,1
161,271,58,None,0,0
162,270,58,None,0,0
163,273,58,None,6,1
164,275,58,None,1,1
165,274,58,None,0,1
166,276,58,None,10,1
167,279,58,None,0,0
168,278,58,None,3,0
169,239,58,None,3,0
170,238,58,None,8,0
171,235,58,None,0,0
172,234,58,None,1,0
173,236,58,None,1,0
174,230,58,None,7,0
175,233,58,None,0,0
176,232,58,None,2,0
177,299,58,None,0,0
178,268,58,None,1,0
179,262,58,None,7,0
180,263,58,None,4,0
181,260,58,None,5,0
182,264,58,None,3,0
183,265,58,None,4,0
184,267,58,None,1,0
185,269,58,None,2,0
186,228,58,None,0,1
187,229,58,None,2,1
188,227,58,None,8,1
189,257,59,None,0,0
190,256,59,None,1,0
191,255,59,None,1,0
192,253,59,None,8,1
193,252,59,None,2,1
194,251,59,None,1,1
195,250,59,None,0,1
196,293,59,None,2,0
197,292,59,None,4,0
198,290,59,None,0,0
199,297,59,None,0,0
200,296,59,None,10,0
201,259,59,None,1,0
202,258,59,None,0,0
203,298,59,None,0,0
204,294,59,None,8,0
205,295,59,None,1,0
206,246,59,None,0,0
207,288,59,None,3,0
208,289,59,None,2,0
209,284,59,None,5,0
210,285,59,None,3,0
211,286,59,None,1,0
212,280,59,None,1,0
213,281,59,None,0,0
214,282,59,None,1,0
215,283,59,None,4,0
216,249,59,None,0,1
217,200,59,None,0,0
218,201,59,None,0,0
219,202,59,None,0,0
220,203,59,None,3,0
221,240,59,None,1,1
222,241,59,None,4,1
223,243,59,None,0,0
224,244,59,None,0,0
225,245,59,None,0,0
226,247,59,None,3,0
227,271,59,None,3,0
228,270,59,None,0,0
229,273,59,None,5,0
230,275,59,None,1,0
231,274,59,None,2,0
232,276,59,None,4,0
233,279,59,None,0,0
234,278,59,None,1,0
235,239,59,None,1,1
236,238,59,None,5,1
237,235,59,None,0,0
238,234,59,None,0,0
239,236,59,None,2,0
240,230,59,None,6,1
241,233,59,None,0,0
242,232,59,None,1,0
243,299,59,None,0,0
244,268,59,None,0,0
245,262,59,None,1,0
246,263,59,None,1,0
247,260,59,None,3,1
248,264,59,None,2,0
249,265,59,None,8,0
